,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226898,990134,1639747,2177127,2380199,2419235,2472899,2575561,2587148,4401,810,4049,0,810,1162,0,1162,0.31943313732384043,0.5283965737593371,0.7022963976889812,0.766801710504223,0.7795809262762304,0.7969641601266667,0.8297392698291055,0.833784247938709
1,2000,9312181.820187975,1770534,3437545,4555161,5145975,5279122,5491988,5904725,5960483,609727,233386,207348,174724,213216,380785,540006,543950,0.20345224842681298,0.37863446519593896,0.500301388247189,0.5631735983098785,0.5801892329661416,0.614908072115467,0.6731197733646737,0.6797816392441388
2,3000,15520302.808601288,1190467,3885967,5615079,6546168,6799799,7187846,8237511,8342610,945011,691402,790412,583212,505430,674884,732290,673265,0.08167706112734374,0.26205361072656186,0.381203029469924,0.43824919349291847,0.4528709025163854,0.48417940191996695,0.5570397528468964,0.5619040045258659
3,4000,21728423.459527902,1455486,3995131,5859318,6620166,6811258,7393037,9018861,9236075,2206965,1703213,1764818,1287402,1530969,1689988,1760258,1715716,0.07455826125991197,0.19950506927626996,0.2934999898629814,0.323866691941377,0.3372334872024862,0.36894282564783515,0.45166197256727003,0.4615105186881035
4,5000,27936543.63785255,1159227,2522067,4556964,5556144,5796565,6563729,8352124,8732555,2641385,1659269,2105872,954950,1091456,1840923,1832973,1303886,0.0458280185784363,0.09597901741175813,0.17641678326792615,0.20592349268077592,0.2159264696095323,0.2515260737075207,0.3199609783608937,0.32788898196883537
5,6000,34144663.20868763,582400,1223571,2918793,3783828,3975508,4866142,6777790,7257003,6005848,3173329,4897429,2454094,3136805,4628808,4468308,3249454,0.020697388844580375,0.039506564094251434,0.09979723139540485,0.11939918071786176,0.12820969359586923,0.16486535679195602,0.22839024375930875,0.23489088392252588
6,7000,40352782.03685711,357105,922886,2408854,2849534,2952167,3408759,4596794,5040808,8184443,4724506,6463975,3800865,4950162,6691198,6733332,4664937,0.01110113268797759,0.0259031899002153,0.07108110938753777,0.07795853763638917,0.0833883762536938,0.10126555530683416,0.13673019620965005,0.14124719480243306
7,8000,46560899.98757228,67790,588765,2434774,2908907,3079741,3443190,4333950,4674273,7317211,3776130,6097596,1896601,2800333,5735014,5765253,2543502,0.0017274115086751344,0.013761088353893662,0.06017239721076177,0.06512823588274375,0.07037708174289942,0.08433840238147272,0.10623559913929705,0.10619148822290037
8,9000,52769016.92555851,7805,489924,2056677,2574364,2746614,3250269,4200287,4520910,8045976,4785122,6171636,2712088,3330508,6696574,7011481,3362169,0.00017451854432240914,0.010210175742508204,0.04413718022662341,0.05142872435958728,0.05555616582481652,0.07054692118782627,0.09179443156277721,0.0915037123358218
9,10000,58977132.716076106,0,484335,1471791,1760363,2113019,2482412,3301477,3628525,5353442,3836459,3841381,3088383,3296721,4737945,4957997,3245132,0.0,0.00878362499692842,0.026693950008681303,0.03149762714218745,0.03794905488081955,0.04576786829837112,0.06111680529937616,0.06510667037570281
10,11000,65185247.22378212,128805,805204,1866136,2080095,2354727,2702387,3471901,3627800,4624611,2448332,2584333,1958000,2048290,3794749,4097637,1916623,0.0021268765989188596,0.012834612558297506,0.02981004388097345,0.03289871204795389,0.037295541368170856,0.04401962971776502,0.05683478183679787,0.05733963784589995
11,12000,71393360.31407958,88195,540315,1082391,1241146,1475149,1695294,2300406,2415467,4388351,2083502,2510886,1850848,1620410,3645604,3852611,1550480,0.001316244873373487,0.007795644272587419,0.0157135905871308,0.01784729884929276,0.021142133066749905,0.025023618378453634,0.03405952737217347,0.03458429820101602
12,13000,77601471.85152483,20911,202200,424383,501623,587936,694320,979333,1018234,7622814,4924622,4529909,3001474,4793052,7038666,7167341,1892465,0.00029881967791333324,0.0027821789251059243,0.0058077723185189015,0.006724169094459924,0.008075110010613515,0.009839744772351567,0.013904239154514936,0.013449311282036611
13,14000,83809581.70150846,3236,25671,79544,117757,181053,340687,541708,573999,12599274,9516551,9734354,2556530,6678460,11616734,11202291,2844817,4.544285939002411e-05,0.00034553712182155966,0.0010738272762458234,0.0014492624896427593,0.002347340425057751,0.004719123997000625,0.007460793465314437,0.007089491362275345
14,15000,90017689.72858548,4921,140719,574029,800651,911208,1184964,1448342,1554473,16259935,10893395,11679869,4416123,7553439,14759053,13618200,4330732,6.671840836408789e-05,0.0017784550305654984,0.0073276100185224674,0.00935322834146952,0.011049733574843942,0.01574522276125572,0.018957482636930378,0.01814130226123575
15,16000,96225795.79823053,3982,202292,717300,920711,949716,1037049,1222240,1277388,17000046,12898851,14282161,4519222,7693448,15119869,14545104,2731233,5.026143659278989e-05,0.002427690112602037,0.00875357801452431,0.010039749189907748,0.010727333269919018,0.012786352871349287,0.014963634282373668,0.013662698255049498
