,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267,256537,670907,1463948,1971106,2131166,2240492,2395012,2474123,4404,4404,2936,1468,1468,2936,8074,11744,0.08276303819626649,0.21644558744798045,0.47207003104710815,0.6353093156452463,0.6868984280837341,0.7224772519247934,0.773586028243996,0.80008721507238
1,2000,9312181.820187893,884361,2305574,4238196,6207708,7115352,7567273,8014448,8290340,2706,3921,3759,2168,3852,5035,7809,10011,0.09499578892317817,0.24769116858002488,0.4553076371658041,0.6667775279279572,0.7644069492002995,0.8130604519513996,0.8613635926766482,0.8912263771815518
2,3000,15520302.808600288,1275011,3436163,5656899,7818171,8762860,9442408,10235697,10832850,54182,58382,40196,33976,32293,32854,27602,46038,0.08243896551558043,0.22223390240679053,0.36543023054964935,0.5048434723499572,0.5657834743321314,0.6096813049516951,0.6606786722633908,0.7000558756096327
3,4000,21728423.45952805,883841,3296209,5307853,6975383,8024411,8746739,9591392,10106477,16508,16312,11851,15187,17388,17112,16654,37117,0.040707647450429596,0.151814299873332,0.24441485919990116,0.3212502665368023,0.36960056626310867,0.40286553008576903,0.44176003332565267,0.4659229271808413
4,5000,27936543.637848288,489070,1927821,3509723,5555851,6913014,7973159,9343877,10105511,291680,295143,236401,270442,279435,312575,351304,405454,0.017691170642289568,0.06974396939062162,0.1267041489961306,0.20081799281758522,0.24995432785550317,0.2886319161641306,0.33872741809281753,0.36705815617655313
5,6000,34144663.20868917,294626,1364859,2150642,3832689,5389667,6586650,8894441,9830883,284082,304125,236750,277973,289057,417111,426377,456602,0.008701150112697837,0.040332071304041726,0.06342596156725094,0.11316987211867098,0.15919570208778958,0.19528989116213105,0.26378686463928025,0.2918209789248518
6,7000,40352782.03686634,228521,682088,914871,2322240,4001984,5347391,7173880,8032145,455680,536288,490036,559503,590151,733773,717423,789637,0.0057277593693105455,0.01713079005319882,0.022950526267154252,0.05835759344809382,0.10064686102611065,0.13497033696688723,0.18099697276180354,0.20302089210843485
7,8000,46560899.9875682,175659,1036940,1208555,2636041,4513034,6651405,9203136,10191032,1956113,1775338,1689129,1938861,1903753,2083083,1891567,2006695,0.0039381199163434615,0.023153443966781952,0.02693352576466911,0.059074866586316395,0.10105961317359466,0.14954432232722,0.20602805962115664,0.22873333735488194
8,9000,52769016.92555645,87794,495125,612033,2137402,3018928,5028441,7806470,9282568,676524,678134,551923,667815,611611,658105,662267,774429,0.001685348407599984,0.009505022226395885,0.011720931863281166,0.041024043995260905,0.05788109946090637,0.09649497224656955,0.14981686655093437,0.17852950413397584
9,10000,58977132.7160745,315919,1873780,2468595,3778004,4484299,5455676,7059474,8070905,330625,356832,288910,386187,292285,390197,473633,504253,0.005386833970224784,0.031964694433684195,0.042062868591927226,0.06448102098074686,0.07641323398666153,0.09312103344061953,0.1206675503903287,0.13802817715135152
10,11000,65185247.2238031,512143,2140553,2440959,3162873,3697208,4393609,6369648,7642457,322989,295222,268428,269277,237910,239634,284327,285220,0.007895855217264916,0.03298739663942676,0.03760133397147363,0.048722571488891524,0.05692624452423246,0.06765058919159926,0.09814418621546546,0.11775737741442747
11,12000,71393360.31406832,483559,1317226,1464302,1864880,2174295,2505884,3724235,4732935,273621,250772,298908,330660,293174,339299,381192,413067,0.006799223459813025,0.0185152948636748,0.0205965719171908,0.02624274044974349,0.030580721552480386,0.035267287381697474,0.052445025809220176,0.06667956384820871
12,13000,77601471.85151523,233927,411136,460346,627221,768526,1022897,2237437,3062711,637731,762955,687031,796639,675608,673975,808962,957658,0.0030394442553320165,0.005350649867363916,0.005985169948627808,0.008166426209306254,0.009990476044356596,0.013296896972670079,0.02913613585916481,0.03996031572663514
13,14000,83809581.70150834,75969,376972,405585,785467,1096042,1643395,3005787,3597625,623869,604074,579864,614434,626966,674567,741393,811693,0.0009132457670056424,0.004530613542463443,0.004873079126070972,0.009441259757337499,0.013176334871856231,0.019767783838139905,0.0361845737458029,0.04334598212417685
14,15000,90017689.72860336,226910,665938,801769,1774988,2281310,3032318,4948618,5772822,875482,812851,823010,887222,759849,808026,875851,960841,0.0025454832876793403,0.0074652676860506246,0.00898897784531071,0.019914492151042292,0.025558650997804574,0.03399091391292562,0.05551397716919781,0.06482176365337615
15,16000,96225795.79819882,141741,450552,578026,962528,1288593,1717684,2803011,3477352,1155711,1227858,1230335,1207980,1148852,1114099,1145996,1280576,0.001490910629782939,0.0047427555844116705,0.006084774947593704,0.010129973962401333,0.01355315966755351,0.01805965047227008,0.02948061529314558,0.03662482437126306
16,17000,102433899.77491915,35658,467765,640474,1157693,1476854,1895787,3006671,3592976,796774,676250,742094,777239,696801,668286,694369,779149,0.0003508363674014803,0.00459685341627547,0.0062981869101390656,0.011388265079484367,0.014516376206749892,0.018628954611260153,0.029552632856659537,0.03534489015624521
17,18000,108642001.52418864,240205,597823,750351,1129541,1343415,1762770,3040949,3618506,1544251,1551562,1469512,1627910,1398671,1591592,1669492,1890670,0.0022428575653953473,0.005582412423146037,0.007001339647248253,0.010555067878557724,0.012526792980352228,0.016466728224908772,0.028427387686108085,0.03389658890746564
18,19000,114850100.9103998,207381,513264,615017,806478,987250,1430799,2721216,3342009,2442378,2516265,1945042,2523509,2384406,2299082,2483957,2805566,0.0018448999288536733,0.004569095284962866,0.005447204987405132,0.007179760253416288,0.008778232338194606,0.012712448219940487,0.02421740130345564,0.029827505667032763
19,20000,121058197.7992096,10279,119182,152475,243756,353744,633417,2443459,3397199,3911718,3924839,3078667,3848470,3779707,3744119,3721333,4068329,8.774484745609363e-05,0.001017489818628886,0.0012923852041715487,0.0020796567364918302,0.003016273466595326,0.005399326376539451,0.020824307894891526,0.02903840336662513
20,21000,127266292.05492854,25730,92877,111784,155001,189495,375075,2247053,3273656,2280479,2431528,2203466,2317165,2261731,2221189,2470539,2495626,0.00020586336457796396,0.0007439994836625252,0.0008938227571389089,0.0012405128683440937,0.001515904687003649,0.002999517700707087,0.018005845110858582,0.026237384984054014
21,22000,133474383.54325056,39846,178810,242667,410478,507388,749662,2212498,3249384,759415,805316,765543,742950,736036,678776,674933,734968,0.00030023742187765777,0.0013477896793214993,0.001828566951580844,0.003092545518739129,0.0038224673531865095,0.005645231900880762,0.016660445438209298,0.02447942072595047
22,23000,139682472.12841916,34965,137104,163178,324884,420196,563362,1314143,1803298,2385233,2423177,2473897,2564252,2524278,2531324,2657126,2655244,0.0002546664464774557,0.0009988686002774976,0.0011892696928546556,0.0023693714788284685,0.0030635865590835703,0.00410759959131006,0.009590510348124899,0.013160143605254755
23,24000,145890557.67618966,286384,479066,564975,726639,815978,1024743,1791544,2188444,2289233,2335166,2254007,2307856,2280920,2229689,2409670,2458066,0.0019942991518063966,0.0033371508684299643,0.0039333651312308685,0.00506076979689886,0.005681916709795364,0.0071330697735773945,0.012486290188301524,0.01525765866872471
24,25000,152098640.05077672,63523,168280,187461,382915,466490,644069,1260847,1622438,4303318,4355765,3493230,4460450,4435433,4614436,4816868,4728427,0.0004298038606267658,0.0011390058569129985,0.0012614682058745155,0.0025936039981816717,0.003159148506368203,0.004367037162693411,0.00856078102839034,0.011009266841739487
25,26000,158306719.1179273,9019,71513,79565,126769,185867,400200,811608,1031338,3666905,3623977,3254577,3877562,3609742,4005591,4234259,4147208,5.832262571864041e-05,0.00046232048269146786,0.0005131499566093425,0.000820887728495435,0.0012014908336464222,0.0025936297736860368,0.005267703257147928,0.006690070515409575
26,27000,164514794.74177432,183619,325377,366718,486434,607197,765377,1323277,1529168,4323830,4391050,3098117,4429900,4409941,4362631,4431918,4421044,0.0011462506658599088,0.002032034664969418,0.002271871811081725,0.003038600242606553,0.003792495891344555,0.004779061250986758,0.008266199526977174,0.009551703254591712
27,28000,170722866.78812027,41025,69156,74890,132115,163063,256332,767839,1012149,2670966,2756627,1947692,2762114,2697328,2735906,3099801,3180511,0.00024412101147088062,0.0004117255949007152,0.00044372639574520736,0.00078658256650386,0.0009704655683659017,0.0015259041463540027,0.004580747860622998,0.006041152968387277
28,29000,176930935.12180996,26059,47799,68573,184675,227791,338934,787310,1034582,2875988,2917665,1549755,3045336,3098622,3048343,3152096,3056359,0.00014971708894756647,0.00027468594760928584,0.0003909940619191468,0.0010620488466709188,0.0013104065401257096,0.0019492117978237096,0.004530528595878906,0.0059501626003977195
29,30000,183138999.60706043,27138,275569,302236,425544,511455,719834,1624388,2057476,1005366,1131347,678694,1214357,1304761,1325354,1321140,1223363,0.00014900048641509116,0.0015140517228411864,0.0016564479544985743,0.0023391223635334203,0.0028127540991069477,0.003959185778364077,0.0089341498327534,0.011310055794951637
