,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273737,825547,1817169,1982152,2130526,2312847,2409330,2781572,2867216,0,0,0,0,0,0,0,0,0.26595711186397974,0.5854167224988477,0.6385674240175437,0.6863673924211672,0.7451036807150532,0.776186514307777,0.8961074966800362,0.9236984526019628
1,2000,9312181.820186784,2225849,5818856,6346603,6731431,7103764,7300127,8306309,8567014,0,0,0,0,0,0,0,0,0.2390255090568403,0.6248649470509678,0.6815377021786608,0.7228629262164664,0.7628463594429165,0.783933039642215,0.8919831206467349,0.9199792449744245
2,3000,15520302.808601828,3648708,9213539,10517133,11192778,11804634,12102140,13504582,14068591,0,0,0,0,0,0,0,0,0.23509257808924797,0.593644280889518,0.6776371008799572,0.7211700788335533,0.7605930209981154,0.7797618480286752,0.8701236159203896,0.90646369297658
3,4000,21728423.459529508,4208435,8003848,9868831,10385056,11346457,11774420,13268075,13994134,0,0,0,0,0,0,0,0,0.19368340311658885,0.3683584322124266,0.4541899240127242,0.4779479753486391,0.5221942135439995,0.5418902122342453,0.610632199096846,0.6440473707659884
4,5000,27936543.6378472,3040935,4938080,6475848,6970927,7754929,8031646,9378299,10078429,0,0,0,0,0,0,0,0,0.10885151146186442,0.1767605922913852,0.23180562649227682,0.24952718168600124,0.27759085377669857,0.287496051913848,0.33570004656176194,0.36076148612551295
5,6000,34144663.20869163,2445924,4152039,5174001,5692113,6289522,6527006,7860941,8324865,869,869,869,0,0,0,0,869,0.07163597534152683,0.12160449933074688,0.15153561928049897,0.16670578840417602,0.18420219761895273,0.1911574280322241,0.23022458742539226,0.24381780622028312
6,7000,40352782.036865085,1363249,3280743,4710229,5231702,6045312,6363669,7225864,7591631,869,0,0,0,869,869,869,869,0.03378399925561274,0.08130153199853264,0.11672625187767417,0.12964910313297542,0.14981475585747486,0.15770427028295333,0.179071163079642,0.1881355908222831
7,8000,46560899.98757401,1687421,3999629,5668787,6720225,7800008,8265803,9634862,10171664,3476,0,0,0,0,0,2607,3476,0.036243865220085325,0.08590102427288573,0.12174994472857835,0.14433193949845186,0.16752270686523746,0.17752670163604967,0.20694190834211765,0.21847566142651656
8,9000,52769016.925549805,1621341,3354663,4617745,5423829,6336257,6822531,8486188,9027913,528,0,0,0,0,0,0,0,0.030725552939132355,0.06357258852733587,0.08750864179476824,0.10278434801338662,0.1200753277048847,0.12929047000488375,0.16081762546330744,0.17108359272141088
9,10000,58977132.71606925,1277063,3127521,4052740,4811879,5505879,5863949,7166200,7831544,1210,869,0,0,0,0,0,0,0.021653972353230123,0.053030165068728236,0.06871714193890893,0.08158889349819015,0.09335616613487614,0.09942750232078126,0.12150811119455211,0.1327895005968334
10,11000,65185247.22380018,1541773,4424396,5097668,5934158,6509465,6838479,8009319,8724750,0,0,0,0,0,0,0,0,0.02365217692136134,0.0678741922203615,0.07820278693579549,0.09103529176818621,0.09986101575485457,0.10490838481476467,0.12287011772006702,0.13384546920632762
11,12000,71393360.31407875,1236168,2964857,3268681,3975580,4641873,4808768,5494554,6015536,0,0,0,0,0,0,0,0,0.017314887470792267,0.04152846969181434,0.04578410353035893,0.05568557051398541,0.06501827312202622,0.0673559554956501,0.07696169469861017,0.08425903996584592
12,13000,77601471.85150874,500175,1736279,1968672,2667924,3263964,3409806,3797272,4072815,883186,872756,864186,859066,850373,827772,834631,832514,0.006519632111803285,0.022628803059341947,0.02565469938315904,0.03476466459967712,0.04252660937551956,0.044413725098504435,0.049465002830390285,0.05305288900596893
13,14000,83809581.7015019,417456,1021917,1052423,1256816,1461065,1955681,2513134,2706306,3344229,3335536,3332806,3308179,3309918,3296010,3301010,3309199,0.005188021750785268,0.012698715357129457,0.013077350463238787,0.015612349074962785,0.018149951600018182,0.02429007878635098,0.031215732025626247,0.03361854825007569
14,15000,90017689.7285819,287612,1050069,1112045,1358008,1480620,1686201,2018970,2150466,5934421,5915868,5922918,5898890,5891067,5884982,5894026,5901823,0.003420561597437444,0.012485686735643388,0.013223711500034206,0.016143929827598047,0.017599898248345604,0.02004215774725573,0.024000024612742032,0.025565521507838054
15,16000,96225795.79824197,339837,1325543,1399404,1915295,1970953,2077321,2740185,2939194,7760961,7749956,7748990,7741914,7737567,7741912,7736657,7740176,0.003841492506881994,0.014981977034891493,0.01581661981775348,0.021645693668449047,0.022273617935034965,0.02347682889617095,0.03096634273102949,0.03321662894718624
16,17000,102433899.77491558,405025,2208322,2421808,2939128,3147878,3322746,3965478,4207464,8338857,8273096,8221144,8020712,8028668,7959678,7864020,7954477,0.004304424420836482,0.023452667261409856,0.025705733582254617,0.03113048154890169,0.03334431726734474,0.035170927450626985,0.04193172296970429,0.044533125588877835
17,18000,108642001.52417135,237596,1373946,1393170,2038017,2238421,2340922,2885210,3060046,8528924,8416573,8490240,8372672,8379485,8372017,8339942,8380681,0.002373276357852796,0.013708557002264607,0.013910589077994022,0.020325427622498532,0.022325601606661846,0.02334618890297815,0.02876521193769412,0.030520703138577486
18,19000,114850100.91039205,398935,1453088,1472968,2054766,2321919,3000508,3528093,3765077,8016832,7999520,8009010,7999530,7992576,7995185,7994314,7995185,0.003734183219036502,0.013599252223238741,0.013786530888526613,0.019230276286714327,0.021729110813179523,0.028080205523873226,0.03301733206979811,0.03523541212794901
19,20000,121058197.79921913,200972,1082971,1104692,1591612,1851314,2285650,3072944,3345387,8001838,7988719,7993147,7986981,7985322,7983503,7970326,7980025,0.001777626666530865,0.00957792510853494,0.009770410858097182,0.01407619060849261,0.01637275064346409,0.020213629619416706,0.027173064194326968,0.02958472813263482
20,21000,127266292.05493951,94155,389835,418404,769412,873171,983294,1406342,1475412,7854319,7812703,7822158,7819548,7821313,7807978,7822318,7835194,0.000788488772031937,0.0032634850328415476,0.0035029263120409993,0.0064414648225665245,0.007310236117990186,0.008231273040968734,0.011774072414512416,0.012353666875952992
21,22000,133474383.5432427,107185,484133,500753,637104,661298,682154,848636,895142,6103630,6084834,6086686,6085214,6066850,6062041,6079100,6088418,0.0008415197132645558,0.0038004137838297315,0.003930936893101594,0.005001241489243973,0.005190415210224225,0.00535390831361948,0.006661439704806194,0.007027006438131784
