,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226785,2120285,2292812,2414564,2478436,2540550,2580091,2847119,2918765,1662,2216,2216,1108,1108,1108,0,1108,0.6834340951628262,0.7391769331049771,0.7784284155463623,0.7987347201679948,0.8187524282744437,0.8314954523308093,0.9172240300954467,0.9406411727037283
1,2000,9312181.820186676,4694715,5402055,5948330,6147828,6319051,6392917,7319166,7592050,63035,61106,72294,61782,56894,61045,25006,23772,0.5075835740604284,0.5839380311003648,0.6437664737665423,0.6646013274565612,0.682750350153081,0.691041233554148,0.7880938340901229,0.8173681121929024
2,3000,15520302.808602693,5640611,6762175,7870484,8156026,8408805,8515419,9644079,10001003,3420156,3425321,3450780,3386965,3337976,3339507,3145619,3111028,0.46616054244811017,0.5590893072026224,0.6520957062519672,0.6721996971202164,0.6902462175010791,0.6990856044057467,0.7793394279129445,0.8059296900304629
3,4000,21728423.459529832,6754641,8191146,9691587,10213803,10583372,10839290,12289851,12910317,6874120,6885285,6902927,6848195,6803447,6673111,6771080,6671373,0.4547262023024402,0.5518473079216605,0.6537107898177835,0.6864009533038261,0.7091047700274495,0.7199644663063011,0.821660011569081,0.8574266942054954
4,5000,27936543.637847185,5407311,6854752,8604763,9080030,9521359,9787276,12036409,12714842,10199051,10208878,10218853,10161005,10138921,10136136,10057848,9910386,0.30485205042240343,0.3866697477284115,0.48565939974249006,0.5108160256065069,0.5349792606430783,0.5498343745336661,0.6732263496068627,0.7053550876146948
5,6000,34144663.20869757,5669478,7661439,9269338,9924399,10637873,11009785,13488430,14305096,13618416,13652940,13686732,13544877,13532480,13555275,13375330,13316919,0.27620626129834763,0.37387968410329464,0.4530926370531148,0.4817719416820818,0.5160963733095102,0.5347310414667463,0.6494397227134596,0.6868288690633264
6,7000,40352782.03686087,5276562,7847293,10594408,11468380,13097763,13405069,15891558,17166085,16709423,16726214,16763018,16625485,16587830,16631338,16219543,16151734,0.22317311139139093,0.3321385055907014,0.44911038463315706,0.48334119062039066,0.5511377838964111,0.5651034135683223,0.6584925453117749,0.7093116369941564
7,8000,46560899.98757061,3691684,6059329,9146752,10351965,12628029,12991681,16043268,17308355,19796523,19810707,19864730,19734936,19685451,19609256,19540610,19449793,0.13793274551895676,0.22651533777028998,0.34262412938854553,0.38589349500343845,0.4698722989089494,0.4820366804337212,0.5937489200663625,0.6384230274306102
8,9000,52769016.92555332,4899540,8188625,11852865,13174712,15395155,16221566,19385766,21206980,22817118,22816806,22927768,22787474,22782990,22721599,22732776,22692135,0.16358027957352583,0.2733896679731908,0.3971973502037406,0.4394274181523583,0.5134109643208732,0.5398655565077571,0.6454125217615886,0.7050923713598964
9,10000,58977132.716065556,4732330,7879056,11620930,12957018,15333761,16089280,20017132,21491864,25990015,26019143,26050527,25915631,25869755,25832718,25888979,25894877,0.14345994217297853,0.23906361000408075,0.3529343443478571,0.3919065174738812,0.46315238650142926,0.4854296006681724,0.6049637030754279,0.6496492918880082
