,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268904,9413,1096944,1209935,1231552,1264495,1274273,1350904,1648154,0,0,0,0,0,0,0,0,0.0030324794275504983,0.3533900045867368,0.3897910332702977,0.39675513693388625,0.40736800953367336,0.4105180768706104,0.4352054168273322,0.5309670772798326
1,2000,9312181.820186477,16607,3213773,3571888,3615836,3702611,3815635,4220268,4948837,8627,7058,5490,0,0,2353,3137,4705,0.0017850166222449513,0.34537670450210034,0.38379781656167816,0.3882909579967364,0.39760939718484306,0.4098501780963543,0.45335134608530764,0.5317055412124947
2,3000,15520302.808603697,42443,5449819,6397001,6581656,6799172,7123018,8069928,8977347,14120,14121,10198,7845,6276,6276,0,4707,0.0027371662338748033,0.3514610538731163,0.41244086219530146,0.4242819597774897,0.43825965262799127,0.45913405254977063,0.5199594427710796,0.5786014994681602
3,4000,21728423.45952747,30744,6905162,8551861,9201495,9986655,10614227,12172449,13774274,16472,13333,7844,2353,1568,7843,3922,3922,0.0014159943226341894,0.3179890967007401,0.3937215862926175,0.4235232053187462,0.45964566840346605,0.4886714247705198,0.5603097048131186,0.6340432725538644
4,5000,27936543.637850396,18253,8378486,10849506,11577017,12502728,13642870,15720027,17104493,7056,7057,1568,6273,2352,2352,0,0,0.0006535386626736146,0.2999871107063375,0.38838430148116904,0.4144971293013939,0.4475779418316511,0.48839322708426336,0.5627047928256022,0.6122623192664975
5,6000,34144663.20869307,7270,5463152,7578051,8741684,10196072,11280929,13113199,14752763,21513,19944,7746,7845,8631,5492,3922,1569,0.0002130518418005828,0.1600936836018945,0.22198990476123678,0.2560778789211789,0.2986894299157437,0.33043945124032376,0.3840923933034312,0.43208629276030414
6,7000,40352782.03686486,96427,4834404,6531464,7144589,8404537,10145821,12522752,14259709,46946,43809,24626,15870,16654,21361,5490,2352,0.0023923830760340793,0.11993369306577623,0.16195791332560416,0.17712285445822898,0.2083625129392376,0.2515612080895,0.3103740391934632,0.35339670449539395
7,8000,46560899.98756811,14086,3232522,4542034,5130781,6084116,7614558,10008107,12055216,24871,23301,10755,4519,5304,4521,5488,7057,0.00030269020168787955,0.06946043780349571,0.09757292917590302,0.11020575249115831,0.13068495571670183,0.16355563223749223,0.2149719350066649,0.25895211278732166
8,9000,52769016.92555359,37,1901504,2554086,2728678,3356960,4405698,6692617,8663167,7060,7060,2353,784,2354,784,0,785,7.012628445947617e-07,0.036039300109413995,0.0484034011246847,0.0517106192252007,0.06361895586871208,0.08349148257846044,0.12682853291434118,0.16417391077688862
9,10000,58977132.71606207,8634,3110962,3940782,4066516,4404719,4988536,6174573,7642029,53951,42963,22010,14740,5562,19612,21974,25102,0.00014652976551071797,0.052787067587246085,0.06684375875154189,0.06896796097781548,0.0746922448650378,0.08461237751201689,0.10473337930846356,0.12963131052782975
10,11000,65185247.22380662,10205,2264506,2893132,3098340,3374581,3673882,4561950,5459136,54533,39627,28455,20559,15621,17260,20740,29293,0.00015668490852000918,0.03476067910966739,0.04440261561776093,0.047546302828286736,0.05178149999527322,0.0563755634708001,0.07000666765317574,0.0837856810637476
