,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265775,290363,807119,1391985,1705615,1850705,1924458,1979453,2011209,58299,45290,15951,26664,13655,23603,35799,60547,0.0953334618223991,0.26387039037447646,0.4507563419465212,0.5542395750360789,0.5988550443014719,0.62473120283858,0.6451382701999127,0.6608181348972936
1,2000,9312181.820188176,1080092,2470396,3405518,3900675,4047984,4237636,4418419,4502774,1696441,1617194,1426398,1617498,1656610,1647126,1490432,1556391,0.14182362891563216,0.3210396244577276,0.4318553586622078,0.5069311606756323,0.5287631146409256,0.5528512902461769,0.5648888166425274,0.5805692938854623
2,3000,15520302.808600338,1788390,4224333,5794212,6790817,7089569,7669186,8117680,8425530,1387940,1165956,1028034,1308457,1313871,1329051,1220651,1335557,0.12654571809546694,0.29428946202337897,0.39981400266060924,0.4778279395552208,0.4990393855062249,0.5404164553934725,0.5676837526293982,0.5939852651354194
3,4000,21728423.459529106,1595131,4742343,7256914,8443407,9081630,9851113,10980729,11525716,1406586,1146758,989639,1288372,1307757,1289048,1198024,1341955,0.07849344347806639,0.23041590144029586,0.3499199296931588,0.41308149427694824,0.4447274048571586,0.4819674172288509,0.5348521845201282,0.5653610885514904
4,5000,27936543.637846455,417609,2782136,4918762,6856294,7812301,9808568,11491472,12363318,1335464,1236413,867574,1159221,1147938,1171579,1137799,1231538,0.01569894927895522,0.104199340360396,0.1817121990902394,0.2560485263119424,0.29162775792118584,0.36647042627250076,0.4288063547488415,0.4629588238123661
5,6000,34144663.20868768,372219,3102145,4569295,6340520,7250228,10083137,12774111,13690017,1365578,1060462,748385,1107475,1150572,1227393,1100253,1203173,0.011355380958018564,0.09376514731101922,0.1368204855477383,0.19192069131151587,0.21974322475325345,0.3063175328961152,0.3865740353459711,0.4155858436662202
6,7000,40352782.03687069,189006,1797350,2681951,3670168,4453863,7615728,10254950,11086997,1451680,1348654,1003373,1197540,1134565,1258348,998548,1227062,0.004858628421911005,0.04608101989361129,0.06815733871598915,0.0937337584720833,0.11356617757030456,0.1948033828247127,0.26058060208698797,0.2833685102677218
7,8000,46560899.987571746,138874,1476435,2325702,3550258,4368686,7060146,9455294,10344768,1176001,1108902,744816,939000,913193,993247,961647,1106594,0.0030599164721734737,0.032483390508019294,0.05076169322177075,0.07781916143271447,0.09570439104837047,0.15493767041119288,0.20735633547718593,0.22758609498577534
8,9000,52769016.92555538,229253,1672259,2392951,3847571,4892589,8007407,10698642,11893487,1280390,1117860,914894,818002,805454,1113023,1045823,1258510,0.004452497836686624,0.032376022136546154,0.04614774804764226,0.07406151747975437,0.09415422508670693,0.15501409210206982,0.20684418706622096,0.23089438854074656
9,10000,58977132.716067046,136528,1464210,2077496,3352419,3958337,6774582,10428772,11341326,1182694,1010285,820802,744382,819806,905534,926055,1163684,0.0023623034159175036,0.025259438070049742,0.03572261135494993,0.05756930522389064,0.06806256792588157,0.11665912683278053,0.1796482065502392,0.1961710683564205
10,11000,65185247.223798454,219444,1281527,1955714,2746740,3427308,5945718,9637858,10618716,1646780,1472937,905681,926822,1092402,1379740,1292436,1471188,0.0034537188192951375,0.020114276118672454,0.03042512753105557,0.04274521186029206,0.053474112251259504,0.0931850283572754,0.15084416877888357,0.1666620543309176
11,12000,71393360.31407851,159639,1001293,1578646,2598953,3059457,5567885,8128729,9054179,2652352,2105593,1061046,1983763,2275329,2185431,2187329,2527900,0.0023223255508648846,0.014451223337319866,0.022445528991842094,0.037443712405357064,0.0442642381710433,0.08045154731811001,0.11745694480166473,0.13147634472645803
12,13000,77601471.85150838,352041,1479534,2268053,3036345,3546937,5742198,8535541,9535369,2970033,2740517,862100,2002387,2544657,2526204,2535140,2977537,0.0047170603356642225,0.019763760733946728,0.029555271893399262,0.04016377983892245,0.04725669490528239,0.07648588096092461,0.1137066483664672,0.12777896286190357
