,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292274073,2934472,2966681,2978513,2994289,3013740,3038718,3057123,3071317,21,10,10,10,0,10,0,10,0.9453719509149396,0.9557450423218135,0.959556835817896,0.964639227146006,0.9709024274922465,0.9789524601782451,0.9848786364591435,0.989454544033789
1,2000,9312181.820187373,8820753,8895419,8971457,9007612,9044693,9062443,9120760,9160424,85859,83241,91787,82129,82139,83240,81481,95277,0.9560420951996197,0.9638613112072593,0.973001392560507,0.9759003740801065,0.9799188558711789,0.9819590562567884,0.9880896562104001,0.9938720404203735
2,3000,15520302.808601903,13566475,13680330,13835346,13906606,14020192,14059810,14203544,14291233,599107,622120,568850,516714,513465,494970,502136,537240,0.9092082949664851,0.9182549426163076,0.9253512803812762,0.9268853057361198,0.9342535835206829,0.9357403379411904,0.9457575069591507,0.9538258754275049
3,4000,21728423.459524363,16477472,16634856,16847947,16952819,17056842,17094433,17267937,17370528,3542359,3482535,3486443,3438309,3464103,3417342,3422461,3482738,0.9060493564549342,0.9117043566774956,0.9235810244059043,0.9268842487298934,0.9338886731537447,0.9335567119717261,0.9432957725211388,0.9520348270024832
4,5000,27936543.63785047,19358767,19604467,19913687,20080777,20211726,20268200,20437835,20626729,6226905,6189689,6250213,6198696,6202142,6176150,6180091,6202116,0.8917130000610993,0.9014851722914615,0.918259862977623,0.9237702524437084,0.92994168124699,0.9314261652300757,0.9393918825003472,0.9490348374336108
5,6000,34144663.20869103,20477536,20759606,21127339,21208782,21355315,21402551,21659248,21932518,10167607,10124635,10191736,10138363,10124612,10089315,10122455,10183797,0.8540471282949844,0.8642623488880279,0.8820357869385668,0.8834673321431579,0.8890620096710341,0.889721105440802,0.9016343465112365,0.9153474590181838
6,7000,40352782.03687145,21324607,21714262,22231087,22341216,22517088,22639590,22979326,23367540,14156306,14098201,14113254,14088985,14087261,14002329,14048027,14088853,0.8140257861395438,0.827065645020383,0.8472365420887586,0.8506468416823134,0.8572869340147713,0.8591727044814393,0.8735806878942539,0.8897198879571575
7,8000,46560899.98756176,24354501,24747633,25181820,25300424,25486078,25553315,25860795,26294099,17847617,17845873,17887856,17850416,17847858,17826947,17821964,17868413,0.84819632121308,0.8618356169652815,0.8782402039673137,0.8812259664783394,0.8876133016850094,0.8893073295923264,0.8998522078615776,0.9164105924801337
8,9000,52769016.92555627,26817214,27274715,27851840,28050242,28263815,28456811,28934909,29440596,20425260,20412965,20433330,20406140,20410984,20407035,20398842,20424291,0.8291310765698495,0.8429555949147552,0.8613344155675723,0.8667412994377308,0.8734713591838065,0.879328437469018,0.8938755835130157,0.9102131849179883
9,10000,58977132.7160708,26241901,26808568,27402051,27823729,28282873,28531168,29377682,30052325,22695638,22681573,22725503,22692620,22686040,22670975,22686774,22733927,0.7232861050891658,0.7386183932611958,0.7558846654513942,0.7668210737105082,0.7793337395838589,0.7858492827339527,0.8095175423821426,0.8291850681043463
