,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270627,1255128,1516504,1516504,1757685,1940831,1980792,2205550,2279093,751855,751855,751855,722257,748137,744542,743488,715912,0.5335962062179217,0.6447157430272475,0.6447157430272475,0.7379638600057049,0.8238089621932069,0.8394898753771963,0.9343283797720628,0.9543346557695787
1,2000,9312181.820187675,2469043,3260825,3260825,4321766,4671292,4776218,5392534,5478158,3517133,3517133,3517133,3494972,3513663,3515820,3509685,3502037,0.42606077646815044,0.562691549489724,0.562691549489724,0.742927646343788,0.8056009034129183,0.8240027362276283,0.9293471702110446,0.9428608355794905
2,3000,15520302.808600817,2939374,4781911,4781911,6699290,7254897,7330461,7815486,7897032,6661075,6661075,6661075,6623462,6649856,6638555,6661658,6601524,0.33178670460944276,0.5397661176922858,0.5397661176922858,0.7529965011314594,0.8178727809929063,0.8253399170939534,0.8822439739780492,0.8854387096565848
3,4000,21728423.459528986,3363365,5698056,5698056,8879511,9597419,9697527,10289502,10357322,9603829,9603829,9603829,9546109,9583710,9526036,9588436,9541419,0.27740020593898357,0.46995848141722973,0.46995848141722973,0.7288853878709772,0.7902548736108445,0.7947237401011298,0.8475710567496103,0.8498661040450869
4,5000,27936543.63784872,3327583,6223248,6223248,12057855,13404573,13586217,14643873,14706965,8590124,8590124,8590124,8505008,8546301,8478693,8553272,8457014,0.1719999391251714,0.3216744036620107,0.3216744036620107,0.6205302156620975,0.6913050677269499,0.6982383230742132,0.7554902636459813,0.7549958994607535
5,6000,34144663.208690435,4230391,6147250,6147250,16467156,18463507,18721389,20167166,20246058,8855945,8855945,8855945,8788331,8829730,8797318,8837739,8792355,0.16728372569497144,0.24308270388680694,0.24308270388680694,0.6494297307855974,0.7293523884811836,0.7385936809501178,0.79690308603661,0.7985883507466953
6,7000,40352782.03686878,3672340,6720664,6720664,15885782,17726089,17930480,19952534,20036700,14073250,14073250,14073250,14047326,14060185,14040994,14056001,14028656,0.13974145334277274,0.2557375827914769,0.2557375827914769,0.6038968485372411,0.6741855502194629,0.681461859409757,0.7587443486724106,0.7611534746466873
7,8000,46560899.98757598,5847168,8796741,8796741,17834615,19751134,20095150,21455929,21543957,19330570,19330570,19330570,19236465,19293562,19136861,19178824,19122024,0.21472997215486592,0.32304937193245814,0.32304937193245814,0.6526984000990007,0.7243513836590634,0.732756761653664,0.7835756868739668,0.7851617905104739
8,9000,52769016.925546914,9306125,12276761,12276761,22597571,25231680,25531369,26775625,26927111,19973456,19973456,19973456,19643752,19790659,19507954,19676885,19367993,0.283761726811959,0.3743421564848648,0.3743421564848648,0.6821853666918832,0.7650981306274836,0.7676053244946075,0.8091236025603231,0.8061762136401059
9,10000,58977132.71606925,8187966,11761251,11761251,21985764,25551276,25861104,27986380,28141889,21030035,21030035,21030035,20716386,20870115,20756700,20905201,20716013,0.21577318142390337,0.3099380903383166,0.3099380903383166,0.5746297677657747,0.6705136620865859,0.6766303299629326,0.7350921988596554,0.7355218354516874
