,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227165,110205,493233,775332,948132,1218793,2081532,2819044,2940280,13070,12199,8713,6099,4357,6099,1743,871,0.035653618279507485,0.1595262204936666,0.2504830128542241,0.30605027223546544,0.3931966232216452,0.6719037383685319,0.9086896755643512,0.9475025220203069
1,2000,9312181.82018734,151753,1015037,2356873,3508111,4834799,7033146,7897233,8107532,170690,150567,154924,149779,160996,153155,150540,156585,0.01660046335816664,0.11079236793096746,0.2573775955946365,0.3828811141407851,0.5283248635750054,0.7678922813609736,0.8619888394456481,0.8855274166424145
2,3000,15520302.8086013,323665,1678600,3604159,5284524,7006548,9999694,11114764,11442645,3124111,3056148,3047337,2989986,2987458,2927429,2891869,2871484,0.026110034839523844,0.13467419378020137,0.2889576589326164,0.4217390574173269,0.5590548759680963,0.7940756138737702,0.8801379623520432,0.9046413877174767
3,4000,21728423.45952873,303878,1102363,4141422,7006277,9459712,12112305,13030785,13261760,7172071,7119867,7155694,7047413,7033071,6996379,7001114,6987562,0.020875971562579095,0.07546009101268601,0.28418986377957023,0.4772339764564752,0.6437213415637509,0.8221740732098949,0.8848041820407964,0.8996597679457455
4,5000,27936543.637848146,225799,1065571,5340627,9276214,11839682,14028389,14717044,14912764,11089118,11063629,11061305,10994754,10953171,10968160,10969330,10916889,0.013402581786307882,0.06315275237686471,0.3164771245380748,0.5475344812024365,0.6971337350047175,0.8267369066732756,0.8673813104569642,0.8762083789195779
5,6000,34144663.20868683,210679,914646,5313549,10326270,13031735,14900831,15566312,15809618,14680984,14476533,14472789,14366806,14467578,14452491,14601139,14544541,0.010824212510961027,0.04650396302522077,0.270108935408585,0.5221126783878537,0.6622797463034256,0.7566880302532993,0.7964946257277891,0.8066081339530186
6,7000,40352782.03686823,233720,920318,5912814,12665026,16247540,18332512,19228587,19489382,17625715,17558576,17493956,17410259,17453362,17503590,17443513,17427801,0.01028377307203149,0.04037508472598002,0.25866656452362957,0.5520328335138871,0.7095175324895279,0.8023264879747014,0.8393365571400444,0.8501373226288363
7,8000,46560899.987574846,169036,788840,6140060,14396115,18217213,20276348,21496755,21857820,20584155,20471098,20417896,20343598,20349747,20323054,20277932,20287860,0.0065072048126450415,0.03023556868602075,0.23486436382438017,0.5491074179495183,0.6950176136332386,0.7727901143105282,0.8178967843419546,0.831948644326545
8,9000,52769016.92554474,245263,1181025,5889614,14377549,18625754,20821020,22125877,22628077,24588279,23974514,24156128,24009261,24133414,24065267,24188134,24144010,0.00870321425393473,0.041015641181715495,0.205837796222734,0.4999190200786683,0.650440434183583,0.725376302887535,0.7741495270681282,0.7905003152962341
9,10000,58977132.71607348,222957,999614,4303278,12722483,17929581,20444322,22129112,22791418,28214768,27264528,27573762,27145965,27484538,27354607,27481522,27436401,0.007247719804957123,0.03152103111521922,0.13703235996247412,0.3996863424390067,0.5693268897544645,0.6465113566057853,0.7026093953055693,0.722602703233586
10,11000,65185247.22380066,230715,1176367,4923588,14575801,18944882,20922664,22877482,23557197,30621363,30271060,30060836,29521977,29500408,29949762,29997929,30011689,0.0066750310383556334,0.033693094227268225,0.14017567351175203,0.4087062377771661,0.5308944193691186,0.5937952568868636,0.6501627050545074,0.6697416522409071
11,12000,71393360.31407821,181555,771531,4332987,13998274,17379483,19096975,21128071,21727230,34714959,33798018,34052069,32913329,33085956,33499178,33233622,33575585,0.004949915849530607,0.020521983642401553,0.11603741722682206,0.363780213320113,0.4536846938912259,0.5039553259579165,0.553674420566067,0.5745242764693175
12,13000,77601471.85151154,250515,1034477,4144010,14643948,18942072,20654085,22576327,23273142,40535864,39033635,40118943,38570100,39232301,39187008,38606819,38688828,0.006758691264516359,0.02682227172819668,0.11055844221228117,0.3751840456879277,0.4936794718162064,0.5376642787424274,0.5789595585314944,0.598086886329518
13,14000,83809581.70150274,319998,1088208,4669426,14996264,19587114,21776406,23514523,24163964,46385304,44644688,44700467,44765605,45601660,45582338,45399166,45129098,0.008550545786142207,0.027785291804794197,0.11939482741143666,0.3840864908471994,0.5126453658752559,0.5696567131557003,0.6121913176555399,0.624706872501215
14,15000,90017689.72858202,424794,1124561,4430020,12946790,18201388,20399366,22378228,22915447,50461745,47798305,49085487,47157412,49260105,48416917,49035118,48690314,0.010739068499432292,0.026636129522718637,0.1082282336324553,0.30206967117635447,0.44657670765353114,0.4903602664568899,0.5460425506775359,0.5544858969632488
15,16000,96225795.79824185,396927,1452558,3925731,12424685,17469598,19641724,22538213,23172516,52798715,49174353,51708066,47999668,50832101,50744839,49903008,49799884,0.009140080168963824,0.03087169943392845,0.08818353985685586,0.25763389198443915,0.38484635537261036,0.43186699187382277,0.4865469906121544,0.49912893688988447
