,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270455,340811,1311342,1653679,2014916,2138662,2179371,2296576,2459199,85765,69527,80095,45384,70073,64756,61164,25843,0.11291504937416558,0.4321395509905831,0.5468577367470596,0.6587541751705825,0.7049013580008752,0.7170623763878045,0.7547334924037084,0.7989035527086875
1,2000,9312181.82018706,903970,3928949,4768394,5483657,5744844,5843598,6257365,6797371,130608,104728,107928,75415,100133,100590,96083,52839,0.09845479845867895,0.42671395118875316,0.5180641574161946,0.5936771065840273,0.6236228348476496,0.6343743963115958,0.6789602761521815,0.7341094429704546
2,3000,15520302.808604987,1127979,5664506,7102661,8430901,8821731,9012007,9624853,10358877,343733,292489,310828,307564,308715,303855,307905,302235,0.0743237117626175,0.3719841909807881,0.4669892346303479,0.5542000757438309,0.5799349227047598,0.5922543233055785,0.632697956041857,0.6806959418424079
3,4000,21728423.459525187,926582,3631913,4494665,6609503,7193580,7460057,8451578,9528993,2464471,2005548,2171620,2279974,2046319,1566662,2042967,2080094,0.048099267372404955,0.184147235906515,0.22982615790469904,0.3398472980458034,0.3654883559221562,0.3700101806568882,0.4293310656716086,0.4849772607706606
4,5000,27936543.63785077,503867,2739446,3459537,5563974,6070670,6317871,7297594,8531492,2211410,1476610,1803245,2063898,2014846,1399529,1888846,1984048,0.01958656491714521,0.10353185451989341,0.132380418099585,0.21505237917610182,0.23419260901861727,0.23807768455569137,0.28016272691201793,0.32873493628709566
5,6000,34144663.20868479,569780,2411465,2948858,5063313,5593976,5866791,6915056,8099923,2038377,1499262,1540411,1996249,1931633,1601356,1876482,1928228,0.017746680394503986,0.07386844427442565,0.09044396973516582,0.15749806404547825,0.17365569037624523,0.18027642250306808,0.21429952792439552,0.2514220753330416
6,7000,40352782.03686954,347021,1227805,1358559,2466719,2762794,2891562,3617283,4244924,2552948,2180441,2379772,2049916,1986159,1843534,1848801,1864278,0.009180490042932981,0.032164781269613495,0.03577696365605254,0.06440037666177742,0.07201035121973105,0.07508746982624952,0.09394568827925262,0.11029069864429214
7,8000,46560899.98756942,261933,858358,1038368,1855366,2097489,2235356,3049168,3801472,2165276,1513549,1824529,1967327,1882302,1635597,1744608,1849859,0.005899973386416194,0.019054572159789358,0.023210823253601055,0.04160613011469586,0.046946168735723715,0.049757171378866615,0.06803704333338732,0.0850231154550145
8,9000,52769016.925552905,68160,357191,417197,845789,915492,953595,1356251,1913874,2140303,1344223,1470632,1919226,1786360,1404097,1636934,1796557,0.0013462716058761834,0.0069458907412852525,0.008132751169563324,0.016633087070864954,0.017956929968103493,0.018565102435321966,0.026524462185017365,0.037547216728313314
9,10000,58977132.716065705,53918,249295,276033,646339,673542,698667,966658,1386281,1971044,1141646,1194662,1756691,1723318,1158289,1544465,1533561,0.0009458287915270461,0.004310415873629194,0.004777106215419279,0.011295596129914674,0.011764141888889733,0.012083724874039057,0.016831152694820682,0.024132917898144687
10,11000,65185247.22380346,284534,405019,443097,653548,672188,697312,884864,1111100,1918129,1387242,1506309,1589344,1527401,1080385,1428545,1497131,0.00449734408628316,0.006348458679533835,0.006958297552680745,0.010276573912317389,0.01055938960983336,0.010877677227751277,0.013878760493193098,0.01744595484808398
11,12000,71393360.31407517,215537,687571,734426,1232475,1284345,1329417,1587537,1899140,1926062,1523798,1696532,1650768,1494729,1274051,1385948,1471757,0.0031027117108472432,0.009840780122669944,0.010537437897323712,0.01767176927478887,0.01837439411694714,0.018959356745020646,0.02267669875980863,0.027160990451969576
12,13000,77601471.8515206,236824,549872,698960,1344542,1384762,1410202,1678047,1927071,2323246,1651862,1613742,1828095,1793245,1703491,1711736,1867064,0.003145982750272484,0.007239958191687682,0.009198327168949015,0.017744253402282126,0.018266645422431796,0.018580230780562944,0.022111646340199735,0.025445118733589046
13,14000,83809581.70149851,704277,1198414,1376694,1728400,1771642,1793482,1965900,2210668,5213788,2875318,3047942,4798064,4196613,3646877,4423667,4456630,0.008960746712156076,0.014807251529710417,0.017046384955634524,0.021875291733159805,0.02225318348123166,0.02237302255055366,0.02476383886728575,0.02785867384386476
14,15000,90017689.72857773,451594,560535,589874,785549,804999,826398,978577,1198730,6662801,4035387,5651202,6146981,6037745,5097009,5305222,6229065,0.0054177266251352295,0.0065191903707144646,0.006991804635719001,0.009366190078853304,0.009585610023937834,0.009731410451610974,0.011551747059658342,0.01430659595957242
15,16000,96225795.79823518,197460,423906,480904,764450,798487,809543,991209,1207515,3727230,2704400,2437066,3098604,2943647,2309356,2369580,2869714,0.0021347358015335566,0.004532716779746773,0.005127524394823921,0.008208665860517087,0.008559912162048166,0.008619822064583973,0.010560930797922051,0.012934508140666493
16,17000,102433899.77491689,49571,110029,121065,186715,194816,198057,273018,349383,3345478,1734863,1885996,2938206,2817815,2287147,2400221,2606078,0.0005002703556284549,0.0010926519609709626,0.0012040529484434802,0.0018766138806207441,0.0019556681076172374,0.001977667717745573,0.0027292608183920788,0.003499855989923916
17,18000,108642001.52416968,40897,82697,86746,151525,153146,154766,211716,253582,4066723,2533633,2820714,3167925,3145903,2703183,2702383,2801808,0.0003910771319681237,0.0007793635992166163,0.0008197405458725602,0.0014366089279319514,0.0014516745371859745,0.001460899811382081,0.0019984591501214237,0.0023958950901019657
18,19000,114850100.9103936,22929,57336,59192,106023,110069,117354,214482,256079,6149026,3655387,4173637,5460696,5493467,4283715,4892846,5419886,0.00021093627656305368,0.0005156360224659987,0.0005348201226226681,0.0009692254938844289,0.001006514155238082,0.0010613894904289202,0.0019505943484564592,0.0023401123739881994
19,20000,121058197.7992301,18627,99839,104493,146296,150342,159245,254761,278254,6710688,4629726,4342947,5754504,6069563,5132272,5762167,6007675,0.0001628981692098503,0.0008575136172203902,0.0008952814588022055,0.0012687884939292105,0.0013074509516744573,0.0013736789152393174,0.0022096250689117494,0.0024185374671053823
20,21000,127266292.05493832,4051,36920,46340,102747,104369,105989,162975,197666,5421730,4317368,4128292,4847407,4653958,4256886,4314963,4850196,3.324727777488708e-05,0.00030028729640206304,0.00037632574817948397,0.0008393067781485667,0.0008512112651997627,0.0008616332961778818,0.0013255245083782536,0.0016147059608181817
21,22000,133474383.5432496,50196,93604,110857,130236,131855,131856,193856,213424,4398989,2798031,2882227,3846834,3624274,3251364,3533375,3820665,0.0003888889914117652,0.0007163040456690137,0.000848879465155982,0.0010046938359854392,0.0010154400366992576,0.001012539875534126,0.001491876984589333,0.0016461078201070376
22,23000,139682472.1284206,2431,14837,15646,32779,32779,32779,61656,88063,3718074,2238863,2215717,3021530,2812650,2473675,2733364,2546599,1.7879680515364623e-05,0.00010794972639387716,0.0001138166095895957,0.00023985638829562218,0.00023949033826641865,0.0002388986762220537,0.0004502110370969604,0.0006421587436682858
23,24000,145890557.67619753,38082,88029,118774,177475,181519,183136,215827,260702,3887830,2685972,2829006,2988696,2788220,2584522,2464172,2544601,0.0002681779471647663,0.0006147079689126992,0.0008302300555835612,0.0012419362345477488,0.0012684558683501673,0.0012779364046731358,0.0015047928523225541,0.001818690990977141
24,25000,152098640.05075336,16876,46113,67313,147732,148767,150145,220421,250544,4710095,3700463,4064073,3184347,2796896,2780390,2780323,3029291,0.00011450007864714817,0.0003107383184648487,0.00045471136465662017,0.0009920605804417282,0.0009964183670180598,0.0010055368312243522,0.001476181920300366,0.0016807210979012041
25,26000,158306719.11791444,123791,252530,263705,409059,438875,462643,679924,746960,3167551,2666922,2750655,2174591,2138406,2084060,2361460,2117713,0.0007979351797600973,0.0016225284578640286,0.0016952408862704743,0.002619954041048295,0.0028102691976228792,0.0029614333964883047,0.004360017122969356,0.004782410865948431
26,27000,164514794.7418468,92863,218822,234209,303071,311144,316823,511323,580163,3310996,2863232,2857838,2366495,2258114,2380879,2512817,2171485,0.00057605962591931,0.0013536646122589786,0.0014488024810092954,0.0018690976130031182,0.0019176036301089847,0.0019540822076020946,0.003156276282100721,0.0035736797587936136
27,28000,170722866.7880845,6361,70281,80916,185486,191966,198517,386990,457543,3877468,3034774,3111962,3011392,2894474,2849354,2688561,2653994,3.812511490400345e-05,0.00041911741514537635,0.00048276095223222216,0.0011059827613726185,0.0011438231446474843,0.001182539143328694,0.0023030416210845076,0.0027223541897428505
28,29000,176930935.1217804,98220,348115,413857,599166,611312,630882,880495,1025064,4880877,3634447,3800998,3090192,2950494,3041416,2850911,2959732,0.0005708803651230269,0.002008782773228328,0.0023904415774661262,0.0034466373603814333,0.0035136823200264357,0.0036280622500207914,0.005057989878172558,0.005892147560090459
29,30000,183138999.6070547,6691,133215,140379,229110,232109,245724,623942,698054,4291893,2689685,3311459,3727869,3583414,2859233,3323926,3381872,3.741184370793769e-05,0.0007382405430028269,0.0007806312621866157,0.0012770110707445207,0.0012926860460245157,0.001363014855325336,0.0034699093211923073,0.003883317503414559
