,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226601,1495403,2135800,2588990,2689082,2827974,2934709,2993682,3003373,0,0,0,0,0,0,0,0,0.4817570204395751,0.6880664571723104,0.834065538418644,0.8663110426003515,0.9110563026291821,0.9454419067617257,0.9644405691733854,0.9675626087072635
1,2000,9312181.820186604,3640183,5846598,7472882,7767347,8113504,8372519,8505325,8530435,0,0,0,0,0,0,0,0,0.3909054902803708,0.6278440555494698,0.8024845459740232,0.8341060290685296,0.871278520616065,0.8990931622329755,0.9133546964861092,0.9160511644551482
2,3000,15520302.808603523,4119616,7831625,11186907,11878607,12790811,13480569,13841786,13921391,0,0,0,0,0,0,0,0,0.26543399641122545,0.5046051676039863,0.7207918001315445,0.765359229551579,0.824134113730664,0.8685764167260437,0.8918502538704944,0.8969793419418864
3,4000,21728423.45952914,5029097,9740532,15227782,16246203,17550054,18716959,19564279,19668347,1615,1615,807,0,0,0,0,1615,0.23146966151829323,0.44831858384280593,0.7008491717609232,0.7476935926925303,0.8077002932443914,0.8614043736243348,0.9004002999315609,0.9052570715407434
4,5000,27936543.637846917,5978999,10751309,18799806,20016500,21631304,23303300,24759948,24962753,8254,7269,7269,5023,1793,2600,985,985,0.21408396566818694,0.38494766295974325,0.6731218853254575,0.7166276501565709,0.774351068331829,0.8342287899667347,0.8863237109729883,0.8935834548223647
5,6000,34144663.208691716,6757842,14197049,22762122,23902970,25767447,27684193,29254693,29452779,23352,21873,21912,29004,25773,26581,38061,38060,0.19805340887013087,0.41605768207031746,0.6670658488463865,0.7006451158918304,0.755225238640259,0.8114228938972233,0.8577428153351712,0.8635506391470337
6,7000,40352782.03686157,7465874,15363483,26873244,28176857,30499010,31862219,33928421,34159564,14428,11234,12812,10388,8773,9581,12634,12634,0.18508127508568184,0.3808352368124747,0.6661691611432522,0.698442858256114,0.7559737053433044,0.7897791494256369,0.8410584157747083,0.846788265843399
7,8000,46560899.98756808,9369886,18620332,28509443,29685993,31823012,33371505,35038997,35308633,24222,31490,17762,22608,12917,19378,17762,6460,0.2013441097472212,0.4001841417068271,0.6125380503483676,0.637883165285269,0.6836603856390343,0.7170265082631809,0.7528284192904893,0.7584374983230135
8,9000,52769016.92555842,10269193,16983418,25702085,26881950,28876999,30201400,31838982,32105907,264261,274765,195508,280336,257678,236540,201925,147284,0.19558595824271097,0.3235290984636569,0.48887901008077905,0.5121475625978309,0.5499193048750264,0.5749091184639389,0.6056827728855152,0.6101263720337522
9,10000,58977132.716067225,10538210,17327828,26054235,27315604,29261167,31005065,32441071,32752929,896925,1170100,841927,1167254,1170385,1168605,1165238,1136558,0.18144236073530304,0.29975293983882,0.4481662132107879,0.47250754726818195,0.5061894701934069,0.5363406788750044,0.5611487248312569,0.5662621639010399
10,11000,65185247.22380185,9002583,17997021,27065030,28851734,31438153,33147789,34820778,35183266,78234,137958,120354,139290,138611,142144,134064,108323,0.13827362912585325,0.2766759570576325,0.41596979045066884,0.44355921922604086,0.48331712176218816,0.5096280367488664,0.5352827769512312,0.540641193781739
11,12000,71393360.3140856,9635345,20356219,28981298,30599942,33097366,34853380,37749981,38281285,81508,62967,69421,109779,111390,129953,135606,158224,0.1351156180540947,0.2853793180470275,0.4063333893039269,0.42927054780219726,0.4643160935951265,0.4890782143826996,0.5297666389205576,0.5373933002839006
12,13000,77601471.85150677,9677720,21809611,31266978,33135292,36163234,38749055,41555372,42120353,35404,71449,78670,66379,57441,68031,78536,87426,0.12476744365238573,0.2813053601412183,0.4033262118143151,0.427358642150076,0.4663574178810864,0.4997721573354752,0.5360397093267761,0.5433899435553877
13,14000,83809581.70150447,8445847,22004121,30209914,33241620,35953956,37689451,40771798,41229953,378767,465402,480497,462095,451000,473378,503656,500436,0.1012317454913658,0.2640150887417373,0.36253745145786503,0.39883170225695563,0.43131679145821045,0.4522578342420893,0.48942254295439247,0.49490308240257747
14,15000,90017689.72857094,7044799,20542011,28489833,31584622,34821361,37400356,40504659,40987868,551003,759401,748830,707644,716033,745468,736172,718008,0.07874214702253261,0.23014121481162397,0.3191463751931592,0.35365139209525503,0.38992961917647545,0.4189472971078783,0.4536735041079854,0.458992318971347
15,16000,96225795.79825568,8589393,22335595,30493350,33133770,38773171,42094825,45422249,45948791,433108,603001,565674,602397,584705,632204,620373,628886,0.08966647869918529,0.23358023625144492,0.31876762674742937,0.34650274322401947,0.40540285222998684,0.44035195464606564,0.47510117805607077,0.4806514258355076
16,17000,102433899.7749095,8177475,21728822,28286325,30884920,36549284,41256036,44542023,45107000,872900,1047638,1016686,1050209,1019630,1066593,1093169,1107702,0.08051786628847497,0.21431722227061464,0.2789104920864825,0.30463400734315565,0.3603958701386076,0.4069954831848381,0.43952735153384115,0.44516621555466523
17,18000,108642001.52415848,6330358,19309699,26012454,28710967,32548158,35319251,39392240,40076548,1089294,1215728,1228688,1336893,1364530,1379756,1302752,1310010,0.058858192840734166,0.17974838339391483,0.2421716000237671,0.26756384104057884,0.30340161394156534,0.3292794293780202,0.3669882188913024,0.3733886554315868
18,19000,114850100.91040134,4699201,17180982,24917697,28665853,33140607,36121244,40262578,40869577,181137,209974,162925,244260,237172,272712,236228,221325,0.04098058306057256,0.14986883269440243,0.21726663685107042,0.25012558498140525,0.2891524308388251,0.31525630269203064,0.3512888708636084,0.35653854518995626
19,20000,121058197.79921341,4330802,14184078,21115998,24588707,29536667,32707667,36906151,37513365,922391,983887,972584,1056257,1037686,1079648,1083810,1104370,0.036049218924697445,0.11812749875965074,0.17584119639265494,0.2049025777103196,0.24609682592766263,0.27261262162892413,0.307616914551507,0.312731704258678
20,21000,127266292.05493307,3378034,10485070,15763041,19668786,23162102,26014161,30885087,31707757,601636,606289,611870,632362,640029,654555,660198,681169,0.026669112799193043,0.08278122333103508,0.12445709154286923,0.15532003145971854,0.18291704612614054,0.2054640557432146,0.2439462905047784,0.2504856513528849
21,22000,133474383.54326272,3255958,9740210,13647968,16298518,19826275,23081372,27011194,27652066,56355,55794,43292,70741,56399,78197,73358,86939,0.0244041831194066,0.0730048940956733,0.10228476618266202,0.1221744600767884,0.14860271700155267,0.17302872441945188,0.20248115702259062,0.20730636301403438
22,23000,139682472.12840223,4605168,12878425,17113793,18860875,20663423,22662730,25713554,26344792,46049,32554,12835,39480,14527,43190,33578,49902,0.03297970469900487,0.09221935231038825,0.12253051809869606,0.13506495895373938,0.14794678178305912,0.16229480454619485,0.18413002237137155,0.18867225587679193
23,24000,145890557.67622328,5107504,15173825,18826035,20143352,22107034,24724142,27528606,28997117,56137,42724,34833,62407,57214,77958,62705,73878,0.03502262344045313,0.10403874104626966,0.12907299347893839,0.13813075120676474,0.1515910795344696,0.16956108083183435,0.1887746784636598,0.19886008284090864
24,25000,152098640.05077696,7019234,17983844,23184608,24403105,26328218,28377460,32779035,33876572,277987,125399,149208,207474,206066,208701,262559,234122,0.04623372287598047,0.11833559563286064,0.15258107705366347,0.1606617793153427,0.1733344646012688,0.18682909597134928,0.21588435879768295,0.22307101378791544
25,26000,158306719.11791515,11165135,20680846,25675222,26761683,28736912,30094097,35068651,35827167,105192,75099,30909,193896,165970,253155,264151,243614,0.0705753933189159,0.1306998309477493,0.16221823145856598,0.16925687918456842,0.18171731296512814,0.19040441870420863,0.22189370507973125,0.2266636921580967
26,27000,164514794.741812,12498545,22864933,29604743,31218603,34353966,35959369,41116927,41763460,377188,412541,309306,496671,474952,606528,594252,584005,0.07614674813469273,0.1393334489846448,0.18029082478813438,0.19033630118304823,0.20942452410217743,0.21938715913971035,0.25083449769174115,0.25476275729395736
27,28000,170722866.78809357,13672065,24762037,32282690,33641640,36768078,38602843,42561111,43048070,139766,167688,171885,230254,221373,290922,309002,378475,0.08014900032204297,0.1451849024811238,0.1892846916595921,0.1973202207993224,0.21564666199169444,0.22650004403808696,0.24975145686017944,0.2527119886256737
28,29000,176930935.1217327,11080727,24045192,33080357,34953355,37665103,40308693,43976029,44431682,356861,391623,357288,440028,572606,718950,626468,587489,0.06275398613932863,0.13620304571833627,0.18734594623394663,0.198046208555613,0.21357144393220787,0.228751142960869,0.24943230150621157,0.2519610622179182
29,30000,183138999.60715818,8462222,21827063,29540864,31281495,34405823,36909485,40765114,41354234,420792,441140,444234,416806,390335,459899,653508,1721382,0.04631296525299586,0.11947081945531893,0.16169518541938213,0.17119701981716215,0.18826853303666952,0.2020454714158677,0.2233882465996598,0.22795048543492882
