,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227346,71577,2022151,2294501,2420350,2508532,2599641,2639843,2672228,115445,59423,60043,81344,71601,83780,70789,85404,0.023949884789468554,0.6641680377947546,0.7537738868425695,0.8007201126950096,0.8272268411497897,0.8607282961865187,0.8702956156526073,0.8852374841599597
1,2000,9312181.820188308,167865,5770562,6003705,6090237,6132824,6212330,6380852,6448813,342546,185966,234877,254741,198939,247914,202759,201185,0.018714806639326394,0.632306107339124,0.6613973110881445,0.6724015227817278,0.6729573787295703,0.6853647887768325,0.7004672113647806,0.7078054275807237
2,3000,15520302.808600247,412257,7266695,7772824,8049447,8218094,8504415,8793334,8951993,742902,497456,599430,505245,406669,468031,441547,480614,0.0278978018759613,0.4837095853124175,0.5209362816577204,0.5360916423105264,0.5437536798942147,0.5649921226602438,0.5831604484890376,0.5952246162753662
3,4000,21728423.459528796,392875,8343391,9469164,10105192,10493995,11179001,11705848,11943292,891633,638316,719043,556708,482003,544342,433503,538491,0.01885487118388407,0.39560685103244186,0.4507112438770304,0.47729679814168935,0.4939182588422114,0.527707610139102,0.549701419277291,0.5636304892812096
4,5000,27936543.637848638,663650,11226992,12882279,13961907,14501787,15238595,16090932,16515115,1039072,760774,854250,736634,695625,668208,644698,710061,0.02467332279165408,0.4131250797903357,0.47567163890419073,0.5133071096887772,0.5323530822433852,0.5588384711991269,0.5895875351751556,0.606582760603886
5,6000,34144663.20869312,904709,13518469,15413096,16473988,17198869,18304956,19152274,19636842,1516468,1261753,1235305,1123569,1060646,1062326,1060643,1031394,0.027727828469009487,0.4111092635719991,0.4683499417478333,0.4988928560599626,0.519854311872406,0.5533150782100718,0.5788980262733479,0.5930203350276513
6,7000,40352782.036858216,1657392,12406155,13836663,14481740,14835392,15520779,16440132,16834033,1848312,1603264,1588629,1629181,1596342,1446665,1486981,1434681,0.04304414522296943,0.3201628208175227,0.35694480379446575,0.3739770995526958,0.3827852090101986,0.3989290163625475,0.42299737973775636,0.43255021574811603
7,8000,46560899.98758209,1591673,11955656,13272969,13943406,14285364,14848067,15621397,16190139,3160717,2768024,2881568,2855904,2689301,2404708,2450708,2427380,0.0366743384574074,0.2730045864854856,0.30387298514028255,0.31903460199291045,0.3256175824374099,0.33626239790278284,0.3541448426340502,0.3668444983440125
8,9000,52769016.925545186,848882,11107479,13140072,14256375,14744651,15490341,16258895,16661667,3267284,2694944,2875253,2962284,2621070,2385509,2430839,2300737,0.01714853096712373,0.22182096144876487,0.26336100879477636,0.2862338917373177,0.294023023951338,0.3074486401957369,0.322993315809889,0.33014136849087417
9,10000,58977132.716071665,806182,12643215,14699455,16006173,16630029,17617454,18984132,19564489,1822321,1450682,1525469,1601088,1542352,1438264,1450219,1402685,0.014105234114056321,0.21978089804987316,0.2558577776380032,0.2789696131758015,0.2895463130992073,0.3061835311176203,0.33000435402631867,0.33981201342099293
10,11000,65185247.22379106,825733,11419398,13394534,14652810,15313225,16294111,17495770,17962143,1561806,1260020,1339015,1430026,1404976,1353478,1400668,1371305,0.012978439771837257,0.1786367995223964,0.209793648481089,0.2298291766342757,0.24009344435474778,0.25526647934312524,0.27429466828675475,0.28147678037203866
11,12000,71393360.3140803,704433,11823000,14087536,15184516,15932785,17017168,18454237,18984483,1695338,1448432,1470658,1516270,1500307,1429000,1371008,1324005,0.010106929531308831,0.16903298473493417,0.20147299137154773,0.21730320956052038,0.2279594930329115,0.24322623580930963,0.2635478013824047,0.2709384568318571
12,13000,77601471.85151428,907309,9825622,12356520,13659984,14649103,16130411,17463826,17973080,3420374,3102834,2908879,2831016,2718776,2646575,2563794,2526542,0.012230999894557086,0.13188995508325635,0.1654316650188358,0.18269226587473525,0.19562734532218054,0.21520156357435005,0.23273409439132284,0.2394018886937059
13,14000,83809581.70150828,888102,8653987,10791348,12800872,13897737,15451987,16825540,17387279,5301037,4848026,4782391,4917724,5022037,4929138,4915151,4827177,0.01131216994757181,0.10959747339216488,0.13655234235466807,0.16225846840155303,0.17639510220368557,0.19589122822979937,0.21326651134169772,0.22014117024811178
14,15000,90017689.72859776,837126,9614799,11637684,12917476,13408725,14256895,15323114,15783685,4470356,4193967,4158792,4217314,4192049,4161981,4246477,4174259,0.009785529992738462,0.11202961948417327,0.13554429777082658,0.1505526740449288,0.15623215726873227,0.166056459274806,0.17865101253128232,0.18386596232275051
15,16000,96225795.79820812,480162,7442043,8677331,9667504,10056218,10669650,11883431,12320559,2518931,2218894,2304121,2240955,2272435,2231332,2323906,2282621,0.005124085636991472,0.07916485766092819,0.09238901476835196,0.10286237565435465,0.10703414880068657,0.11351360036380571,0.1265515638240836,0.13114905927402193
