,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277435,367733,438374,485750,525606,562092,581820,645502,687774,2088772,2082094,2003414,2075367,2012045,2058184,2000362,2072081,0.36219552688156065,0.42895138399113925,0.4413314746993966,0.5109451298872928,0.5147288966894208,0.5562988824309091,0.5848534943380848,0.6664608297691678
1,2000,9312181.820187733,1101498,1578412,1912889,2206720,2382667,2557501,2760538,3016666,4114095,4004458,3534326,3909334,3505889,3812561,3569011,3770540,0.21190450219533244,0.2973802054275258,0.3310724703992089,0.40843645304141163,0.4103594279151361,0.4650322419705834,0.480664442418546,0.5443632226483027
2,3000,15520302.808602147,1526630,2240912,3011401,3430368,3927248,4435418,5022091,5626431,4747466,4577961,3652272,4449503,3998463,4175952,3686996,4357415,0.14171104854953162,0.20479272528649606,0.25374057824464746,0.30985728757687064,0.34085250838741366,0.39098032799168464,0.4244030076486501,0.5040300589301148
3,4000,21728423.459529564,2784313,4212542,5186268,5591124,5838258,6094441,6743350,7741672,6041932,5721471,4222661,5435665,4941909,5005466,4318414,5317580,0.17749749886285288,0.2631695202850502,0.2962606177245805,0.34316619950440475,0.34779453555265427,0.3644355978748895,0.3873260388327332,0.47174126175120584
4,5000,27936543.637848355,4032219,5935631,7256353,7809538,8235224,8647789,10013627,12504850,5328809,4988795,3376117,4573325,4190919,4158857,3250613,4332307,0.1783557293374069,0.25865853307327064,0.29544898006037656,0.3342663577760886,0.34681016505557855,0.3636934547801972,0.40564105712292464,0.5297714216247529
5,6000,34144663.20868991,4842128,7086383,8316255,8971695,9549496,10244033,12198459,15268703,4617630,4355029,3152678,4035409,3753662,3887538,3271356,3922133,0.16398965537028434,0.23788083298897428,0.2683356662698776,0.29797134587978785,0.31422117140614125,0.3385659717948978,0.3951134524572897,0.5052092890491934
6,7000,40352782.03685641,4936600,7194054,8858779,9609758,10240001,10735834,12837455,16262892,4799605,4503979,3554138,4439563,4008534,4041508,4072045,4423346,0.13885116356500135,0.2006776625876111,0.2407365605952033,0.2675827524716695,0.2817502508131602,0.29566117644627365,0.35383666508645756,0.45263421288654593
7,8000,46560899.987574875,4609342,6412344,7546549,8225656,8694902,9326065,11685777,15733155,5494225,5225712,4254897,5019886,4577386,4709515,4652857,4909442,0.11224044803711529,0.15513039403443657,0.17838009897121207,0.19801288438602713,0.2071027690196032,0.2228376672066835,0.27884329992370827,0.37773359589701244
8,9000,52769016.925554544,4798828,6678193,7780697,8381023,8894366,9477107,11442579,15177500,6002101,5655188,4658855,5479147,4744133,5197295,5041586,5430228,0.10261159849922469,0.14174591945291348,0.161726684936954,0.17722660293195383,0.1852032794870997,0.19921723697180477,0.2397484796080515,0.32061445475228123
9,10000,58977132.71607691,4935393,7273590,8555877,9139607,9642965,10193954,11856210,15212368,4469512,4342755,3455618,4081974,3535078,3868762,3620160,4123861,0.09054500884762186,0.13313211029508343,0.15410020860836754,0.16649204071475474,0.17392870898061727,0.18498013763680535,0.21417735505172755,0.2773283620845795
10,11000,65185247.22380489,4487399,6985584,8185791,8575177,8831930,9099280,10420311,13338038,4866658,4789237,3825435,4388677,3473236,3742407,3393556,4226740,0.07439495946017644,0.11566300446195128,0.1334063893504595,0.14104705197074408,0.14311525138874678,0.14809341441339577,0.1686361190901607,0.21880519401550186
11,12000,71393360.31406492,5582767,8383823,9677629,10227782,10512606,10913247,11918037,14484336,5136952,5048868,4109486,4577640,3947319,4240634,4029666,4704731,0.08426003072090597,0.12636803308874886,0.1438328143059533,0.1530744853445368,0.15586690923856705,0.16251383374905892,0.1769207749271498,0.21719348784014056
12,13000,77601471.85151279,4272825,6690385,7945664,8363775,8753296,9146552,10221994,12802082,6469420,6430348,4753980,5199052,4233360,4739673,4461121,5436563,0.0600689125194851,0.09400420617157068,0.10907258160920466,0.11551789314712035,0.11930654584263387,0.12553288752368066,0.1397586131457363,0.17740037649519777
13,14000,83809581.70150578,2854426,4693442,5482328,5842048,6165326,6514585,7369726,9276353,7877148,7606917,5496214,6198835,5705277,5653525,5256918,6466630,0.03759165696204197,0.06159157318690532,0.07000500886254937,0.07527369917556345,0.0789370832191934,0.08335355281396238,0.093818919088529,0.11993792318401264
14,15000,90017689.72857201,1549222,2271950,2910404,3305879,3526974,3816356,4511952,6148189,8038775,7710024,5495515,6814249,5982540,6352961,5497045,6836303,0.01889781055445043,0.0276031397548348,0.03443361472118112,0.03973247946301292,0.04197022331003031,0.04561487329243789,0.05338283935823723,0.07391303802210063
15,16000,96225795.79825246,797073,1560041,2153883,2437319,2647317,2826105,3598562,5561257,7681827,7434567,5269963,6673981,5321910,5883976,5012647,6660935,0.00900200217833167,0.017569764729179014,0.023680537396403044,0.02721685769842782,0.02912215442445797,0.031282356347383064,0.039452228625057005,0.062091951580507655
16,17000,102433899.77490938,772261,1462092,1751857,2021861,2149953,2286234,3258265,5729731,7509632,7251948,5795555,6692673,5295076,6007452,5217891,7085288,0.008135548665292164,0.015361021419876133,0.018127969845514593,0.02111797673904324,0.022132788070214675,0.023709615491973864,0.0335157248385302,0.06009244280898651
17,18000,108642001.52417219,393862,797741,1123822,1250563,1311155,1357333,1877145,3354019,8016125,7773613,6796216,7460739,5971867,6856637,6885105,8531180,0.003914122426604523,0.007908731483390642,0.011034545948229453,0.012359630318916418,0.012770558897936456,0.013335247226802021,0.01844734916374034,0.033503061396715814
18,19000,114850100.9104085,768664,1415397,1816819,2080312,2191010,2381485,3151100,4775143,7119240,6904067,5730948,6490857,5479076,6314416,6030398,7306440,0.007135039983011358,0.013112079700628287,0.016649863489058482,0.019198288257898915,0.02003281949487783,0.021941953947826585,0.028957072255511557,0.04440190114020791
19,20000,121058197.79922342,848445,1945598,2223079,2433598,2604804,2699556,3370157,5354044,8258342,7431247,6737394,7855944,6267737,6993487,6366711,8163425,0.00752168514745425,0.01712268072244439,0.019445970690551612,0.02149778752917987,0.02269181586922963,0.02366688155420615,0.029384543648821364,0.047425083263348655
20,21000,127266292.05490232,643449,1188771,1415683,1615446,1802447,1913179,2788713,4696573,8652654,8092790,7117235,7682413,7331443,7738970,7722921,8384676,0.005424747192242505,0.009975128526913159,0.01178272251735693,0.013508894449379171,0.01502855103586196,0.01600620650666985,0.023328043833724887,0.039506301780344345
21,22000,133474383.54325175,180069,528295,723710,807949,829998,880068,1273336,1955005,4848121,4836497,4159042,4711748,4329453,4432273,4117838,5069056,0.0013999396113950691,0.004106838305543616,0.0055964744118001085,0.0062747162372939124,0.006426872479690765,0.006820006246759446,0.009843614752175385,0.01522526391548264
22,23000,139682472.12842298,532657,1028178,1274892,1429807,1539009,1608284,2110681,3048660,4769148,4560612,3440326,4521961,3631648,3968444,3518883,5080786,0.003948142286472519,0.007609264696495413,0.009357544902428917,0.01057858532838387,0.011312015269729475,0.011850536176541152,0.015501067601921882,0.022649493388153287
23,24000,145890557.67619395,1717675,2480478,2926871,3222821,3416502,3659885,4309014,6008490,4811469,4946360,3956850,4804066,4254697,4979411,4721961,5590276,0.012175262940225137,0.017599007556867753,0.020621394649094436,0.022842874336946876,0.024121730073789448,0.02597299849110031,0.030523884925227517,0.04282592970032159
24,25000,152098640.05081034,1848916,2923279,3507760,3835086,4118102,4371237,5154026,6808551,5437202,5743682,4892433,5477399,4718510,5371675,5217003,5970786,0.012606694878850496,0.0199738979733445,0.02382888650061642,0.02615641480398453,0.027942043466648154,0.02979164053782668,0.03508965520459908,0.0465931087828922
25,26000,158306719.11786294,1537067,2448086,3080425,3393352,3778185,4228548,5573540,7567624,4872475,4846027,3872377,4555664,3892561,4271036,4160244,5227286,0.010017757175635952,0.015952528078785076,0.0199465025573719,0.02207043065427235,0.024467866457660865,0.027451743092309702,0.036157427510024986,0.04943592908508706
26,27000,164514794.74182677,1028038,1647612,2004553,2138561,2357467,2751509,3904764,4903393,5469512,5504722,4836827,5423972,4571102,5028968,4889759,5875031,0.006463806925155913,0.010361683204026384,0.012553723148838137,0.013442390724639507,0.014739355829462479,0.017252373180809983,0.0244621025884402,0.030908978205362626
27,28000,170722866.7881093,1584841,2402492,2957337,3560746,3850469,4128173,4961325,5992775,4330165,4371236,3696391,4055776,3594727,3943461,3528498,4305067,0.009524702603953121,0.01444225096332346,0.017705797754792443,0.021364421633344056,0.023039022661783676,0.02475229468825894,0.029673995816734973,0.03601042080612935
28,29000,176930935.1218152,1325637,2104368,2488674,2965724,3271040,3697442,4503516,5630009,4692745,4892596,4316603,4750547,3597293,4104340,3677994,4428110,0.007696533498537376,0.012231971145164102,0.014417539780206226,0.017224516870654235,0.01887135099660101,0.021393941119964163,0.02599387906975588,0.03263719881702977
29,30000,183138999.60705805,665528,1335032,1560258,1695340,1819979,1957554,2591998,3629123,5717385,5760135,5013429,5167586,3923911,4589593,4402453,5234351,0.0037511100407578214,0.007526443485572283,0.00875931509823428,0.009525911862132704,0.010155277739981117,0.010963654470765504,0.014501779570007905,0.02039925897617057
