,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277486,303448,620692,897077,948646,1108114,1181640,1417620,1661498,63496,70475,115677,96817,96843,95216,88914,118867,0.09979988489081076,0.2046067182082504,0.3001880318263625,0.31545365689031635,0.36848480443517584,0.39272217266442244,0.47016618901983104,0.556579641512172
1,2000,9312181.820187764,1788327,2422441,3012068,3150406,4008517,4303949,4892371,5328865,464473,233991,544554,387334,637110,585881,730589,707404,0.2021231752021026,0.2668418243217647,0.3435442358838054,0.3529926855306,0.46207306211249777,0.4932157495697463,0.570100574859593,0.6192914112782658
2,3000,15520302.808600191,4189530,4999518,6307171,6668408,7522221,7725554,8563481,9041265,976049,1020373,1273074,1554453,1767355,1944480,1979509,2191125,0.28805396654469,0.34479601391137,0.44269458185389304,0.477479572771403,0.5469533589952328,0.5690670914698381,0.6324208994720132,0.6783062788888926
3,4000,21728423.459529873,5905646,7156724,9232565,9552146,10441321,10935620,12084231,12708556,1989833,2287196,2276093,2547256,2523700,2762580,2659279,3362037,0.29919289384459213,0.36812099518396685,0.47462513652069294,0.49799606932966745,0.543685048212384,0.5765955003970634,0.6337059864246224,0.6919464549002691
4,5000,27936543.637850963,8884642,10028537,12688516,13506557,14263994,14774829,15754417,16200705,3942130,3530903,3778946,4464476,4132988,4496141,4748996,5048981,0.3702796048320414,0.4109106230322279,0.5252391479572949,0.575431070172079,0.599237954909487,0.6303146421274345,0.6794343777124043,0.707838805570656
5,6000,34144663.20868376,11337388,12577554,15492337,16669182,17704274,18250605,19696895,20407560,4644435,4387067,3893532,4835709,4116099,4840782,5118197,5695967,0.38431526426845397,0.4226670027980843,0.512124220847412,0.5687402519145905,0.5895811027448399,0.6228050431282703,0.6785839811980744,0.7173460551689795
6,7000,40352782.036861956,14972961,16248319,19124331,19955633,21012893,22077760,23967393,24719890,6350200,4780081,4981202,5850364,5482229,6092001,6454617,7428177,0.44034776487761784,0.4567637128022074,0.5406694012557501,0.5783836071628269,0.6025970674393117,0.6444032894710146,0.7070410145781367,0.7508029321027219
7,8000,46560899.98758441,16211189,17762978,20675124,21874740,23718954,24772138,26175773,26927242,7835256,6401962,7314389,7598173,7917171,8419075,8553634,9159598,0.41861638260160033,0.442316925947883,0.5268015800574107,0.561427335591024,0.613785331317806,0.6494743764375094,0.6887044442647011,0.7199546691967745
8,9000,52769016.92554569,16379050,18336088,22372342,24177939,26041095,26932955,29205782,30335176,7672129,7022461,7284195,7874163,8147364,8413424,8242830,8656050,0.36319690234593516,0.40081898252280895,0.49186390213028397,0.5385458885799487,0.5835977220174108,0.6072053877221089,0.655923716280407,0.6876702728066333
9,10000,58977132.7160669,18476378,20693281,25717848,27380111,29068723,30771386,34073674,35732020,10086290,9905410,10083701,10382683,10712960,10885193,10826743,10798572,0.3779108105642889,0.42169461055469887,0.525998014403003,0.563441116423369,0.6022836684885965,0.6398449757209456,0.7076510533128716,0.7416581041218995
10,11000,65185247.2238062,19619111,21903340,27266227,28816284,31208741,32802630,35656691,37275900,17208585,16658988,17000300,17099857,17445472,17760220,17612060,17705032,0.4089303025808436,0.45137087322104097,0.5658660758380758,0.5992731652146098,0.6537261822807507,0.6916734036904018,0.7495123425776475,0.7850827934181343
11,12000,71393360.31406832,14858550,17286710,21257937,23123864,27718030,29469061,33498013,35336261,20319578,19979818,20388464,20701276,21166989,21280366,21248517,21597028,0.2909232354993846,0.33622872927916947,0.41678228045209403,0.4561632119274005,0.5518620850922636,0.5880522887000407,0.6680250806687038,0.7096157358966154
12,13000,77601471.85152185,15023920,17164725,21464819,22916200,27617805,29533249,33590384,35470868,24010524,23401730,23954792,24549348,25131423,25054727,24673160,24931762,0.2803443604249175,0.31669385155047636,0.4001145841533581,0.4319563164735134,0.526353712346486,0.5620376501617809,0.6346392474075134,0.6734585798933369
13,14000,83809581.70149213,14567566,16629562,21424895,23263445,27756685,29526174,33019257,34830001,27246732,26272049,27019253,27761396,27910765,28043625,27845023,28056744,0.2575465358778716,0.2890211175073335,0.3772630919714517,0.41506151731474644,0.4965522821033004,0.5294659277173303,0.590002990573383,0.6247215825405033
14,15000,90017689.72860074,14774456,17013597,22693058,24617220,27612872,29258476,32893800,35110326,29934949,29397089,30147417,30738090,30774189,30747822,30679482,31242412,0.2459018317213187,0.2806570175074659,0.37903715760358075,0.4152730469285352,0.4660911603873106,0.4936484105882573,0.5543443467394338,0.5973655481837885
15,16000,96225795.79822469,11535129,14620826,21027584,22998721,25230490,27148130,31260941,33566942,34220811,34052682,34618755,34799510,35041521,35166023,34953934,35630643,0.18603551049221886,0.23516316148247168,0.3413178709373417,0.37441171480800645,0.41236886574542,0.4446156406397459,0.5102006056702811,0.5539542430361434
16,17000,102433899.77492392,11223463,14862064,20222565,23322438,26615263,27655715,31249603,33302922,37849731,37278078,37949453,38040271,38202316,38286175,38147206,39027783,0.173780404902536,0.2281003231198576,0.31360376046311916,0.36218549014405277,0.4143641093027295,0.4311254233417634,0.48609752913112825,0.5252320074767732
17,18000,108642001.52416396,12788875,16750658,22587475,25960392,29492240,30776042,35023534,37201114,41108016,41003353,41342078,41406548,41446341,41488659,41514859,42082547,0.18936946932332438,0.2476492118853589,0.33562408123524823,0.38611165150644833,0.43890096131125034,0.45829501322180316,0.5217492162338427,0.5589155480006884
18,19000,114850100.9103924,12144234,16020138,22856394,27171674,31675468,33492649,38357302,41039849,44987770,44775050,44710272,45117773,44960813,44824749,45019359,45222734,0.17383093065670213,0.22861400444054691,0.3258689728085926,0.3896567749023983,0.4532235045893194,0.47829319076980437,0.5492896244639721,0.5894212408292937
19,20000,121058197.79920673,12223796,15475982,22024858,25342537,28472835,30042724,35122301,37557374,47800792,47603293,47906905,47999111,48251580,48291591,48273817,48670785,0.16686089094534065,0.21068684306792718,0.30108638080335937,0.3468772757815961,0.39107482067804866,0.4128641601071264,0.4825527209868466,0.5188384630374796
20,21000,127266292.05494595,9641914,13782971,19124841,21869588,24880399,26809645,31725533,34017150,52319229,52120257,52568554,52471827,52959932,53601999,53703168,54351512,0.12864965759807323,0.18341581149187772,0.25602972055100526,0.29239580741615084,0.33483538934758955,0.36394355919499255,0.4312695172693249,0.46653298514191366
21,22000,133474383.5432651,9605191,14487946,18219649,20931058,23800033,25021489,28872233,30621493,56429816,56321427,56623004,56619327,58029920,57926235,57857732,59457924,0.12467058101930567,0.18778212331857413,0.2370764078443493,0.27234457876193197,0.31546427507369584,0.33119923495769893,0.3818237439868698,0.41371193905999665
22,23000,139682472.12841654,8325251,12220922,16294260,18392583,20411826,21262981,23903422,25695672,62489014,61995215,62657898,62408333,65034791,65276115,65097555,66196544,0.10784917792062615,0.15730922228080332,0.21154625240554997,0.23801731352108163,0.2734421979550242,0.2857683378222995,0.32048600334092076,0.34966792492702625
23,24000,145890557.676198,8659778,11555911,15783820,17269598,18426208,19469626,21901883,23377071,66916457,65906824,66695850,66417726,70751024,70654605,68841489,71150989,0.10965339175568439,0.14447826412783316,0.1993039745096986,0.21730190853602388,0.2452265418548489,0.2587808794525905,0.2842588934078307,0.31278038412663195
24,25000,152098640.05075216,9408156,11557633,15270184,16992240,18069986,18962879,21462985,22579858,70407844,69468370,69562912,70513036,75121993,74691640,75385802,76958258,0.1151678824889279,0.13987165953713102,0.18501301630986025,0.20827497936314346,0.23474633791318705,0.24497628105425767,0.2797834827307573,0.30050230493569835
25,26000,158306719.1179433,8824686,10526358,13550173,15562516,16753590,18068754,21040702,22305353,75938162,74426461,74131656,75448587,76274417,77294802,80391493,79671820,0.10713658595917808,0.12549267534678996,0.16097609550959233,0.1878212265013137,0.20423162056225427,0.22303822255797426,0.2700460878872363,0.2836571706736031
26,27000,164514794.74179578,6868569,8230556,11680428,12815634,14008073,15153778,18605718,19768103,80394665,78456787,77766051,78194098,78092089,79463560,83866514,83522014,0.08165190687511856,0.09563962977965462,0.13464665303703227,0.1484653679097886,0.1620878781769663,0.17817234571614218,0.2307019793709952,0.244072407675698
27,28000,170722866.7880864,5504781,6317309,8744939,10201272,11104599,12022198,14262834,15240481,83746763,81892988,82287365,81379443,81132526,81535799,84823458,85059781,0.06329072883526911,0.07111693819903374,0.09888493674129946,0.11418044627656522,0.12394861881669136,0.1347975474265555,0.16604111950509892,0.17791188421231924
28,29000,176930935.12181616,3909885,4495699,6881254,8855516,9683305,10443033,13242848,14017438,85656788,83794333,85035566,84316207,84044375,83589560,86172667,86624319,0.042836719085216926,0.04826994863007714,0.074881401160468,0.09561671431300148,0.10424872002258262,0.11187999947902212,0.14591340573208592,0.15522049880699368
29,30000,183138999.60706758,4275675,4936728,6885329,7578785,8243922,8983363,11723301,12789586,77958772,76752316,77947253,77537059,77203398,76653996,79618086,82306006,0.040650938843497006,0.04640362715162256,0.06545503066623092,0.07176747848034128,0.07782012727485185,0.08436270550498211,0.11324572582983489,0.12683929676668404
