,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270008,765,2062069,2082820,2091994,2109398,2109398,2236625,2278275,40649,27653,25372,21549,3822,27509,29947,27509,0.00024972158253281637,0.6702847114308221,0.6765283050150336,0.6786654039402952,0.6803985925838062,0.6856371204568399,0.7275674453720207,0.7405287720045277
1,2000,9312181.820188385,3402,4845094,4934292,4985201,5107077,5132411,5572194,5779671,3691,2162,2914,2915,2294,1541,3690,3071,0.00036547277810294393,0.5204171520122458,0.5300408254770941,0.5355095193091821,0.5485648268419908,0.5512414343029243,0.5986140513025912,0.6208617677496978
2,3000,15520302.808599863,14753,10915073,11068689,11120992,11245441,11284391,11881565,12153611,19877,12233,16820,6881,6881,7646,6882,6116,0.0009517803047587776,0.7038318201242003,0.7139485454107215,0.7168626069224187,0.7248846282105275,0.7274312285271592,0.7658894286818712,0.7833869186919278
3,4000,21728423.459528636,39952,17196210,17657175,17764496,17923166,17973552,18728174,19083252,6008,5458,5983,3057,2401,0,4610,3846,0.0018392061451193208,0.7916142955729368,0.8128541096888867,0.8176845271214553,0.8249630613881294,0.8271908007259495,0.8621034255744509,0.878417637146258
4,5000,27936543.637846276,60925,20598614,21860833,22437690,22891939,22966339,23772708,24208155,91820,66384,39111,22928,42692,21399,56531,63409,0.002188026744039626,0.7390920707905856,0.7836145097575434,0.8038259998671824,0.8206804602394996,0.8227196848861432,0.8526792404580644,0.8685121108384434
5,6000,34144663.208698064,11695,22845974,24150009,24806937,25462974,26009402,27347183,28184348,41485,32174,28116,12229,13757,17086,9535,12509,0.00034292991487277786,0.6697246237361856,0.7078679109075527,0.7267848770562745,0.7460386150986787,0.7621227208994785,0.801144874359417,0.8257418452896139
6,7000,40352782.03685784,38587,19087621,20917143,21864775,22969382,23872987,25926323,27520742,2405115,1511869,668951,193780,256363,360121,556932,440905,0.0010168477541062323,0.49143080086420526,0.5270948508114658,0.5444551381016032,0.5728536999497598,0.596934196951743,0.6514830811752416,0.6895376525284724
7,8000,46560899.98756972,60387,17753379,19784440,20931264,22429003,23434612,25610363,27129378,6791476,2412275,2971432,3105524,3991008,3048493,3568975,3879335,0.0015184278258310827,0.4021275635424333,0.4538811991383302,0.48167260147484,0.5268747923191631,0.5385731018441388,0.595701704620222,0.6356228504718834
8,9000,52769016.925554246,16682,15982692,18091648,19095604,19900189,21038923,23501741,25339003,5109759,1377606,2996186,1526962,954297,1413906,1640837,2403585,0.00035002643192762217,0.3109992839689219,0.36348440833232637,0.37265492236294145,0.384064393836191,0.40967534916823745,0.45966316489693104,0.5031030615890257
9,10000,58977132.71607041,38208,16334512,19143590,20201559,21115059,22114728,24771843,26711995,6408562,2191538,3048899,999057,924250,1214216,1722368,2296910,0.0007268221197484387,0.2876523893369969,0.342288478073272,0.3484344513076089,0.3637211110302857,0.38285338167224836,0.4326599388338238,0.47127540648188754
10,11000,65185247.22380328,27364,17267944,20619077,21995963,23400490,24979435,28408812,31012133,4298561,1383501,2409151,1052733,968454,1361136,1341997,1684520,0.00044942501714442476,0.27065002170046626,0.32845427225182744,0.3429767765417815,0.36439829560542625,0.39137928474096617,0.4449775332617398,0.4883744542121572
11,12000,71393360.31406975,6192,14400001,18030747,20019255,21524490,22753042,25717468,29101424,4595547,1437281,2360731,703419,833399,768898,1624794,1307226,9.26976452191103e-05,0.20584345408139296,0.2611916593523854,0.28319807072771574,0.3050524631694772,0.3221694191286913,0.3686111003661793,0.41522369987750785
12,13000,77601471.85152209,10190,12284972,15339926,17094872,18564090,19859691,22879715,25552018,6739318,1434766,2154094,2027882,1994324,2546389,2941890,2658015,0.00014380031435893369,0.1612905778536371,0.203319537892867,0.22620166692605118,0.2455335312536363,0.26460154656397467,0.30645383261724696,0.3409506189529479
13,14000,83809581.70149112,27708,10800063,14348938,16485914,18074606,19470063,23838658,27218230,7503349,2100382,2987601,1662019,1812342,1976901,2410154,1677456,0.00036311581661216716,0.13217683001982589,0.17753756930304074,0.20068658713474835,0.22042944452520777,0.2379252742681473,0.29286026539917936,0.33139565995070613
14,15000,90017689.72858536,18653,11871990,14862502,16126796,17326919,18558090,22185797,25344922,9682726,3442778,4864709,1501131,1465420,2600351,3136386,1612216,0.00023219030835714135,0.1371296806772267,0.17453883437589102,0.18218959516319339,0.1956688298685893,0.21229301040173998,0.2553575516006042,0.2866895106270425
15,16000,96225795.79823184,15335,9241979,11920173,13187015,14064819,14970006,18436415,21698229,5466885,2031923,2510099,1133568,1155302,1575286,2114275,1347972,0.0001689641255621895,0.09811656242011407,0.12719505277396498,0.13867605487149184,0.14794094821732778,0.15816085969227028,0.19589966078145007,0.2286965291925717
16,17000,102433899.77491808,16456,7111996,9155399,10358686,11368678,12481807,15161633,17711585,4529351,1878186,2292079,1289704,1469846,1601039,1802015,1005263,0.00016808207796179355,0.07072692075876813,0.09142433130487974,0.10241503153628086,0.11260124346180181,0.12378709583438516,0.15066430519424148,0.1746211480620021
17,18000,108642001.52416623,8774,6971047,8683646,9658907,10409400,11266991,13759382,16163857,4752818,1996544,1718032,1003185,1250605,1146428,1953590,1315570,8.445537545262383e-05,0.0653665628319925,0.08121327742174202,0.08973442213415136,0.0969295524307441,0.1048135344611846,0.12896791510372552,0.1506046252582287
18,19000,114850100.91040838,29047,5345087,6973073,8040408,8861986,9814835,13678952,16599488,6429450,2322461,2618957,1520359,1390277,1496907,1931151,1582690,0.0002679102159606338,0.047500214207421586,0.06213135460480069,0.07094702471268538,0.07810681961746845,0.08658631187540607,0.12113956081643594,0.1465513148625757
19,20000,121058197.79921412,40480,4977638,6698318,7662630,8302895,9141993,12646215,15434818,5748830,2079905,3026198,1268439,1077816,1515611,1329822,932911,0.0003510556060847286,0.04183652230075433,0.05675001704109565,0.06396732138716245,0.06920210517328412,0.07647477978166103,0.10562420909482519,0.128489333189263
20,21000,127266292.05494404,21337,6210940,7705703,8586708,9385200,10237419,12802723,15106350,7020386,3069358,4086546,1515998,1570648,2094901,2244124,1655099,0.00017744471059372675,0.05000880293270617,0.06255657481679569,0.06828380056310812,0.07466607192765999,0.08178721122869267,0.10240362328682007,0.12026276984243178
21,22000,133474383.54324794,14737,5773483,6910295,7669905,8394064,9561542,12602025,14796262,5679392,2262206,3355069,1569334,1725533,1825881,1960579,1278596,0.00011531750831575239,0.04400112175637846,0.05310737321555145,0.05814716742504429,0.0637126165836609,0.07262932593448172,0.09582283049119654,0.11192687963040723
22,23000,139682472.12843013,19958,5770341,6954034,7790372,8343218,9177058,11968264,14333065,4332216,2488233,2597962,1100296,1174280,1270058,1528673,1151096,0.00014745446791812795,0.04205964504528703,0.05072808002512455,0.05621481937749573,0.060236278243122596,0.06630227539767343,0.08663000276144486,0.1034643948581876
23,24000,145890557.67619228,7600,4874841,5797484,6471291,7137021,7597288,9892957,12065499,3631007,1931144,2164529,789238,1013494,1298985,1546713,948654,5.3423478169834335e-05,0.03386260665776934,0.04033704996512113,0.044598429665845325,0.049262601124713645,0.05254308988680729,0.06853743588576951,0.08324369070627739
24,25000,152098640.05076003,21433,4703030,5520729,5968133,6786683,7593181,9691436,12079729,5035299,2520163,3096796,863185,1051500,1683349,2098638,1254273,0.00014573992299414873,0.03144188985427368,0.037051413928268356,0.0394625254904472,0.04493089374429272,0.05048144338887434,0.06460957245000848,0.08008074306105908
25,26000,158306719.1179335,19102,4343224,5158742,5626672,6635158,7611843,10225633,12369846,5856732,2521048,3169957,1449666,2053419,1964811,2575178,2235125,0.000125300108980809,0.027879483195293837,0.03325286624248592,0.035871335640671305,0.04246411432585461,0.04868715683230726,0.06566192645750714,0.07925751043878544
26,27000,164514794.74178982,13001,4781659,5801750,6438786,6959328,7811960,11247254,13200663,6090568,2402425,2915172,1632551,1927700,2099326,2604690,2276969,8.206446872036738e-05,0.02949595399546719,0.03590200213072442,0.03953031252569881,0.04280369245205069,0.048098620534842984,0.06946604115868395,0.08136612371155394
27,28000,170722866.78809977,6265,4993089,5977295,6430362,6723792,7151070,9957209,11507473,5138367,2398526,2769969,1238438,1273519,1608906,1625969,1116434,3.78356670341571e-05,0.029663499507095663,0.035589115035939076,0.03794072438382908,0.039680247152135716,0.042285509526681295,0.05888463437382315,0.06784809285138982
28,29000,176930935.12179613,11755,5190557,6000853,6586869,6803411,7163404,9585385,11211643,5976794,3129522,4012911,1663500,1661003,1873067,1952876,1388240,6.876113045793469e-05,0.029864872251427404,0.03470345575874296,0.03758181886682303,0.03881676062538935,0.04092020585453535,0.05478049675547005,0.06386846796570525
29,30000,183138999.6071062,4935,5370467,6573235,7032022,7298880,7591957,9654789,11135739,5972455,3210031,3954139,1662882,2165910,2135196,2380291,1367574,2.7855146189954283e-05,0.029847706245273813,0.03668409807463006,0.038749021594258755,0.04033130017200854,0.04194363239172251,0.05341258008755457,0.061262318666464026
