,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270003,80020,304973,812948,1386772,1640690,1985883,2162400,2249828,0,0,0,0,0,0,0,0,0.02577913564140893,0.09824969175165467,0.2618982349589116,0.4467606034954755,0.5285624850725221,0.6397693979626106,0.696635877417929,0.7248015643819017
1,2000,9312181.820188291,229801,1461740,3404723,4174319,4546276,5922890,6975595,7388565,5891,5891,5891,1309,1309,1309,1963,2618,0.024693081748690775,0.15707009680258682,0.36585177336324776,0.44832735669517865,0.48827602823040833,0.6361261843419984,0.7492407143937487,0.7936531874863458
2,3000,15520302.808602747,813244,2571644,5871390,7094380,7771914,9018935,10172022,10754634,3272,1308,3272,0,0,0,0,2617,0.05240976898422681,0.1657094439244508,0.37838360137461746,0.45710319492398416,0.5007578844204063,0.5811056080040459,0.6554010012202695,0.6930565635010995
3,4000,21728423.459526278,865579,2499157,5866949,7156337,8074516,9821782,11570302,12168593,16367,11130,16367,1309,1309,1309,1310,5766,0.03986628358366408,0.11507681676160922,0.27021618200637304,0.329373558248196,0.3716331505981329,0.45205183680954136,0.5325282634323883,0.5601797580555031
4,5000,27936543.637849867,1105064,4281195,10158518,12082068,13331383,15701118,17907024,18852077,279391,207329,253213,220168,230848,149494,239139,136229,0.039955812316256945,0.1543929410159438,0.36695432832459934,0.43591803480612956,0.4811784253410862,0.5650516411289981,0.6465235365601429,0.678124591235132
5,6000,34144663.208688214,979438,4067647,9475383,11846289,13617818,16617515,20152070,21825573,862346,753804,815187,684964,517259,602398,608434,411528,0.029428179349973917,0.12181917735562818,0.28429438676657,0.3540464881681892,0.40496191485638383,0.49542017799369387,0.6009044688536186,0.6470069522141145
6,7000,40352782.03686254,1000481,4548105,9525083,11629868,13218282,16260426,20324576,22217717,1014554,839767,914378,716669,712840,723480,617862,600856,0.025432792729313654,0.11510397259629455,0.24151796282367397,0.29341595602939025,0.33345866115817896,0.41031320674976346,0.5115041374474809,0.5589091954789106
7,8000,46560899.987574846,1150170,5195635,10352969,12546438,14025026,16151495,18691083,20257688,385257,300454,336306,266824,272646,272645,335452,473045,0.024908586553077195,0.11231268720140533,0.22397100995160443,0.2710160583692699,0.3029931957201224,0.34893289894673163,0.4043461732382575,0.43954503861074495
8,9000,52769016.92555177,1238164,5159490,9505346,11707312,13372237,15727137,19063993,21153797,520912,434447,468612,305862,229599,219797,246064,315824,0.02369777816371058,0.09858665137288032,0.18174517030089166,0.22315303028598543,0.254518179454299,0.29928392890096484,0.362964988412249,0.40328902436929154
9,10000,58977132.71606758,1072767,4543353,8899908,10924700,12373571,14953073,18312469,20014049,431801,338328,253692,356051,320541,307724,360774,383235,0.018323698381327688,0.07748031396613851,0.15155631024809582,0.1863612830093107,0.2109493688261903,0.2548700136448598,0.31241225830324887,0.3415722418225774
