,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265835,682298,1662912,1785610,1908599,2072624,2260230,2534167,2592342,82334,83067,137786,106428,91139,95815,178947,177484,0.2257973945759069,0.5504520049006951,0.6019705601114803,0.6367021033169218,0.6879116867477374,0.7513448961882486,0.8663482247935947,0.8857933102148386
1,2000,9312181.820185479,604578,3466583,3960587,4392157,5077256,5651394,6670484,6937931,128187,163324,284367,189177,186492,188075,394239,405219,0.06582952319084497,0.37890882863558595,0.43870937529029075,0.4814375402150345,0.5563695567177195,0.6193914770372139,0.7479846119781765,0.7789334187268477
2,3000,15520302.808608536,1256075,4955990,5554734,6096612,7025438,7674772,10503353,10961052,201369,199143,261334,234584,217957,196879,362172,400431,0.0819949361811423,0.32347355304102804,0.3640307591995488,0.39884365768697383,0.4591085633450884,0.5008522961877746,0.6929187465538287,0.7249434478511451
3,4000,21728423.459519785,1949424,7152913,7769146,8356425,9660993,10928561,13625863,14212582,226899,262042,260448,443065,349382,334539,271441,324289,0.09066445514922054,0.3332146600249605,0.3618946749147154,0.3925902876332639,0.45189083983454725,0.5108264009127638,0.6350316511516108,0.6640110594931699
4,5000,27936543.63785115,1716333,6823581,7442099,8153722,9421819,11150053,15092877,15993418,145259,122009,162503,190035,222024,225646,302232,350796,0.06175795838031864,0.2453242913765738,0.2679516134162245,0.2938647923752425,0.3399596717935582,0.4023706898895187,0.5461643914924608,0.5797710546026673
5,6000,34144663.20870103,1078387,5303130,6563584,8226034,10459334,12723296,16857305,17905315,124025,131897,156690,205598,273180,274468,277923,617979,0.031698023810858275,0.15591586898461,0.19311489860536024,0.24237656368599905,0.30879468535683047,0.37564873546201083,0.4977539880165091,0.5340616115969236
6,7000,40352782.03686024,219937,3897512,4908544,7235639,10314727,12890408,19442596,20599397,235523,241622,281163,329780,340209,405756,575636,1093166,0.005482353612392091,0.0971677706757514,0.12249427694660481,0.18078701326142768,0.2577871458178384,0.32268755096075635,0.4887881091816681,0.5246968533940716
7,8000,46560899.9875668,160204,2810103,3453729,4829889,7271817,9522723,13800058,15018366,367305,398652,425761,437247,479123,950323,835913,984619,0.003468099853304762,0.06087448342543597,0.07486113786133307,0.10471609872925625,0.15780244329471038,0.20878321716026182,0.3018056189661117,0.3295215334506343
8,9000,52769016.92555103,71046,3106898,3679668,5011896,7066385,9100063,12458768,13796868,984823,1211350,1736504,1494061,1740355,2529637,1380531,1861073,0.0013719630376431318,0.060260639886718356,0.07210438579358414,0.09774549601323991,0.13847874377559813,0.1811340628304976,0.2424427919135352,0.2710160131427988
9,10000,58977132.71606982,117846,2940229,3473122,4587503,6147912,9239367,14112595,15699509,3745004,3944000,4981500,4481554,5140976,5744663,3801866,4384724,0.0021336494308558606,0.05342652425711258,0.06432227617857607,0.08418119612788375,0.1141967104454334,0.17356637873990693,0.25577755831472404,0.2875767779665434
10,11000,65185247.223798215,68106,2498869,3091110,4202071,6814667,9707752,13620274,14870380,3517180,4649217,4922259,4236532,4733028,6196951,4511071,4538240,0.001104396538857591,0.041279036480618654,0.051293672801630205,0.06894437371764724,0.11272815270472769,0.1645708152540861,0.22448222370191362,0.2451956111391558
11,12000,71393360.3140791,94697,2111409,2922193,4542418,7524252,11422604,16395171,17697673,2397925,3971210,3733853,3330756,3926309,4285364,3509588,4313277,0.001372511088145512,0.03131625126407597,0.04318968783551765,0.066738821497907,0.11152483847222518,0.17021226422168656,0.24151826631178006,0.263829025332852
12,13000,77601471.85151625,109676,2417027,3506664,5387984,7393471,10471701,16535013,17926543,1552090,4013001,2976472,2319128,2562042,3938638,3266435,4302880,0.0014421681982128211,0.03284518582913588,0.04699047245530749,0.07157035400793359,0.09852781417222625,0.14215718364987195,0.22243902337774557,0.2445687229069077
13,14000,83809581.70148218,47698,3003798,4332920,6769982,9146047,11796467,18410941,20253026,1978886,5081986,4395749,2822863,3157704,4727932,2024880,3054105,0.0005828864045590176,0.03815432153408755,0.054561275442875465,0.08359373127529983,0.11340153832316689,0.14916819571328324,0.22511472949061745,0.2507944578776572
14,15000,90017689.72859025,91993,3132677,3961253,6208961,8110901,9899283,15278862,16905518,2591305,6030241,5007734,4079600,4036807,5179198,4154698,4960064,0.0010522338340489146,0.03729934707414922,0.0465975186794241,0.07224923220435951,0.09433377214331592,0.11668386363667495,0.1779446731636829,0.1987537020365898
15,16000,96225795.79826462,74934,3179770,4125733,6392428,8215803,10096069,14711124,15992995,4093170,8906912,6950938,5569896,5850764,6292702,5741013,7036961,0.00081332751944004,0.03641560521257138,0.0462138288623541,0.07051309417506181,0.09090788502668896,0.11226200026707873,0.16258119371075222,0.17931611099275377
16,17000,102433899.77490103,92277,2852006,3796578,6024240,8361497,10935261,16402790,17730002,4120721,10870556,8464841,7574994,9085184,8253566,6443716,8932420,0.0009386025469818087,0.031147901358991,0.04040242660187269,0.06350737393382383,0.08957270521174307,0.11610981360648179,0.17087986870058383,0.18962268878186603
17,18000,108642001.52416492,169855,4303558,5140056,7569648,10173989,13336230,19377457,20636982,4741854,11296553,9365579,9109896,10074153,9229754,7006069,9123817,0.0016347907490746865,0.044209134225024295,0.051775193639243565,0.07605232462566766,0.10321812997171935,0.13415077449846669,0.19065557346456014,0.20736895572074013
18,19000,114850100.91040647,186536,4389164,5248781,8593354,10932810,13805313,18349986,19531113,3903119,8937761,7592448,7048785,7830111,7613361,5307226,6838523,0.0016813075650010407,0.041441478903335424,0.04893619110222714,0.0797147412109693,0.10215670931339631,0.12873678378822392,0.16751419035704684,0.18082425400914598
19,20000,121058197.79920316,621278,5940631,6831920,9079457,11033889,13191542,18110097,19986482,5290299,9835562,8159821,6550207,8937270,7983082,5741983,7808040,0.005366582674853526,0.05341206812186122,0.060513890400311056,0.07929103407221064,0.09841061090540153,0.1166617598112861,0.15704727241988126,0.17648083135951823
20,21000,127266292.05496025,287582,4366183,5230861,8765803,11500797,13731653,18062507,19637939,4100454,8949858,7149377,5949126,7279627,5960344,4169971,5905404,0.0023349169261664294,0.03690259121545046,0.043548079782157134,0.07225525690262855,0.09585062635695413,0.11319851351212046,0.14673474272180256,0.1618143976592083
21,22000,133474383.54323983,116323,2605699,3132822,6268124,8395496,10761091,14784244,16074053,4458305,9267631,7666311,7494816,8856340,6959397,5344023,7686100,0.0009016163048314498,0.020978722546448378,0.0249015976214345,0.04975508427466699,0.06736982672245966,0.08505783618229382,0.11538439396657124,0.1277865676136246
22,23000,139682472.12842083,139085,2960646,3773361,7235718,9951586,12294949,16317816,17722024,5792060,11009710,9765785,9675192,11406309,10156470,6423266,9507062,0.0010387973103450961,0.023009112037597753,0.029044467523021776,0.055656252425653224,0.07757938620316536,0.09492263173389662,0.12245169751555214,0.13613956723867313
