,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269737,130916,430678,573419,711332,813475,976976,1453716,1598608,0,882,882,0,3527,3250,1487,1487,0.04217572258973657,0.1387860808087884,0.18478439964728785,0.22916176098568927,0.2623661270214366,0.3150711593902006,0.468551652185029,0.515252236060004
1,2000,9312181.820186505,324416,1158716,1515474,1894198,2142720,2498264,3662687,4080749,2645,11463,8817,1764,2645,6449,2040,2922,0.034847705773776695,0.12458348891110381,0.16289525664001847,0.2034493012647692,0.23016397500612423,0.26846504711382096,0.3934082928853416,0.43835375516656755
2,3000,15520302.808603141,572574,1872721,2286779,2686481,2961611,3343146,4895497,5609957,405299,400229,434192,423153,493424,398179,425359,444161,0.03788116809299796,0.12385660438604765,0.15158174489185913,0.17794623714133798,0.19708756806532757,0.2210764864984142,0.32431369484196976,0.372108266904116
3,4000,21728423.459529396,905564,1847407,2223069,2691059,2934248,3355569,4667366,5238138,3388297,3377161,3384530,3450839,3432316,3401753,3414854,3401618,0.04937610446679748,0.10066920486119925,0.12118850367859865,0.1472327487233665,0.16037553378446726,0.1830975794217542,0.25485834480898284,0.28581838834745327
4,5000,27936543.637845576,2001760,3912230,4427642,5144773,5490066,5953812,7011814,7663760,6938554,6945272,6911675,6934188,7075675,6887910,6937107,6954713,0.09533103094746471,0.1863741305193995,0.21059070932933552,0.24496171232951044,0.26317533058235065,0.28285978569625575,0.33390486235060124,0.3652569755365692
5,6000,34144663.20869318,2126616,5245370,6086491,7282726,7823534,8588878,9813321,10431053,12002038,12171881,12122889,12125134,12253702,12031832,12110503,12083540,0.09604172856455577,0.2387212484145387,0.276385133292182,0.3307394055057646,0.35738649963406705,0.3884115027578861,0.4453685054049999,0.4728251096430869
6,7000,40352782.03686777,946762,2737656,3648351,4994781,5664819,6075179,6971977,7657400,19871651,20333551,20299221,20310379,20274426,20205700,20316729,20348532,0.046226060381907054,0.13675130652912115,0.18193033114131874,0.24921068550573294,0.28213559863159565,0.30154138395241764,0.34797157839276355,0.38278865670482204
7,8000,46560899.987565726,306388,1742323,2616295,3958964,4424310,4711311,5807123,6371740,21027697,21765941,21801429,21712176,21653598,21399320,21460232,21543195,0.011999591283130683,0.0702692430696799,0.10566845314723851,0.159322627672192,0.17763104178078834,0.1872422559445083,0.23135332505400696,0.2546892292145453
8,9000,52769016.92555556,199983,2218918,2881890,4166833,4604289,4804407,5460306,5916877,22383669,22088968,22207052,22029056,21947939,21877009,21908774,21928179,0.006581560312883716,0.07232446093499245,0.09429662022778507,0.13555101810607437,0.14938766940991102,0.15552265205867477,0.17693658514522861,0.19185201823252393
9,10000,58977132.716065794,106767,978187,1546584,2082597,2398005,2562304,3141070,3522565,25390924,25212276,25305642,25173639,25251730,25196098,25223584,25215506,0.0031788940782985294,0.02897056570462403,0.045931557145525284,0.06160892768933537,0.07110382106297757,0.0758503705270284,0.0930589558574306,0.10433635291405416
10,11000,65185247.22379351,81390,360357,666573,1108669,1292171,1375659,2206019,2488397,27983901,28067894,28059788,28025515,28073562,28016326,28023238,28069759,0.0021878240510539372,0.009708585572556362,0.01795460619037399,0.02983522575790025,0.03481844039708407,0.037011001522405725,0.05936221011934858,0.06704470610748349
11,12000,71393360.31408775,31263,538918,996691,1212930,1333602,1413604,1858627,2541069,30978508,31209577,31225822,31269854,31247285,31266213,31200779,31264636,0.0007735522514603472,0.01341133053071846,0.02481334534883448,0.03022991037984456,0.03321873905646819,0.035228120975938776,0.046243036382152936,0.06332294493368489
12,13000,77601471.8515026,50714,423829,712234,1260236,1397334,1508527,2386819,2797049,34529799,34517110,34407968,34344717,34401337,34304145,34253419,34285361,0.0011774327914972262,0.009837188756811508,0.016489377718664124,0.02913385445409166,0.032345593475650865,0.03484111167356393,0.0550617350259428,0.06457294861001985
13,14000,83809581.70150381,49390,392206,492784,616336,769306,965754,1170616,1383625,37563462,37154856,37330008,37188094,37412141,37527598,37400236,37271509,0.0010679814937726323,0.008406565339368358,0.01060216264384663,0.013219998554016963,0.016580785240920964,0.02086673739459055,0.025223712644629425,0.029731033531934167
14,15000,90017689.72860181,22931,282375,404348,490824,530957,605265,775920,922877,39848983,39736900,39833885,39766534,39899287,39791039,39790145,39828521,0.00045707775813417064,0.0056159619115801855,0.0080573404544902,0.009767417144609753,0.0105940527050554,0.012050674118617447,0.015448097337677675,0.01838797141651144
15,16000,96225795.79821432,30870,153712,219757,269737,315656,349532,476925,588076,42649409,42855719,42856850,42730330,42782312,42816370,42872967,42916798,0.0005761866718684525,0.0028801157731356865,0.004117694226730499,0.005042240421224706,0.005906351486961762,0.0065443879011274865,0.008939076160399621,0.011031458558384279
16,17000,102433899.77492583,20104,172848,230245,303697,347916,414987,756696,993289,46228896,46195037,46194227,45941539,46281046,46221964,46282409,46199587,0.0003576905728982229,0.003073461863760597,0.004093996082115427,0.005375895003042537,0.006195873880150975,0.007382542413440797,0.013475973470287611,0.017663397149985178
17,18000,108642001.5241518,42510,94079,118543,149413,163404,202168,559853,816929,48438948,48300385,48353796,48289181,48389355,48310292,48290714,48519116,0.0007061103633712891,0.0015591063915621943,0.0019662718266263706,0.002475658945222094,0.0027119804593894606,0.00335094101583627,0.00927657093936818,0.013587654565778179
18,19000,114850100.91041958,27286,103613,136232,157400,183858,236449,896868,1154068,55284010,55115947,55130830,55200235,55536868,55050341,55102674,55207763,0.00045807941368915657,0.0017345688055678062,0.002281206684595186,0.0026387318327987306,0.003099780453337953,0.003954012530388117,0.015010989533401844,0.019349811567302477
19,20000,121058197.79921722,8793,598528,847801,943781,1065955,1187933,1600427,1776599,62811493,63446459,63389245,63427361,63906718,63352541,63433960,63407208,0.00015096132957753464,0.010388993848735081,0.014701168633176701,0.016376319561141942,0.018651398069566692,0.020586075367503905,0.027773504017119345,0.03081645269556365
20,21000,127266292.05492377,22032,376750,598588,677129,730285,831776,1584863,1786266,68254294,69686360,69588636,69680928,69697743,69633749,69695134,69628968,0.00037334780597488547,0.006543078231503113,0.010378160988893034,0.011758699647260507,0.012685485599146598,0.014432401485516924,0.027528767069233108,0.030991480421572504
21,22000,133474383.54326296,21252,98131,122743,167599,213130,246628,644961,886942,67083612,67277544,67211891,67379611,68175784,68170468,68119299,68095601,0.00032010473000982254,0.0014824121616239165,0.0018523752320343332,0.002535737601491805,0.003263929111661771,0.0037766188742023024,0.009868566531698948,0.013566205510374652
22,23000,139682472.12842894,17641,52881,93175,144337,177422,222613,923730,1555874,67388766,67721512,67858972,67830758,68671444,68785497,68775199,68719949,0.00024401847608505458,0.0007348567877029868,0.001297277351192744,0.002008817767965976,0.0024985133249883188,0.003139950605745019,0.01302729549797971,0.021925291427196833
23,24000,145890557.67619276,16766,57466,102507,131919,144306,168773,519318,745034,68206891,69424873,69415335,69701934,70143594,70082868,69929810,69907391,0.00021582400416145873,0.0007515266520315586,0.001340394920247955,0.0017314789746126066,0.0019051060662561622,0.00222633087383222,0.006836662564378129,0.009805250723163607
24,25000,152098640.0507548,23125,53848,61014,113815,136748,237911,563566,768753,71363908,72102387,72122956,72340005,72375991,72339311,72326885,72431301,0.0002864318665907284,0.0006731315273708552,0.0007629068850637004,0.0014269928256366634,0.0017152967397375428,0.002982861100155513,0.007064731114934491,0.009649537805075173
25,26000,158306719.1179254,55068,115225,178319,253425,273119,299839,1012802,1357754,73155722,72615085,72599571,72535237,72766496,72879207,72720659,72729652,0.0006467099841912181,0.0013446470146832765,0.0020805615857693565,0.0029546533852775367,0.003192872195615848,0.0035098645924055215,0.011833726176955722,0.015865862733166723
26,27000,164514794.74182296,176128,317166,431244,490674,553427,580770,819810,941253,75347609,75132019,75174848,75020887,75240064,75233743,75111714,75120209,0.0019752557909584103,0.003548401773918007,0.0048270008627408385,0.0054827642727985895,0.006199144992108427,0.006504963692401746,0.009169818234423449,0.01052919471788142
27,28000,170722866.7880864,76461,187268,251873,313989,372253,398510,576971,662529,75264910,75494044,75524956,75460591,75505907,75500557,75476764,75488220,0.0008009913743465194,0.001966505460397523,0.002645782852952281,0.0032960476474284245,0.003909524110289609,0.004185048660202306,0.006057686174138862,0.006956806397090355
28,29000,176930935.1217661,14111,77285,150757,261556,365100,513683,805342,966832,66896560,66995708,66990671,66847349,66867434,66914992,66829900,66860297,0.00012824174249532935,0.0007030048695346565,0.0013712628508243958,0.0023759763759030037,0.003317175960049467,0.004669168717041798,0.007314572466183748,0.00878374120926271
29,30000,183138999.60710478,5426,43910,119139,186160,249220,345570,609558,738929,55448385,55786673,55790683,55454699,55706587,55638294,55565902,55626687,4.2493334507750846e-05,0.0003447915022037009,0.0009355365125678719,0.001457970941727831,0.00195570337955059,0.0027103379416964076,0.004778107700083412,0.005794961952237608
