,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275186,1683466,2146122,2251404,2357717,2495235,2564427,2704511,2772439,0,0,0,0,0,0,0,0,0.5423431437352272,0.6913917788178279,0.725309286423406,0.7595589396031691,0.8038615536388437,0.8261523553546657,0.8712816285012606,0.8931652216760836
1,2000,9312181.820187192,4436039,5762514,6202024,6553599,7106599,7334357,7776633,7968355,0,0,0,0,0,0,0,0,0.4763694573041345,0.6188145926777193,0.6660119099645466,0.7037662200487683,0.7631507993748713,0.7876088699321128,0.8351032175017901,0.8556915182568698
2,3000,15520302.808602419,6063774,8058294,8658528,9363920,10184199,10620171,11147404,11363860,0,0,0,0,0,0,0,0,0.3906994647449172,0.51920984399438,0.5578839605629891,0.6033335892654023,0.6561855864278122,0.6842760177406829,0.7182465533998049,0.7321931885054052
3,4000,21728423.459523864,7782767,10666594,11710695,12551996,13713813,15154529,16233982,16668784,0,0,0,0,0,0,0,0,0.35818369494215224,0.4909051050054295,0.5389574177719296,0.5776763336457478,0.6311462506953789,0.6974518435831368,0.7471311496777934,0.7671418973885031
4,5000,27936543.637853235,7883767,11725643,13076883,14236165,16131022,18257902,19888238,20419560,0,0,0,0,0,0,0,0,0.2822026626557237,0.4197241846379336,0.46809237282600663,0.5095893459314843,0.577416526865654,0.6535490659360256,0.7119076095387833,0.7309264977336734
5,6000,34144663.20868708,7424410,12319161,14133906,15402392,17393890,19637975,21807087,22814717,0,0,0,0,0,0,0,5289,0.21743983692628963,0.3607931618685804,0.41394187764031165,0.45109222210987643,0.5094175301625071,0.5751403925109945,0.6386675090838747,0.6682816404465487
6,7000,40352782.03686947,5738012,9440623,11078282,12054907,13921503,16074172,18685438,19678186,0,0,0,0,0,0,0,0,0.1421961934311568,0.23395222146949637,0.2745357678159095,0.2987379405213175,0.3449948751310436,0.39834111029354496,0.4630520389629523,0.4876537628067494
7,8000,46560899.987565696,3704138,7866435,9171326,10061507,11678776,13977896,17191220,18807410,92997,104894,133294,122494,122257,115700,143260,158810,0.0797139049074624,0.1693308503986656,0.19754035998445144,0.21666348760321488,0.25148831336710425,0.30095458742221287,0.370359630618988,0.40531385558365574
8,9000,52769016.925558954,2340130,5151554,6611392,7253673,8451980,10882634,13085875,14294868,47937,90140,837205,194808,741774,610712,559026,524324,0.0443869891000756,0.09779164440577791,0.1273090954245352,0.13797017869105066,0.16245296742118678,0.20864623602189228,0.25063928891805115,0.27361378160204897
9,10000,58977132.716071576,1298479,2761090,3672362,4244670,5340827,6758964,8505415,9859532,93745,188391,631891,384020,569426,541153,528253,598032,0.022051703381284808,0.04696630544220642,0.06294192794454434,0.0724431559143934,0.09144045024678923,0.11566442511686152,0.14551887121390425,0.16888804176604424
