,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922808,22886,2767956,2839618,2885789,2909428,2917849,2938129,2947470,14673,13805,14659,13152,13139,11699,19610,20289,0.007407940584561199,0.8957045410160492,0.9191482172907084,0.93363775710209,0.9412817110884154,0.9435665519909965,0.9525615265676343,0.9558003491775431
1,2000,9312181.820184713,62240,7011799,7237860,7387934,7484342,7531434,7619339,7654889,977776,968637,962659,968436,969916,961108,998232,1008656,0.007467838900916466,0.8403860890202265,0.8668591194819777,0.8854457169737281,0.8971593762801343,0.9018521644242172,0.9164523679829859,0.9218841689384565
2,3000,15520302.808602378,77466,11467003,11788970,12073658,12186888,12269052,12387062,12455753,2023105,2009119,1999725,1973871,1998204,2002474,2042196,2043184,0.005739413550761433,0.8487045371034863,0.8719279728192789,0.8912795760971444,0.9012571326758125,0.907620016033367,0.9190505889220272,0.9242148249112084
3,4000,21728423.45952701,104014,16214713,16907083,17521276,17781968,18034096,18293518,18362627,1121452,1085666,1101037,1020417,1074447,1049683,1078710,1149453,0.005047515119059976,0.7854916200895736,0.8196425190934093,0.8461111905795785,0.8609464639821334,0.8721080490998386,0.8858969416624061,0.8923005665474895
4,5000,27936543.637849785,126755,20611540,22233924,23437710,24010035,24368356,24729141,24866239,11641,6517,10787,6246,6688,7541,1363,3071,0.00453913847592774,0.737970653134572,0.7961798238213093,0.8391500263942175,0.8596548192487701,0.8725107844336573,0.8852329011430885,0.8901950474394762
5,6000,34144663.208686575,215764,18544019,21289174,23146819,23983949,24607380,25560607,25829824,13172,8542,8542,5980,6338,8901,2935,1709,0.006321552102156245,0.5432374371602925,0.6236553318360778,0.6780231931766572,0.7025520101934358,0.7208680400796244,0.7486617796194831,0.7565198911062134
6,7000,40352782.03686714,100712,20183072,24356779,26974710,28409807,29436071,30559189,30833367,166722,79903,85656,49852,91360,138966,160876,215244,0.0025061426750372065,0.5011579127860152,0.6048799951031967,0.6692989808762008,0.7056334715148738,0.7319890003230148,0.7603319178734329,0.7681927818213197
7,8000,46560899.98757464,175083,19307077,25161377,29268921,32016902,33528962,35058938,35515786,1617413,1492930,1527154,1331153,1341050,1254358,1329266,1492498,0.00389562563421936,0.4283990826594367,0.558722718890459,0.6471166201314515,0.7080276031167175,0.7400468128685554,0.7750977559119547,0.788041830500041
8,9000,52769016.92554128,287182,15584957,21557870,26310215,29528985,31865244,34721021,35487406,437430,358795,398969,234465,227958,232007,380093,414003,0.005487737270582103,0.2973648350915477,0.4116450309659934,0.5008173485002826,0.5620173175772321,0.6065294550481919,0.6627549947265168,0.6778224918528298
9,10000,58977132.716080576,441916,10521718,15446217,21020458,26051929,30530960,35278329,36303854,685512,514910,603722,400272,527764,487196,636093,588766,0.007581123917491132,0.17997464877615582,0.26461049321116525,0.35885258689237753,0.44571788493641334,0.5219865452787565,0.6046914688473783,0.621765191284271
10,11000,65185247.22379351,260986,9059138,14615454,19653351,25782047,32456350,38981250,40573745,871994,524593,755406,478475,558852,500638,696528,652467,0.004058043823282211,0.14010278907240725,0.2268429305798539,0.3037294293096142,0.3989398899740554,0.5017630992823761,0.6044661836859311,0.6287307761930314
11,12000,71393360.31408781,286852,7971696,13250741,17829337,23303169,30013168,37447072,39183997,1378933,775238,1198929,519261,894966,837922,762001,1026796,0.004097041295691376,0.1128845647374244,0.18877196882910877,0.2515635072974539,0.3305489327342494,0.4253841903212622,0.5301762894506686,0.5568553386392225
12,13000,77601471.85150981,508687,7298385,12748806,17384895,22555254,28681741,35871303,37663938,1573825,855405,1376754,760623,1206177,882129,537962,1197647,0.006690816052659377,0.09509783757545642,0.16725291164521483,0.2262454834875033,0.29524402050991283,0.37385279818563455,0.4654771508476423,0.4929588024316786
13,14000,83809581.7015158,294051,6386657,11083790,15360397,19475829,25241914,32599163,34284945,1475191,1056588,1204755,693730,753402,843192,575797,1262122,0.003571423769515871,0.0771773529189315,0.1341784789410691,0.18480706971712196,0.23448982447773917,0.30424264682134083,0.3916578240062455,0.4153361608457884
14,15000,90017689.72857153,230621,4364073,7639373,11280798,15215844,20766346,28299172,29919521,3261517,2915515,2446498,2050758,1939878,1972560,1679029,2278789,0.002658266181491536,0.05010291664472624,0.08723614295073627,0.12823907550632477,0.17275456441731893,0.2358602464897171,0.3203486646345222,0.341006335292014
