,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270306,62493,143679,166031,186491,219257,281965,300688,321078,105655,104875,105655,104094,70355,103314,780,1560,0.020842076665961398,0.04790600441661554,0.05537309508146892,0.06216435815756095,0.07227365697174294,0.09396494767458326,0.09689358969604234,0.10349006764907398
1,2000,9312181.820187671,353144,742344,989988,1107884,1380159,1744133,1867691,1977572,1229748,1201511,1229748,1196801,1013999,1208141,1022115,1022708,0.04369277965727904,0.09152683131366723,0.12248637254873469,0.1365165756909458,0.1663206306617364,0.2152176967884041,0.22529263521156023,0.23856423735653084
2,3000,15520302.808600849,1449623,2451474,3426322,4056676,4579922,5151731,5677726,6131157,3139756,2814103,3133467,2458185,1959380,3028523,2567771,2672618,0.11708877018201952,0.19293526285810436,0.2766099472813646,0.3105680150372592,0.33772937613768,0.412409686924911,0.43834874014590947,0.47721882123816683
3,4000,21728423.4595289,2541187,4133349,5477958,6636458,7541582,8581983,9978129,11106727,3047992,2694455,3033220,2576294,2120418,2869475,2547285,2685142,0.13603470591701664,0.21715644894487243,0.29301408844565946,0.3465127997397759,0.3846174979686686,0.45506158619696335,0.5202052537732981,0.5832359839665344
4,5000,27936543.63784544,885438,2109633,2997053,3537805,4032579,4781254,7129829,8190452,4497481,3646350,4428830,3874619,3449459,4226789,3582061,3722012,0.03777616936653193,0.0868512219973857,0.12749232214463413,0.14702917797504925,0.16468187453264818,0.20165767520715613,0.29275222578206866,0.3382453198970389
5,6000,34144663.2086976,737126,1705228,2349761,2903241,3545798,4644119,6307928,7523500,3998561,3316048,3966532,3221383,2785909,3599578,2897825,3072912,0.02445178467507909,0.05531315592530761,0.07786303875976185,0.09388528579136385,0.11307203010687665,0.1520414485102698,0.20187412108288702,0.24213311793942346
6,7000,40352782.03685649,578407,1413714,2043282,2458217,3058176,4059222,5887323,7015563,3374133,2678005,3210259,2547932,2092382,3106538,2462645,2524147,0.01564164768224777,0.03752415040484491,0.05501193330276603,0.06502385269624002,0.07993058088922331,0.10898339161348068,0.1553787729580731,0.18545641398809998
7,8000,46560899.98757753,460540,1106960,1484366,1754141,2066773,2643106,3727451,4593495,3279717,2680062,3195364,2467049,1942039,2921069,2003966,2122828,0.01064065185399815,0.025226500923099405,0.034229163002279295,0.03978198684651496,0.04632061317242985,0.06056636655518634,0.08365591315235499,0.10336845849847158
8,9000,52769016.92555842,347241,834858,1166164,1325949,1520374,1988308,3367887,4148727,3686951,3309232,3663893,2934781,2516812,3308361,2256541,2386361,0.007074702204398894,0.016879531547833032,0.02374831599585946,0.026607190325556137,0.030254871447973685,0.040199790374647194,0.06667435991384277,0.08234434893884601
9,10000,58977132.71606696,203368,428742,664523,729208,783065,1118801,1842114,2343964,3360720,2980005,3230284,2582008,2286081,3016196,2085618,2353200,0.0036566184345300156,0.007656499850741154,0.011920368869361327,0.01293033757211018,0.013812850111194349,0.019992535251447657,0.03237941561573085,0.04139528795630445
