,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228034,2169766,2382551,2422665,2462064,2524518,2558062,2598452,2627639,340372,341004,336582,335318,337214,335318,337214,341004,0.785097849682896,0.8622881539223671,0.8754051339055084,0.8892354146641862,0.912417035816819,0.9239074708483197,0.9391384302081763,0.9509899189920447
1,2000,9312181.820186198,6638310,7156689,7253167,7323757,7461589,7530260,7655892,7725469,1164955,1164955,1155835,1159625,1160888,1156467,1163416,1173167,0.8147938122395723,0.8784202475212836,0.8892666238822862,0.898338663750979,0.9153870740767331,0.9233108520864247,0.9395155252878606,0.9491896956422132
2,3000,15520302.808599655,8487229,9219387,9536400,9652452,9825858,9957394,10412021,10662268,2196268,2203452,2173746,2182239,2179080,2165497,2180347,2214731,0.6369864025364251,0.6923098510682701,0.7145213658293773,0.723677149735678,0.7365035530076242,0.7456038030585264,0.7805139049477098,0.8013385785576509
3,4000,21728423.459532972,9745867,11179442,11747750,11977167,12401531,12743310,13658143,14151962,2389045,2405102,2312718,2405101,2411422,2366782,2410155,2423512,0.5039389978531582,0.578546603564613,0.6050642880056639,0.6198295880577815,0.6420008315462348,0.658173018369042,0.7070065843949966,0.733075726851449
4,5000,27936543.63784846,10890122,12834206,13651581,14031640,14651355,15147274,16371429,16959865,2565720,2603870,2512030,2602994,2596049,2589830,2589736,2608297,0.42923801589767874,0.5066265876028563,0.5369456106203517,0.5538757971380629,0.5781795189631695,0.5976030745611788,0.6458970783979041,0.6696028052197094
5,6000,34144663.20869078,14356989,16862861,17922446,18548075,19550592,20125312,21410635,22003131,3176877,3186844,3130609,3175097,3171305,3164989,3176361,3195062,0.4636104403217194,0.5447044214040146,0.5778814301220174,0.5989129739503739,0.6312067250917055,0.6496295559607342,0.6913725801213421,0.7109342330983389
6,7000,40352782.036864206,15311815,18444135,20301647,21215957,22799329,23728299,25183871,25856470,3311543,3334272,3290056,3333828,3333203,3311087,3328148,3348521,0.41337210628298277,0.49824087953925605,0.5477645378757918,0.5731106551220418,0.6158721842108567,0.6405835093773489,0.6801923004809515,0.6987430440575855
7,8000,46560899.98757455,13505954,17977921,20151092,21261957,23505969,24973248,26858703,27576443,3222628,3242794,3197645,3215224,3227951,3220291,3264007,3285323,0.3116403442175145,0.41502093847678434,0.46470432179904764,0.49052083086891857,0.5424502497335271,0.5762089777547809,0.6203378844691692,0.6372287770517272
8,9000,52769016.92554125,13086105,18336813,21458334,22837642,24506700,26246044,28570090,29477726,3106759,3130158,3044901,3117226,3134838,3105252,3141156,3157584,0.26350201433893783,0.36940440205334674,0.4315478234370725,0.4599560574612052,0.4937464571895859,0.5284747147009408,0.5756865088919487,0.5941720337778049
9,10000,58977132.7160694,10378429,14793020,17459369,18761439,20212054,21289677,23111207,23896439,3040558,3126155,3033645,3143835,3157153,3140670,3175478,3176738,0.18553922997037742,0.2648659093347217,0.31208939079042997,0.3360259874924111,0.3620935389588,0.38128627718161234,0.41416705503796797,0.4282485656524989
