,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270473,0,159496,299881,502029,1341904,2005553,2587041,2653079,7771,7771,7771,6983,4482,4618,4189,22319,0.0,0.0515119769463609,0.09685172768377673,0.1620976482030558,0.43293110468200485,0.6470689217113058,0.8345639140692669,0.8609024763264911
1,2000,9312181.82018723,23007,1249401,1807475,2264625,3626397,4504282,6305836,6694054,207029,207029,200723,181018,150405,155242,142086,160759,0.002526810966751781,0.13721911369020914,0.1983738318605339,0.24801055425085616,0.3958180897846725,0.4918981765141602,0.6876521383907689,0.7314768568264062
2,3000,15520302.80859829,38498,2542097,3010705,3335760,3998511,4755130,7006713,7744312,807936,807936,727528,656498,704600,744952,739234,757954,0.0026167101800031773,0.17278640704596437,0.20352537228174594,0.2244216768825138,0.26988331580729774,0.321828568512419,0.4740329059238347,0.5245989036303862
3,4000,21728423.459532004,61693,1965207,2283103,2624866,3535164,5212055,8647367,9462389,1400803,1400803,1204341,1288381,1322299,1349224,1364117,1388926,0.003034934665511771,0.09667668696945182,0.11124019816728314,0.12841783500189946,0.17324034296716603,0.2557536673778496,0.4246335134066101,0.4652223595409187
4,5000,27936543.63784243,70016,1810737,2313024,3005956,4398599,6434841,10604296,11377917,1621602,1621602,1343244,1288908,1412326,1496025,1486120,1539077,0.0026606937215970443,0.06881022291138407,0.08697769857443911,0.11280385400238765,0.16583331731241957,0.24337045305874863,0.4009121420962237,0.4310230658153021
5,6000,34144663.20869209,33660,1169428,1533035,2104031,3533289,5316073,8990895,9851853,1583029,1583029,1186874,1104948,1416047,1446018,1382414,1455202,0.0010337319000719783,0.03591429080324936,0.04651510422294001,0.06368187457761354,0.10795717660258507,0.16257777550327557,0.2744285028396232,0.30137703821745476
6,7000,40352782.03686832,21486,1335476,1836876,2353006,4395286,6318447,9843894,10588455,1478604,1478604,1040223,968540,1298880,1323464,1222901,1268164,0.0005527062200420714,0.03435380675402147,0.04672491552323854,0.059744859322094036,0.1125440934391316,0.16188976179474612,0.25156974003383875,0.27091105227156026
7,8000,46560899.987578064,20833,687763,959808,1272576,3087023,5183514,8812238,9688621,1516402,1516402,1205823,916887,1272866,1321780,1300122,1376539,0.00046249821689088697,0.0152685240312738,0.021162085123631783,0.02788045828368179,0.06816420869244913,0.11458034553774056,0.194699216226874,0.21442421201139844
8,9000,52769016.925534636,9131,549371,739337,1002863,2580880,4186297,7411854,8235179,2290665,2290665,1745620,1286055,1840083,1922193,1865777,1988792,0.00018088942391522602,0.010883299058781253,0.014490156370400324,0.01947951249290103,0.050676104938179437,0.08233153374792589,0.14560672387146,0.16217295240571045
9,10000,58977132.71608052,3944,610623,893483,1208890,2083355,3721354,7691889,8797679,1947979,1947979,1586794,1177015,1404795,1647528,1595499,1719106,6.915761050278236e-05,0.010707207808833793,0.015568526340647822,0.020915009307388932,0.036186736246044404,0.06491155866902722,0.13404792617196676,0.15364970650532797
