,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226507,1990192,2008757,2129893,2166369,2181942,2201420,2281352,2359381,0,0,0,0,0,0,0,0,0.6411575796107858,0.6471384550567096,0.6861634659922035,0.6979145251231229,0.7029315018707326,0.709206508169451,0.7349572938491489,0.7600950116067572
1,2000,9312181.820187794,7788169,7902450,8100111,8209626,8269719,8317966,8464009,8596507,20213,20213,20961,19465,19465,4501,2257,3005,0.8381613359570655,0.8504602364604457,0.8718026572353363,0.8834473447167944,0.8899140219181756,0.8936668715539576,0.9091382759231851,0.9234443781707632
2,3000,15520302.808602504,11841862,12041765,12653135,12931007,13074946,13201501,13502352,13719457,46375,44131,47872,48619,48619,48620,45627,48619,0.7652783537878916,0.7780842154586658,0.8177858512681145,0.8357853715191719,0.8450887545110067,0.8532685916143364,0.8725450644008922,0.8867462113187552
3,4000,21728423.459525023,13529654,13953020,15250068,16047998,16531010,16886735,17429634,17804329,35884,22399,52529,53020,35774,64196,55964,73459,0.6237007900916477,0.6428178511462584,0.7035496518252641,0.7403782831524587,0.762055830517346,0.7794755216427289,0.8042296275857005,0.8221823237474165
4,5000,27936543.63785182,15716183,16066156,17134711,17717887,18250615,18708318,19675697,20196708,29215,32974,44749,61468,68235,64511,67504,61236,0.5631561230365674,0.5757742184428583,0.6143280209279387,0.6356175398477025,0.6548877880307133,0.671221874740238,0.7060055622898611,0.7245375822355027
5,6000,34144663.20869064,13530779,13890624,15348149,15822162,16150945,16649095,18469134,19285472,25430,48546,48181,39638,43379,41812,69869,71366,0.39657336134252635,0.407396065510341,0.4501387828239948,0.4639246534252142,0.4736169142827754,0.48820243498459176,0.5420174774023879,0.5659995826609084
6,7000,40352782.03686768,14708031,15462993,17496154,18191750,18697178,19297978,21025868,21905063,97971,53918,67743,88254,148830,139926,163478,162729,0.36537324660472353,0.3837079126065087,0.4343089747036868,0.45180586702377257,0.4650582107663044,0.47989573240725203,0.5231707416657903,0.5450369269208417
7,8000,46560899.98756555,13734962,14318699,16840405,17640470,18430112,19540262,21843289,22996588,13463,14210,15697,11967,11966,13463,16453,16452,0.29507450654413236,0.3076201337587074,0.3618075315838429,0.3789661516991643,0.3959298403036076,0.41979243680419803,0.46929957092057584,0.49407800488134673
8,9000,52769016.9255535,12352174,13282328,15850123,16828551,17520786,18315111,20061406,20967486,38172,14245,24696,42748,44528,44525,23183,33652,0.23424949889270796,0.25177491087903403,0.3005086182144958,0.3191682503414182,0.3323083135948305,0.34737387371813405,0.38034105268512886,0.3975981967622637
9,10000,58977132.71606222,11310163,12024746,14859199,15884148,16960475,17925237,19674385,20594652,173927,174779,184414,181307,188255,195732,189407,195413,0.19233922474588158,0.20449429725319598,0.2527387629710081,0.27015775025778177,0.2884980230770094,0.30494742863624663,0.33466824512016263,0.35035810621873437
