,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227154,16536,2673953,2842445,2918181,2940873,2995180,3018768,3021751,4961,4961,4961,2480,2480,1654,2480,827,0.005335743273320873,0.862816082058912,0.9171841308983159,0.9408689790299428,0.9481852486075144,0.9654375966654425,0.9732998625130732,0.973742670078164
1,2000,9312181.820186526,130890,4935199,6173517,7709658,8088331,8403291,8668311,8728471,136010,52323,72141,15090,122756,126889,151245,156204,0.014264118258123395,0.5329669810128475,0.6681265938255213,0.8292547980713955,0.8801780609874735,0.9148637027152886,0.9462253883138891,0.9533084473791553
2,3000,15520302.808601491,297013,4154473,5570022,7706407,8340335,10026355,12173403,12766047,174940,78557,94967,90898,148558,139360,157225,184795,0.019355228266973015,0.2690416648152465,0.36109567202381676,0.49946236394704474,0.5425756870054882,0.6518686874248669,0.7923804820661877,0.8324502298410807
3,4000,21728423.45952823,494468,6054405,6540230,8809445,9515142,11152000,14765531,15796968,360602,200995,291922,168578,199813,182318,208557,179891,0.023140777403842887,0.28124144095437775,0.30509782635696636,0.40860427392844434,0.4419765975090485,0.5175877385798419,0.6861348804263768,0.7330878810271355
4,5000,27936543.637852155,427466,7149825,7824039,8609433,8933130,10858934,14673363,16251287,529149,240022,453471,280102,280005,243625,299623,367096,0.015596739699206207,0.25814884242462094,0.2846857446799464,0.31129937512339434,0.3230024594536086,0.39211952131175626,0.5309333551402622,0.589467268748881
5,6000,34144663.208686516,466620,4440382,4815152,5360490,5489459,6629053,11188644,12859255,507300,295658,472208,273515,237834,183805,218525,377750,0.01387207424984786,0.13118205313934853,0.1429997299026128,0.1582612424879432,0.1618983292779753,0.1951968633791598,0.32979421150666766,0.38082411976857766
6,7000,40352782.03687139,322838,3478326,3676653,4157390,4269299,5182624,8576210,9621274,478375,295904,460522,199225,177977,145108,230000,326581,0.00809637118118084,0.08683467535333844,0.09216457018483697,0.10353727805938678,0.10626807015197083,0.1288963891631088,0.21374913614212426,0.2403743985380242
7,8000,46560899.987559944,262054,4561385,4810126,5364895,5513727,6383524,9637278,10390522,910529,638967,815382,483348,385633,345737,506135,517466,0.0057404571820766056,0.09932911581129783,0.10514966736868228,0.11643185821695604,0.11940866528146876,0.13812618169751553,0.20925691408051192,0.22566783361135315
8,9000,52769016.925552845,134907,2483286,2644139,3007430,3090634,3533017,6272027,6913445,1386845,875401,1216190,761542,658136,659982,1027879,992775,0.0026255604803056107,0.0478534007644129,0.051289893448876946,0.057826879776513795,0.05930880355707998,0.06780046886394177,0.12121934792049675,0.13352543063941544
9,10000,58977132.71606454,134463,2704288,2851050,3210200,3359787,3807749,5565357,6096437,2313948,1793485,2178943,1369614,1423009,1479658,1809793,1813519,0.0023730222837594667,0.04729128182636532,0.05019614206460566,0.055725364875067906,0.05837612985952237,0.06622463019121311,0.0973520375032614,0.10664890834721204
