,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226898,23358,61041,61041,84638,90135,101676,163951,209411,0,0,0,0,0,0,0,0,0.007524981883429764,0.01966488651196319,0.01966488651196319,0.027266864314141978,0.029037770445369544,0.03275580349257662,0.05281823378586323,0.06746356628097055
1,2000,9312181.820186242,503212,2416429,2429952,2617170,2742111,2810252,2968566,3098951,881,881,881,0,0,0,0,881,0.054043147108841325,0.2595157268210423,0.26096804806607,0.28104799181720197,0.2944649334547849,0.30178233783066266,0.3187830797681557,0.3328161188049787
2,3000,15520302.808601556,1291909,5373924,5390340,5835977,6077565,6365214,6947813,7330979,23776,3522,23776,0,1761,3522,0,6164,0.0833676485032058,0.34632982615962615,0.3478418142707964,0.37602210936023905,0.3916324790665158,0.41021485567879606,0.4476596291761415,0.4725353492348193
3,4000,21728423.459527846,2511648,8966016,8974822,9579227,10173668,10624643,11828822,12348992,3523,881,3523,0,0,0,1761,5283,0.11561148483414438,0.41265670135962706,0.4131122265310049,0.4408615755230754,0.46821933579073716,0.4889744080968344,0.544438061853015,0.5684717650750027
4,5000,27936543.637851298,2006734,9054799,9094425,10150928,10762018,11352775,12103871,12583802,2641,880,2641,0,881,881,0,2642,0.07183865520032327,0.32413044191050616,0.3255694386102991,0.3633566174681137,0.38524298276061125,0.40639003796593715,0.433263010517895,0.45048493988210225
5,6000,34144663.20868561,2286682,9607926,9638800,10971191,11782465,12395613,13226484,13847131,0,0,3523,2642,2641,1761,1761,3522,0.06697040723536325,0.28138880566131835,0.28232214686104307,0.32133982147515533,0.34510155631620976,0.3630509475801586,0.3873860493509927,0.4055848899531586
6,7000,40352782.036871925,2146407,5971882,6016735,8039873,9141113,9844260,10914041,11654326,4404,3523,5283,0,0,881,1761,1762,0.05319685956244708,0.14800475008829234,0.14912287362598492,0.19923962101680254,0.22652993272303767,0.2439602533472888,0.27047744318605904,0.2888235784213266
7,8000,46560899.98756531,1431160,5447977,5474395,6760488,7875712,8703720,10010014,10676337,22017,16733,24660,3522,1762,1761,1762,19375,0.03075191985983829,0.1170496187300006,0.11763724360762243,0.14520766186200632,0.1691550217725979,0.18693902398677367,0.21499569005494484,0.22939379409790378
8,9000,52769016.92554805,1443630,4964817,4990353,6078860,6758819,7356226,8506905,9130671,7925,1761,7925,3523,880,3522,3522,2642,0.02736163993795139,0.09408897455280046,0.09458395984377958,0.11520521363027991,0.1280852308569506,0.1394135696136199,0.1612209837509004,0.1730395732676943
9,10000,58977132.71607846,1147545,4136364,4213853,5998439,6621095,7262460,8139091,8774258,881,881,3522,0,2642,2642,2641,2641,0.019457747256039153,0.0701360951169489,0.07145319658799766,0.10170787767654045,0.11227049050539513,0.12314578577649345,0.1380103628393122,0.14878056164081932
10,11000,65185247.22378993,1236604,3561597,3663881,5772089,6484984,7044316,7763680,8387938,91094,20648,91975,15295,5363,80295,2172,21139,0.01899715932625511,0.054655396372018994,0.05628663108844212,0.08856979026436866,0.0994936409787769,0.10819938820914984,0.11910576439275578,0.12872021468004613
11,12000,71393360.31408602,969608,2826024,2915611,5392404,6280611,6788279,7569226,8140945,27234,12815,35159,12883,6083,16224,16608,23567,0.013586389651200976,0.03959095559672505,0.04085880734530877,0.07554452145609117,0.08797941644933306,0.09510438987253622,0.10604609700778207,0.11406709508283315
12,13000,77601471.85151339,1066077,2623702,2740513,4349317,5484633,6135386,7348529,8153084,36017,20479,48790,881,867,6072,15129,29067,0.013744224178673783,0.03381887629385783,0.035337436882545675,0.056047472735385476,0.0706777094134085,0.07906893980494564,0.09471420780927634,0.10510289084896068
13,14000,83809581.70151037,773054,1753757,1798187,2606303,3456137,3946253,5107470,5914117,59964,20862,63870,14972,12344,16537,18935,50413,0.009230537657559462,0.02093070530553037,0.021471988994602686,0.031103468460370695,0.041244044491190984,0.04709523342966518,0.06095513283474795,0.0706085923688657
14,15000,90017689.72858107,590215,1666603,1694433,2232702,3011435,3557465,5131914,5976156,61357,66993,89590,29942,30823,32341,9688,48445,0.006561127850562943,0.018527960989883595,0.018842086123404128,0.02481117770314936,0.03346527231671604,0.039533824675506105,0.05701619746514621,0.06642443223824818
15,16000,96225795.79823315,746979,1917112,1981647,2850803,3481535,4136361,5484337,6506073,76621,92462,174355,103901,90694,65164,19373,85423,0.0077689590323319815,0.01994221904364285,0.020631101246702508,0.029658206446970724,0.036215023803760994,0.04301511879288631,0.05700593412044753,0.06767264168669385
16,17000,102433899.77490139,673013,1938189,2013352,2709239,3317357,4081164,5174495,5759630,88954,56369,163290,101282,65538,89311,17607,69934,0.006575928052961523,0.018931781078618877,0.01968651604240365,0.026474833331826302,0.03240607686283544,0.03987669547411235,0.05052413888259862,0.05626618660579681
17,18000,108642001.52418709,384378,1327762,1370708,2216640,2791438,3234126,4623099,5267660,7979,5283,36665,2641,24283,26043,0,8435,0.003538283781348695,0.012222037061110094,0.012621000439464913,0.020403654709533155,0.025699655985486385,0.029775790260874145,0.042553514618107934,0.048490169001559606
18,19000,114850100.91038978,401932,1917775,1938032,2553458,3069686,3474878,4261613,4688314,73843,122750,234859,108000,145144,67680,107694,144052,0.003501874057558173,0.016715935518269907,0.016909025079886158,0.02225388919795164,0.026761581039589345,0.03027360786119701,0.0371406972779313,0.04087242167727865
19,20000,121058197.79921079,479863,1803690,1829863,2480130,3081976,3340646,3847940,4022248,72277,56921,166244,63155,86302,76151,81649,125712,0.0039662714209233035,0.014906371632698047,0.01513635062130947,0.020497781914220515,0.025476793429074347,0.027612741628882678,0.03180732165195559,0.0332602771986206
20,21000,127266292.054914,886528,1991899,2012402,2589949,2948299,3377157,3860356,4017706,167246,146107,539808,294131,276916,323888,56905,185468,0.0069750956243760445,0.015669415515242757,0.01587988505329298,0.020397770491437702,0.023216894921391437,0.026603852551422266,0.030346471195034953,0.031615359987466514
21,22000,133474383.54329729,352679,669753,759606,1203797,1580529,1903121,2315579,2487452,39718,111940,295249,164710,151271,177243,66394,178639,0.0026430837785969617,0.005022051052795525,0.005703641209299553,0.00903007987345361,0.011854876246507641,0.014277283010297076,0.017357123871868885,0.01866115087561571
22,23000,139682472.12839913,168754,325476,332521,545484,715987,843722,1195706,1360447,163770,50192,198340,146711,20253,45466,24659,49542,0.0012095439351542678,0.0023309509785323845,0.0023839342506279133,0.003909277418124033,0.00512656181799427,0.0060422521464272875,0.008561683540760354,0.009743024075689052
23,24000,145890557.67621827,81205,247799,252203,375563,423181,452449,626465,698268,114145,125589,330169,224059,235071,211292,72038,240984,0.0005570517102815746,0.0016999900747787058,0.001732634834886265,0.0025782386713007126,0.002905355710634513,0.0031057885821967114,0.004296196404894453,0.004794164393177441
