,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228675,287071,2128564,2229186,2299994,2355007,2408228,2539994,2596759,113827,113827,113827,99019,109800,101074,98098,109800,0.09600286652988028,0.7118386935368187,0.7454889070239686,0.7653784152701923,0.7865070184644056,0.8019442965746937,0.8449852221388922,0.8672454811219718
1,2000,9312181.820182014,864973,6368343,6671384,6853574,6956384,7102583,7392585,7733428,181106,181106,181106,170409,176407,171709,167302,179764,0.09472848731451647,0.6974362195004812,0.7306240941789722,0.7496985688453746,0.7614443368976783,0.7770476582259085,0.8083851450606447,0.8468105765933811
2,3000,15520302.808604313,1086181,7038558,7622238,7956305,8121289,8297180,9018523,9989587,203282,203953,203953,190528,202611,197453,197914,205295,0.07091333318486057,0.4595453935144474,0.4976536900272434,0.519009907147121,0.5301901292620392,0.5414906563491111,0.5885846595235615,0.652274365435689
3,4000,21728423.45953181,1013322,4387853,4610349,4813952,4935006,5070626,6157598,8110979,305183,308528,308528,290411,285725,294222,243414,289753,0.04730012725731901,0.2048494124674831,0.2152367647503342,0.2245521598183236,0.23014855193312983,0.23656705893958496,0.2865997341820199,0.37833404899387274
4,5000,27936543.63784934,682567,3755932,3898678,4170082,4311493,4487222,5672356,7688077,3566310,3571111,3571111,3527390,3533336,3550453,3497604,3544322,0.028008225532147022,0.15415002293722968,0.16000856861223064,0.1708409091880099,0.17667730668786674,0.18400743549420917,0.23210319613110578,0.3151855994974412
5,6000,34144663.20869513,792653,3897268,4105406,4390600,4504725,4655391,5992886,9040886,3985895,3993853,3993853,3906728,3909503,3957261,3814896,3890923,0.026282671577132544,0.1292591467036622,0.1361623774480213,0.14520171333449555,0.14898961900339183,0.15421635050991797,0.19759090001462068,0.2988353154894081
6,7000,40352782.03686337,959857,4185528,4451551,4761738,4872726,5086180,6433224,9790150,1737631,1739645,1733020,1686812,1708942,1709839,1619272,1679966,0.024857004937872365,0.10839647646354504,0.1152661426487015,0.1231506152686782,0.12609321421866407,0.13161989228273963,0.16608936277340697,0.25315327414139993
7,8000,46560899.9875789,884087,5097714,5315004,5676485,5749227,5904857,7223089,11252478,1354905,1360264,1308185,1291514,1288821,1311807,1189737,1293981,0.01955685302896038,0.11277969631668121,0.11745160486964988,0.12539346130202705,0.126992776310922,0.13049669308555892,0.1591999967463351,0.24858060260490988
8,9000,52769016.92554298,732039,3857157,4022277,4243523,4282694,4390844,5925659,9664973,1099003,1109753,1040841,1000686,1002718,1026851,981088,1022225,0.014167578918304061,0.07466534957910666,0.07775795160048994,0.08197140846791733,0.08273131533239274,0.08486007343253524,0.11442162532739035,0.18677434175835791
9,10000,58977132.71606034,679280,3173652,3260856,3417508,3453471,3545412,4598312,7003609,391798,391798,346167,272298,310566,317042,330445,323298,0.01159471057547419,0.05417144094817279,0.055616617604283776,0.05821510300692569,0.058866083244898504,0.06043993380714827,0.07840701971546735,0.11940581607160124
10,11000,65185247.223807156,588313,2937629,3009683,3085543,3105735,3161498,4105801,5760282,673906,674899,658733,623014,645942,593264,609274,604270,0.00911952826959502,0.04553732976000098,0.04664257842227549,0.04779176379020009,0.04812160572894363,0.04894567161756914,0.06358093877687497,0.08919471720035428
11,12000,71393360.3140778,579878,2503612,2603468,2710633,2738819,2797877,3360551,4779648,227167,229530,211056,191555,210749,185775,191879,191995,0.008148222814740478,0.0351809618587201,0.03657465187573465,0.03806972292406274,0.03847595570659183,0.03929183931261404,0.047197768051709894,0.06712860039855131
12,13000,77601471.85150552,332217,1532824,1628652,1692424,1709698,1731182,1879627,2247384,176040,179400,164994,161284,163965,155919,165311,166651,0.004290799444776234,0.01979828185094214,0.021032103282423966,0.02185459574614265,0.022078422582464126,0.022353536597761486,0.02427324623704477,0.029022912112236204
13,14000,83809581.70152617,231418,986030,1040168,1072487,1085433,1112900,1281445,1520380,386538,417897,360041,340344,391072,383838,384136,386518,0.002774029689302338,0.011824080584643164,0.012464634211952912,0.012848889357718316,0.01301189632713064,0.013340006940563132,0.015360361448767873,0.018224936037348934
14,15000,90017689.72857022,436834,1404120,1512441,1572949,1605353,1633601,2072816,2532186,378997,394673,373083,337421,358132,340309,337123,335834,0.004873274996577114,0.015666957565738708,0.016871522506417297,0.017539521483379453,0.01790498459584137,0.018216421875037577,0.023113324052396373,0.02823520966898674
15,16000,96225795.79823387,281312,1311544,1403776,1473194,1517371,1585963,1821661,2027129,1310930,1388621,1198905,1158920,1248418,1269835,1207379,1188485,0.002963834986586838,0.01382942925904647,0.014772407980605948,0.015496396485424092,0.015976130686861476,0.01670208996536738,0.019171662309088903,0.021329822813522532
16,17000,102433899.77490318,311205,1161213,1205704,1247024,1262423,1307377,1546642,1798341,3303089,3388724,3159138,3115792,3177512,3163680,3096963,3109776,0.0031393367770052314,0.011724074301600029,0.01214512106041441,0.01255585741551061,0.01271880861575341,0.013169881188583026,0.015569656667636936,0.018105782680505233
17,18000,108642001.52417648,200782,1060355,1090410,1134753,1158950,1204071,1399846,1564752,1288238,1340440,1251172,1128433,1176152,1184477,1088704,1121770,0.0018702837553970161,0.009882009030792043,0.010153660278362226,0.010554509682606518,0.010784356194376635,0.011205087827321951,0.013015370353338857,0.014553093662639273
18,19000,114850100.91038573,299893,902362,961211,1043742,1057167,1098659,1346405,1515145,497075,596468,532932,366772,363996,415418,347423,421452,0.0026225191472853122,0.007897884531232045,0.008408282055633324,0.009116978078240644,0.009234020153166185,0.009600751905437308,0.011758720621833396,0.013240958574863354
19,20000,121058197.79922533,264979,629995,651666,695828,722697,757075,1056105,1223616,696717,895883,671088,577825,666259,694916,642771,635897,0.0022015265867492174,0.0052428667095223225,0.005413087838779508,0.005775446936569191,0.006002868690446326,0.006289916564944249,0.008770512450708635,0.010161041533661442
20,21000,127266292.05495906,415672,789781,830626,898004,922202,949505,1304750,1618635,787268,888135,800332,666602,758136,747959,679732,694925,0.003286489622337516,0.006249347342963244,0.006567980819811354,0.0070932559124762574,0.007289664388115553,0.007504880732087569,0.010307176365591475,0.012788318856484864
21,22000,133474383.54323792,295762,667650,709080,736362,745086,769948,1215807,1455990,918940,1103266,923008,690351,897220,902629,807127,739330,0.002231232396755748,0.00504377399232818,0.00534947296543671,0.005545561359271277,0.005620017656789,0.005807783133388972,0.009164333624429425,0.010969144631607934
22,23000,139682472.1284473,224358,808905,845180,873282,880664,906939,1498201,1780899,741451,846545,746440,478123,652520,570070,534609,566992,0.0016147714920893446,0.005826337726340983,0.006083231160787904,0.00627338158231106,0.0063343472864492555,0.00651946904893923,0.010766970949579095,0.01280158756132438
23,24000,145890557.6761601,184403,1831824,1885170,1942572,1962033,1998222,2208018,2506595,693240,848485,732718,555450,632551,567222,528366,527596,0.0012700165743507882,0.012629604405129882,0.012987035383040422,0.013366157916423713,0.0135072278967326,0.013750179836587682,0.015189768223356546,0.017243697920686273
24,25000,152098640.05075645,187299,1665773,1726588,1770399,1785872,1792604,1957528,2328948,733241,897348,850246,587649,727463,664854,613149,590533,0.0012373964008590506,0.011016923052752883,0.01141557906010285,0.011684954257918576,0.011797965998514875,0.011837543303574068,0.01292221444061672,0.01537177148691973
25,26000,158306719.1179037,235236,1237292,1291733,1352757,1365542,1384270,1611211,1961645,441716,647817,495091,451253,465036,492243,456694,485472,0.0014901086076963535,0.007847904453087608,0.00818528403391748,0.00856959238262686,0.008651339576631193,0.008771502045007628,0.010207226757148313,0.012429536807135426
26,27000,164514794.74181843,657584,1683446,1730208,1796545,1820459,1856088,2072490,2264913,764500,1015278,840945,759031,825011,817559,766318,732019,0.004015772924481135,0.010296336243356146,0.010571071693671627,0.010970881017858274,0.011121396573358174,0.011338542105423226,0.012656545216403367,0.01382876184471517
27,28000,170722866.7881279,1172118,3330078,3417517,3486969,3540680,3609228,3856736,4152126,1171299,1557496,1295500,1275847,1394435,1355421,1251193,1254263,0.006913047253356465,0.01968534094469473,0.020170985743251674,0.020578520674839926,0.020910132826543117,0.02131004564191754,0.022757407853430774,0.02450085683830291
28,29000,176930935.12181282,862366,2116276,2187614,2235443,2269649,2295404,2443254,2663713,879193,1128987,1050650,752365,958323,947278,905927,702953,0.004898366750630143,0.012037841574620303,0.012438085362921044,0.012688506885113082,0.012897740009842498,0.013043279345031234,0.013880152746871169,0.015115153495650768
29,30000,183138999.60707474,1018181,2492257,2645563,2823599,2907144,2980521,3199589,3463363,390378,524416,402551,261299,339005,318790,309714,310084,0.005571483883414326,0.013647633999278503,0.014477478467848344,0.01543982120634104,0.015903414035918616,0.01630301708113051,0.01750041843338138,0.01894319062441555
