,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226758,19290,55061,93485,107013,141249,181882,237955,291500,35064,30055,29220,3339,32560,30055,29220,34229,0.006285441898598685,0.01791180844839577,0.03040320175016974,0.034512288685097585,0.045986967626166185,0.059167751116236886,0.07738775068151725,0.09495634784159945
1,2000,9312181.820187267,376502,797670,942355,1117197,1301196,1492006,1635680,1726598,210478,68729,116923,80218,116087,127831,138136,147491,0.04136610105515975,0.08629567495145604,0.10248270531887088,0.12101401411009191,0.14149440881618736,0.1624508938313376,0.178294291532829,0.18839675378865858
2,3000,15520302.808599582,773641,1219893,1379038,1698151,1836641,2097005,2404746,2580695,884777,107413,175737,96700,292938,767179,574591,670052,0.052860485514324464,0.0791475845963269,0.08987142531117716,0.11010079947424341,0.12061450047895127,0.14213972764043759,0.16089872672483477,0.17378124001148545
3,4000,21728423.459534563,1169537,2844967,3233871,3622120,3782049,4411843,5240544,5517114,483267,232937,205421,111580,223442,326463,217836,290907,0.05504958281797573,0.13235183141147677,0.15025185292247245,0.16756007910129858,0.17586850782069244,0.20614200312824735,0.24362626124732498,0.25735788986630515
4,5000,27936543.637848683,1803231,3479303,3890461,4244549,4406837,4685103,5398058,5888431,382810,156414,188634,126417,177814,270349,309759,344823,0.06544416171327956,0.12524430394520794,0.14020735438367352,0.1526260219981633,0.15875499554530523,0.16934396151433687,0.1953921916995242,0.21341296823376069
5,6000,34144663.208685055,2618384,5162458,5720244,5968710,6168971,6458726,6931609,7442876,539228,289384,360540,183584,313588,390309,386963,435249,0.07791549145964638,0.15248605596127088,0.16931752127074495,0.17575148196331725,0.18234628849207585,0.1913449731572159,0.20533415952952452,0.22079517472250768
6,7000,40352782.03686625,2562364,4368194,5101890,5509120,5723266,6160483,6813479,7361668,1277963,859891,955282,759023,1106414,982991,991987,1002414,0.0655758379221786,0.11060709624733048,0.12949781065361765,0.13914112057080483,0.14582918843913978,0.15647741168428517,0.1731031853807408,0.1870800291652434
7,8000,46560899.987577915,1580113,2277826,2761169,3222578,3481728,3939541,4497761,4910285,1981388,1577820,1620354,1227634,1812643,1672333,1727309,1664933,0.03544482497790238,0.05063739523014035,0.0614404862985692,0.07108638501543306,0.07780700823646662,0.08776268133242471,0.10032123015187873,0.10937029157560203
8,9000,52769016.92554417,844379,1600370,2197949,2749335,3018013,3343685,3702667,4034647,4070848,3463808,3667124,3331611,3890064,3863999,3901142,3912058,0.017339029754711965,0.03245843664138448,0.04476301969320954,0.055612444636368476,0.06174463279925917,0.06837100039694535,0.07576893829824684,0.08258080504250423
9,10000,58977132.71607205,987611,1388447,1699423,2116074,2510781,3027230,3498802,3844764,4184153,3712938,3850148,3382349,3915888,3848492,3930420,3894365,0.018024407599616467,0.025123807686574483,0.03082742523925021,0.03806245583770943,0.045599786436849615,0.054912110305622854,0.06356059839661325,0.06979976060422567
10,11000,65185247.22379106,1093559,1938576,2352674,2638264,2858959,3453958,4117724,4577340,2304667,1119867,1257746,671761,1648708,1964459,1916661,1980553,0.017391044995259897,0.03025933808912443,0.0368022205617578,0.04089476719407344,0.04499708411769257,0.05463326378933404,0.06508323080643773,0.07242088671124415
11,12000,71393360.31409025,808454,1529028,2429660,3182722,3683175,4493770,4991235,5257487,2140863,599915,985749,778248,1710357,1589926,1745368,1793924,0.011674005001340368,0.021598440268249985,0.03450848501536604,0.045071400380183674,0.05285614604465884,0.06437749151108609,0.07166373120263281,0.07553921810909313
12,13000,77601471.8515181,613790,1077603,1229244,1855185,2151235,3054887,4245347,4646848,1741374,688343,1136786,940674,1456612,1357876,1227950,1241904,0.008091078411227188,0.014010650926454028,0.016075970054817076,0.024199917715352376,0.02825187418027812,0.040067457022217215,0.05558663391552912,0.06085482318385877
13,14000,83809581.70149022,602417,1495370,1987029,2497234,2680050,3157643,3943487,4408402,2072193,837054,1101275,864704,1652337,1713065,1528008,1746348,0.007370152259207381,0.018022471309779593,0.024024539725756446,0.03010715151075729,0.032620981992978006,0.03846256975166746,0.047926732834578475,0.05371957454218558
14,15000,90017689.72859728,675040,1444421,2124102,2679738,3021117,3648462,4601310,5107107,1955681,1103768,1333636,890266,1679662,1447119,1515175,1617668,0.007665507632019156,0.016245161296663764,0.02395134086338068,0.03006636888955855,0.034199507026371916,0.0411927118679162,0.05199072607270454,0.05777268941946264
15,16000,96225795.79822898,614622,1546093,2842257,3417852,4039088,4917047,5988224,6608005,1978287,754532,1192766,567169,1666376,1620235,1594546,1667998,0.00652136070053397,0.01619432841349567,0.029908096227538858,0.03572967869598644,0.04271481369723515,0.051974185856652595,0.06327956159057374,0.06988323706629053
