,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277966,1062716,1449450,1643806,2011297,2217587,2534849,2619638,2636131,0,0,0,0,0,0,0,0,0.3423631581140778,0.46695286372695066,0.5295663314440262,0.6479567380423089,0.714414847158341,0.8166235466317548,0.8439390569029229,0.8492524196139157
1,2000,9312181.820184827,3106727,5020427,5844159,6865621,7393674,7873517,8249827,8381955,22827,23343,20765,20765,20250,19734,19734,22168,0.33443948047386424,0.5404795041863053,0.6289846977162894,0.7389207838663542,0.7957090240307996,0.8473027938771246,0.8877991202791506,0.9022543090073938
2,3000,15520302.808601571,5652020,7913332,9098595,10558252,11496710,12202631,12585067,12775225,182256,190501,180199,181743,133509,176073,180712,189613,0.36849672390035665,0.5162057604397612,0.5931247345860982,0.6883470242153461,0.7471803510860772,0.7952586185303042,0.8204304245810136,0.8333105137142766
3,4000,21728423.459529474,6009007,8388271,10139733,13064970,14353285,15356781,15902069,16174670,266625,267368,229880,239955,188915,239469,241950,266229,0.27998618155562255,0.3908601334085509,0.47164744063186514,0.6079991240234753,0.6663701275713115,0.7146360251691954,0.740096741792091,0.7536354229992661
4,5000,27936543.637858815,6681388,10268065,12094325,14739299,16140769,17344949,17997883,18299053,2274680,2233234,2028288,2173145,2010791,2050837,2035470,2053375,0.26036254008235715,0.3994841576695634,0.4668135581589288,0.5721022760693104,0.6225766798542228,0.6700589341699624,0.6948701529381021,0.7069865848354565
5,6000,34144663.20868252,5749224,9150626,10596709,12886581,13956247,15012493,15853123,16150186,5248397,5293308,5237480,5295728,5262566,5333218,5337087,5354421,0.19896079162893782,0.3171645121628884,0.36657701732824616,0.4466917377290788,0.48321445977975863,0.5210600471883265,0.5503108933969222,0.5609604074511554
6,7000,40352782.03686383,4914544,8492372,9715167,11002693,11886474,12930801,13676776,13949195,8436210,8622626,8302295,8584574,8339076,8416123,7992979,8011706,0.15398094740010526,0.2676435624877997,0.30312072914292404,0.3463428905789232,0.3712932825182035,0.40488897054241774,0.42264707187554906,0.43131511716246146
7,8000,46560899.98756549,4851792,7249231,8478982,10069745,11075082,12049945,12954731,13272929,10185855,10501053,10270158,10554784,10356614,10446268,10401527,10505421,0.13338243297454466,0.20103332669436316,0.23364035937609665,0.27966762656315197,0.305905273309458,0.33365825253733383,0.3582675784907798,0.36812516079948504
8,9000,52769016.925558746,3061337,5294749,6433579,8052279,9183355,10901904,11761507,12030242,11975113,12060716,11958227,12025143,11973206,12012914,12018488,12113302,0.07504398219857478,0.13006558563282328,0.15764406941730905,0.1976316492317826,0.22510534272151433,0.2674913256528081,0.28862219240111947,0.2959053117631202
9,10000,58977132.716076076,2311762,5116283,6468443,8223766,9484824,10860719,11666644,11857319,13966408,14239225,13308438,14030737,13917592,14005487,14011105,14203820,0.05136024835375132,0.11436124890931186,0.14163844708535123,0.1829683085591352,0.21049535457462087,0.24150148003406519,0.2594546281398343,0.26483005792293257
10,11000,65185247.223793864,2886297,6543912,7738113,9340873,10142665,11552177,13205375,13539275,13843292,13963192,11773107,13653888,13234500,13624055,13600150,13902456,0.05621712276867823,0.12775574840581946,0.14487554641281442,0.18126579893679548,0.1952361716051425,0.22404790311790027,0.25599205411420567,0.26401205310599657
11,12000,71393360.31407088,3424215,6442807,7591910,9232295,10001286,11281826,12755633,13075868,12191540,12344193,10893734,12010194,11686980,11927765,11961783,12306382,0.057839691108047646,0.10910919311921842,0.12548689078818803,0.1554699012035066,0.16750782659056987,0.18972022293587415,0.21462719948676184,0.22129864097122282
12,13000,77601471.85150564,3787004,6404743,7279227,8807029,9383487,10248342,11132021,11345551,9124423,9375840,8551191,9182011,9023923,9065113,9021697,9067127,0.05530325946452836,0.09387590596361266,0.10541922364739052,0.1287211107832954,0.13683030608630425,0.1495314628867953,0.16232221561100096,0.1655454797821818
