,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277277,7266,22633,22633,44966,58934,62380,68607,76390,2191206,2265569,2454560,1472462,2169696,1965528,1709377,1702642,0.007959646330705486,0.02699251752917984,0.03484677147566616,0.027559473999609462,0.06307387732422,0.05478982191517222,0.04919180132485635,0.05450905133328778
1,2000,9312181.820183927,64344,247604,256706,891132,1165559,1237882,1378845,1442376,2856890,2736723,3787875,2755915,3325869,3093281,3001101,2965514,0.00996763613363132,0.037655775326272074,0.04646845447868393,0.13592064271340934,0.19470399142358696,0.19905157451335412,0.21848000988835628,0.22726508474461166
2,3000,15520302.80860562,656474,2360938,2558931,4587206,5300787,5517672,5817803,5971210,2827152,2682772,3696806,2699892,3026348,2771233,2728996,2526276,0.051718758399603035,0.18390904257206134,0.21642759679501128,0.35780491502821943,0.4242681425699499,0.43279016295569833,0.4548247561450055,0.4595349915736218
3,4000,21728423.459529277,1951602,4246242,4541801,8276581,10264457,10665576,11200637,11450242,3347664,2870466,3993748,2524406,3067513,3158539,3122344,3110077,0.10617635273977845,0.22516977297847784,0.2560972153318756,0.43098174730585115,0.5500512433335432,0.5743480000236016,0.6019880235577243,0.6149977939710922
4,5000,27936543.637846053,3717651,5949563,6436322,10781742,14100647,14891196,15901731,16408740,2396515,2477386,3249588,2162725,2651194,2125693,2670435,2397600,0.14556173967992592,0.23369048908184367,0.2607175260659873,0.41832148163594907,0.5576607482972963,0.5769354992959925,0.6293700081769152,0.6424987749173758
5,6000,34144663.20869245,2814709,5675751,6045120,11891261,15358298,16032406,17312869,18186491,4028835,3938396,4592814,3952540,4162971,3784931,4241870,4132663,0.09346277912382232,0.18789978122045783,0.20455978769077757,0.39385308935730806,0.5122558757890004,0.5280812719227372,0.5789716324884098,0.6059739728621154
6,7000,40352782.03686704,1526361,3223705,3440164,6836227,9301165,10089677,12050034,13056178,7661956,7627662,7998631,7568923,7660094,7442379,7525945,7506993,0.0466908054962774,0.0985085767865261,0.10632836559611743,0.2085241701506931,0.28450291360292,0.3065801712819286,0.3670787406799776,0.3974992954300893
7,8000,46560899.98756367,1010375,2306299,2476882,4437432,6112942,6934918,9214330,10169661,11919387,11630116,12318164,11555989,11652523,11340523,11470132,11507708,0.029166595591905164,0.06602482786590494,0.07233306359922752,0.12676598439506112,0.175113898941156,0.19690073171132502,0.26258558955636424,0.29012082561862096
8,9000,52769016.925553024,652821,1985568,2210829,4441225,6286016,6723873,8135066,9253140,15637455,15610107,16244188,15662422,15807036,15495352,15560988,15511703,0.01758129650750686,0.053434506124588624,0.06052948268440181,0.11968829284687618,0.17006707548118105,0.18039205464312788,0.21863738109527092,0.24835767866919978
9,10000,58977132.7160784,702241,2017128,2348105,3954631,5676720,6086230,7064030,7879060,18597594,18544280,19201648,18609825,18925359,18718678,18773870,18782424,0.0173910109508106,0.04988834238742386,0.059033975745638824,0.09796618163922932,0.1417345468952636,0.15117892733148758,0.1757078784845713,0.1960223186503221
10,11000,65185247.22379589,484329,1587784,1822716,3562533,5043186,5676943,7674950,8762762,22094301,21814825,22784013,21859504,22347173,22075344,22320984,22259707,0.011239692846023917,0.036609834965564074,0.04298733358514074,0.08222670253105646,0.11772672071235611,0.1316853570867315,0.179052418559694,0.20413865391826425
11,12000,71393360.31408715,402849,1541660,1781575,3812642,5744096,6342736,8018836,9292504,26565819,26501182,27162638,26478498,26753924,26579598,26611333,26641702,0.00898664053817745,0.034341394378633386,0.04027912968160101,0.0848859776823628,0.12867761052321575,0.1415354496581995,0.17906371106779934,0.20764602586972422
12,13000,77601471.85149527,1224487,2354737,2467404,4197925,5748989,6707143,8159169,9442866,29382484,29729692,30773400,29363741,30239864,30040478,30170413,30134891,0.025394290808657627,0.049188415540527476,0.05269070244499536,0.08702575610207985,0.12138500487623326,0.1410219269374905,0.172021649897086,0.1989371433671009
13,14000,83809581.70151359,1615535,2998563,3087183,5398984,7437068,8694748,9891844,10946393,31572029,31441305,32313865,31323546,31948435,31733106,31849628,31938149,0.03092669768109542,0.057259149791983384,0.059950287086872604,0.10286515123191718,0.1434034623801125,0.16696114479473675,0.19037438056284972,0.2110293167144502
14,15000,90017689.72858202,1264885,2998867,3212310,5582569,7873238,8721761,10202825,11406633,33546880,33440366,33839707,33401164,33559575,33485850,33466764,33418003,0.02239891735357557,0.05300475176921486,0.05718094249699096,0.09860317156800955,0.13945272593408364,0.15428050885791977,0.18041835511179402,0.20153173381858694
15,16000,96225795.79823136,1507556,3901650,4094905,6187210,8285173,9192903,10885209,11886789,35091716,35130588,35399357,35133950,35214685,35123583,35158374,35124352,0.02465982975413354,0.06386180095966461,0.06732113667846468,0.10127718223532743,0.1357977734153986,0.15045122883448328,0.17824903491038258,0.1945418677707919
16,17000,102433899.77491415,1165703,2808333,2983962,5174714,7111963,7862586,9119932,9928384,38384972,38454463,38695718,38428907,38419956,38392950,38360881,38377085,0.0182001953896341,0.0438943063828459,0.0468159259788364,0.08084859908035419,0.11110021630610804,0.1227743502811056,0.14233654312492974,0.15499340756930896
17,18000,108642001.52418613,503820,1390387,1468695,2656600,3222604,4032417,5391610,6049654,42614028,42636452,42860808,42643595,42695542,42667603,42660426,42715213,0.007630402284199288,0.021064698499184926,0.022326974037952,0.04025248699037071,0.04886697516821349,0.06112093615407075,0.08171387174626737,0.09176321394421635
18,19000,114850100.91039908,450393,1157347,1216666,1534821,1825990,2383340,3758728,4320244,46291265,46423055,46671717,46257168,46387770,46340292,46282525,46339160,0.006569437681068968,0.01691359000818877,0.017845333523876985,0.02237578909193009,0.02667145532029558,0.03478830313360039,0.05481786325524664,0.06305918357843254
19,20000,121058197.79920006,789085,1822367,1941086,2387258,2672893,3409282,4572353,5325404,49035042,49282774,49571828,49010517,49280274,49212020,49048903,49106470,0.010955990351213743,0.025389846601230524,0.027153232223882225,0.03313441839513737,0.037238371612384094,0.047452517370213665,0.06349670570653601,0.07401356663542424
20,21000,127266292.05492878,437058,2074521,2182014,2747005,3315065,3595564,4110461,4460651,51919442,52004839,52265370,51862875,51976291,51886779,51779809,51808416,0.0058006140891275395,0.02756419011051956,0.029093162326750438,0.036430776048238,0.044030614338568703,0.04769948563318425,0.05445294089286113,0.05911445210507801
21,22000,133474383.54327726,443182,1690239,1752389,2334130,2859552,3047026,4295679,4819450,54962187,54943882,55355701,54940903,55089171,54942113,54917849,54940675,0.005644753548013531,0.021523344010079045,0.02243239316061414,0.029721463812032837,0.036480758388212735,0.03879966768974108,0.05468264384337734,0.061367915630065585
22,23000,139682472.1283934,450901,804638,848888,1187467,1489849,1926007,3276712,3703534,58752194,58886623,59227346,58801356,58892273,58797249,58577275,58588863,0.005571474736373195,0.009958902699584759,0.01055107413100455,0.014681634686086364,0.018440962097794833,0.023811605204361576,0.04040076488332564,0.04566986276484859
23,24000,145890557.67622542,308579,849327,880533,1220470,1552264,1770044,2468987,2812080,61705413,61710630,62216522,61780414,61839612,61632615,61549720,61581602,0.0036654804263482514,0.010089424206524613,0.01052337195025707,0.014510378257087416,0.01846813248216756,0.021007443853710932,0.02927392077226161,0.0333544636799835
24,25000,152098640.05076313,281844,557814,650462,1456891,1883965,2135920,2968248,3250137,63782083,63729080,64147958,63770940,63823202,63611295,63553358,63694809,0.0031912928833718007,0.006312286715918565,0.007395758450452586,0.016494157542455028,0.021341893527808027,0.02413814086946187,0.03352237331288074,0.036764662360997805
25,26000,158306719.11790752,704648,1167883,1371774,2249332,2674491,2987038,3704498,4001900,67417769,67514454,68338956,67777168,67983866,67554820,67415136,67612204,0.007752845632894661,0.01286324334438982,0.015247394760745773,0.0248463841057869,0.02961034674700452,0.03291433048821549,0.04075732727852704,0.04412504984229007
26,27000,164514794.74182153,155867,347708,444874,1014321,1418973,1725818,2580202,2876577,70352312,70231685,71799966,70393638,70535260,70879565,70451478,70809325,0.001655298325420777,0.0036879139959653433,0.004798304716053772,0.01077675875555086,0.015098744677744691,0.01843128921409775,0.027430480758848422,0.030698069258129547
27,28000,170722866.78811216,97855,245323,312202,552575,731827,1004000,1765768,2100293,74315108,74057577,76476805,74481781,74363298,75462027,74776442,75258805,0.0010150116674226255,0.002537860286124851,0.0033126264809017194,0.005741570717692951,0.007594751711781063,0.010539482984122208,0.018403687306739334,0.022000876148154245
28,29000,176930935.12176847,122706,352993,400503,678567,988072,1116813,1653201,2002818,71806211,71812750,73296961,71813445,71944308,72386626,71611047,71763619,0.0011672420643679094,0.0033580583568018642,0.0038645917363876693,0.00645531965435957,0.009411408167765855,0.010682676172255219,0.015696949830487916,0.019044110602585197
29,30000,183138999.60707378,180393,361402,392538,825336,1345302,1548367,2013210,2204697,67891587,68072429,68935253,67766397,68102420,68184415,67481120,67509542,0.001565267244784354,0.0031408079522427567,0.0034371726993384488,0.007153656772490947,0.011694558414333063,0.01346938014949532,0.017406596133696276,0.019066914656746817
