,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292286627,497946,1010058,1298186,1413240,1500727,1567207,1667930,1943829,1050554,846489,1043294,1013238,1015645,998970,896024,979469,0.2424857036799722,0.44740905977149587,0.6299529415836408,0.6759253416543356,0.7185959437366785,0.7444843363224929,0.755390548291158,0.9149188828846657
1,2000,9312181.82018388,245877,2464671,3672939,4494109,5308570,5806793,6246056,6679912,1348770,967320,1306874,1302834,1293291,1294901,1200839,1259675,0.03087583633145856,0.2953519247063687,0.4588129629118538,0.5611079829339741,0.662008015701886,0.724284596016785,0.7700397010045748,0.8295444076193236
2,3000,15520302.808608547,253178,3206505,5159591,6637744,8284555,9185646,10194757,10821455,1177123,841798,1133488,1110110,1116978,1117277,1012339,1075681,0.017651455491623037,0.21844902064680807,0.35863330894568046,0.4606283960360793,0.5751835156177625,0.6377580740367645,0.7027007466031013,0.7491684547636095
3,4000,21728423.459521476,86965,2748055,3817710,5079073,7460598,9288657,11583761,12436620,2146066,1429352,1908719,1890041,1830231,1979638,1710545,1838965,0.004440987260076556,0.1353783598170939,0.19262194387393877,0.25602253663389213,0.37493847821489096,0.47034067077384056,0.5786707629094531,0.6252870094633645
4,5000,27936543.63785463,67360,3017481,3886411,4535883,5962908,8044620,12206060,13366162,2047286,1479128,1957687,1885809,1818971,1763340,1433911,1698210,0.0026018513524894544,0.11405048177429172,0.1495990009944081,0.17411727780639458,0.22831019109935977,0.30736092193028164,0.46056028345522404,0.5094135239105406
5,6000,34144663.20868403,96073,2882565,3688417,4326443,5208055,7037232,11611840,13666575,1698830,1089035,1649994,1548516,1507041,1570903,1446176,1719682,0.0029610273646566844,0.08720345539349704,0.11350837198288175,0.13272866183545093,0.15957213324855116,0.2160399031280369,0.3551185694277667,0.4214828965371869
6,7000,40352782.03686875,104518,2684098,3524310,4013082,5480152,8579047,13601294,15232004,1886056,1440598,1840924,1830788,1780335,1754564,1656718,1866719,0.002717101525610052,0.0689783435814565,0.09151233359413755,0.10417638287776969,0.14207426339225768,0.22226536447370066,0.3514903734664329,0.39577973941912675
7,8000,46560899.9875671,138843,3406520,4253108,4997555,5832186,7531296,13722261,16051100,2538198,1599795,2391437,2298215,2245570,2277288,2035356,2446898,0.0031538954614646797,0.07576593148549153,0.09629068846042282,0.1129067294811365,0.1316065118241532,0.17006959599669644,0.3081885086868715,0.3638549956207504
8,9000,52769016.92556,513379,3605216,4410163,4901250,5663258,7847385,14939108,16810788,2513250,1420687,2477659,2397551,2298918,2264052,2145701,2239591,0.010215325153836153,0.07021096898821257,0.08769226328165193,0.09730211162095559,0.11221016246377731,0.1553784862847915,0.2951033081666853,0.332693033654601
9,10000,58977132.71606332,37806,995001,1524574,1958355,2633435,3835709,10331363,12965708,2228533,1408057,2148119,2049181,1950982,2022139,1971488,2076209,0.000666201460285523,0.017283602135762063,0.02682738798912259,0.03440058777746982,0.04617942762982607,0.06734631591958537,0.1812340348303925,0.22786463124393422
10,11000,65185247.22378546,31871,392072,613165,771052,1061849,1828949,5907691,8012283,2176070,1374783,2141401,1993562,1962170,1948438,1893353,2092583,0.0005058152066770514,0.006144321386301003,0.009726008749901784,0.012201795177156862,0.01679527550108739,0.02892222144744254,0.09334040436697588,0.12699230724480057
11,12000,71393360.31409824,19726,384155,527245,710180,950911,1517709,5202320,7108290,2664423,1845860,2549685,2416333,2430159,2380618,2326348,2437776,0.00028701156704708197,0.005523634900823696,0.007658582979401559,0.01029589165630578,0.013788672536662012,0.021991721370706284,0.07532278906667114,0.10308505207672763
12,13000,77601471.85152215,20940,317227,450549,559653,716824,1128372,4717834,5583939,2426350,1463666,2027073,1984320,2158081,2039714,2178254,2221911,0.00027854959838120977,0.004166484658339521,0.005961661711463623,0.007401138317122882,0.009501481732319794,0.014933109446940554,0.06255148128640586,0.0740776271037037
13,14000,83809581.7014857,13954,782108,1068967,1331647,1669258,2178257,4875398,6025376,2791876,1279337,2656163,2430763,2362180,2289595,2335263,2569527,0.00017223395650593093,0.009476622816628104,0.013172174593556959,0.01636355775677644,0.02049492022002159,0.026720526930119108,0.059839690318405775,0.07416755222703968
14,15000,90017689.72858799,12898,971942,1057740,1457676,1660463,2291465,4795788,5964546,3261899,1506244,2931994,2533589,2506303,2652907,2532655,3024044,0.0001486701912538712,0.010980975307762667,0.01214596715511766,0.016662181903455992,0.018974250804067814,0.026228703699965526,0.054818381393782006,0.06856300767769664
15,16000,96225795.79823399,2973,278380,355553,850700,1119874,1587404,4909587,5866517,3190831,1799568,2874763,2736556,2649321,2738736,2833149,2881812,3.1955727682034165e-05,0.0029481215811652537,0.003808774143597117,0.00909944290739724,0.011967473688388342,0.016979932874410356,0.05256930998654209,0.06284836752501012
16,17000,102433899.77492058,2376,359484,630863,982281,1719716,3013956,8113860,9994785,3119493,1962672,2797829,2481395,2358421,2458939,2650568,2886441,2.3924021470367385e-05,0.003577979566501661,0.006331672807783933,0.009827477582597484,0.0171841895842218,0.030147108602377886,0.0813147832976983,0.10040221139746491
17,18000,108642001.52414477,3960,540928,767920,1064323,1518699,2382272,8524326,10426818,4458964,2660798,4165833,3393290,3859555,3730627,3612340,3695401,3.8010026335450785e-05,0.0051039994075625416,0.0073501929755639085,0.010112456338772727,0.014493830315844456,0.02270747105168976,0.08116112987796674,0.09935355645561031
18,19000,114850100.9104259,8505,1185352,1648448,1959493,2736801,4629033,11796819,14109278,3774421,2088121,3548822,2782281,3133328,3048929,2901800,3225743,7.656941651726675e-05,0.010511982859307732,0.014810683364444119,0.01748488550563572,0.024497673256229455,0.04140415454418259,0.10537738316760238,0.12639963413112873
19,20000,121058197.79920077,24815,1936691,2963772,3750116,5849529,8682540,14219746,16003190,5849645,4021163,5676987,5403345,5363895,5332890,5255523,5395119,0.0002153919947527728,0.01654767658222682,0.025686781924640103,0.03242506396606572,0.05056021652295578,0.07502714976628443,0.12279289769996003,0.138360401315122
20,21000,127266292.0549531,11855,820344,1789556,2712454,5126964,7523772,11954138,13590200,9310187,6118873,8653592,8569068,8701764,8601121,8691627,9065875,0.00010050348809395684,0.006771452552595344,0.015087389454678135,0.022851873930465456,0.04324197198021756,0.06340337213617454,0.10081527950730358,0.11497590565760625
21,22000,133474383.54323149,59476,2839555,3813561,4944328,6544900,8270908,14138910,16443040,4759845,3077626,3978962,3919304,4037108,4041670,4203266,4451675,0.0004620767838127605,0.021776270004709122,0.029449388669906443,0.038163906945463434,0.050564259580803926,0.0639012176565197,0.10937408346664595,0.127442991901619
22,23000,139682472.12843418,52368,3187718,4070547,4903029,6772776,9610140,14817575,16384945,5420736,3535343,4902643,4782237,4777140,4764340,4688231,4844608,0.00039004411465307586,0.02341377317617084,0.030201455413043303,0.03634559269175464,0.050203916280730114,0.07122941778390253,0.10976449718253156,0.12151590434859755
23,24000,145890557.67619014,140989,4507813,5431296,6256029,7677036,9561875,14140211,15502184,5239462,3366057,4928666,4732120,4654090,4720780,4619775,4787971,0.0010024024293745126,0.0316283374340077,0.03853024342548178,0.04431919977997344,0.054355904861632325,0.06773315901887063,0.10009296141871804,0.10986463370494584
24,25000,152098640.0507512,845269,4463901,5450221,6067937,7320451,9580242,15595411,17392791,5547642,3735093,5100957,4993187,4849118,4917311,4682559,5005190,0.005767746458521421,0.030087586127022285,0.037076917723378684,0.04124889237047228,0.049714599395962206,0.06509142200160818,0.1057917893952895,0.11824313723010112
25,26000,158306719.11792493,514728,2529030,3792516,4598755,5494859,7513159,14072892,16223134,6491800,4031933,5931738,5641748,5437241,5536842,5372147,5749287,0.0033904968167204693,0.016393022240632726,0.02488936157481735,0.03012318389951894,0.03594477503063898,0.0491795839712596,0.09201903667111097,0.10634115804636596
26,27000,164514794.74185228,121769,1606923,2507689,3375848,4273888,5863480,12278251,14528884,8191993,4450374,7878972,7269679,7298749,7185212,7218438,7583078,0.0007789586588979284,0.010039226659818445,0.016009677455028036,0.02146869862426821,0.0271848078854349,0.037268769787693695,0.07805807619658041,0.0925809282001264
27,28000,170722866.78807592,56495,813463,1247643,1768215,2679198,5100239,10935620,13345921,7259099,3421406,6497278,5885696,6150556,6065527,6166759,6462468,0.0003456117570545875,0.004862258800181247,0.007597129102761291,0.010727040457842596,0.016279761687554316,0.030974865782262242,0.06645526651665504,0.08124856081238745
28,29000,176930935.12178087,3963,297766,568841,838121,1491896,4157307,10570092,12715952,6688010,3999436,6224672,5745821,5789854,5789214,5752636,6091596,2.3278500396801357e-05,0.0017218725420885229,0.0033322796105857704,0.004895992296408213,0.008717345889257261,0.02429160448282361,0.061749018737942654,0.07443222424862916
29,30000,183138999.60714293,3967,614456,985760,1329479,2144760,5530987,11367628,12805612,5651604,3497508,5081315,4871977,4876757,4893646,4988821,5097125,2.235088292568506e-05,0.0034204570141498866,0.005536183412554919,0.007457795505621069,0.012031487816108402,0.031030188939401075,0.06380924279098206,0.07192472011573757
