,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227005,103445,1434497,1766034,1869889,1962634,2065513,2249857,2464586,103193,94665,23026,102340,100635,18762,100635,52876,0.03447169711602589,0.47667278641208954,0.5731951154483054,0.6229390509540952,0.65346515688658,0.6694693928274608,0.7490969571898634,0.8077472521301946
1,2000,9312181.820187086,287336,3690386,4589531,4855810,5177322,5481091,6545538,7230772,0,0,0,0,0,0,0,0,0.030855926736429132,0.3962966006526984,0.4928523828917028,0.521447078006306,0.5559730361768199,0.588593640656587,0.7029005797342236,0.7764852683959654
2,3000,15520302.80860188,167538,4461825,5014529,5182016,5419941,5645488,6521106,7183631,122584,110031,120267,114055,110030,113202,131113,128555,0.010880702660085305,0.28953577557986016,0.32561800909573685,0.3363580843550165,0.35170960743632235,0.3664211761922197,0.4237458944300621,0.4667196402467908
3,4000,21728423.459525477,86605,5637584,6400458,6639235,6873214,7171720,8197741,9033340,2800,0,0,241,2559,2800,3653,5358,0.003986306775561303,0.2594566518137583,0.2945661479730651,0.3055586914537073,0.31636089844915294,0.3301042206388604,0.3773453448114848,0.41584094182430026
4,5000,27936543.637848295,45888,4662711,5814668,6228613,6572964,6998234,8496962,9605663,5116,5116,1705,0,0,0,0,0,0.0016428805786432403,0.1669342169134894,0.20815112180822964,0.2229557485973857,0.23528193341337258,0.25050464691411667,0.30415222835542033,0.3438386338883488
5,6000,34144663.208694294,29852,3956004,5215948,5695186,6095236,6671298,8556900,10044947,507081,492411,286257,338698,386572,425750,264850,304932,0.000887459741154766,0.11755540091245183,0.15405178754871895,0.16846689526070088,0.1805562987053661,0.19785032686877438,0.25256632754409974,0.29683885306450647
6,7000,40352782.036864474,5970,3305307,4166833,4559715,4810687,5009405,6092862,7285296,2010157,1993345,1448323,1576720,1786283,1830416,1324890,1618878,0.0001557013896221281,0.08616672337561965,0.10710425239563563,0.11759097650671876,0.12473745660454218,0.1300388713197467,0.1561155799612462,0.18808576571745303
7,8000,46560899.98757231,9384,2204928,2672622,2881914,3083504,3232423,3802875,4499421,2793475,2363213,1816011,1800100,2293010,2518147,1385971,1840352,0.000214406033772025,0.04988785953029602,0.059730218589709956,0.06438477419528145,0.06965554493032439,0.07339284628533788,0.08418109524967214,0.10061193796753952
8,9000,52769016.92555007,8531,1746054,2264789,2411731,2647402,2764774,3218835,3693021,2541771,2423456,1695149,1894329,2145075,2295424,722258,1771835,0.0001698480544333483,0.0346813893400061,0.04434340088166737,0.04740532273199047,0.05229545348114915,0.05477664338415767,0.061845061372685285,0.07241617792511318
9,10000,58977132.716067106,1117,1417306,1791561,1888448,2037576,2076578,2328427,2538208,3648812,3504325,1458400,1898376,2668894,2935770,767953,1685674,2.018857586031213e-05,0.025549563080606293,0.03114743519895999,0.03308495329346269,0.036186107867348265,0.0370543808957851,0.04000102752448338,0.044303427716497853
10,11000,65185247.22381103,13382,1202770,1653540,1731453,1789881,1848892,2089900,2292902,3512781,3298706,1029383,1101129,1789991,2631417,1214676,939621,0.00021698499864487928,0.01943508194536538,0.02577379355738301,0.027018441510780797,0.028233674041492827,0.029556815200361974,0.0326697098371712,0.03568962020873249
11,12000,71393360.3140518,0,652040,879816,911111,934920,959447,1103469,1211738,1502567,1336578,125751,138048,420254,556154,270748,267663,0.0,0.009307307279358383,0.012345243631268083,0.012786569455823234,0.013172877003058513,0.013544393545764054,0.015515023479838998,0.017036571109449148
12,13000,77601471.8515253,0,870743,1155998,1206046,1254473,1316483,1647010,1885041,838702,629095,159650,78879,181251,367406,215239,72526,0.0,0.011312408887666369,0.01492730894446579,0.01555734858236582,0.01620342833180235,0.017045367034422422,0.02128298457375467,0.024314028512783057
13,14000,83809581.70151591,4265,1529426,2028043,2122784,2209452,2324278,2700668,3253601,850523,614582,508449,392989,345947,270306,334733,215428,5.141090155501084e-05,0.018383628889803723,0.024345923449406993,0.025447982604561874,0.026472031896304066,0.027822577829194936,0.032353074512981486,0.03892139409195309
14,15000,90017689.72858107,12784,936846,1379385,1455801,1514246,1622566,2010138,2281046,652498,480288,461790,364581,286861,151024,292421,201329,0.00014305346133903474,0.010463180547051223,0.015402502841024778,0.01623815415489208,0.016875426444352925,0.018055259832389235,0.02240325416110669,0.025396776060579496
15,16000,96225795.79822898,0,663248,1128203,1186794,1203001,1319964,1795007,2080461,452782,295953,246478,281842,218974,262314,156201,99352,0.0,0.006913886030179595,0.011754646999802052,0.012369659087594397,0.012530370003584387,0.01375485731932207,0.01868444437358125,0.021642962308757854
16,17000,102433899.77492261,0,213494,719119,931094,941610,1107516,2023104,2411583,962676,660419,453255,585533,593530,706176,143797,374874,0.0,0.0020977370369414127,0.007051524351381958,0.009141962993453288,0.009245940505528918,0.010887061647525226,0.01977810115658602,0.02362929669070544
17,18000,108642001.52413869,0,695889,1352369,1463186,1483405,1597493,2074908,2579478,1547556,1354199,1088714,1395235,1235157,1280545,378598,364912,0.0,0.006486189330268293,0.01257394386662966,0.013643171234171164,0.013811084447850236,0.014879576448749338,0.019165368281973263,0.023822934393013452
18,19000,114850100.9104284,772,928501,1490617,1540908,1596240,1642648,1798420,2004103,1660083,1399892,994969,1304067,771619,561541,994837,1022765,6.8203894146470865e-06,0.008184215868064847,0.013092224961565119,0.013570777832852852,0.013992472316149229,0.014372812128242719,0.015795668449856155,0.017606517660898643
19,20000,121058197.79921436,3384,550769,1102382,1124321,1154036,1177830,1267109,1398149,521707,345969,291677,298256,201801,183467,249722,233694,2.8074485805605155e-05,0.004562661177568984,0.009128208651740603,0.00931038043947877,0.009548820174717487,0.009744220253582193,0.010488576994431712,0.011571733845672878
20,21000,127266292.05492973,107,1005078,1598063,1665035,1726325,1776739,2008504,2303630,1086965,380710,402114,344307,729118,606835,469681,696673,8.479994504442048e-07,0.007921136379111175,0.012596644888268378,0.013118570429539062,0.013642828780502108,0.014027685269718652,0.015840360269012973,0.018200497222009112
21,22000,133474383.54325676,0,745523,1431051,1508867,1563672,1602035,1801027,2117313,1291007,877870,525564,795947,841195,770875,547434,690351,0.0,0.005622493232122496,0.010763924079328795,0.011372360417497599,0.011789447401319366,0.012072288197849659,0.013548998199299792,0.01594553922972815
22,23000,139682472.12842107,854,899291,1964863,2016444,2065135,2086805,2215900,2413922,1087363,493316,313198,865021,824693,844924,630093,626824,6.161833598389758e-06,0.006460927165693,0.014098250940085169,0.014525868207553909,0.014872303251300619,0.015030552095818923,0.015935721588434797,0.017359395554869428
23,24000,145890557.67620564,0,578664,996480,1033125,1078295,1135374,1262962,1361550,1224545,408370,407885,679728,873666,590118,485495,691978,0.0,0.003977559103578448,0.006849475485082829,0.007114655307071003,0.007435651030278748,0.007813974978534966,0.008685818614255676,0.009377157841600592
24,25000,152098640.05073524,2562,578345,1093722,1118456,1130783,1148859,1211301,1248542,1276186,725097,705372,849568,936299,797675,566823,630770,1.698686058468567e-05,0.003820647838084615,0.00722437671160827,0.007394795781787165,0.007480586713197771,0.007593203385151953,0.0079937073518655,0.008242949475567274
25,26000,158306719.11791468,852,998992,1539174,1568380,1592094,1625705,1798799,1887322,2480423,1427526,1057315,1619204,2037268,1669254,1041804,1223623,5.467626589515332e-06,0.006367906286011622,0.009788107043291805,0.010009604139932404,0.010188133308273218,0.010378774955124497,0.011438018445826202,0.012014800106710901
26,27000,164514794.74183202,0,1248003,1673731,1702509,1732988,1769306,1858120,1901259,1595096,617104,562282,655091,723056,1019786,919279,902549,0.0,0.007614524611977764,0.0102086328047655,0.010390040755122907,0.010580435944523,0.010821773787564583,0.011358013033390691,0.01162051771479285
27,28000,170722866.78811216,854,931579,1251122,1263952,1271684,1308418,1356154,1421967,3919282,2322099,2085058,2382172,2751888,3157925,2326978,1827593,5.119794044503433e-06,0.0055319165834929315,0.007418988713094544,0.007508297394108518,0.007570855448810429,0.00780842332553375,0.008053367631239565,0.008419223155906251
28,29000,176930935.12179422,854,1200696,1804199,1845954,1882431,1907956,2002098,2133886,4551593,2474147,2913101,3581940,3811874,3959809,2826509,3525663,4.954189924896037e-06,0.006882483696545836,0.010367897112989292,0.010648772429877894,0.010873620662000101,0.011030488398720086,0.011499408973092037,0.012305773485948154
29,30000,183138999.6070757,0,473019,906968,915388,920635,929162,957024,999021,3709957,2165843,2156308,2743039,2959553,2816556,2496514,3025130,0.0,0.002613752276129033,0.005011352146143799,0.005074326481144587,0.005109545052647789,0.0051527806600971575,0.0052978898999522725,0.005546607833030277
