,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271493,0,79640,85762,101674,114365,152925,233179,282863,0,0,0,0,0,0,0,0,0.0,0.025656715352183314,0.027628970643319255,0.03275515917526226,0.03684367467670071,0.04926611244641679,0.07512063321329424,0.09112676387072613
1,2000,9312181.820185814,25318,1159158,1212714,1329375,1415060,1769185,2000211,2052336,0,0,0,0,0,0,0,0,0.002718804302673593,0.12447759530288792,0.1302287716688721,0.14275655540985493,0.15195794361882037,0.1899860885625081,0.21479509728474008,0.22039260397076826
2,3000,15520302.808601938,657835,2415289,2585930,2781446,2902424,3327404,3633721,3711746,0,0,0,0,0,0,8164,5443,0.04238544879648888,0.15562125493204654,0.1666159502098619,0.17921338483540525,0.18700820697849832,0.21439040468693865,0.23425016013813613,0.2392381269176592
3,4000,21728423.459529832,2370873,3927029,4243762,4471817,4633323,4970480,5497656,5599530,41493,7482,14921,145331,19046,302541,324310,319547,0.10932266345503835,0.18079460355421462,0.1954434577245025,0.20719074471765547,0.21342495926644345,0.23198484400297004,0.2568504418739314,0.2615517918740409
4,5000,27936543.637840867,3725528,4798151,5008343,5128086,5262798,5761751,6579967,6747350,40126,12920,21125,43770,11560,172842,218462,225262,0.13354861718683206,0.17183124447708703,0.1794113520193073,0.18384998446489945,0.18846199046177542,0.2075281990549471,0.2373889753978138,0.24348747518000838
5,6000,34144663.20869684,3742938,6263225,6505643,6755588,7204215,8231538,9598914,9839578,17003,13598,26529,24488,12238,142918,168024,168699,0.10967461516878843,0.1835051136465581,0.19067991702611004,0.19799394225496467,0.21106660180022563,0.24209163234052372,0.28251511107499444,0.2896040842155514
6,7000,40352782.03686744,2052528,6430942,6794087,7310094,7842536,9482517,10995374,11366792,13596,17674,26514,13605,8157,110381,124004,134880,0.05088174060141225,0.15943782756505662,0.1684779507438836,0.1812157445185121,0.1943886203635153,0.23563497096787892,0.27332110336345167,0.2826301578232537
7,8000,46560899.98756662,991501,4155929,4886264,5565263,6236702,7797631,9330887,10134169,2719,3400,2719,8849,8850,89077,108134,120407,0.021295956563783726,0.08926443647339008,0.1049496328326246,0.11954925469312622,0.1339726607456757,0.16779266442993274,0.20086827558336293,0.2182183768530018
8,9000,52769016.925558716,240544,2358881,2958097,3678560,4836960,7202360,10580977,11964131,0,0,10894,3829,5446,96840,114286,98060,0.004558432466902606,0.04470200768241855,0.05606903422575991,0.06971566187141649,0.09167233974410502,0.13673936450697782,0.20095016751598235,0.22714854064469017
9,10000,58977132.716058135,475143,5111401,5523735,6005696,6720268,9198521,14886999,15739096,1359,680,3401,2300,0,93847,131324,143133,0.008056579338621314,0.08666850521866443,0.09366432883364452,0.10183489674172017,0.1139470111637052,0.15621616368957922,0.2529831660880474,0.26751701526259103
10,11000,65185247.22380483,485045,5191113,5593198,6210227,6974702,8645324,12016338,12765884,0,0,15237,6810,681,127754,183090,139096,0.007441024168162818,0.07963631682145819,0.08582472184355983,0.0952803912538711,0.10699928532243419,0.1328874441912348,0.18486060329701526,0.19625886789329497
11,12000,71393360.31408298,251223,2894569,3140394,3782491,4583448,6171718,8448816,9076935,12919,28358,73058,24518,5437,105703,92365,106455,0.0035194935107585985,0.0405600631421656,0.04403225867117356,0.0529991923275686,0.06420480926212634,0.08657484664993709,0.11849506395784122,0.12732962610745874
12,13000,77601471.85150939,102925,5762449,6046658,6703328,7478607,9066582,11817263,12366164,28594,36963,57153,23151,36777,83010,113647,117255,0.0013268168314835482,0.07429234175944716,0.07797680203470254,0.0864072324126564,0.0964176680423628,0.11696029285730031,0.15250477120303127,0.15959590872162382
13,14000,83809581.70151019,661240,5030876,5594303,6537915,7713008,9634747,11891909,12337783,0,2726,61479,2726,19076,91192,99756,112545,0.007889790004620497,0.060029408786295084,0.06679916105011798,0.07801169660016474,0.0920510973818002,0.1150851925646415,0.14206108901007378,0.14741003369092257
14,15000,90017689.7285732,169672,4239674,4536453,5298762,6552576,8498166,11013279,11672278,2039,12236,41615,14310,73377,101016,119604,140848,0.0018849166631213598,0.047104634490099453,0.05041843638639399,0.058872922505573556,0.07285147666616613,0.0945115699636863,0.12250849293111855,0.129869694745729
15,16000,96225795.79823804,86203,3832199,4229994,4745424,5777454,7353176,9569350,10233693,3202,1160,8649,4942,47241,77153,97815,105581,0.0008958706744151236,0.039825549540507287,0.04396299558612001,0.04931804086825611,0.06007008539606213,0.07647716895422209,0.09954801838691488,0.1064676459731298
16,17000,102433899.77490437,130515,2412074,3097514,4011868,5078928,6691636,8912546,9824865,79094,74482,84619,81873,122091,142128,172124,216008,0.001275123322367732,0.02356474912063609,0.03026415013909407,0.03919676167061176,0.0496416597538034,0.06541714826022482,0.08715422681117953,0.09611688158894423
17,18000,108642001.52418947,27977,2656100,2972366,3776162,5328178,7155958,9398847,10003066,71888,84879,292645,319450,580747,347622,364848,368918,0.00025768601590129783,0.024467302911498495,0.027433167075029248,0.03486034945508781,0.04930701594628711,0.0660787571011623,0.08680360255222508,0.09238737527748711
18,19000,114850100.91039097,530525,3955811,4658557,6211011,7354400,9100872,11464111,12100717,229255,87993,189268,187338,182982,121467,494501,467938,0.004628521066881301,0.03446966138935678,0.04062901761441701,0.05416763770862481,0.06413695634706973,0.07932520147593018,0.10024966865622038,0.10579199319285401
19,20000,121058197.79924965,402920,2600648,3164999,4032128,4745470,6425042,7958052,8216789,747430,440437,528362,429497,463286,491732,1133730,1112505,0.0033489936717244766,0.02156107013401113,0.026259050126572092,0.0334259423610163,0.039350499363518976,0.05329045649142671,0.06635886859486895,0.06850424394773601
20,21000,127266292.05489635,22412,679935,900419,1652215,2567512,5335822,8359613,8772335,443087,417442,385151,278552,252569,64912,763824,668482,0.00017671844825478745,0.005360198375513414,0.007096555031850044,0.013010822928935921,0.020214445638211082,0.0419478310510249,0.06608260794067912,0.0692929442949769
