,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227048,1975748,2240654,2540182,2612812,2642644,2657847,2845552,2932128,130118,145537,149943,141890,131978,131979,135832,132632,0.6643530983358321,0.7573554518425123,0.8598784201645501,0.8820599239692651,0.8891556291243743,0.8942711982951925,0.9586700876007002,0.9867738269597036
1,2000,9312181.820187414,5387791,6311886,7134772,7373778,7497978,7638234,8443731,8707378,201765,233096,242460,217415,210370,207281,222981,218293,0.5913879799727062,0.6952116242766948,0.7866583056736539,0.8107715289228328,0.8237896089402571,0.8389145747820211,0.9289849753617717,0.9574977407542741
2,3000,15520302.808601685,6974412,8271295,10112976,10561217,10909533,11184584,12950850,13351848,730351,819522,847747,750183,737308,722621,787155,796299,0.47156421401885523,0.5626432437629653,0.6892443369730676,0.7150393589799764,0.7379785450274352,0.7558335247821425,0.8790280372018584,0.906808241396944
3,4000,21728423.459531404,7257000,8930666,11416511,11849177,12404421,12739181,14766924,15416912,3433460,3601006,3725123,3478859,3473109,3409512,3526795,3533642,0.3966665479301196,0.49266069035687443,0.6341343369601883,0.6492854679505186,0.6794964297929935,0.6954114619824614,0.8112968591152184,0.8473260332524518
4,5000,27936543.63784638,7626911,9443671,12097734,13387277,14550723,15112623,17954017,18974591,3427760,3577132,3707237,3363015,3123247,3026429,3259226,3245577,0.31119092292375333,0.3876805868877265,0.49930170024359005,0.5447844791562364,0.5864082960184568,0.6066862083821615,0.727551400175877,0.7684831168543922
5,6000,34144663.20868622,7128466,9142042,12640788,13720711,14866142,15558282,19087589,20189228,4735382,4912983,4994600,3878101,3734942,3693069,3819176,3799003,0.2423883110034856,0.3127443217336318,0.4336453032538627,0.45332902050112206,0.48886150247749205,0.5109184725560953,0.629423984803538,0.66530857661884
6,7000,40352782.036871195,5775986,7568590,10582293,12042142,13170433,13979454,17956441,19681046,6651884,6924222,7144816,6748063,6057809,5824814,6087136,6076784,0.171389676135059,0.22641088912151644,0.3186673037502615,0.3583467544182508,0.38403392199317987,0.4048733474576852,0.5240362601270718,0.5741932292920781
7,8000,46560899.98757404,5243354,7063708,9813745,11036619,11986573,12570309,16428453,17352441,6665760,6896031,7192063,6752713,6601620,6601376,6770015,6721752,0.1314283895640703,0.17808474300552646,0.24927698532464918,0.27724495474875643,0.29996969424192355,0.3145760445972507,0.4128697566070798,0.4355625528289983
8,9000,52769016.92554444,4875810,7049655,10178996,11307787,12213660,12993332,17024730,18123921,9340929,9563457,9818722,9327455,9335110,9387105,9541553,9589085,0.11227319075984564,0.16316545861571,0.2369947870589848,0.26029881290596074,0.28120104463402246,0.299510358655935,0.3938405923910693,0.4197301892752227
9,10000,58977132.7160739,3473833,5542476,9767605,11696792,13324279,14292911,18477538,19796054,9066619,9220333,9405230,9041372,9081958,9123442,9237122,9276496,0.0696012271034036,0.11139132805218392,0.19703913839951948,0.23423678406555046,0.2670454422861764,0.2866971490917454,0.37148238880513207,0.3983058429027665
10,11000,65185247.22380072,3322552,5215210,8376901,10159067,11641918,12724728,17589724,19040430,10029283,10231732,10536523,10038945,10085407,10142701,10324602,10392428,0.06023921522826471,0.09490220923558425,0.15328630483109568,0.1842202757089926,0.21128769072130996,0.23117985763706828,0.320625540006753,0.34749863704274014
11,12000,71393360.31407624,3823526,5822112,8300350,10134787,11467811,12325193,16688209,17857661,12431462,12707720,13004628,12449918,12471441,12465901,12731776,12889734,0.06484740331176196,0.0992084600055649,0.14215670851273077,0.17194087420272225,0.19462724794948047,0.20915873759817488,0.28448275298278214,0.30524024107721615
12,13000,77601471.8515051,3491778,5498169,7936918,10028720,12088161,13156229,17006808,18293997,13253488,13575840,13820899,13196299,13185952,13182069,13434952,13609224,0.05426398452604086,0.08587449808776468,0.12444099582609353,0.1557129583849201,0.1876591390998074,0.20422773912274192,0.2650417700594851,0.28587833080112257
13,14000,83809581.70151186,3049006,5006938,7129544,8379088,10444848,11286001,15388839,16680201,15773160,16215624,16900188,16286433,16158900,16200588,16478144,16605722,0.04481432038528633,0.07407375112003556,0.10655520257447652,0.12409208043659241,0.15439383221716416,0.16693046859751773,0.2285535483175114,0.24820302098846195
14,15000,90017689.72858095,3451910,5658026,7659666,8874404,10017714,10707012,14496431,15759990,19080808,19678083,20285236,19718142,19440562,19471237,19845771,20041083,0.04866171046547711,0.08043869255386361,0.10984363220335906,0.1262369999059329,0.1419399502700819,0.15177250713361803,0.20658450363985298,0.2252179797904241
15,16000,96225795.79823506,3053919,5296710,7907799,9697682,11143725,11891980,16806509,18497030,15255030,15680492,16301214,15625238,15433278,15449972,15813923,15934638,0.03771631612833983,0.06576063097692436,0.09894076167908863,0.12031780256751963,0.13793016115464393,0.14722202065935275,0.20900531743825873,0.23037443358933102
16,17000,102433899.77491462,3695628,6708738,9383620,11456082,13420300,14375154,19629686,21360034,16421425,16737238,17292777,16711170,16656345,16690037,16934649,16958795,0.042966186122083576,0.07828470632404262,0.11021254705328744,0.13364112447282842,0.15645468135826046,0.16765227894777818,0.22958898261783747,0.24989772233971896
17,18000,108642001.5241704,5611681,9371988,13058392,15529251,17366578,18261807,23810102,25726079,20885665,21266230,21703232,21081070,20915509,20947808,21233605,21393254,0.06394616300390338,0.10726071812032545,0.1502021718442835,0.1773536522474443,0.19796275332921992,0.20824419800344768,0.27240062679122556,0.29485900634703255
18,19000,114850100.91041148,5978899,9686647,13696379,17228414,20024187,21578341,26648075,28874776,20787558,21175856,21815353,21098063,20957126,21131693,21356465,21467062,0.06356301685033666,0.1034077937779392,0.14721788694681082,0.183765754686456,0.21326608320916654,0.23024655967936897,0.285025550033534,0.30920792830164245
19,20000,121058197.79920506,7258017,10245834,13724165,16039270,18113908,19744756,26112202,28441812,20360709,20598024,21939797,20816400,21121206,21263987,21507611,21670719,0.07207743794358948,0.10198901328280476,0.13846233281953907,0.1600058094740914,0.18125328443340322,0.1978547236545437,0.26230083457638154,0.2861709779102223
20,21000,127266292.0549326,5692002,9217780,12623174,14786417,16462470,17467964,23513515,25909982,21885702,22259405,23124910,22353555,22303735,22482656,22663378,22763269,0.054013760950027745,0.08778262320239884,0.12121189243812336,0.14094015097764337,0.15684135811767902,0.1667050758845824,0.22478833608451668,0.2479352390253847
21,22000,133474383.54323554,3885507,7004928,9534566,11403916,13135402,14069206,18574166,20743293,23924902,24525697,24902834,24118666,23972630,23951636,24222749,24439366,0.03546805466593212,0.06429566268538853,0.08781827320428111,0.10428275956848145,0.11995608814441162,0.12845921341085784,0.17001270578381514,0.19024432212132844
22,23000,139682472.12843275,5475105,7966358,10231709,13260100,15306880,16669874,20721650,22867512,24493788,25014047,25430696,24459098,24533588,24449089,24755436,25090975,0.047531622063634156,0.06947298692798295,0.08955404761934141,0.11508168460003387,0.13293120568087555,0.14466184665793141,0.18030265721673389,0.1995567958621779
