,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277374,2061991,2525742,2748475,2902384,2994026,3038093,3052419,3101968,0,0,0,0,0,0,0,0,0.6642882489421622,0.813689647752912,0.8854450116471456,0.935028128210913,0.964551391750646,0.9787479572381453,0.9833632021419035,0.9993258413807922
1,2000,9312181.820187323,5729364,6729358,7383763,7856708,8199225,8398437,8519248,8753887,324664,278605,325298,313794,309734,309734,310993,316726,0.6374801268411378,0.7449273011064579,0.8216154951746214,0.8731239592023323,0.9107772867745865,0.9329059348910779,0.9464580923903679,0.9731454608842387
2,3000,15520302.808599534,9002556,10129822,10938719,11414569,11714845,11896896,12111652,12293730,1791636,1771572,1788855,1805143,1794555,1798639,1797581,1793339,0.6557487427956855,0.7367823358403393,0.796618037112551,0.8322592780029409,0.8534941165581047,0.8670155577302565,0.8825983772701758,0.8955898894625441
3,4000,21728423.459528375,12175042,13319061,14039261,14421385,14728085,14893618,15171514,15321806,4849501,4812941,4849688,4872234,4869338,4868141,4866274,4845233,0.7213163061322689,0.7873887742703706,0.831772085868824,0.855554277829261,0.8735992848103168,0.8833551890812518,0.8997378440046361,0.9075184004308158
4,5000,27936543.637849696,10900181,12386154,13086910,13456858,13831353,14073069,14367641,14594313,6786038,6717422,6765237,6949521,6893809,6893159,6841003,6883551,0.5153626672874279,0.5837260472604175,0.6181437085514339,0.6411990034132241,0.6572982665057925,0.6687645187403678,0.6810747942729435,0.6932179786051846
5,6000,34144663.20869537,10940297,12509269,13678543,14230515,14827009,15072074,15471593,15669412,8779100,8836345,8798714,9056352,8951630,9020187,8846464,9033664,0.4313051088197263,0.4942750006874063,0.5396737319787313,0.5672169354734343,0.5885360796842225,0.5998960485705045,0.6115689449817513,0.6240059134952319
6,7000,40352782.03685503,10349537,11915680,13259523,13774211,14332839,14588696,15062523,15219666,10779888,10726261,10790510,10922264,10847488,10874308,10792039,10863087,0.34996699974990464,0.40219639643740285,0.44852854961450417,0.4680247552133107,0.48577177309593556,0.49489318822136785,0.5095448034313858,0.5161011662202365
7,8000,46560899.98757759,7854182,9346786,10585921,11042128,11508558,11720824,12238059,12388403,14107159,14157611,14249137,14739561,14658054,14624653,14511873,14617153,0.2420116067052599,0.2884517680777179,0.32761818053907515,0.3470038769993502,0.36073765972105537,0.3670069311700624,0.38185430730061015,0.38781934394915074
8,9000,52769016.92555004,4837663,5863594,6878070,7193841,7551170,7699600,8079992,8198392,19111925,19027721,19206327,19489055,19448808,19440591,19293789,19329725,0.14373383804818843,0.17378093636172076,0.20493202467553048,0.21616133504278648,0.22662432930334175,0.23102201157653166,0.24137227737388842,0.2451724162776256
9,10000,58977132.716076314,4308328,5372268,6015569,6298490,6567443,6689264,6932186,7051434,24790171,24731423,24808124,24850210,24823324,24812640,24802171,24788010,0.12602254730270523,0.1568741907976298,0.17605336607759742,0.1845607367649631,0.19229020852683648,0.19579579464536656,0.202844001921413,0.2062478776819943
10,11000,65185247.223796785,3666728,4837700,5385053,5710630,5980783,6162469,6463715,6581578,28713674,28647468,28708461,28803213,28764433,28752271,28738343,28722688,0.10053660086172406,0.13240268299747243,0.14762959014428992,0.15696291100360704,0.16421332492045856,0.16914536331442734,0.17734606375099846,0.18050236023215355
11,12000,71393360.31407207,3571608,4723756,5292986,5927926,6439717,6637341,6918095,7089679,31082044,31036209,31150147,31179722,31158746,31147757,31137744,31156240,0.08860062946526025,0.11704879671110188,0.13152493461920378,0.14741083494366697,0.16005415013379926,0.16492089702825305,0.17185415684672192,0.17619747498482233
12,13000,77601471.85151362,3428649,4712083,5454671,6056991,6355132,6607983,6860069,7000404,34527308,34513136,34564199,34736857,34681580,34647075,34613354,34526967,0.07959873607342276,0.10935866765052779,0.12674295183199924,0.1413051539359887,0.14806961820841302,0.15383717347592435,0.15958058512111517,0.16251850193360975
13,14000,83809581.70149255,3498956,4605927,5152706,5625402,5942753,6238759,6570291,6703163,37519200,37519099,37583180,37631750,37627563,37612010,37589457,37562886,0.07558710624948643,0.09950051784297964,0.11146673351894552,0.12182040153735016,0.12868110072043987,0.135045171644778,0.1421521694810103,0.14494360944761864
14,15000,90017689.72860551,3915622,5254846,6192527,6627254,7039640,7221586,7466580,7595125,40526098,40506481,40587013,40652253,40630624,40615996,40598839,40543415,0.07911691386835758,0.10613447207084584,0.12527700225508723,0.1342488680174026,0.14254015492000705,0.1461809394567057,0.15108769001942937,0.15351665166722653
15,16000,96225795.79820585,4576876,5860551,7281263,7739018,8221905,8457249,8732063,8887291,43137259,43077484,43174850,43197126,43165343,43136511,43136122,43090449,0.08621213308999462,0.11026786743954183,0.13725038998732134,0.14594026268148702,0.15495354009263204,0.1593023720727504,0.164477616366426,0.16725760789238106
16,17000,102433899.77493739,6428628,7909561,9060529,9650657,10037399,10255387,10516444,10659684,47012137,46974769,47101191,47095038,47061646,47066928,47032191,47005259,0.11599465044275221,0.1426196352066596,0.16374634823776982,0.17439204006849884,0.1812712742522164,0.18522571618486527,0.18982165410676693,0.19231364599544504
17,18000,108642001.5241803,7500992,9209723,10412108,10875938,11230398,11507152,11932234,12098216,50449150,50370403,50552684,50587880,50568884,50531842,50477723,50430139,0.12889885619169544,0.15804822989673686,0.17924307676133136,0.1873413586229193,0.193383763069443,0.19802306677908438,0.20514711611250336,0.20783076636612668
18,19000,114850100.91038954,8198048,10310613,12005560,12680156,13195450,13473619,13794479,13974123,53488724,53454956,53588271,53632375,53612717,53596558,53509185,53504135,0.13360273860823238,0.16793857258662803,0.1959712926884665,0.20713209795739884,0.21548030234781565,0.21996472954570384,0.2248821817423104,0.22779204455615792
19,20000,121058197.79921317,9286085,11719207,13176628,14220800,14820577,15282097,15779155,16035823,56124123,56068011,56187833,56229775,56214597,56195853,56168251,56153482,0.14300788959747407,0.180322716046446,0.20312245878043564,0.21936057343311766,0.22855882180096077,0.2356081490317227,0.2431679447792571,0.24706714762618834
20,21000,127266292.05492544,9793991,11534577,12408190,12881899,13349199,13585794,13878628,14055011,59933346,59864204,59994713,60028476,59992891,59994249,59954294,59921750,0.14545614849542982,0.1711308556286945,0.18444921576568085,0.1915871120721261,0.1984320517569943,0.20195304591697386,0.206183569067067,0.2087030451337377
