,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271866,83936,1271748,1735792,1854054,1982676,2100854,2496149,2655526,27161,17591,24963,23963,23000,23188,3998,11994,0.027279407882759534,0.41203969349227965,0.5637339925579629,0.601946504035066,0.6435043767695375,0.6819022571948985,0.8051930875416746,0.8588191389212422
1,2000,9312181.820187178,104698,2942488,4021928,4516904,5314535,5849298,6790687,7116111,147795,76552,128415,117408,95994,126180,78114,56836,0.011424441378813559,0.31860176915799826,0.4379388195222086,0.491246885277712,0.5766522019396154,0.6367621207243362,0.7353949670105792,0.7688649498626823
2,3000,15520302.808601096,126287,4145382,5162661,6267395,7782651,8976550,10643544,11104223,1137757,858353,1090665,1095349,1077519,1101771,1021999,1076684,0.008780573459010118,0.2827306091014039,0.35778174535487545,0.43448284709674223,0.5388608666540592,0.6225703226347368,0.7341233940542572,0.7687978440269758
3,4000,21728423.45953037,99624,4272201,5368763,6770976,9273967,11038411,13462131,14292406,1345081,882899,1290513,1296140,1261203,1299487,1184996,1244130,0.004887520297409326,0.2049457190820062,0.26268649188139,0.33138616216885775,0.45311316298846355,0.5403321421977616,0.655301118886797,0.6977251145242904
4,5000,27936543.637842245,153995,4014403,5266885,6327844,8347903,11058355,16326664,17898129,1753377,922048,1607102,1632423,1573981,1652505,1450741,1645430,0.005881450556764692,0.14860181192413505,0.20003785391446047,0.240564742198471,0.3166574932293179,0.4207251082061193,0.6164307807939667,0.6807672450298279
5,6000,34144663.20869137,258045,3485605,4407197,5061092,6121259,7673628,14921210,17626097,2055694,1055743,1952411,1917764,1864767,1926710,1722811,2166243,0.008041548431231874,0.10534054837741263,0.1369024127740317,0.15704557758492194,0.18963069027315674,0.2381786313455164,0.4602207765292339,0.5511872345466717
6,7000,40352782.03687371,161433,2351817,3271648,3952845,4698495,5961792,15230912,18572318,2535967,1632671,2426893,2409114,2311772,2450262,2176121,2395678,0.004268815336315153,0.0607389012330138,0.08626424015582383,0.10417667043045546,0.12351131043696473,0.15729276032833786,0.39895872468493015,0.48929754972765527
7,8000,46560899.98756063,47398,1144893,1553250,2039620,2746442,4416313,12482478,15442680,3336885,2196098,3140258,3172605,3118506,3168577,2802710,2938610,0.001096566341966164,0.02580633630058835,0.035772156488266184,0.047008530770447574,0.06322031886148864,0.1017763672451008,0.2852603821947037,0.3540089253545297
8,9000,52769016.92555678,52813,1007336,1287965,1649074,2055866,3602614,8643500,10840113,4427697,2547393,4233833,4209515,4127177,4217724,3997424,4330308,0.0010925022337273658,0.0200578141697124,0.026536728530285977,0.033959862325772645,0.04226538311762818,0.07420222578879315,0.17722406592692452,0.22379029582848028
9,10000,58977132.71608031,51183,458184,669463,920908,1224121,2086928,6965876,9111936,3428623,2131992,3313963,3207809,3094189,3189468,2935998,3325355,0.0009214108580339362,0.008060214017033636,0.012027036969233204,0.016512805582658857,0.021905091582492268,0.03740841296406625,0.12429933896397762,0.16373126562976173
10,11000,65185247.22378689,67874,1346459,1771690,2237937,2804573,4280596,9444275,11876873,3247729,2122960,3030326,3029866,2914341,3027863,2770122,3057551,0.0010958462971468112,0.02135125539011722,0.028504420327733735,0.03600552286764095,0.04503825574532397,0.06886705503224615,0.15131388371228827,0.1911687334617872
11,12000,71393360.31408072,85654,1308951,1638310,2113015,2462686,3772544,7517847,9344509,3395326,2086359,3175904,3139009,3007200,3135601,2858595,3235708,0.0012596540600624858,0.018886273755636687,0.024015993684329703,0.030957952999607366,0.03601146765207306,0.05526908644394619,0.1096939190722731,0.13710139188684342
12,13000,77601471.85151362,800,362019,523343,697479,962675,1874394,4416147,5629906,3932405,2603077,3801305,3636440,3474866,3457584,3292420,3724918,1.0859374689955951e-05,0.004827023307855417,0.007091352531125969,0.009429847896235669,0.012986902461558513,0.025280492489870625,0.059429462359773685,0.07620693855476383
13,14000,83809581.70150793,2402,238511,323424,412998,545665,749503,2244476,3122526,4193058,3083848,4083418,3833134,3624327,3753329,3386973,3839242,3.0169616661553718e-05,0.0029545844808536526,0.00405668584795938,0.005163995299483814,0.006805054146566657,0.009362204383891709,0.027908520206431902,0.03904605146926894
14,15000,90017689.72857642,4256,168888,197475,283130,335247,524875,1699605,2059903,3841251,2798834,3666571,3516979,3358600,3387585,3193015,3566968,4.938704897524031e-05,0.0019363702789861924,0.0022868840949323917,0.0032731522968454064,0.0038685728300403557,0.006058806019506762,0.019575138119585868,0.02382748181637327
15,16000,96225795.79823601,6138,232950,284113,430116,529720,760996,1823003,2145516,4288237,2983178,4123370,3999858,3768875,3763639,3735382,4001414,6.676270373319689e-05,0.0024983211057423467,0.0030847504562191612,0.004663720535333247,0.005729370991664115,0.008230350949530502,0.0197101831977615,0.02326408654810888
16,17000,102433899.77492166,800,101106,125886,224641,598644,2085444,4711035,5311947,2629530,1708342,2517722,2346948,2201498,2207419,2065703,2309905,8.015681094967648e-06,0.0010037770178044432,0.001259916089700507,0.0022444584035807083,0.0059725596653295195,0.020807315430771994,0.046937527537379405,0.05305368620120717
17,18000,108642001.52416897,5592,102391,107991,212782,828063,2401191,4215267,4883706,5841114,3872256,5303903,5504689,5241339,5295282,5107155,5401686,5.439641752786711e-05,0.0009772954920118592,0.001045026002435518,0.002063094284623105,0.008008294915967756,0.023234322396062608,0.040713509910076474,0.0473042529481296
18,19000,114850100.91038585,800,47647,59668,114841,457829,928982,1998618,2458966,5107930,3417652,4731721,4762216,4553227,4581456,4157113,4534035,7.289813873403967e-06,0.00042758640293652516,0.0005418532314819535,0.001043175641838185,0.004150879202360508,0.008424715845152298,0.018055506836783815,0.022290189372756605
19,20000,121058197.79921079,5598,47423,88243,139187,215161,338800,1739394,2420306,4390416,2923598,3984395,4080400,3836767,3909251,3382070,3706645,4.7982398513707476e-05,0.0004014319266379469,0.000753738222301897,0.0011898582689931529,0.0018355090748597876,0.002892044779375536,0.014781196768879963,0.020624405406387405
20,21000,127266292.05496216,6400,62938,101130,192651,309713,535730,1726700,2483000,3450932,1845553,2865063,3148835,2938926,2998150,2328248,3072717,5.1689871088361036e-05,0.0005018149348683009,0.0008129340905090205,0.0015521668310904046,0.002491108834905127,0.004311080789821849,0.013820450072360652,0.019992982719928488
21,22000,133474383.54323983,5597,99253,226529,361273,682000,843564,1629175,2410657,3352730,2176415,3134554,3014175,2811646,2887794,2561961,2963416,4.301359418353917e-05,0.0007559370575281475,0.0017379875422105697,0.0027692198566450963,0.00521954470588302,0.006459805734651483,0.012444770086367397,0.018470915091494674
22,23000,139682472.12844467,3159,284387,467718,754903,1204370,1566311,2492125,2759341,4778985,3439783,4350558,4451954,4310723,4418035,3940285,4293731,2.3416740865951406e-05,0.0020873560395735452,0.0034560805779787086,0.0055823419923820596,0.00889676027497627,0.011579621615640624,0.018359251848814342,0.020380874930967748
23,24000,145890557.6761694,36103,461734,810656,1132644,1407724,1569909,2108755,2462218,4886756,3023599,4323077,4416779,4250267,4316508,3755654,4187741,0.0002560427419036153,0.0032319159326866702,0.005726286828924694,0.008006034832734616,0.009938725720483472,0.011088960184376618,0.01483629246201514,0.017375928423687282
24,25000,152098640.05072498,43528,444409,694540,892673,1046582,1184455,1669977,1796293,4973387,2849475,4787315,4505733,4279399,4215395,3900049,4389960,0.0002958567553660735,0.00297763139813184,0.004714776679666978,0.006048210702247396,0.00708014729720375,0.008009392812510462,0.011268507940324515,0.012161052413325546
25,26000,158306719.11795664,30831,91313,146999,286547,481529,751600,2006738,2335973,3712151,2261379,3438172,3317237,3085030,3063552,2761322,3218902,0.00019943132786189326,0.0005851696688345538,0.0009491856334652461,0.0018488157782340347,0.003102201778219761,0.004841436914443522,0.01290130108111271,0.01506225984355242
26,27000,164514794.7418387,4649,70238,78226,121906,176071,266255,654084,782747,3414256,2308834,3230245,2989589,2792891,2775669,2315461,2741993,2.885775576113967e-05,0.0004330173791318824,0.00048501855959056853,0.0007547181224139037,0.0010887269808613383,0.0016462003165825516,0.004032593629768292,0.004838557480441788
27,28000,170722866.7880664,11203,50370,50371,103298,112520,149005,213425,246215,4581657,3339090,4335053,3997502,3757691,3864804,3481096,3895634,6.743059120786955e-05,0.00030092522086997813,0.00030273250698611374,0.0006195697945019204,0.0006739129849617552,0.0008930044944202527,0.0012761464973392225,0.0014758681534494196
28,29000,176930935.12178707,3990,25463,25463,45516,73745,80135,110256,115049,4056961,2720696,3649257,3536319,3325004,3470431,3011647,3364104,2.3080397267833422e-05,0.00014616247660505937,0.00014694571449212255,0.00026249949980010313,0.00042478387416537526,0.00046197836450271706,0.0006339492369747579,0.0006628513020398079
29,30000,183138999.60709572,2402,28290,30685,44268,53053,61837,95650,106032,5089108,3098897,4216095,4571746,4369909,4491095,3798965,4262188,1.3490600742967678e-05,0.00015713165894899373,0.00017149844547506354,0.00024790659600669874,0.00029676830496722464,0.00034613896052125255,0.0005333443824160806,0.000592765485069692
