,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227029,2042761,2426086,2642775,2696981,2749180,2791666,2803102,2813893,190421,213448,263742,269945,269256,269945,269945,269945,0.7011028335518391,0.8392982080925707,0.9304501871042584,0.9516129025178726,0.9697952273873715,0.9850219134359712,0.9890570346152434,0.9928645715727045
1,2000,9312181.820188548,5369249,6611743,7318053,7561394,7720595,7807843,7900127,7972734,1114813,1070378,1122804,1140834,1134812,1148416,1156689,1157378,0.6549966358444881,0.8022203809079191,0.8936030502780629,0.9253545640681742,0.9441415968419518,0.9564021276420778,0.9686878738270234,0.9776733046921613
2,3000,15520302.808602085,5534103,7797369,9629468,10242775,10745442,11044740,11227465,11313463,3830934,3798811,3845980,3906596,3897818,3910412,3916612,3923506,0.4734304384277371,0.665219848063855,0.8248416767184681,0.8819557070627392,0.9245391305693113,0.9513216086250054,0.9675770567479116,0.9755679250677292
3,4000,21728423.45952389,3615599,7035519,9302435,10183804,11179587,11871133,12439167,12558143,8356328,8323755,8376496,8061740,8061163,8060698,8160300,8041466,0.27038387595602253,0.5248558754917456,0.6967110200531086,0.745155474637354,0.8179830210383984,0.8685521987660356,0.9167934708958267,0.9175262681379623
4,5000,27936543.637854002,2607892,5547775,7811737,8948733,10303191,11824814,13375673,13624610,12245318,12247405,12263680,12163399,12201552,12174539,12185720,12262733,0.16620065635335968,0.3536060919631747,0.4984243582093475,0.5673398174847086,0.6547948189062519,0.7502100317621749,0.8492046706595205,0.8692595766785038
5,6000,34144663.20868586,1392631,4544216,6524792,7945059,9352638,11785901,14993034,15479897,14594230,14556354,14663594,14604171,14655775,14659817,14620802,14222213,0.07123274380341006,0.23198612762274556,0.33492987115362466,0.4065946197848781,0.4798959232488024,0.6048752386224192,0.7679338548734322,0.7770076892073757
6,7000,40352782.036868796,772542,2793980,4581224,6494338,9617993,12922150,16219805,16590430,17478318,17487822,17518702,17404408,17444463,17438950,17435307,17360783,0.033773119175812195,0.12219483416961252,0.20063098634159893,0.2829977404746068,0.41984717361936247,0.5639453924253268,0.7077483437379629,0.7215740559747081
7,8000,46560899.98756397,751624,2473014,3993426,5798549,9049145,12568764,15464302,16053093,20224954,20216129,20338239,20263786,20282677,20210950,20313967,20086749,0.02853985197094961,0.09387115193247968,0.15228912130213912,0.220501344852601,0.34435909171949947,0.47699384651325377,0.5891851062113477,0.6063685671181984
8,9000,52769016.92555866,370759,1345710,2478677,4144894,6399868,9099702,12500809,13195620,22925496,22911746,23125085,23201505,23225998,23166326,23090333,23061502,0.012423433579597297,0.0450714334660786,0.08361498758749049,0.14018406453797974,0.21662877501199648,0.3073944197465985,0.42120496418759884,0.4441845786517552
9,10000,58977132.71606654,283412,1237856,2190861,3105176,4810267,8495431,13003630,13643518,25255889,25257282,25303401,25342883,25377887,25353030,25337570,25247322,0.008404553591982965,0.036710008310036714,0.06506142587560879,0.092321845327702,0.14316592225461236,0.25265896525888987,0.38655764076830157,0.4044943541145096
10,11000,65185247.22380775,255980,1086114,2079202,3104766,4345374,7208046,13420660,14206894,27342649,27316396,27400135,27436536,27423594,27410610,27390283,27481951,0.006764334691980964,0.02868093340304898,0.05502701666424933,0.08224826489021574,0.11507372238830776,0.1908170807119512,0.35509122116184133,0.3768077442265924
11,12000,71393360.3140744,682919,1861922,2689141,3577466,4668867,6959914,11716728,12568694,29575556,29387814,29560294,29403309,29599153,29580886,29516470,29753984,0.01633081916187918,0.04432562276606181,0.0642826652918641,0.08519794303754256,0.11171086377866861,0.16645544455754058,0.2797898294769544,0.3018463558435119
