,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227044,0,2050787,2115407,2124359,2137471,2139258,2150709,2183105,450533,354855,411235,321937,366436,400332,303207,284431,0.0,0.7459562057482733,0.7855714744542194,0.7635746225232304,0.7807757780888701,0.7912251166314654,0.7678762565659436,0.7742523973258371
1,2000,9312181.82018734,0,4966619,5258386,5307079,5372838,5517890,5548203,5642016,2320757,2079329,1936594,1658367,1700888,2066553,1581637,1605085,0.0,0.6866749709240397,0.7129446666755894,0.6933900446614282,0.7059033755535346,0.761547429068735,0.7176988335300211,0.7320546415378829
2,3000,15520302.808600858,0,9423842,9852552,9917533,10001925,10265817,10384452,10639575,2406568,1992223,2161542,1733334,1817852,2196820,1625443,1455983,0.0,0.6966134243241622,0.7375348762631162,0.719341077627814,0.7299369389979431,0.770505516273342,0.7473592496105697,0.7564941031484155
3,4000,21728423.459529113,0,11287205,11800710,11897263,11955776,12023205,12126725,12302201,7131667,6718633,7005132,6659409,6676507,6826369,6422140,6435756,0.0,0.7519895118078885,0.8014994495244079,0.7895183213177283,0.7943025748346485,0.8068152638049022,0.7922710324857051,0.8044509587720288
4,5000,27936543.63784886,0,11539968,12163136,12350691,12441605,12491581,12640848,12886969,9892865,9396443,9626985,9426891,9371383,9377917,9192168,8983124,0.0,0.6224328672974744,0.664305253915668,0.667256768219685,0.6701587582622504,0.6730875750538783,0.6743808513138977,0.6799284375187622
5,6000,34144663.208688736,0,13202775,14061369,14502290,14654872,14789286,15097392,15547520,12059879,11552118,11550120,11519210,11432461,11491905,11274704,11125232,0.0,0.5843863485961919,0.6223347323345177,0.6409723538457458,0.64524222994077,0.6528691059937854,0.6601407489290235,0.6754085215681417
6,7000,40352782.03686784,0,14952380,15645316,16019691,16243941,16415347,16578196,16879424,16972552,16575018,16510376,16334564,16214787,16240104,16142522,15872318,0.0,0.6288387746137977,0.6561970287649422,0.6669808299437475,0.6729614856241938,0.6807766012095893,0.6847591052204482,0.6895058841441651
7,8000,46560899.98757088,0,16072769,16762738,17017728,17160018,17295542,17478595,17677815,22198014,21821390,21890120,21624435,21646518,21311893,21264638,21012765,0.0,0.6496801677994007,0.6794571557301817,0.6824434822049625,0.6887595288761597,0.6849988995018272,0.6909556442998562,0.691941506047319
8,9000,52769016.92555162,0,15690762,16236697,16700517,16822414,16924693,17107401,17350316,26255918,25684301,25688701,25383785,25516497,25523561,25399593,25022664,0.0,0.5793216381936424,0.5995756122135883,0.6098366099436859,0.6172792110951734,0.6211932384705482,0.6250552092924698,0.6253187958271117
9,10000,58977132.71606827,0,14090429,15304150,15984427,16162506,16281675,16443062,16877974,32539784,32149693,32055718,31717270,32035626,32031718,31939529,31864241,0.0,0.5252245144944097,0.5684749542848353,0.5863722486972766,0.5999109912572361,0.6042465915468284,0.6081553000286042,0.622507336242463
10,11000,65185247.22379273,0,13724860,14888202,15535102,15638551,15710477,15912418,16797973,36364721,36045782,36022825,35709781,34909982,35791614,35607396,35710094,0.0,0.47100589851571756,0.5105269337967807,0.5270519516824468,0.5165454665516843,0.5344857126162657,0.5379842463741884,0.5699028219619383
11,12000,71393360.31408644,0,13030681,15183779,16227534,16363382,16507385,16871575,17734445,39032391,38463472,38625939,38452959,38258226,38441816,38452143,38354769,0.0,0.39570984498073314,0.4633803452050291,0.4926331602724146,0.49383780505889135,0.5009593736383173,0.5121721774618608,0.5367796959441998
12,13000,77601471.85151464,0,15095420,17410821,18461617,18651529,18992575,19428606,20288350,45467437,44713369,44901295,44537475,44386906,44413806,44452343,44242667,0.0,0.45899333470689363,0.5324381295874719,0.558360112448241,0.5615466745337411,0.5722781193764853,0.5860970309967067,0.6081857575625591
13,14000,83809581.70150232,0,17438150,20278778,21262027,21522503,21949548,22459751,23090155,49501861,48844781,48972225,48112383,47683355,47301587,47334545,46178529,0.0,0.4987344314892874,0.5820986412303061,0.5956217230879011,0.5957583995093786,0.6012257912127057,0.6157567758958535,0.6135931190433634
14,15000,90017689.72858441,0,14512758,18132257,18883853,19210193,19428878,20293249,21649518,54284058,53505436,53505569,52059381,51534024,50714678,51066809,50694413,0.0,0.39747636801281244,0.49660925298717906,0.497489314790771,0.4991778365264018,0.4943356029347163,0.5209958958670642,0.5505522377859928
15,16000,96225795.79823005,0,14932840,16652124,17459047,17750238,17869475,18370235,19336095,63460207,62203604,62207488,60224406,59974047,59128797,59445330,59135271,0.0,0.4389146968707894,0.4895047719236169,0.4849548058519214,0.4896381164614777,0.48169597484669235,0.49945629021598775,0.5213216880911513
16,17000,102433899.77491629,0,14950762,17795521,18656430,18899414,19058780,19366852,19976305,66506959,64694709,64503164,63690193,61389395,60861855,61695549,59949257,0.0,0.3961601108293282,0.4691583391790736,0.48153446205820116,0.46046149426439376,0.45845182990613137,0.47539607351814295,0.4702006112146099
17,18000,108642001.52418101,0,18426111,23077986,24289689,24758997,24944483,25328325,25955961,68883117,66963568,66511927,66314807,62685158,62385098,62699409,62326507,0.0,0.44210181242319324,0.54777937757395,0.5738553965848976,0.5387445068322113,0.5392596801677432,0.5513037817068969,0.560416363177307
18,19000,114850100.91039526,0,19940029,22837146,24057093,24549085,24877049,25377155,26249730,73618508,71451893,69844333,70031736,67174975,65666123,66026829,65902355,0.0,0.45946664528568526,0.5074270934665057,0.5367686449092244,0.5149243873238984,0.5057957907618147,0.5197757955790913,0.5362806705757869
19,20000,121058197.79920721,0,14976506,17704311,18531907,19037642,19358144,19982330,20807252,81082972,79150671,78482107,77100134,74780102,71612666,73649952,71710729,0.0,0.35737031373283806,0.41582753765476427,0.42158151197583515,0.41137479127492826,0.3915044149714329,0.42149481937452654,0.4216478069962178
20,21000,127266292.05493689,0,10749999,14486220,16264085,17125581,17965749,18482741,19352277,89276334,88196352,88305975,87137968,85937875,81559251,82563150,80885696,0.0,0.2751475683065868,0.3718198694218369,0.4053018754965689,0.4143778596028822,0.3930630507979359,0.41345507609478693,0.417249424243656
21,22000,133474383.54326105,0,11793172,17577554,19622359,20546152,21398379,22244680,23327654,83417184,81499885,81892352,81677561,80367523,77301133,79155662,76829882,0.0,0.22690304534990244,0.34076893588919577,0.37883325726421296,0.3868831971956434,0.380935388161672,0.40952142038695943,0.41182556760931144
22,23000,139682472.12842393,0,13605139,18769230,21575157,23444692,24454786,26941880,28516723,81034660,79137956,79378223,79445093,77780745,76663679,77488280,75893283,0.0,0.22471298591504926,0.3112422469605591,0.35816891956740915,0.378740514806003,0.38805544800206493,0.43318964485249817,0.44704633166896907
23,24000,145890557.67617488,0,13057470,19882173,26188283,29297066,31061417,33333936,35053735,83145443,81057595,81476076,81232036,80035920,79272341,79387190,77477576,0.0,0.20140171698182197,0.30865998580803394,0.4050244626865596,0.44487475800962756,0.4662601094680564,0.5012368119809071,0.5123842601382717
24,25000,152098640.05076098,0,12326711,20877837,26943305,29150983,31899540,35419227,37481045,89167131,87513116,87796861,86671825,85211937,83687135,84430693,82282397,0.0,0.19085872850256388,0.32468521568460273,0.411808292656401,0.435826280417455,0.46628911286677155,0.5234269479674082,0.5368527918746476
25,26000,158306719.1179347,0,10901264,17355429,20834992,23542212,25956828,28907918,30439740,90246221,88190502,88584111,87859270,85004558,83332797,82866078,81651868,0.0,0.15547421763590288,0.24892110993099345,0.295752255913774,0.32116668377789437,0.3462114194742228,0.3831875971839752,0.3971012865600375
