,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275544,872,25443,25443,34262,34262,34262,252597,252597,19764,48395,47307,28645,26028,25155,48395,48395,0.00028272248257081155,0.008326500045239495,0.008323536367708339,0.01114060801225931,0.011131136062257468,0.01112797991427745,0.08266513115306216,0.08266513115306216
1,2000,9312181.82018758,87236,372082,372082,515632,515632,515632,1295383,1295383,877123,1225740,1132916,919379,944420,926159,1163815,1204804,0.010342073702108462,0.04601306832766762,0.045490880010483244,0.06143740190818347,0.06162125680442002,0.061487073319038056,0.1589745563234449,0.1597782943795296
2,3000,15520302.8086007,17557,261851,261851,349208,349208,349208,1276060,1276060,6255507,7293373,7052188,6914135,6883105,6816743,7244361,7298338,0.0018950228761330581,0.031828520005877825,0.03092199455468521,0.04057648046916002,0.040430705390614954,0.0401224335420685,0.1541890976896268,0.1552013453846409
3,4000,21728423.45952612,54453,705072,705072,915817,915817,915817,2059362,2059362,14312858,14817857,14501294,14410063,14183135,14268388,14555084,14786001,0.007343067807465585,0.10202810495050921,0.09755906600934627,0.12513964091614324,0.12137600900383834,0.12276308939397117,0.2870855354914493,0.29663449782924456
4,5000,27936543.63784813,62331,513788,513788,544567,544567,544567,1329209,1329209,24791533,25073488,24959692,24867614,24385217,24694257,24790536,25074334,0.019819010864347317,0.1794544238707713,0.1725944260935357,0.17744525429453603,0.15334185095685018,0.167957698015689,0.4225066029748036,0.4643995961802878
5,6000,34144663.20869678,83459,513738,513738,543696,543696,543696,1218547,1218547,30436231,30875953,30637433,30826084,30809661,30809661,30798988,30853151,0.02250519769628718,0.15716841420605,0.1464796917881518,0.16383396803522773,0.16302717838752492,0.16302717838752492,0.36421556905239827,0.37020886532955094
6,7000,40352782.036865905,34294,424146,424146,454072,454072,454072,747869,747869,35726075,36240479,35853553,35630016,35639583,35628258,35803383,36092777,0.007412183163261292,0.10314074527038088,0.09427081762778045,0.09614535135882545,0.09634051022422772,0.09610957557985388,0.1643885255919888,0.17555589571560903
7,8000,46560899.98756185,150559,429248,429248,473459,473459,473459,939293,939293,39957715,40728568,39771019,40059270,40203044,40259721,40226270,40545519,0.022800966546235157,0.0735980052087952,0.06321878112242682,0.07282158488037087,0.0744683429329397,0.07513816080047553,0.1482790631566985,0.15614854685716478
8,9000,52769016.92555812,30853,357172,357172,478644,478644,478644,1562345,1562345,42535203,44098637,43015578,43797968,43561477,43916265,43635102,44119500,0.003014809554329216,0.041194503939457824,0.036620109350770515,0.05335429602176893,0.05198391794874425,0.054067255473198406,0.1710487794919476,0.1806280065634056
9,10000,58977132.71607229,2617,367486,367486,600886,600886,600886,2946198,2946198,45049865,45511019,45137351,45350340,45360958,45384687,45386493,45541792,0.0001879047673493014,0.02728968488966436,0.026552875438290654,0.04409592282792102,0.04413030917492009,0.04420734962284871,0.21678140702352855,0.21928718163995295
10,11000,65185247.22378969,10466,243993,243993,327673,327673,327673,2127785,2127785,47472663,47728254,47477373,47578567,47570075,47570988,47641072,47776206,0.0005908793357178883,0.01397680556279853,0.013778785466648895,0.018610720239994858,0.01860174830181167,0.01860271248633875,0.12128156341682846,0.12222298589840506
11,12000,71393360.31409359,44478,229636,229636,300418,300418,300418,2114014,2114014,48916354,49113645,48931027,49016931,49015228,49009791,49050421,49132379,0.0019788222407586056,0.010306953960706043,0.010223158778252079,0.013425645163626909,0.01342462345755275,0.013421362597914393,0.0946166469094114,0.09496499593490977
12,13000,77601471.85150743,29664,212016,212016,265230,265230,265230,1457881,1457881,51014606,51255371,50982932,50931734,50927972,50905894,51169162,51226836,0.0011157388827129507,0.008047338814763143,0.007964974832682018,0.009944979642348029,0.00994357701376075,0.009935353393559271,0.05515526294108033,0.05527587217537548
13,14000,83809581.7014876,3488,206511,206511,288126,288126,288126,1371532,1371532,53688167,54261107,53986311,53514465,53602441,53580752,53920844,54183230,0.00011579801395675279,0.006988888668070684,0.0069244920205783845,0.009510641693149574,0.009538340713783969,0.00953149701279441,0.04588791984787424,0.04629432654480817
14,15000,90017689.72857213,0,57187,57187,88975,88975,88975,827459,827459,58129436,59102280,58549215,58209980,58344582,58332698,58858720,58877249,0.0,0.0018497894901631394,0.0018172790544587936,0.0027972777908016376,0.0028091654523605893,0.00280811182664019,0.026556044927289017,0.026571846147340674
15,16000,96225795.79825222,0,36832,36832,56018,56018,56018,786522,786522,62150844,62667410,62204210,62286014,62244764,62236818,62491810,62670856,0.0,0.0010975498112879515,0.0010826067961209544,0.0016505114951235404,0.001648507918552409,0.0016481225276177782,0.02331541860199485,0.02343982748081007
16,17000,102433899.77491844,0,1744,1744,9591,9591,9591,180592,180592,65969889,66319513,66078180,66154792,66140862,66131366,66285259,66375380,0.0,4.8291004105079086e-05,4.797044346246649e-05,0.0002643670307303075,0.00026426556133111,0.00026419643486776286,0.004995817162931971,0.005008303200665937
17,18000,108642001.52417648,0,13087,13087,27045,27045,27045,154008,154008,69615148,69988402,69756071,69714612,69709598,69705112,69933944,70004516,0.0,0.00033857131447265443,0.00033654845913648495,0.0006947550383054397,0.0006946655626644123,0.000694585528800583,0.003978706498093037,0.003985973670663253
18,19000,114850100.91038585,0,35771,35771,61068,61068,61068,586695,586695,71628924,71861560,71488062,71463913,71469980,71430846,71823338,71868938,0.0,0.0008321054690962512,0.0008249381463340811,0.0014075447265875474,0.0014077415811300658,0.0014064727763302219,0.013635583072376167,0.01365004946988609
19,20000,121058197.79923344,0,0,0,20052,20052,20052,407394,407394,76160932,76366371,75438145,75647614,75663027,75638597,76284038,76399616,0.0,0.0,0.0,0.0004415710682922005,0.0004417209946996963,0.00044148340467885456,0.009098864207095068,0.009122412391675924
20,21000,127266292.05491734,0,872,872,2616,2616,2616,76746,76746,82263203,83003241,81650828,82605691,82638084,82636343,82990804,83066073,0.0,1.9700404269875257e-05,1.9116324212994577e-05,5.8575118520756375e-05,5.861763476545766e-05,5.8615348110323886e-05,0.001733374455518315,0.0017363262364072356
21,22000,133474383.54325199,0,0,0,0,0,0,35947,35947,88187323,88507988,87881532,88108222,88106478,88106479,88405515,88536911,0.0,0.0,0.0,0.0,0.0,0.0,0.0007976015631611018,0.0007999337293703217
22,23000,139682472.12846136,0,3487,3487,5231,5231,5231,22652,22652,92317910,92557610,91681153,92480011,92482083,92474779,92525113,92559006,0.0,7.399491144386827e-05,7.264383694681544e-05,0.00011082049272311986,0.00011082535751481251,0.0001108082105551192,0.00048034920569435806,0.0004806946912234619
23,24000,145890557.67617512,0,0,0,0,0,0,26152,26152,96476684,96687993,95923603,96669036,96654748,96662935,96680141,96685182,0.0,0.0,0.0,0.0,0.0,0.0,0.0005314322000581904,0.0005314866443070895
24,25000,152098640.05076122,0,7845,7845,7845,7845,7845,30591,30591,100434291,100567313,100125206,100534241,100531624,100517668,100536852,100542905,0.0,0.00015223749220104964,0.00015094249866841536,0.00015213985122326733,0.00015213213020271693,0.00015209096858972873,0.0005932881918269391,0.0005933578479655159
25,26000,158306719.11791325,0,6102,6102,20921,20921,20921,187641,187641,99602653,99672008,99391659,99617801,99617367,99608649,99654954,99663292,0.0,0.0001040680491753255,0.00010357283838440274,0.0003564727493863005,0.0003564701133174456,0.0003564171693885965,0.0031992387547547354,0.0031996936267505945
26,27000,164514794.74184585,0,24407,24407,45326,45326,45326,527828,527828,81109562,81139658,80966627,81050730,81047675,81042444,81097768,81130941,0.0,0.00029273715107144366,0.00029213088281498646,0.0005430600599215148,0.0005430401832504594,0.0005430061523028062,0.006327581078063252,0.006330098410108763
27,28000,170722866.78804636,0,15689,15689,20048,20048,20048,139551,139551,58441316,58566121,58481109,58169103,58169103,58159510,58365602,58548050,0.0,0.00013988458643093165,0.00013977863772969941,0.00017811932116062364,0.00017811932116062364,0.00017810414127707492,0.0012420291670792504,0.001244049279471352
28,29000,176930935.1217966,0,0,0,0,0,0,3488,3488,56630684,56745626,56578205,56492310,56447168,56439105,56614802,56739401,0.0,0.0,0.0,0.0,0.0,0.0,2.8990293400379488e-05,2.902034677804695e-05
29,30000,183138999.60711432,0,1745,1745,1744,1744,1744,43589,43589,55601274,55810223,55689624,55479149,55473701,55468686,55707170,55829304,0.0,1.3704678914683772e-05,1.3691710859214228e-05,1.3661303782716547e-05,1.3660720799056772e-05,1.3660184194165066e-05,0.0003420573975465114,0.00034238554881568784
