,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263395,54937,1394974,1725625,2346297,2576302,2736152,2829608,2856028,0,0,0,0,0,0,0,0,0.01769843007663564,0.4494029487908828,0.5559250305075701,0.7558798877536083,0.8299779893932423,0.881475050531459,0.9115827098729239,0.9200941415605791
1,2000,9312181.820188584,175017,3300468,4190576,5607584,6146861,6629174,6936005,6988554,38674,35802,37240,37309,34986,37309,37309,42021,0.018872793703692686,0.3557926760196957,0.45181695812672973,0.6045995571814193,0.6625774769810829,0.7147455419087041,0.7478275049661514,0.7538762417994201
2,3000,15520302.808600005,126293,4264871,5180051,7040471,7861471,8719996,9380078,9488978,2802098,2783317,2760332,2795672,2765010,2786730,2794857,2807355,0.00993009641695667,0.33484146595502695,0.4059610384460075,0.5532947168291643,0.6163301084471818,0.6848035607186921,0.7371119362797359,0.7464026552190306
3,4000,21728423.459531587,189546,5168690,6954461,10004535,11105863,12276057,13224092,13341655,2223974,2128991,2094485,2161598,2110558,2157916,2176554,2173988,0.009718090243627521,0.263716309677445,0.3542061117454432,0.5113008761023363,0.566109652597504,0.6272733103822042,0.6763594666674302,0.682282801137926
4,5000,27936543.637846388,127038,5262125,6736095,9137781,10329686,11719183,12842731,12971102,1837385,1819754,1792014,1850087,1816175,1832799,1852461,1863778,0.0048675132314718456,0.2014843735760901,0.2576483529559828,0.3502883173003593,0.39546478624475023,0.4489464313487422,0.4923589293251967,0.4974962065846811
5,6000,34144663.20868662,113491,4389382,5745095,7695537,8820613,9999702,11260472,11415230,1854598,1823656,1797543,1837029,1806751,1833002,1850600,1873899,0.003514734308107524,0.1358058544295707,0.17760761894523117,0.23819562120493754,0.27276383654819264,0.3094765674663516,0.34868551309985363,0.35373286874090376
6,7000,40352782.03687698,77140,2265702,3342984,5098432,5952226,7019248,8055143,8173531,2227864,2206211,2105318,2208447,2104402,2172932,2214091,2206432,0.0020233486121959666,0.05939464382813609,0.08740406937246355,0.13366157766470343,0.15562034246316295,0.1838469243127011,0.21120659312117815,0.21426770823678948
7,8000,46560899.98756701,47473,1373100,2033296,3520432,4427350,5835269,7071422,7196934,2149103,2290788,2145039,2330553,2166073,2281871,2323016,2344719,0.0010689276998471818,0.031016411261521697,0.04577860149033619,0.07959313547753946,0.09972670917807386,0.13178403260917193,0.15984991510867502,0.16276697442557694
8,9000,52769016.9255476,28238,1385655,2247585,3666914,4657905,6199026,7527055,7650234,1833292,1841279,1717667,1873320,1729925,1860795,1955041,1969501,0.000554384963427443,0.027208257355269147,0.04402596607685867,0.07204762330623193,0.09126151787329287,0.12176866065104315,0.1481296210914219,0.15059659251895782
9,10000,58977132.71606743,99806,2311776,3144435,4819683,6066528,7809763,8861952,9024922,1877796,1885509,1730196,1911023,1736326,1847234,1935079,2002347,0.0017479362412963924,0.04049238486362039,0.054927567838183644,0.0844578861951576,0.10598257341291334,0.13670185271663282,0.1553582212188793,0.15840203498044725
10,11000,65185247.22380054,98848,2938040,4132725,5509310,6384602,7590642,8556328,8668889,2361883,2390518,2269092,2320252,2209321,2316532,2366830,2410896,0.0015734273581380664,0.04678800332952818,0.06568622932058367,0.08763716564976669,0.10138162918494818,0.12073798506902478,0.13620731591368704,0.13809603494099099
11,12000,71393360.31407076,86220,2827025,4245133,5805034,6640812,7753617,8574948,8702532,2563690,2701571,2447528,2466784,2394135,2409001,2472606,2540494,0.0012526574601705474,0.04115520978896549,0.061572003085872316,0.0842205475802075,0.09624473274551046,0.11239673858097994,0.12441750072734406,0.12639316946230825
12,13000,77601471.85152298,123967,2407273,3626897,5399125,6546038,7599579,8482832,8591553,2471747,2523026,2338804,2602239,2338097,2442609,2619513,2677734,0.0016500393185918478,0.032063436752016464,0.04818985432665084,0.07198906968406893,0.08697507935186005,0.1011135441872376,0.11313164032960847,0.11467064039204711
13,14000,83809581.70150971,59234,2345872,3356540,4690482,5605567,6711668,7737504,7834080,2111887,2177902,2040051,2362238,2067231,2160021,2535963,2718996,0.0007250388180035807,0.028737274653391886,0.041048786402512985,0.05758913411823223,0.0685760435305963,0.08220090766362079,0.09520314369681525,0.09660899514077807
14,15000,90017689.72857153,46013,1392096,2001912,2888731,3332285,3901585,4461789,4510157,3312905,3289086,3107191,3423583,3365069,3598541,3814239,3962606,0.0005306858225188291,0.016051175046663334,0.02303417917612154,0.0333594410651374,0.038455674761851286,0.04514722787022866,0.05175882128023874,0.052410116922616656
15,16000,96225795.79824221,53860,713961,1023823,1742306,2284420,2847049,3494531,3563036,4227655,4256196,4201782,4407367,4181703,4389730,4489880,4650509,0.000585446613732319,0.007763010837996989,0.011125606868710137,0.018975558858978808,0.024818757299367136,0.03100142602204649,0.03809337890827444,0.038908270173917625
16,17000,102433899.77492487,52743,1006641,1364855,2287151,2964839,3800951,4607085,4673861,4331550,4450571,4486962,4521295,4450459,4491241,4528940,4566715,0.0005376323821091715,0.010273594626615826,0.013934636763594795,0.023359106881668135,0.03025857202555738,0.03880792136483346,0.04705670693896708,0.047757182458542706
17,18000,108642001.52415502,12445,1131677,1651453,2418780,2863967,3521527,4154979,4225761,5391504,5679309,5265654,5554094,5270902,5310224,5622242,5498146,0.00012053210685099648,0.010991136422879664,0.01597515330684439,0.0234632757429211,0.02770568382443072,0.034079806661380635,0.04033186467520129,0.040969585425380754
18,19000,114850100.91039515,27716,1573882,1947797,2698462,3084350,3556317,3986344,4028396,6663331,6993314,6540581,6748866,6446054,6496444,6770504,6652793,0.0002561865930830134,0.014592331600862018,0.0179836177061021,0.024962360533963824,0.028452351069046977,0.0328213841729491,0.03688340920909367,0.03723194299192881
19,20000,121058197.79920793,16747,1928729,2418768,3201635,3541808,3917707,4312147,4362438,7083966,7169298,6897241,7082441,6887467,6937643,7145121,7089600,0.00014693672188555507,0.016935179841059574,0.02118734870323706,0.02809049125806945,0.031022031436664602,0.03432954744123967,0.03785471449955589,0.038277543851911094
20,21000,127266292.05495143,8606,1354692,1568412,1970381,2268622,2650104,2989275,3032601,6909987,7296876,6787296,7203117,6864413,6859994,7252044,7143116,7.150435530627775e-05,0.011291977943607642,0.013018136366978314,0.016411201845180096,0.018842081351276924,0.022009679251084827,0.0249076676181922,0.025245761056240382
21,22000,133474383.54326987,16395,676714,1047591,1601119,1879532,2248599,2547750,2574751,7353004,7890814,7318368,7674741,7337974,7448522,8003305,7608014,0.00012999382070963777,0.005388555226301621,0.008303932202429854,0.012727532190318278,0.014900788811142153,0.01784236165866609,0.020305476206784853,0.020456226785145033
22,23000,139682472.12841916,3188,308236,565795,918886,1133424,1445108,1800866,1818997,8970380,9024837,8879910,9067369,8906942,9057752,9143477,9143502,2.438948033107697e-05,0.002359112038856702,0.004325565117329388,0.007035066986828947,0.008666942499770397,0.011063051454420665,0.01379561715047966,0.013934513181853216
23,24000,145890557.67617846,4303,463100,647625,1041996,1213324,1510043,1776621,1799538,13750136,13876461,13630767,13734107,13661681,13682809,13857155,13791955,3.256384341306912e-05,0.0035079587078942986,0.004896612921349836,0.007884564050174075,0.009175938195189894,0.011421743544688947,0.013455844990659617,0.013622687625328783
24,25000,152098640.0507517,7997,519752,682562,1187288,1399107,1714487,1967895,1985053,14172247,14379765,13882361,14123221,13892485,14032909,14217299,14210536,5.798020105591688e-05,0.0037740070110829963,0.0049383618535221155,0.008605068991044544,0.010123333504837203,0.012417904044340811,0.01427238076597799,0.014396114977905366
25,26000,158306719.11790895,593,62059,133542,370581,532246,821748,970682,983203,24004122,24922809,23714653,24236730,23740709,23823667,24492330,24084808,4.415402328216963e-06,0.00046526601255834357,0.000992198157378838,0.002764086149616149,0.0039552781533288926,0.006110420510679121,0.0072539433643768695,0.007325204892488029
26,27000,164514794.7418282,22589,246646,345267,613242,766517,983090,1061242,1076893,25760990,26380218,25216751,25788484,25553327,25713656,26063401,25912913,0.00016279913939679094,0.0017855485991822185,0.00247862059455702,0.004420516892006541,0.005516039895491647,0.007082722871809858,0.007665087156716597,0.007769685277476345
27,28000,170722866.78813362,24126,341743,447877,1120509,1462528,1695890,1797679,1818214,16663815,16662372,15405819,16579778,16453892,16568100,16695789,16682185,0.00015660228801861483,0.002218239013641818,0.0028836306534163873,0.0072692782323839095,0.009480376738152134,0.011001216733899562,0.011671188117148677,0.011803466323920571
28,29000,176930935.12176704,33522,713071,884880,1398749,1651892,1905812,2077271,2092324,17673043,17618849,16639020,17603464,17493646,17591445,17616540,17701245,0.00021048878365393284,0.004475937873633632,0.005520428147157602,0.008779082415304245,0.010360763213544106,0.0119607010072869,0.013038815471836692,0.013140288085720358
29,30000,183138999.60711336,4925,1358317,1633708,2111119,2226116,2331687,2474162,2496811,20691998,20796573,19751478,20477710,20259527,20354808,20422543,20585122,3.0317580203242975e-05,0.008366987166498856,0.009998976567674882,0.012978619591047914,0.0136672593812339,0.014323792605289503,0.015205358152396238,0.01535989812580601
