,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227029,942241,1222233,2086786,2188261,2193284,2325829,2558878,2706267,5625,0,0,5625,5625,4822,5625,4822,0.3041021704992019,0.3937529404199684,0.6722761728142049,0.7062470426554927,0.7078681833216466,0.7504517329083747,0.8258612752391976,0.8732038167306146
1,2000,9312181.820185905,2069065,3101734,4663878,4987051,5039081,5460105,6349640,6696226,13006,4821,8272,13006,13006,13005,17827,17826,0.22249982579194164,0.3332560174601725,0.5012815139159216,0.5362895697890246,0.54188468929274,0.5871600363752244,0.6831716803203555,0.7204615499502216
2,3000,15520302.808599994,1916419,4897853,7864694,8467114,8605933,9303029,11004565,11579054,38417,804,1371,5476,26366,32794,35204,27973,0.12378459728306827,0.3155935033988274,0.5067806274940708,0.5457433785407524,0.5554387568705734,0.6006794969397635,0.7106551360129759,0.747405596385659
3,4000,21728423.459530912,1070013,4991650,8672171,9420555,9570413,10484663,12456679,13002853,96517,29688,84577,35448,36005,63571,97320,129465,0.04946457225126163,0.2300433594072634,0.4006760543332718,0.43426753593919887,0.44118699894409813,0.48394804532294583,0.5758688650953423,0.6020129639289281
4,5000,27936543.637845546,937971,4384993,8179725,9522904,9940856,11238616,13735874,14210511,835831,343635,439543,784186,781180,808252,789568,855114,0.03461056587457203,0.15891738915794054,0.29747699059008714,0.35072107280756976,0.3660733891313373,0.41427658438769793,0.505981741142864,0.5247326743836745
5,6000,34144663.208688885,235443,2785523,4863120,6265980,6839866,8186678,11343238,11836524,83303,46127,53619,66650,66693,78743,66887,75268,0.006912319371788906,0.08169039817287528,0.14265095460937868,0.18387163481708965,0.20071224776926516,0.24031871001423583,0.33286321063132607,0.3474239541822355
6,7000,40352782.03686386,339458,2667428,5144956,6762562,7339352,9138767,14000407,14589081,35104,5623,21688,16066,3200,17432,39925,26985,0.008419582092243052,0.06611191627055722,0.1275679751037091,0.16765276562969755,0.1818941270146164,0.22656967130935438,0.34729384194222224,0.3617803508424986
7,8000,46560899.987586826,198849,1447049,3137403,4183648,4741870,6549400,12200998,12775289,84742,39569,75113,77887,79506,75907,81451,28995,0.004278516310515812,0.031105064478617616,0.0674916615015636,0.09000380420944815,0.10201651872287541,0.1408927823598667,0.2625030688995151,0.2745490218680715
8,9000,52769016.92554286,75260,557692,1446710,1941097,2560971,4163914,9428036,10019079,310455,9690,53003,255112,297710,308773,83798,19880,0.001434656178848753,0.010570491181342182,0.02744346342353126,0.036963486199554106,0.048807074762479905,0.07937275331601333,0.17895030508128149,0.1899382546133837
9,10000,58977132.71606225,15554,213921,761189,1100198,1544213,2796926,6664492,7121223,121308,53900,69079,21446,63229,96473,94875,167380,0.00026427290884185303,0.0036305034557563565,0.012921645717051577,0.018661439825112838,0.026211350845844337,0.047501607717839775,0.11318336386041836,0.12108915054245817
10,11000,65185247.22380042,4823,133616,259588,423355,612938,1471395,3718579,4029008,213335,167552,193237,11243,24094,212530,124991,270034,7.423207713799203e-05,0.002055071308511847,0.00399415249822412,0.006495764761456809,0.009406494048606271,0.022646351620661594,0.0571559230755022,0.06206569769877626
11,12000,71393360.31408739,3211,78779,527722,881551,958631,1379375,2720121,2955782,35379,803,6429,2412,20103,26539,36494,33774,4.499847026034198e-05,0.0011034623630782182,0.0073924174955516,0.01234821809792441,0.013431235116276372,0.01932795905157849,0.03811996154689586,0.04142095200762798
12,13000,77601471.85152674,0,41501,386492,480486,536857,747422,1331065,1436226,21955,10438,3940,5546,11977,18404,15685,12315,0.0,0.0005348685014226473,0.004980725427446643,0.006192154996892098,0.006919196999894325,0.009633828884291686,0.017156041770217702,0.018510653527893557
13,14000,83809581.7014876,742,50048,211114,305644,330595,465336,892760,974544,31887,11845,18344,27706,17743,30344,29478,31623,8.856772708342674e-06,0.0005972476342444167,0.002519523589711242,0.0036480921134900432,0.003945431979094771,0.005554311697822209,0.01065599062971974,0.011632462942579377
14,15000,90017689.72857988,3280,156130,295962,451142,527933,681207,1285695,1333232,35323,17077,17884,13334,4809,28361,35673,47651,3.6451586230152116e-05,0.0017347659673256936,0.003288473765071871,0.0050124463016043225,0.005865082816223841,0.007569864223063753,0.014288355015182056,0.014818622052859977
15,16000,96225795.79825008,0,71145,197546,406366,502725,880469,2156322,2273359,49856,11240,5621,4016,25730,41006,67250,51500,0.0,0.0007394411314352704,0.0020530621609678545,0.004223222651379291,0.005225828026503749,0.009153931737510734,0.022424652765903635,0.02363790637748932
16,17000,102433899.77490544,0,45141,75123,127157,142312,331486,1280339,1395832,51763,0,803,0,0,50549,57701,62195,0.0,0.00044068418852738803,0.0007333860086753132,0.0012413566239245272,0.0013893056918922852,0.0032376943857677348,0.01250621741499781,0.013634939489081975
17,18000,108642001.52418113,0,8586,47528,216890,253687,386886,841169,921586,120060,98777,67457,88337,36138,115655,80709,71875,0.0,7.910212763291569e-05,0.00043774533163631944,0.0019979979575142407,0.0023358499418727656,0.003564903937071139,0.007748332581915756,0.00848839390267028
