,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226884,981600,1645573,1790159,2146099,2367500,2489802,2630024,2961537,0,0,0,0,0,0,0,0,0.31623093658595297,0.5301355857890754,0.5767152172043327,0.6913843691688846,0.7627106177335408,0.8021112656617552,0.8472849967028672,0.9540847791808816
1,2000,9312181.820187869,3190520,4687252,5082074,5818717,6431152,6989497,7638021,8761490,8625,12964,7406,9865,9865,10485,12818,12672,0.3429355096834431,0.5040479845331018,0.5461790910613674,0.6255126666264723,0.6913494911335558,0.7514217174688382,0.8213487661832005,0.9421453570574325
2,3000,15520302.808603637,4745627,6604209,7020369,7943100,8893699,9831561,10913016,12701672,1788091,1829698,1769402,1816066,1814827,1806151,1830465,1812019,0.3455835859614927,0.4823898646062512,0.5105388437976012,0.5796090735248572,0.6489157417225139,0.7168916559485745,0.7971618183190972,0.9265690860608048
3,4000,21728423.45953072,6306420,8606214,9137211,10025129,11102312,11852382,12848303,14866673,3610135,3666452,3602561,3642756,3654678,3658869,3660828,3655254,0.3480693010317235,0.4764825378715112,0.5040979992207534,0.5543134652029109,0.6142784308243915,0.6559310594262332,0.7111241243351215,0.8225825045955178
4,5000,27936543.63784156,3254046,5000478,5632398,6904850,8568023,9794731,11718029,14896602,6062020,6107240,6043874,6086937,6095467,6083570,6007852,5920714,0.1487596280437716,0.2290718056315624,0.2572732377171754,0.3160171308549518,0.39228940688551756,0.4482104432249448,0.5343697286425705,0.6766314168054431
5,6000,34144663.208693266,2786200,4144716,4625652,6031039,7449803,8917998,11517125,14940007,9465256,9477029,9465035,9464015,9468974,9469242,9469865,9471454,0.112895742447921,0.16802243640127176,0.18742794505999238,0.24436307138301525,0.3019086087927963,0.36141218926216945,0.46675660334042207,0.6055153536628747
6,7000,40352782.036868125,2003984,3004502,3463488,4659963,5843790,7088522,10139868,15855465,13434932,13444845,12953285,13423160,13433076,13423786,13432459,13435555,0.07444814490218336,0.1116585785035604,0.12640699189987362,0.17304227269214012,0.21708223678210248,0.2632300881286179,0.3766621962936021,0.5890452600590322
7,8000,46560899.98756203,2194538,3536267,4039260,5433109,7385853,9481578,13553110,20062539,17397225,17413510,16276657,17378903,17381380,17365931,17377428,17385260,0.0752490212888446,0.12132362456840971,0.13337827204922886,0.18618016451429636,0.25311770046759746,0.3247675311468715,0.46441047198826524,0.6876469208062936
8,9000,52769016.925545484,1313432,2236441,2544213,3349159,4796086,6352741,10722555,16356298,21756136,21838151,20537037,21568280,21663133,21405124,21402534,21505471,0.04235117669826407,0.07230450661754498,0.07893443114189773,0.10734230438185224,0.15418581293107858,0.202549505416331,0.3418475391535638,0.5231747556388109
9,10000,58977132.71608725,662405,1465202,1778624,2707767,4131135,5425561,8725157,12340839,24846305,24920624,23960896,24791296,24826499,24689340,24720759,24769202,0.019407821149552182,0.0430226718838001,0.0507942647983888,0.07920727588117721,0.12096803340003488,0.15823593676400227,0.25470171105421324,0.3607595882494105
10,11000,65185247.22378498,541544,1315177,1592997,2463796,3920095,5434810,9712618,14405712,26572560,26627208,25785979,26479121,26554160,26353789,26308097,26361707,0.014025027495791978,0.034109021788346475,0.040432146885365804,0.06365390289266387,0.10147514040418763,0.13995894691049945,0.24982844534880116,0.37105611484586964
11,12000,71393360.3140918,463325,1281993,1568367,2424149,3759567,5393325,9340566,14856497,27394782,27712601,26121833,27161119,27511534,26994834,26966601,27209930,0.010530453886315844,0.029349146400630854,0.03464356280977094,0.05480502294211572,0.08567480699390781,0.12147531568605677,0.2102463952854029,0.3362458934127097
12,13000,77601471.8514942,278121,812865,968997,1621272,2498708,3962603,8051863,13772931,29812989,30521681,28826877,30217014,30380712,30278130,30324565,30282748,0.005819833219319371,0.01726568842593322,0.019866838524242814,0.03421526959496226,0.05291545514850359,0.08373464013668097,0.1703128130884798,0.29106725369908915
13,14000,83809581.70149386,304542,842476,939999,1521300,2076512,2892827,5559080,9471165,33125545,33708640,31965090,33377251,33567327,33462292,33541242,33543087,0.006008637429445787,0.016815572150710292,0.0181311257792294,0.030165173388564757,0.04132999230104733,0.057457452370354045,0.11058809646412088,0.18841904644921517
