,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226829,2074475,2187809,2793937,2796561,2918558,2918558,2920307,2920307,0,0,0,0,0,0,17491,17491,0.6683100776020339,0.7048216067045532,0.900090988459824,0.9009363327727841,0.9402387223109638,0.9402387223109638,0.9461335238795578,0.9461335238795578
1,2000,9312181.8201861,3858374,4519593,6622105,6645774,6973981,6973981,7057466,7057466,1266544,1266544,1266544,955454,992545,1076618,811981,1009973,0.4795609852483707,0.5617445255440866,0.8230677477658106,0.7952603151614912,0.8382554612334628,0.8468128172240195,0.8302705017556851,0.8500708850926977
2,3000,15520302.808601256,4203737,5218424,6610869,6909491,7125031,7125031,7517401,7517401,2646882,2646882,2646882,1597619,1911093,2391246,1743034,2027273,0.3265438971117383,0.40536420564403197,0.5135285405712061,0.49627579674914435,0.5235447979864971,0.5426917640673296,0.5456379710982214,0.557132171694156
3,4000,21728423.45953192,2979244,3925543,5955691,6483239,7576244,7576244,8642969,8642969,2669910,2669910,2669910,1835076,1933331,2427447,1914574,2044041,0.15632090122485193,0.205973199763735,0.3124950438892349,0.32589985235961627,0.3827334484791364,0.39253164293967213,0.4362084721423023,0.43907747767899874
4,5000,27936543.63784443,3791080,6195622,6985121,8956666,10532173,10532173,12336897,12336897,3004758,3004758,3004758,1586624,2108519,2191282,1676130,2163861,0.1520581018571509,0.24850293877850244,0.28016930281147423,0.33991245981396495,0.40778081745236405,0.40909170581192145,0.4697906579133636,0.47868113588938493
5,6000,34144663.208694205,2377650,5262228,5644705,11233697,12194307,12194307,14684198,14706014,3075645,3075645,3075645,1443673,1806325,2496139,1547568,1928879,0.07652800561733392,0.16937220109927528,0.18168276068731432,0.3435277319832749,0.3770851464693243,0.3853041272821842,0.45047566066817735,0.4564847437744889
6,7000,40352782.03686577,743185,2274022,2311790,7032112,7281158,7281158,12003858,12072432,4112466,4112466,4112466,1764592,2491169,3183424,2019601,2860345,0.020507133526208456,0.06274840422712462,0.06379055849425573,0.18223482348567716,0.19230976749221837,0.1958914112204551,0.31314536585042746,0.321996459929488
7,8000,46560899.98756766,224848,640812,640813,4436446,4436638,4436638,8320152,8339953,5033873,5033873,5033873,1897168,3577753,2832714,1661634,1973473,0.00541449788994803,0.015431203398977873,0.015431227479680792,0.09932994406367349,0.10321808222378975,0.1014594568652214,0.18530708279961192,0.18704719162927777
8,9000,52769016.92554641,28644,174322,174321,1631279,1631279,1631279,4987450,4988324,4116845,4116845,4116845,1949527,3085417,2627672,2129782,2331014,0.0005887506942924276,0.003583026062367147,0.003583005508300177,0.032099476055149734,0.03283334948442868,0.03253361078411926,0.09848983712595426,0.09890010925617869
9,10000,58977132.71607646,15099,47776,47776,497491,497492,497492,1389027,1389027,3543553,3543553,3543553,1787663,2114411,2122140,1742111,2081694,0.0002723800280864974,0.0008618602703397907,0.0008618602703397907,0.00869899655425815,0.008749000838968759,0.00875019019849998,0.0242688297890493,0.02441367939759843
