,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292257397,2337642,2585814,2601794,2608131,2640902,2646419,2696388,2703887,325729,317480,296521,300597,296848,279658,300982,293483,0.8413833594988982,0.9279523344416833,0.9267167497534202,0.9303245359813401,0.9407559557497396,0.9369836200462217,0.9619380533555673,0.9620396077602272
1,2000,9312181.820185868,6004768,7699240,7783185,7818894,7916672,7977128,8113632,8144361,471892,438001,396486,430886,444800,445491,443971,451470,0.679250128914184,0.8676000811800836,0.8729756103139173,0.8803776113648657,0.8927857354668483,0.899673639441595,0.9149119438536247,0.9191542581766482
2,3000,15520302.808603957,7960709,11411882,11645268,11748022,11949949,12078689,12413143,12513025,802935,772440,675255,663282,783375,752424,761608,759325,0.540905758660599,0.7737990343483713,0.7844547319848028,0.790738745765,0.8108846806607265,0.8179027710440581,0.841073222326099,0.8477097630149096
3,4000,21728423.459527776,8256466,14269183,14684117,14981960,15358159,15565528,16123373,16346891,777010,767141,690027,683533,646411,688002,701007,725666,0.3940768013551527,0.6807399798915482,0.697967500909506,0.7119048696790499,0.7284958696179432,0.739791644855642,0.7667786021660452,0.77832118146869
4,5000,27936543.637849756,13823026,20739197,21143689,21399866,21810031,22201415,23028767,23329752,1287007,1180218,970071,981654,1040589,1139220,1226054,1157801,0.5186966733360556,0.7751137910603888,0.7840732187688138,0.7939140648511707,0.8109037694950411,0.8284937443768345,0.8621619188652904,0.871204160535347
5,6000,34144663.20868559,16425984,24922984,25466061,25760044,26256413,26674861,27785242,28258682,2019049,1658991,1423429,1621203,1968752,2015685,2011966,2018971,0.5113049012323324,0.7671992698780117,0.7782732410882055,0.7920449987397288,0.8160270218831386,0.8302430543150248,0.8647030723735679,0.879628735045899
6,7000,40352782.03687155,19398234,28787320,29778459,30134694,30724211,31309825,32739975,33266919,1663738,1565956,1517683,1450236,1542305,1478856,1547318,1551190,0.5013882995277174,0.7421932377924965,0.766792405285929,0.7746200973951307,0.7916473423094165,0.8054196782260409,0.8436949747306631,0.8573596405113434
7,8000,46560899.98757553,20379463,30353807,31303082,31962337,33383853,34443616,36064601,36604807,2083753,1887984,1902554,1601581,1902772,1906491,1818924,1715468,0.4582007700649707,0.6794677788314071,0.7009458435542795,0.7109168403736891,0.7475425976048038,0.7713374061133237,0.8060574036787028,0.8162438263531813
8,9000,52769016.92553356,21719553,32214610,33479248,34365659,36026076,36964855,38608718,39254126,1817824,1659339,1735553,1547951,1717689,1591751,1488079,1477027,0.4262815402917782,0.6303035219070732,0.6560253885343129,0.6709282280451101,0.7056834261500451,0.7222905391973539,0.7528863465029592,0.7653071377614652
9,10000,58977132.71608648,22350337,34707875,36096605,37099017,38610945,39505593,41521140,42383822,730761,872435,1278226,808110,977345,796335,767958,682701,0.3837206737776473,0.5973333717282383,0.6256029282776038,0.6377796164992191,0.6657083848134688,0.6790142890921046,0.7133092025873606,0.7270646741428666
