,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268573,6384,1919940,2256612,2541545,2590471,2700948,2888152,2942042,11349,10640,21280,38903,15684,45808,55028,59284,0.0020642079719524085,0.6206527433935983,0.7320053780686772,0.8291726910765985,0.8387807936004545,0.8831670654633964,0.9472355173622226,0.9662587303644194
1,2000,9312181.820186572,21164,4454948,5248735,6013845,6241521,6710780,7336797,7608775,72939,25538,104685,204221,193294,186267,161291,182949,0.0022906639009161386,0.479715609455828,0.5700501561393583,0.660284460893938,0.6844607723085575,0.7353542228068707,0.8017576806637514,0.8334517423167768
2,3000,15520302.808604699,47638,5164231,6643067,7806003,8220890,8921264,10390451,11190998,109450,21989,94020,161966,140107,134001,114283,112487,0.0030911981699936275,0.333212442577644,0.4306330359958481,0.5082583548777619,0.5345114003945705,0.5798186017000417,0.6744409736638557,0.726319560086527
3,4000,21728423.459525347,55088,4547156,5714459,6957388,7662884,9326602,12267474,13196707,78399,54629,51439,129103,115594,115791,75618,72467,0.0025444774948401028,0.20979971958724491,0.2636187247663473,0.3221114299886123,0.35455255936527846,0.431534752532632,0.5665535592111174,0.6093800116685885
4,5000,27936543.637852274,37855,3119404,4578305,5737669,6939312,9696578,13269805,14553197,77041,57102,31468,116004,113345,100765,79662,95129,0.0013587823333416943,0.11188904141339565,0.16406710590634224,0.2062385947465016,0.24940741322815999,0.34834944357598036,0.47635644120226384,0.5227175841925055
5,6000,34144663.20869413,24186,3498966,4402926,5157782,5759365,9149650,14385058,15594764,136783,84865,51767,148577,151234,128052,56230,117542,0.000711188108508358,0.10273008602578425,0.12914496829627506,0.15171693495355806,0.16942583122878904,0.2689759407210289,0.4219923488983103,0.45830394832271165
6,7000,40352782.03686346,41958,4274186,5483876,6664593,7218201,9783703,13917401,15066781,63745,43852,36174,68708,69418,42598,28430,31464,0.0010414247419616776,0.10603570960804856,0.13602027221600146,0.1654398955254951,0.17918565573110024,0.2427104523028933,0.34513638278123054,0.3736678693445812
7,8000,46560899.98757717,40463,4218197,5918091,7167486,7949820,9851692,13897894,15049562,66536,50929,46677,60150,64408,43126,42875,96020,0.0008702775246223674,0.0906944663785467,0.12723185769609824,0.15413699783153642,0.1709767696479987,0.2117833927872591,0.2987636298770528,0.32389111957296873
8,9000,52769016.92553347,47987,3434883,4887521,5952368,6426816,8286563,12617022,13796892,59511,44617,46360,72975,70141,46357,12916,41495,0.0009104050428360058,0.06514788228697409,0.09270247906707797,0.11295664308927583,0.12195356897330141,0.1571727035719386,0.23915759085018878,0.261663956434084
9,10000,58977132.71607718,17606,2510404,3681208,4439791,4856244,6193244,9615524,11003105,75371,161908,159874,168000,171549,159164,134204,148431,0.0002989044722442395,0.04268289396357232,0.06258720791069058,0.07549492391657486,0.08258134165365533,0.10529510173830861,0.16341001730889082,0.1870363390493281
10,11000,65185247.2238158,11941,2504182,3964898,4704093,5048114,6292410,9257984,10388496,133191,182540,120659,209821,210532,179388,159359,190008,0.00018356068498305754,0.03852427240265023,0.060937878932871135,0.0723980322006073,0.07769351481743265,0.09679758217386485,0.14237381838037322,0.15983472211289912
11,12000,71393360.31405401,149454,3864904,6124510,7119058,7819002,8643050,11031247,12185923,433281,467525,367604,567545,609977,560200,422116,553677,0.002106170137416967,0.054492188676897625,0.08622942320979031,0.1005150165717522,0.11046380709591683,0.12201982746046038,0.15543262777225322,0.17202113885766643
12,13000,77601471.85152847,54058,2174912,3597860,4142856,4634610,5585366,7081097,8008831,142665,159412,115031,128895,185178,175865,92056,176847,0.0006978935281512575,0.028084376941544822,0.04643212361365066,0.053475128469516825,0.05986607947014887,0.07213848527801031,0.09135789403398481,0.10344035912809328
13,14000,83809581.70148474,90244,1649812,2362813,2766151,3025701,3523676,4709356,5143027,111462,60372,65828,84580,105159,91075,76176,70348,0.0010782082121063366,0.01969943365293334,0.028214796872164907,0.03303853023332869,0.03614744481053963,0.0420895706198437,0.05624226030873715,0.061417172962603926
14,15000,90017689.72859728,30643,1738301,2376332,2823123,2969900,3686987,4503063,4928172,112540,84794,102623,82674,82672,72214,50893,72915,0.00034083698311502826,0.019328867217240586,0.026428629666402872,0.031390698907748246,0.033022732134911664,0.04099135582011001,0.05005249896341629,0.05479108725182146
15,16000,96225795.79823327,221332,1048725,1415263,1752757,1950500,2507694,3989534,4315445,111337,78151,105744,132314,120770,145886,118325,146353,0.0023027960909047787,0.010907443465731888,0.01472391008455546,0.01824012375449409,0.02029550467105599,0.02610008695122767,0.04151117459303007,0.04491538329445176
16,17000,102433899.77491152,22254,941081,1357409,1738768,1943357,2264321,3379981,3745025,32179,29881,30758,32558,26340,44627,47845,57370,0.00021732056679903217,0.009189883475848119,0.013255540567140699,0.016979933757332862,0.018976694731047544,0.022114826471888248,0.03301212267071574,0.036580894158396826
17,18000,108642001.52416837,19199,824248,1008161,1214843,1392344,1812378,2685963,2948452,16316,19853,7019,22055,17084,66527,79618,86727,0.00017674456927342818,0.007588213004427962,0.009280261077739955,0.01118434540685115,0.012817906164947946,0.016692333217448417,0.024741194074852323,0.027160835923671002
18,19000,114850100.910406,37608,1044735,1292430,1549722,1687320,1910344,2913477,3224464,108607,50365,80998,82927,95646,66595,107000,119061,0.000327762858215578,0.00910050002915817,0.011261131848429013,0.013503181678149574,0.014703742885776132,0.01664301839230381,0.025391304373714885,0.02810454784091558
19,20000,121058197.79924107,7092,787302,1034771,1359122,1515855,1876803,2918242,3238768,66336,67066,80216,60734,66407,69948,65011,88871,5.861551260172843e-05,0.006507105010856163,0.008553382893402604,0.011232648663240204,0.012528577269471314,0.01551227497805967,0.024119060561997734,0.026773464693037534
20,21000,127266292.05491567,14714,535947,710533,902801,1010865,1475813,2673592,2963969,303097,377044,387533,346793,304951,333955,340003,376314,0.00011589185349057828,0.004223738482302697,0.005600094178825213,0.007113178091014802,0.007961990568158555,0.011626769302778284,0.02106413115759848,0.023358574455086187
21,22000,133474383.5432663,31473,603871,962415,1458371,1723170,2167272,3675819,4060968,210080,329347,303285,259622,194161,210874,144183,157386,0.00023616977062264696,0.004535437562509275,0.007226905916731764,0.010947518001046314,0.012928924990657285,0.01626305661188037,0.027569290265990254,0.03046099203278311
22,23000,139682472.12840867,34126,550044,893465,1335776,1620966,2005988,3465038,3819673,126727,207877,234380,201658,277553,268368,361163,360824,0.0002445331073156453,0.0039436859414691,0.006407151122420996,0.009576772320602169,0.011627753239517293,0.014388702007885557,0.024870840086683138,0.027416220316885138
23,24000,145890557.67619276,16985,347337,651204,954936,1309096,2252524,4015927,4446822,219447,453825,554328,449424,599180,525678,614702,622633,0.00011659827347479602,0.0023882343449871607,0.004480672172732663,0.006565790405113662,0.009010142383793409,0.015495654830916554,0.027643457898132447,0.030611175935170275
24,25000,152098640.0507388,24926,661466,946249,1287681,1467880,2537541,4534533,5105469,120814,112704,111304,77902,95577,108117,150270,202443,0.0001640107682003445,0.004352152687201117,0.006225841077207302,0.00847042986707656,0.009656910660478071,0.0166953896142123,0.029842590601569616,0.03361156565555482
25,26000,158306719.11792517,36501,1229556,1856686,2534131,3186345,4209986,7304805,7992836,88226,77275,66442,56958,69252,70603,64918,88489,0.0002306999597878528,0.007770715538150012,0.011733333850372018,0.016013490207492993,0.020136476259604196,0.026605721268224986,0.04616229686716156,0.050517794277199796
26,27000,164514794.74182034,50539,1094293,1617959,2191412,2722276,3700166,5662244,6209762,64998,59653,42655,46571,51968,38081,39761,69811,0.00030732175412380853,0.006654051605865512,0.009837283095725432,0.013324227319679968,0.016552530768995762,0.022496594902839336,0.03442616104817546,0.03776194237550819
27,28000,170722866.78810072,92586,2589503,3302158,3951984,4393202,5125319,6953375,7513594,137677,131858,108752,156766,163882,149215,186337,284590,0.000542755207031803,0.015179598376234154,0.019354541704250047,0.023169809134053348,0.025757669732016944,0.030047542198176378,0.040773522298359656,0.044083958965047264
28,29000,176930935.12174797,37721,2196838,2853716,3389224,3766316,4642845,6262431,6835907,55796,59509,34621,52090,56939,52963,90935,150669,0.00021326343649706253,0.012420536477654818,0.01613213940701978,0.019161273908517178,0.021293780219719383,0.026248859280251443,0.035412977808688885,0.038668948463354696
29,30000,183138999.60713243,37592,1171192,1747363,2306368,2709374,3549721,5681030,6200091,56883,54087,16395,43800,43933,37764,21866,70088,0.0002053286290144163,0.006396988060469893,0.009542038809183376,0.012596550892370615,0.014797635185952394,0.01938665781380301,0.031024022100456922,0.03386752532459172
