,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000,9312181.820186902,0,0,0,739,739,739,1477,1477,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7.935841613380007e-05,7.935841613380007e-05,7.935841613380007e-05,0.00015860944604820395,0.00015860944604820395
2,3000,15520302.808601141,2401,27537,27537,33929,34702,41431,119826,121303,0,738,1477,32491,26584,52429,52429,52429,0.00015470058990533345,0.0017743409908465115,0.0017744254842230341,0.0021906903582827346,0.002239746340351525,0.0026785193952747195,0.007746766070290086,0.007842254307282212
3,4000,21728423.459529873,136178,912041,996070,1358295,1527485,1625308,2088396,2141747,0,0,738,0,0,0,0,0,0.006267274763566598,0.041974559346135525,0.04584335509897206,0.06251235864074,0.07029893369139306,0.07480100905743145,0.09611355393039572,0.09856890924411042
4,5000,27936543.63784772,323518,3713144,4017079,4380968,4473440,4501934,4842325,4899829,0,1477,0,0,0,1476,2215,4429,0.011580459064438666,0.1329205349010788,0.14379298499037524,0.15681854050351368,0.16012861354614738,0.16115708250158564,0.17334674703580386,0.1754191926937312
5,6000,34144663.20868908,312304,4192747,4476501,5201627,5394768,5462909,6007140,6077494,0,0,0,0,0,0,0,0,0.009146495254360142,0.12279362588449948,0.131103972900246,0.15234084952626795,0.15799739968227738,0.15999305562369137,0.17593203257811935,0.17799250099070854
6,7000,40352782.03687599,311887,4157105,4500686,5190618,5358506,5451297,5944097,6009691,0,0,0,0,0,0,0,0,0.007729008614944693,0.10301904330167547,0.1115334748391596,0.1286309824997098,0.1327914887033856,0.13509098319462548,0.14730327625411416,0.14892878995327022
7,8000,46560899.98757586,387774,4334125,4913342,5463885,5674557,5785831,6521218,6610293,0,0,0,0,0,0,739,2215,0.008328318398129593,0.09308507784764689,0.10552506505052647,0.11734921364187469,0.12187386845001232,0.12426372775319786,0.14006003977821566,0.14197765683811625
8,9000,52769016.925543755,503870,3635809,4103951,5628204,6019741,6259928,7826632,8002393,0,5166,4429,4429,13154,16845,10202,11071,0.009548595546340242,0.06890719566944746,0.07777850943877541,0.10666631203378245,0.11410563046795152,0.1186667348755892,0.14834738064237016,0.15168128439446105
9,10000,58977132.71606904,175020,2503217,2820295,4275168,4630264,4878808,6081388,6217296,42798,12547,140942,151267,121880,96792,45141,136508,0.0029697459187959414,0.04245288879080215,0.04793469743155441,0.07267496955564877,0.07867206045885884,0.08285971073989597,0.10319332204653422,0.10566332410645007
10,11000,65185247.22378266,166127,973618,1094616,2229345,2397437,2646573,4109331,4203972,1476,10333,5166,737,2951,2951,3693,14764,0.002548594487263843,0.014938539031398093,0.01679371948374622,0.03420053310742865,0.03678049315368031,0.04060263527559438,0.06304438500947308,0.0645073013432229
11,12000,71393360.31409109,7103,233312,258102,364678,417038,437434,828313,865500,13280,3689,23613,25823,24347,24347,38365,45743,9.950955460886197e-05,0.0032681478385508164,0.0036164062465307467,0.005109858259435786,0.005843404309999899,0.0061291865991600185,0.011608339351070295,0.01213074847601203
12,13000,77601471.85150707,17744,139603,145518,213245,233656,242469,311726,311726,61243,48682,76739,78214,78949,38372,27323,25822,0.00022883605404338614,0.0018001028753098702,0.0018770525824155892,0.002750722891554208,0.0030140401963899403,0.0031260870241674433,0.00401842630070886,0.004018348548761066
13,14000,83809581.70149034,1479,200118,204553,289948,312127,317302,367513,368991,0,16269,737,738,6667,16249,26221,15535,1.7647146901029094e-05,0.0023882335421313485,0.002440708981594666,0.0034596348928608825,0.00372453632563748,0.003786721326986395,0.0043864676341810035,0.004403546725873035
14,15000,90017689.72860265,31067,193187,206499,277150,294883,301536,367757,371453,6652,17012,29334,18474,8855,14031,26778,10331,0.00034514655962163067,0.0021465060583494276,0.0022947302273505664,0.0030794712793471486,0.0032761561783256066,0.0033502638032666286,0.0040866015571560475,0.004126918123661807
15,16000,96225795.7982285,24414,125136,132438,150169,159781,186387,440147,447054,11088,4435,18223,0,2950,3691,18958,3690,0.0002537449892920582,0.0013005012500540715,0.0013765860227838388,0.0015605898476005596,0.0016605308092326409,0.001937049707973458,0.004575007453452592,0.0046460633582208555
16,17000,102433899.77493083,2959,13810,14646,24994,33613,41758,368492,387467,16264,5122,20371,0,1567,3644,4901,2959,2.889150855329826e-05,0.00013482539087154822,0.0001430084499108198,0.00024400125402739874,0.0003281483403668652,0.0004076725151575772,0.0035975358971309913,0.003782714451987436
17,18000,108642001.52417266,17632,114540,125639,158169,168777,217677,749746,784755,9608,6699,11148,0,648,4474,8865,19173,0.00016230886044204265,0.0010543533946942658,0.0011565682853816725,0.0014558733986947733,0.0015535244593804438,0.002003699872049879,0.006901632632444237,0.007224586310835779
18,19000,114850100.91041815,11965,27510,28250,33698,34435,44142,245295,251775,2954,70128,64455,4670,0,4424,54812,38336,0.00010418195246358894,0.00023967595829170143,0.00024611091200416355,0.0002934204672564218,0.00029982559638200865,0.00038435926529852417,0.002136803716670105,0.0021929372847499327
19,20000,121058197.7991836,11837,18507,18506,139102,142789,153826,679661,689121,16258,56441,54016,27466,19962,7374,40010,15485,9.779255041383464e-05,0.00015294819256810052,0.00015293686321281218,0.0011493114015934446,0.0011797015964187005,0.0012707554989893216,0.005616188875079032,0.005693205184051756
20,21000,127266292.05495071,0,0,0,60527,67164,82485,734311,741730,11091,6465,15009,1147,774,4476,6737,12616,0.0,0.0,0.0,0.0004755976192371098,0.0005277470364832045,0.0006481519952880728,0.005770183619476937,0.005828751066332308
21,22000,133474383.54322577,0,1474,1474,4423,4422,4423,143173,148335,24389,5779,83044,16284,71762,70281,27690,71759,0.0,1.1043795692961063e-05,1.105019265154277e-05,3.3141487966171986e-05,3.314777437538708e-05,3.315490240314651e-05,0.0010728853312024827,0.0011119346452733078
22,23000,139682472.12840676,0,5159,5159,12529,12529,12529,20777,21513,4461,2959,5200,1481,0,5181,2219,0,0.0,3.69345502747948e-05,3.693514285743838e-05,8.969724440516224e-05,8.969629337947562e-05,8.969962045213178e-05,0.00014874686675216643,0.00015401359721228024
23,24000,145890557.67623472,0,0,0,0,0,0,5177,5178,2957,3700,3699,740,1478,1479,9582,15505,0.0,0.0,0.0,0.0,0.0,0.0,3.548783503813224e-05,3.549613114102803e-05
24,25000,152098640.05074644,9800,15259,15259,17470,18951,24930,25667,25666,2215,1477,2215,0,1476,738,2217,8880,6.443280962540877e-05,0.00010032402770661089,0.00010032451449735842,0.00011485967260569378,0.00012459798391557843,0.00016390758625771363,0.00016875479044918955,0.00016875560847381344
25,26000,158306719.1179092,2046,13604,15085,19527,24688,35736,42371,43108,10975,7385,20569,0,0,0,2955,738,1.2925173771418662e-05,8.5938453726325e-05,9.530208416063571e-05,0.00012334915478512317,0.00015595042419906392,0.00022573899705029764,0.00026765630139053965,0.00027230809408200675
26,27000,164514794.7418387,19997,37771,39993,40734,43696,43697,45918,46659,21370,23600,37708,1474,1474,14776,9620,14043,0.00012156716921289674,0.0002296232333851051,0.0002431524098111766,0.0002476030501136229,0.0002656076711780052,0.00026563522809426994,0.0002791279974752165,0.000283640041190966
27,28000,170722866.78810358,2222,5184,5925,5925,5926,5925,5925,5925,8276,7644,15815,0,263,0,0,0,1.3015876321655584e-05,3.0366360511590246e-05,3.470858372830798e-05,3.47053684809191e-05,3.47112794000916e-05,3.47053684809191e-05,3.47053684809191e-05,3.47053684809191e-05
28,29000,176930935.12178326,0,0,0,741,740,8148,9630,9630,2213,9065,7852,0,2428,0,3426,2213,0.0,0.0,0.0,4.188074852427376e-06,4.182480325178146e-06,4.6051867608067824e-05,5.4429071249578554e-05,5.4428698091039715e-05
29,30000,183138999.60706758,15798,67449,88343,125659,130844,135288,191412,199561,8116,12077,16261,8119,5445,0,9896,5179,8.626617034129958e-05,0.000368318317371194,0.00048242507004856697,0.0006861704567981552,0.000714473108332002,0.0007387175876807567,0.0010452298200001279,0.001089700413274174
