,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227494,2230767,2431012,2693125,2718217,2759937,2779640,2814795,2826369,681,0,681,254,2296,2296,935,2296,0.7188185998872757,0.7831715582839646,0.8678039175859332,0.8757687977090689,0.8897957549691231,0.8961479455300513,0.9070838039840262,0.9112132408009043
1,2000,9312181.820187043,5702979,6852282,8110834,8237839,8424890,8475550,8562556,8589185,681,681,681,427,428,428,427,428,0.6124661437645067,0.7358944741909346,0.871055499712352,0.8846709518318834,0.9047586698153035,0.9101991057394334,0.9195426818409299,0.9224024996643941
2,3000,15520302.808602836,6441761,8859343,10683147,10938420,11318452,11423071,11676343,11774146,16401,20519,32746,8764,14893,9445,31237,16253,0.4154928920167427,0.5715784884098063,0.6897890436834981,0.705179552781279,0.7299679363340791,0.736456432065568,0.7538442372370063,0.7594239018418788
3,4000,21728423.459525395,6583653,9458043,11398546,11831806,12614005,12906579,13576986,13695799,164018,64848,89551,140000,87600,72293,120601,142519,0.30530185552098676,0.4365873499354112,0.5267624743997407,0.5480625309292554,0.5828800841886558,0.5959780776220377,0.6283366139939217,0.6344788111927522
4,5000,27936543.63785094,7582586,11046746,14443826,14874643,15962551,16285650,16925632,17151695,146970,123186,193067,224307,235704,220389,219263,262013,0.27285722691592856,0.3971741256067044,0.5206206197061121,0.5367536079597188,0.5762479119293004,0.5875869222406229,0.6106526906859046,0.6197646212847175
5,6000,34144663.20869027,9204958,11466818,14378350,14713125,15830938,16093480,17036003,17220943,181526,156393,190683,279799,247153,258765,182996,189785,0.27102790721125414,0.3373757455025797,0.4234658178990152,0.4344657905412293,0.46702362216389093,0.4749314862745092,0.5016244607579439,0.5071713965268337
6,7000,40352782.03686629,9706550,12586980,16573869,17104516,18111245,18543482,19539211,19760001,700621,572463,585687,394399,508238,336917,273701,335758,0.24479245887696788,0.3164122436608679,0.41677344006734984,0.42805826212284614,0.45454767867948276,0.4634032522579742,0.4875164423562276,0.49378986757725407
7,8000,46560899.9875724,10779252,13602034,18289318,19144928,21244445,22088694,23767964,24021291,1930622,1199380,994785,1100535,1188573,1056628,903174,1309431,0.2415232995636181,0.299858426343,0.40137979735573653,0.4211344982653283,0.4682247178069335,0.4854202261720088,0.5205682824954841,0.5308400265767519
8,9000,52769016.925549895,12681876,15195917,18889993,19944548,21967210,22974872,24730897,25030672,3214534,2710534,2736967,3086494,3125020,2973601,2816276,3059630,0.2559178353057,0.30356327463220006,0.37755784598290937,0.4014399194237226,0.44249479011417603,0.46138528161608655,0.49508588601492753,0.5035401470046013
9,10000,58977132.716076285,13993363,16850930,19848582,20858163,22435415,23158350,24288617,24542161,3331869,2043521,2586237,2554773,3001460,3092672,2742885,2849034,0.2514744663876438,0.29597507504063403,0.35198203092811375,0.36967902627541,0.400806527396258,0.41439694869128507,0.4319185902980677,0.4372526695434029
