,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292260895,31932,335509,335509,1543669,1968696,2293361,2609455,2674305,0,0,0,0,0,0,0,0,0.010287170198721714,0.10808712846683338,0.10808712846683338,0.4973063301230913,0.6342324571446399,0.7388260971473953,0.8406585153108284,0.8615505041429435
1,2000,9312181.82018838,190358,731915,731915,3504796,4609767,5638383,6886820,7111676,0,0,0,0,0,0,0,0,0.020441825951820727,0.07859758476936544,0.07859758476936544,0.37636679219490365,0.4950254504273357,0.6054846338777713,0.7395495634620978,0.7636959992106483
2,3000,15520302.808601344,352450,1178940,1178940,4757711,6414755,7982432,10421316,10826000,18574,18574,18574,16805,17689,17689,18574,18574,0.022736173774659144,0.07605216260433154,0.07605216260433154,0.3068798447122314,0.41378538349712934,0.5149087823868187,0.6722679856338083,0.6983737190650018
3,4000,21728423.45952728,610632,2020321,2020321,4191892,5406261,6595123,9646365,10218929,884,884,884,0,0,0,884,274,0.02810405665756344,0.0929843438445172,0.0929843438445172,0.19292205013438182,0.24881055038668773,0.3035251504686701,0.44396950782064637,0.47030829841421407
4,5000,27936543.637848362,560573,2672060,2672060,4943778,5885138,6955039,10028924,10842666,467307,467307,467307,462624,467307,449371,504237,504348,0.020407301716845565,0.09727463617675908,0.09727463617675908,0.1799444005503095,0.21424468679596248,0.2530285341324369,0.3655880685644965,0.39525330539128667
5,6000,34144663.20869754,334371,1626393,1626393,3382935,4144961,4840136,6862692,7489086,5852129,5852129,5852129,5800333,5778132,5722856,5852959,5826927,0.011818347466986871,0.05748488233691073,0.05748488233691073,0.11935138262543725,0.1461215320796468,0.17029656011876818,0.24256905661731912,0.2644662675295278
6,7000,40352782.03686133,109483,933342,933342,1764210,2085606,2515479,3625305,3974837,9855188,9855188,9855188,9800964,9812116,9714869,9846620,9826514,0.0035898897423735096,0.030603791199787875,0.030603791199787875,0.05774484509797251,0.06828947336913868,0.08210347085238988,0.11883844960960532,0.13021038127557133
7,8000,46560899.98757377,88452,722526,722526,1194619,1368914,1653725,2413837,2648968,13252063,13252063,13252063,13154239,13202390,13133433,13180285,13219761,0.0026555115098434085,0.02169172103695924,0.02169172103695924,0.035759904303047846,0.041036425203341755,0.04947204048140264,0.0723125383069956,0.07945043512122574
8,9000,52769016.92554474,143908,471069,471069,872154,1056953,1297774,1863463,2051636,17243508,17243508,17243508,17126536,17153753,16897695,17022511,16950955,0.00405083570517191,0.013260021157959436,0.013260021157959436,0.024469508781442113,0.029676966657038013,0.0361785942177901,0.052129934150245284,0.05727936939370842
9,10000,58977132.716071725,158217,415760,415760,935064,1131275,1366893,1920564,2068037,20065702,20065702,20065702,20044569,20051966,20030091,20070429,20013444,0.004066080251699691,0.010684778029204596,0.010684778029204596,0.024017529562636968,0.029062817078003945,0.035096195751266615,0.04936331831181695,0.05307600661399846
10,11000,65185247.22380197,292712,691113,691113,1159991,1381308,1673393,2153923,2282936,23093460,23093460,23093460,23069423,23054066,23001762,22998956,22894504,0.006954135695014582,0.016419188767760162,0.016419188767760162,0.027542877798991887,0.0327858835161173,0.03966938699166067,0.051057415513803994,0.05398193141034995
11,12000,71393360.31407994,255272,452058,452058,804017,1000798,1179122,1452951,1520668,25924344,25924344,25924344,25868677,25869563,25830397,25817989,25771958,0.005614196670468819,0.00994211084043214,0.00994211084043214,0.017661122307056937,0.021984062381598946,0.02587895769359729,0.031880179099081286,0.03333233795688658
