,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292279577,2504879,2620168,2665108,2722335,2787686,2863269,2930048,2978621,0,0,0,0,0,0,0,0,0.8069684517157817,0.8441098009904815,0.85858761098454,0.8770237843830709,0.8980771747017563,0.922426892387135,0.9439403252663792,0.9595885376571536
1,2000,9312181.82018635,7685056,8154986,8340988,8524234,8696592,8850432,8998112,9100587,3530,2118,3530,0,0,0,0,2118,0.8255820658513096,0.8759323413356332,0.8960468348286574,0.9153852625086972,0.9338941365113904,0.9504144325033046,0.9662732293837379,0.9774999587293745
2,3000,15520302.808603179,10868087,11680671,12120150,12549601,12867647,13267579,13663242,13919332,2118,1412,0,2118,2118,2118,706,4236,0.7003452487545324,0.7526743466436795,0.7809222635322286,0.8087028962976768,0.8291979480013836,0.8549697766612846,0.8803864023339755,0.8970915227228953
3,4000,21728423.459525183,13500917,14493393,15209550,15770769,16274562,16921084,17723018,18209551,585536,587652,614468,613764,608825,608823,603884,612350,0.6385559695119901,0.6855659467180825,0.7203553132977025,0.746910885786772,0.7705905029960446,0.8012028462578418,0.8389777222815896,0.8623549749864083
4,5000,27936543.63785235,14143988,15508274,16405824,17448882,18164221,19219816,20526511,21292135,2710589,2750295,2782216,2790718,2785137,2781986,2781665,2805654,0.5606918827474816,0.6157437029622845,0.6522068184924347,0.6939076986891202,0.7221950351143869,0.7640689324259154,0.8160051692363282,0.8472495525160245
5,6000,34144663.20868595,17017353,18702883,20387730,22006860,23046054,24198535,25894759,26935020,2003643,2116351,2180814,2218884,2169302,2143752,2164614,2259859,0.5294590180868355,0.5839484415581491,0.6378371349111414,0.6893131677742312,0.7207441332590686,0.7561826862427541,0.8097160461206184,0.8447604013407256
6,7000,40352782.036870465,20362951,22161737,23990199,25514231,26783861,28412305,30727718,32152079,1809276,1924535,1997566,2053595,1967818,2027202,2017985,2077255,0.5283108127351189,0.576704344039858,0.6254742243385744,0.6661820517348725,0.6977695999473364,0.7413405086802712,0.8015620369776847,0.84001662391293
7,8000,46560899.987567246,17101114,18917046,21045452,22602487,24007331,26114043,29101263,30622572,3432330,3585457,3734184,3766517,3749691,3772026,3792181,3908511,0.3965147466036961,0.440182687714765,0.49140942784661734,0.5281648062683026,0.5607720867441969,0.6102998412060974,0.6804333561746299,0.7179567833568755
8,9000,52769016.92554638,18590736,20530667,22696691,24175740,25661593,27669307,30748431,32316303,3888305,4348097,4424227,5199066,4623971,4432548,4621891,5113177,0.3803286668229556,0.42400406748918934,0.4694754292024879,0.5082145247078016,0.5330058889067053,0.5724312845983761,0.638634817944246,0.6781184226421856
9,10000,58977132.716080636,18263992,20466564,23498562,25491234,27142112,29509908,32533043,34382411,1331826,1406044,1403857,1696093,1457813,1406492,1590337,1733503,0.31683398077757313,0.35550072886294615,0.4081505126767814,0.44502044876192753,0.471878181695739,0.5125860618007207,0.5669081640479843,0.6006329642360438
10,11000,65185247.22379601,17902158,19876084,23550845,25795643,27567561,30193079,33642320,36078276,1326012,1420432,1464047,1742140,1562554,1557813,1662838,1824370,0.2803378076367736,0.31170926992010733,0.36959198692565093,0.4065948868015825,0.43329761132603617,0.47452925563212633,0.529613413771424,0.5694093513347118
11,12000,71393360.31407416,16027304,18071366,21065059,23724212,26581037,30089765,34132861,36570429,1308723,1372902,1399013,1858921,1447020,1490619,1646602,1973404,0.22868498167688245,0.2580869425181646,0.3009537170977281,0.34118650030155756,0.38002041108434564,0.43045185974618927,0.4893827587842509,0.5267999425776898
12,13000,77601471.85152489,11566644,13373222,16583796,19035462,22082467,25183656,29034434,31792106,1683640,1897338,1814253,2279620,1861321,1827061,2000386,2315128,0.15235740692148958,0.17665114597610085,0.21882048518615516,0.2527216409591585,0.29155562474768176,0.3323504032165392,0.38404784366485883,0.4222825066747622
13,14000,83809581.70149451,9202832,11097672,15327336,18408275,21097179,23871957,27465329,29901694,2045142,2249648,2516035,2674329,2599263,2605172,2621426,2680362,0.11255298799328516,0.13606769275483907,0.1885430839459022,0.22688380681731604,0.2597844625822377,0.2939736534968082,0.338292313240642,0.368568736517124
14,15000,90017689.72858548,9145325,11297031,14725477,17539817,20520565,23593714,27491925,29824530,1428593,1542407,1588803,1898519,1673442,1681706,1736091,1911324,0.1032330765039738,0.12768572929747804,0.16652337878228482,0.19904655088078535,0.2322795827414146,0.2670906351424384,0.31141172561364305,0.33850596098669455
15,16000,96225795.79823256,10868255,13020393,16866839,19808687,23437171,26900949,31164305,33656485,1515084,1606941,1692890,1861753,1744322,1703602,1768953,1872585,0.11475212036367377,0.1376088627130923,0.17842294021935537,0.20991774422334328,0.24806102252438017,0.28459928741627466,0.3299316817794712,0.35670736284716303
16,17000,102433899.77491319,8811049,10709282,14396205,17549343,21174824,24615971,28615154,31567342,1655741,1768357,1853125,1891740,1884884,1816097,1829592,1932474,0.08743014465742892,0.106384783758091,0.14313078251998804,0.17454710580405525,0.21059205638970643,0.24464826622250038,0.28443269113308794,0.3140984494160254
17,18000,108642001.52417481,5639992,7764735,11722246,15181970,19058594,21839315,25548795,27914102,1912632,2013445,2075962,2189121,2148651,2116853,2115672,2194834,0.0528438613021368,0.0728204080887054,0.10999982782827146,0.14261680778616664,0.1789651082080806,0.2050155789742343,0.2398354952631877,0.2622343332307131
18,19000,114850100.91040385,4059749,5513401,8055573,11443118,15005270,18144180,21731890,23947073,1714698,1855391,1890878,2139251,2015659,2014531,2111798,2229751,0.03588398410721237,0.048793443554762034,0.07131399094688762,0.10152632163714823,0.1329848381925346,0.16080195291615257,0.19276403350927604,0.2126353986562048
19,20000,121058197.79919147,3033961,4057965,6106272,8692728,11853524,14827838,18046888,20356143,1661232,1771323,1831275,1936289,1868674,1827989,1865080,1987149,0.025410704364989357,0.03401853730203941,0.051215546427248806,0.07297337733777988,0.0994510559499392,0.12436309681360343,0.15140880894150432,0.17095795497971816
20,21000,127266292.05493855,2781659,3596225,5339070,6939718,8730788,10915962,14021005,16373736,1778744,1883317,1926130,2070183,1941376,1916649,2010824,2125991,0.022166812907860687,0.02868192430770012,0.042596641910035205,0.05543078017668036,0.0696652212092661,0.08708410916827043,0.11193926475010431,0.13084302868035833
21,22000,133474383.54327631,3153846,4164244,5772235,7772610,10455363,12836508,15760119,17560830,1873181,1981742,2044158,2188018,2017735,1993108,2002432,2226462,0.023965176146189666,0.031669026883374925,0.04391862660312763,0.059203482157771305,0.07953468398791586,0.09762993207177198,0.11987438244432143,0.13379891882104722
22,23000,139682472.1284008,2350128,3240865,4549814,6216160,8598253,10609893,12837018,14340174,1869275,2037049,2151107,2406357,2276730,2220318,2260250,2325882,0.0170529967301345,0.02354502551804283,0.03308201002551122,0.04528216721594819,0.06257564543383665,0.07718410254279516,0.09341297063298612,0.10440106285832242
23,24000,145890557.67620182,1619108,2385288,3536793,4461070,6024596,7655551,9572372,10778140,1660360,1771189,1913004,2116758,2182670,2160425,2143575,2212040,0.011225859952261266,0.01655078024494482,0.02456489160771593,0.03102839328199531,0.04192251446611221,0.05326336835190003,0.0665918116804045,0.07501566813411827
24,25000,152098640.0507717,1346080,1865973,2608844,3614771,5251318,7533715,9805263,11186045,1639945,1898265,1963158,2184174,2079993,2042226,2167690,2268309,0.008946508538743942,0.012423224638215795,0.017376598551951634,0.024112222757580855,0.03500443513680512,0.050205884551199266,0.0653985250989179,0.07465808105442603
25,26000,158306719.11789632,1395077,1986755,2663298,3745227,4767276,7011447,9089537,10508836,1456348,1583054,1615934,1821037,1721512,1772917,1887895,2039247,0.008894317495438966,0.012676802820463977,0.016997157797097626,0.023933352555400855,0.03044525142410558,0.0447919037622251,0.05811025016496106,0.06724903050886744
26,27000,164514794.74181437,1577540,2385083,3035765,4006578,5225919,7315128,9433261,10911000,1382200,1501813,1605481,2095893,1725955,1731888,2001170,2228741,0.009670293067407717,0.014631245772668446,0.018634692702783156,0.02466817566818035,0.03210244024276104,0.04493793695183444,0.05804597008396456,0.0672331340150684
27,28000,170722866.78812933,1019538,1573846,1999807,2978908,4197954,6245634,7972581,9076630,1566629,1624762,1838193,2148595,1827605,1836690,2086757,2240870,0.0060271971836887645,0.009307295324048385,0.011841258032145743,0.01767119008376324,0.02485536867970946,0.03698132149580991,0.04727683181269168,0.053872996361825576
28,29000,176930935.12178612,483134,753598,1058530,1891849,3244495,5108143,6622009,7614523,2434308,2833860,2799872,3386395,2905580,2801810,3237717,3455826,0.0027687297340297998,0.004328608045096884,0.006078926878541315,0.010901230304752783,0.01864380623001426,0.02933537394406225,0.03812474126282199,0.04389403781642423
29,30000,183138999.60709476,433336,857461,1124649,1420981,2274277,3261223,4565118,5441838,2501204,2678079,2813104,3282403,2780885,2786552,3053731,3391301,0.0023989221001265377,0.00475150518525222,0.006236758155081924,0.007900633208934783,0.012609784732749344,0.018082499257812728,0.025349758119083313,0.030274868842104924
