,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922698,1406233,2352488,2587170,2732288,2815815,2860776,2913669,3006206,0,0,0,0,0,0,0,0,0.4530301330970463,0.7578743719918423,0.8334792096648886,0.8802302294850587,0.9071391755325465,0.9216237508583824,0.9386636886424496,0.9684752841791788
1,2000,9312181.820187584,4397016,6212785,7048692,7386172,7673728,7932136,8173918,8493130,0,0,0,0,0,0,0,0,0.47217892486461643,0.6671674930714412,0.7569323855682633,0.793173086890094,0.8240526385947886,0.8518020967765227,0.8777661516745756,0.9120451215404765
2,3000,15520302.808605641,5193629,6756101,7643339,8078388,8499869,9036569,9556366,10234657,779867,780517,780517,777915,779867,777305,779865,783117,0.3523389041840878,0.4583581530781495,0.5185515650802422,0.5479701188761542,0.576636207393385,0.6129397234750493,0.648309509126037,0.6944783850132071
3,4000,21728423.459528964,3017982,4538607,5405760,5948717,6539100,7171229,7730771,8369423,3801112,3802414,3802414,3797210,3801763,3791314,3798511,3804366,0.16834548821294906,0.2531855743045703,0.3015595864882493,0.3317520598048955,0.36476955731730415,0.3997984745636,0.43116613187318903,0.4669379697592168
4,5000,27936543.637845017,2409003,4403657,5227594,5788170,6346720,7163023,7875345,8882007,6763250,6770374,6770374,6756743,6763218,6754761,6759965,6769724,0.11377554390943517,0.20805167280367445,0.24697874435689512,0.27328727493579136,0.29975073866789864,0.3381690352728853,0.3718893941595381,0.41961934537012346
5,6000,34144663.20869565,2628683,4789632,5852404,6587193,7290054,8354941,9281003,10520359,8794791,8800005,8800005,8792167,8792849,8784392,8795451,8800005,0.10369610459410107,0.18897994048926242,0.23091272140304753,0.25982423765201706,0.2875555153563534,0.32944998621052674,0.3661258947059624,0.41509176858382363
6,7000,40352782.0368557,4628099,7430741,8242269,9024683,9654003,10564054,11181906,12057303,11297830,11567432,11567432,11293007,11231211,11371124,11262503,11422736,0.15928778660964016,0.258143152349579,0.28633554879294165,0.3105558452725201,0.3315069433507581,0.36450826887011756,0.38438634383098125,0.41677441455293535
7,8000,46560899.98757282,3978776,6853880,7843241,8844678,9786095,11026668,11956321,13042896,15554553,15691462,15691462,15364622,15340351,15395077,15373345,15532491,0.12832134019511143,0.22202801368652006,0.25407786831614726,0.2835170914787757,0.313450445855238,0.35380641173495775,0.38336833409237075,0.42035336085790953
8,9000,52769016.92555487,3057172,5006603,5679112,6570742,7548777,8806528,9914128,11067176,18277504,18351579,18351579,18195442,18170079,18208383,18206164,18296904,0.0886354856801579,0.14546704524692725,0.16500682044619225,0.19005098588006505,0.21817944285580085,0.2548138445310248,0.28684345072306666,0.3210472193538122
9,10000,58977132.7160773,2204899,3744226,4493219,5147753,5840080,6769879,7766943,8781508,22269141,22372535,22372535,22298847,22273948,22351645,22284392,22353005,0.0600659119968773,0.10228840729358647,0.12275012649644582,0.14034878946764873,0.15911643758373473,0.18484065120116508,0.21167519374198274,0.23977384712278307
10,11000,65185247.22378248,1931986,3698506,4534588,5255105,5910021,6710307,7584445,8620047,25754022,25839456,25839456,25778553,25759144,25809626,25733438,25808353,0.048996347159782024,0.09400004129957477,0.11524963303467838,0.13335564181449333,0.1499012206825192,0.1704178065372856,0.1922458094881975,0.21891129734639525
11,12000,71393360.31408423,1931472,3789398,4673856,5440756,6267068,7160788,7963923,8925651,28318034,28412312,28412312,28310715,28320489,28337207,28296373,28401929,0.04483940495114651,0.08816439218301411,0.10874225230259098,0.12628648868553463,0.1454991926194332,0.16631276713838744,0.18479071267697092,0.20761465080777403
12,13000,77601471.85151666,1621627,3627996,5080216,5976121,6963138,7936666,8958085,10084528,31093874,31250406,31250406,31145464,31138065,31184419,31138049,31201973,0.034868001679581845,0.07827211593412123,0.1096030027933817,0.128640433743273,0.14986283770047543,0.17098599571559553,0.19279864569227684,0.2173413129368393
13,14000,83809581.70150268,1584850,2885857,3586160,4260963,4841935,5462397,6337149,7339900,34292136,34537988,34537988,34399267,34408880,34402621,34387106,34483280,0.03200589161148725,0.05857040097958081,0.07278351948032542,0.0862363056325649,0.09801348631152575,0.11055925971649304,0.12822402985788348,0.14880296610147842
14,15000,90017689.72859669,1091504,1992297,2324588,2633271,2992538,3352287,3909722,4579647,37483238,37605879,37605879,37561365,37560684,37583198,37556670,37598645,0.020776918081089422,0.03801236729478175,0.04435236958397373,0.050199304156824893,0.0570474421563988,0.06393285964039834,0.07452622957439001,0.08736609039160187
