,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227944,800749,1214777,1597103,1864575,2122302,2219707,2491884,2586990,0,0,0,0,0,0,0,0,0.2579682215160745,0.3913509254818082,0.5145205557396727,0.6006889757381335,0.6837179596353015,0.7150978235087165,0.8027819999829683,0.833421221106576
1,2000,9312181.8201852,2336291,3176626,3838930,4278591,4560352,4677501,5020828,5202324,2030070,2036269,2030168,2040696,2043353,2048666,2048666,2056344,0.3208260265276431,0.43659484088199163,0.5271797190714981,0.5884067033621785,0.6273847015541368,0.643972026191682,0.69123935629729,0.7169846031463828
2,3000,15520302.808604252,2021284,2829356,3573258,4134769,4433952,4622635,5096268,5379895,6343902,6351582,6331386,6334818,6339245,6331276,6327734,6335995,0.2202698031786867,0.30858786727858833,0.3888660736001112,0.4501416186684962,0.4829456575085078,0.5030603453753713,0.5543899758715854,0.5857703282723042
3,4000,21728423.459528897,2247347,3355034,4439014,5112172,5519601,5690674,6179832,6595039,10041424,10032345,10023734,10019517,10027857,10029601,10027459,10029230,0.192294609731298,0.2868511879096215,0.3792508989963982,0.4366054180781017,0.47173792987645125,0.4864313497949399,0.5281472327665554,0.5637174069147813
4,5000,27936543.637848012,2840679,4051609,5605452,6442268,7016736,7284659,7977937,8441273,13393480,13402339,13412077,13370529,13379012,13383469,13381184,13383840,0.19532878839965973,0.27876372329651583,0.38593169303671726,0.4422807583386984,0.482000395022824,0.5005580732098269,0.548109919541605,0.5800484370509903
5,6000,34144663.2086902,2948497,4838799,6362065,7093005,7824996,8057537,8712749,9244775,16852124,16873001,16896401,16831682,16841422,16833618,16844244,16840703,0.17050688533458763,0.28015826974460917,0.3688525210843907,0.40969287233094714,0.4522271813485474,0.46545641253106385,0.5036149063731061,0.5342577588312527
6,7000,40352782.03686738,2849717,4976526,6428261,7374138,8335813,8648210,9624921,10399013,19557897,19549043,19557013,19555742,19551300,19532371,19533256,19541390,0.13703932457177423,0.2392130564212924,0.3091138869932524,0.3545763236945113,0.40073168754159305,0.4153717227141353,0.46230259915408806,0.499678876914055
7,8000,46560899.98756826,3482515,6079206,7741582,8796600,9577686,10049128,11111794,11856395,23046532,23076121,23051327,23071194,23057026,23038340,23040425,23027309,0.14810157780303346,0.2588572795689517,0.329294879328251,0.3744874458903628,0.4074939307905522,0.4272123444604241,0.4724306803273801,0.5038073027725859
8,9000,52769016.925549835,4572877,7167523,9101373,10109402,10923855,11319188,12318019,13129836,26277617,26311427,26305120,26298493,26286900,26264529,26273827,26249218,0.17261741594824717,0.27090611881766274,0.3439165828677706,0.38191167006869176,0.4124993115433574,0.42706684361513403,0.4649152934782887,0.49509560901498345
9,10000,58977132.71607691,3516400,5998237,7736958,8894103,9632988,9912542,10953192,11697509,30640259,30739156,30643189,30597499,30675921,30671979,30674424,30622083,0.12409272932620553,0.21241737891882972,0.27306322330307964,0.3133973852157767,0.3403736948311596,0.35020272631022037,0.38700154497149636,0.4125370654302778
10,11000,65185247.22378594,3655183,6167434,7423924,8263243,8717760,9066403,10057615,10666301,33718378,33743212,33702905,33567811,33573246,33535914,33598372,33572104,0.1161597289519045,0.19615250590821579,0.23581231495511104,0.2613508236883396,0.27577374612526784,0.28646426564165905,0.3184112049306571,0.33740083750908406
11,12000,71393360.31408495,3791152,7119463,8564134,9498602,10106152,10404853,11202430,11662610,37601956,37664967,37591193,37469947,37533696,37463187,37580252,37491758,0.11219279213026878,0.21108218626669414,0.25336049965149515,0.28000136401534204,0.29847171272150036,0.3066548733389694,0.33130435380096646,0.34401353340029556
12,13000,77601471.85150403,2048176,4484498,6031097,7302431,7976210,8470524,9417099,10027606,41667879,41710179,41524552,41424813,41552951,41510080,41610338,41542156,0.05699892043815685,0.12494668326811406,0.16717327933827386,0.2018547658028515,0.22126317007171223,0.2346965180742125,0.2616505231220013,0.27808641853591215
13,14000,83809581.70151561,2543760,4354829,5635298,6588510,7242051,7592258,8658546,9458282,44353965,44396025,44361339,44279200,44325668,44281857,44330771,44309820,0.06447142923259101,0.11049063734541213,0.1428529539994817,0.1666695264859381,0.18341775981852604,0.19207424807097206,0.21932134849410734,0.23945162179641918
14,15000,90017689.72857642,2755174,4742886,6260706,7281214,7775004,8036362,8794443,9438592,48550093,48546501,48481933,48455471,48471297,48478507,48516334,48478174,0.06644161266527743,0.11436580781519375,0.15073051493708942,0.17518828933436476,0.1871402903928215,0.19346461514447355,0.21190736653319606,0.22721959643614423
15,16000,96225795.79823983,1761921,3717748,5040659,5952959,6497758,6846299,7643238,8221598,51991169,52003294,51964209,51945934,51944284,51937087,51953484,51926958,0.0398312617858485,0.08406914690086521,0.11388337754308561,0.1344394214038996,0.1467374923784396,0.15458339576321298,0.17264149283263494,0.18559398866050336
16,17000,102433899.77491748,1804688,4314818,5547097,6574081,7205935,7546164,8523449,9386640,55532416,55619559,55627869,55543303,55556837,55546816,55587574,55590803,0.03847827093617733,0.09216872284383044,0.11851244184056278,0.14020041228216099,0.15371984875843545,0.1609433428665671,0.18194487740516962,0.20038470225619567
17,18000,108642001.52415824,1228778,3971753,5358050,6445551,7247132,7612997,8694161,9463672,59473692,59573068,59566513,59518768,59540253,59509320,59528461,59443571,0.02499125985603095,0.08094231349137793,0.1091797587987822,0.13121186325876028,0.1475941736867962,0.15494772041409416,0.17702167074930117,0.19235719308877117
18,19000,114850100.9104172,1135252,3280273,4508458,5591158,6454700,6944764,8357108,9298647,63230446,63236994,63242464,63191576,63197085,63157632,63145181,63161576,0.02199263055845998,0.06355503856207374,0.08736028754476743,0.10823301690661545,0.12496269358587905,0.1343476940912852,0.16163080833466797,0.1798977048796757
19,20000,121058197.79921031,1370383,2506223,3272124,4003090,4613706,5024933,6265653,6873733,67145426,67144718,67055068,67026163,67058424,66988418,67058595,66989966,0.025418522444065336,0.0464860181411757,0.06059137705844316,0.07408734494038537,0.08543935789722643,0.09293422349157393,0.11603146458869192,0.1271307156025841
20,21000,127266292.05494452,2047093,3593402,4406904,5141565,5701014,6068795,7418543,8107698,72652332,72598528,72321688,72294975,72365093,72457642,72542489,72394271,0.03748296219392472,0.06573164390605782,0.08020631098903003,0.09353177757885885,0.10384133858888014,0.11072695630919865,0.13556336705165642,0.14775650402746401
21,22000,133474383.54322696,1397171,2534673,3505209,4406619,4848597,5176291,6646662,7380941,73921312,74243508,74222112,74291659,74379371,74450141,74477448,74428476,0.023460939357021326,0.042793103710752754,0.059157377577377886,0.0744578596881158,0.0820474823734632,0.08769771160060368,0.11266113974902987,0.12500343050187657
22,23000,139682472.12841678,585794,1595518,2346795,3324658,3729687,4109931,5184812,5742114,76203783,76583474,76564837,76546090,76620722,76544162,76609867,76486840,0.009228199385386557,0.025285948229365862,0.03718128848182126,0.05265835462725412,0.05914341090129902,0.06509409250328091,0.08220386631317422,0.09086251385747245
23,24000,145890557.67619562,590434,1446103,1984806,2467851,2818735,3078124,4256341,4995551,70071291,70297315,70327530,70311055,70523247,70383039,70364913,70224120,0.007787387373734306,0.019130056454839436,0.026266893493274716,0.03265238474210376,0.03739996790001269,0.040765794638281554,0.05635623526615888,0.06602069759617588
24,25000,152098640.0507877,482620,1053680,1443524,1777514,2019148,2215638,3627649,4320410,63102430,63382370,63404231,63439327,63591291,63556336,63612973,63527582,0.005422927557528372,0.01187696461310644,0.016275253597703297,0.02004881313463107,0.022813337216114827,0.025023496098871726,0.04099702382215027,0.048779026637828196
25,26000,158306719.11791205,360515,968499,1493633,1948174,2169438,2327501,3120532,3530554,60561518,61400618,61270610,61437217,61663288,61324835,61150886,61154834,0.003688314064289492,0.009994200456187617,0.015392548336671589,0.020111324590361086,0.022447857809943926,0.023999337826538705,0.03211883321727891,0.03634056092390806
26,27000,164514794.74178982,129646,460358,786890,1086144,1228344,1334074,1825202,2106722,56753163,58297977,58234620,58280884,58375326,58166898,57754003,57999685,0.0012030812628250455,0.004334134742382489,0.0074039208338880485,0.01022407997988478,0.011572923951487329,0.012544432385335275,0.01709618269237276,0.01977862112809198
27,28000,170722866.78812075,116747,204380,336718,470080,665053,766384,1490355,1694438,53774324,54292314,54326973,54160356,54254085,54175295,54101500,54131710,0.000998276654130818,0.001755381170197902,0.002892868373973216,0.004032857535597177,0.005710139573794634,0.006575718294614136,0.012779433486727151,0.014533160547324144
28,29000,176930935.12179613,298590,516324,611497,704601,914130,989331,1658017,1814207,53085416,54051293,53970193,53815508,53867148,53845371,54028872,53906066,0.0024109875118400615,0.0042018677063547175,0.004973107590667392,0.005723092681983302,0.007428099048303188,0.008037750056708788,0.013490554656978399,0.014746668807295481
29,30000,183138999.60704756,235854,489885,778072,965454,1100649,1332335,2038567,2254220,51234275,52391569,52437502,52428282,52703644,52575144,52662682,52491291,0.0017880633214816515,0.003746804030683523,0.005953045789416001,0.007386188505998573,0.008438271930778028,0.010204470401133614,0.01562403842618784,0.01725418703499864
