,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271228,666438,811447,903985,1048579,1178554,1315661,1692833,2112124,580689,622827,675767,666148,555917,674892,619751,621925,0.26410616346832816,0.32703369422441564,0.37227170104948154,0.43011344517806815,0.46251474464862374,0.5416095795780953,0.68140982914704,0.850930132555917
1,2000,9312181.820186572,1308333,2712712,2844732,3243858,3421035,3645536,4205104,4694546,3197766,3503040,3917632,3887027,3264638,3911511,3724420,3628776,0.21397514308408258,0.46697293403535395,0.5273344569652365,0.5979291112448738,0.5656899894764976,0.6750154048222589,0.7525560564891067,0.826009288889015
2,3000,15520302.808601279,2506511,4559035,4903673,5363310,5656609,5971767,6972173,7936393,5950123,6176662,6356368,6350768,5989322,6354619,6247605,6133291,0.26190845419092884,0.48792918021882703,0.5351056181016705,0.5849053536466284,0.5934970506807826,0.6515353491024819,0.7519033989798167,0.8454653261145274
3,4000,21728423.45952836,3409763,5293577,6229325,6896476,7412604,7942776,9360961,11072522,8651910,8609645,9091295,9027815,8217373,9048448,8645143,8327605,0.26075475015210836,0.40351142572692794,0.49293833009215837,0.54300359088907,0.5486326930836403,0.6264031050652709,0.7154903564864383,0.8262571449229001
4,5000,27936543.63784808,3678705,4957233,6166627,6822800,7559908,8096973,9845856,11417783,11468162,11518275,11737282,11707541,11360080,11708989,11575984,11490630,0.22337987307420062,0.3019339681513299,0.3806733379496906,0.4204078434301545,0.4560627746161069,0.498964457720275,0.6018043525371137,0.69426261449674
5,6000,34144663.208696246,3337641,4149667,5328683,5756920,6697490,7127867,8726068,10355799,15482729,15650144,16026151,15999464,15375899,16010721,15863204,15569768,0.17884753866749234,0.22437279678234615,0.2941015762564887,0.31726959477198496,0.35684235389865526,0.3930677024316194,0.4773179154019131,0.5575158774059573
6,7000,40352782.03686586,2186554,3054757,4167356,4563792,5686060,6075638,7670340,9105111,17475451,17591603,18078593,17988987,17347484,18050914,17807418,17558903,0.09557732046961509,0.13420908447019667,0.18709350060299107,0.20407055208996341,0.24716306612885958,0.2724273137100772,0.340218059351695,0.3994542124784367
7,8000,46560899.98756513,2243234,2772360,4473569,4797264,6059007,6392499,8058780,9352761,14799750,14623659,15486256,15468770,14405798,15393657,15018230,14559394,0.07062823609593018,0.08680649656241213,0.14396203547143288,0.15429190608422774,0.18843065720466726,0.20510312710528905,0.25548820068741684,0.2922600268760544
8,9000,52769016.92555171,2259594,3388388,4423716,5028055,5657471,5978184,7530676,8682916,15062763,15060437,15588731,15579823,14921004,15536310,15334949,15027654,0.05992623941008316,0.08985721569705664,0.11898015009507641,0.1352020431006265,0.14947867966353826,0.16056270128179556,0.20117172450979387,0.2300636576672614
9,10000,58977132.716073066,951718,1872390,2308490,3219838,3512065,3806919,5365733,6056445,17213378,17195450,17707598,17698776,17082954,17661679,17503515,17204027,0.022788133070653364,0.044813657044973615,0.05593690396274137,0.0780030567143738,0.08383181405230808,0.09214273734379888,0.12937701834292875,0.14498431218317717
