,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267977,740115,1889682,2033044,2096396,2114936,2140469,2153945,2222032,0,0,0,0,0,0,0,0,0.23843445357713844,0.6087774131108734,0.6549627223313672,0.6753721174970089,0.6813449389765358,0.6895706159364476,0.6939120259827316,0.7158468423838404
1,2000,9312181.820185559,1920353,5198702,5930963,6281767,6510984,6567990,6599253,6662525,0,0,0,0,0,0,709,0,0.2062194485762021,0.5582689535476024,0.6369036939489028,0.6745752092579768,0.6991899563093216,0.705311615132223,0.7087227904155006,0.7154633713828452
2,3000,15520302.80860294,3315395,7628327,8962094,9622601,10045826,10171655,10303811,10516562,0,0,0,0,0,0,0,0,0.21361664401046793,0.49150632523558757,0.5774432438929149,0.6200008542788333,0.6472699742966082,0.6553773547744074,0.6638923948241895,0.6776003103606101
3,4000,21728423.459528625,3750637,8354047,9651097,10430075,10890755,11113990,11342783,11631324,0,0,0,0,0,0,0,0,0.17261431815271544,0.38447552421648323,0.44416922460923774,0.4800198697998989,0.5012215920904306,0.5114954621857828,0.5220251262650083,0.5353045526595388
4,5000,27936543.63784393,4233371,9254416,10208129,10828027,11214702,11420514,11656052,11908146,0,0,0,0,0,0,0,0,0.15153524555075276,0.33126560393332294,0.3654041506470282,0.38759365297187065,0.4014348426699475,0.4088019673460724,0.417233146344212,0.4262569541304588
5,6000,34144663.20869811,3458489,6620142,8022274,9141940,9797213,10131762,10428006,10671250,0,0,0,0,0,0,0,0,0.10128929897070926,0.1938851163807516,0.23494957179593393,0.2677414020493591,0.28693248312679887,0.2967304711155858,0.30540661468125246,0.312530539099931
6,7000,40352782.03686425,2790301,5598269,7001026,8129662,8749204,9157162,9606545,10058287,0,0,0,0,0,0,4255,3546,0.06914767357182271,0.13873316082360085,0.1734954976240354,0.20146472162868856,0.21681786380941895,0.2269276500349959,0.23808911267623284,0.24928072964777953
7,8000,46560899.98758051,2514096,5387191,6652303,7686646,8126323,8317891,8665003,9143061,0,0,0,0,0,0,2127,1418,0.05399586349642299,0.11570203757738705,0.14287316185413967,0.16508800306803154,0.1745310550734111,0.17864540853417105,0.18610892091832787,0.19637376984646998
8,9000,52769016.92553517,1864802,4628574,5458485,6102114,6495238,6692405,7062219,7449265,131215,137646,203279,123800,146675,145059,162909,167107,0.035427049226676846,0.08794325358821983,0.10384111810115766,0.11591013118307078,0.12343118459439305,0.12717410973667162,0.13424712981991918,0.1416158654798923
9,10000,58977132.716064185,1172587,3261676,4164673,4599525,4807039,4900833,5069237,5212001,16931,21840,85191,41343,46816,41343,69543,73849,0.019887771172270585,0.05532456628972442,0.07071719625206356,0.07804298580131358,0.08157157924606265,0.08315546501728092,0.0860540555883177,0.08848404827689726
