,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292278534,5268,446728,556535,803702,872961,1521090,1900594,1948574,81922,81142,64994,56813,76198,47016,62887,78315,0.001743136449483774,0.14778035891561794,0.18312694912562705,0.2637468620177912,0.28830931481941674,0.49756879093524914,0.624954123544257,0.6439979558021408
1,2000,9312181.820188902,103579,2592361,3126682,3792670,4149457,5234001,5943560,6064638,135987,106541,110088,114667,102204,89339,49168,106185,0.011287794345005821,0.2816057079171164,0.3397794090232189,0.4123581287061307,0.45053930432971356,0.5675040876271593,0.6416442979979049,0.6587703774457264
2,3000,15520302.80860178,531762,5378931,6025895,6781375,7219595,8356039,9332032,9584658,147774,124335,147984,138293,134519,122779,71982,128420,0.03459170619361271,0.349372710236168,0.391996488950524,0.4408640408100497,0.4692380375164064,0.542687194633979,0.604080671007546,0.6227086133116605
3,4000,21728423.45952427,689119,6951929,7805400,8785934,9711847,11578075,13422188,13843046,226224,246671,212179,237711,249446,196749,133541,214913,0.03204876790847361,0.32362019872907316,0.3627677690074255,0.4088246965542663,0.4521559286656612,0.5377229263689978,0.6215448509690887,0.6434582596849753
4,5000,27936543.63784977,579329,7225154,8093853,9614167,10953028,13551990,16559670,17007317,344097,448767,409691,332630,314206,284109,276350,414204,0.020995927168173226,0.26284970571432825,0.29403481416799715,0.348289997068289,0.39652791677528076,0.4900830678196584,0.5986823598132737,0.6179459022666405
5,6000,34144663.20868757,888946,6431464,7245024,8763393,10216532,14152887,17787483,18392990,604600,776488,752438,853763,861373,742302,591010,749505,0.02650400491105051,0.19274245474249174,0.21696739150271063,0.2632368889115564,0.3069567923105538,0.42370917767091854,0.5301206068194845,0.5507681648058538
6,7000,40352782.03686538,1156112,7818820,8597532,10020081,11058480,14194741,18455080,19645678,1375692,2159738,1600284,2058509,2269815,2105838,1654625,2377003,0.0296613215328934,0.2047184296819331,0.22185749140148692,0.26166003961881723,0.29037863539610975,0.37113399141949754,0.476898162938844,0.5173212636646309
7,8000,46560899.98757315,1320040,6817806,7286834,8288471,9065689,12535596,17729994,18712919,1864896,2816236,2691651,2982538,3299858,3340985,2819177,3646028,0.029533736402185113,0.15585457467307973,0.16610345898704906,0.19019693769957552,0.20955780497853344,0.2900421253397724,0.4053336903312433,0.4360474151109829
8,9000,52769016.925561935,1168873,6619722,7498691,8928848,9824300,12415683,18045771,19113246,2753865,3703700,3063102,3474636,4020667,4000422,3610597,5576457,0.02337037787548153,0.13491652382563685,0.15086114019286861,0.18113318054411118,0.20153092391848282,0.2545835699993143,0.3670942033394438,0.40500549302999933
9,10000,58977132.716059715,1075679,6773462,7701154,9467080,10770670,13439681,18112913,19502507,1937122,3189970,2225012,2953482,3157052,2787762,2640502,3633172,0.018858323946582652,0.12141614074325546,0.1356980832228306,0.16898363243019027,0.19295332184822916,0.2391854692218283,0.3215121807921077,0.3523872658853771
10,11000,65185247.22379929,1544081,8638512,9839211,11726458,12919194,15348698,18675583,19523979,2809143,4549826,3425144,3952399,4242917,4259198,3760992,4134433,0.024754367384984325,0.14246643011048138,0.15931338333982017,0.1915060027444925,0.21199048268349244,0.2519234087150427,0.30404248178436205,0.3197988306663569
11,12000,71393360.31408387,1948905,7866681,8869225,10954933,12441829,15331379,19295724,20554766,2568222,3548309,2392881,2706647,2993399,2967474,2650616,2941626,0.028316761109961914,0.11595069717880757,0.12853859984983726,0.15949129710001345,0.18189818767394783,0.22405817192673166,0.2806947001102883,0.30028115731424027
12,13000,77601471.8515088,1239660,6365084,7257927,9270293,10647128,13899415,19204029,20487128,1788686,1822267,1266996,1502614,1819962,1533817,1412309,2091554,0.0163515953948463,0.08399512785166507,0.09508058998294075,0.1218190819379847,0.14049770215534993,0.18272437906930303,0.2520572254800631,0.2713170479179728
13,14000,83809581.70149499,559868,4702489,5669936,7947806,9473092,13453318,19700857,21060981,1735793,2263882,1368615,1879960,2828173,2300229,1686483,2756751,0.006821520108402183,0.057666915817926184,0.06877570978188421,0.09700772242007037,0.11697860227300687,0.16505244556743054,0.23989422356808074,0.2598426337207682
14,15000,90017689.72861695,620721,3916224,4552904,6656763,7980521,11562704,18323403,19373787,3055614,4669876,2046712,2987138,4516812,3473832,2968710,4125525,0.007137835600165382,0.04588546359784372,0.051754614050617063,0.07648765712479284,0.09333846870356674,0.13360513736582172,0.21049532179612973,0.22555942164472165
15,16000,96225795.79822338,464040,2950786,3620213,5595687,6880506,10394041,16880047,18094054,1534732,3051957,1535932,2484631,4613696,3836072,3135392,4507514,0.004900568030250669,0.03166968365863085,0.03823231816780715,0.059692953592422736,0.07510477344318477,0.11250213305865381,0.18132961413066892,0.1972785975189353
16,17000,102433899.7749002,759245,3819443,4485657,6559444,7941578,10862592,16262134,17256738,1598307,2260333,2330376,2939480,3370459,3087700,2769816,3306945,0.00752953375991845,0.03812825202263849,0.04481018080928662,0.0659277577058123,0.08016658757134716,0.10934079033332518,0.16316945266591135,0.17408724033929018
17,18000,108642001.52418649,1285088,4716540,5381883,6962079,8328669,11183900,15988674,16721663,2641911,3203925,2971634,2700575,2545719,2084696,1819025,2183266,0.01212346134465589,0.04473279630549852,0.05093086289084933,0.06571630407875009,0.0785010445403809,0.10495667045054426,0.14967448502410807,0.15707177919843868
18,19000,114850100.9104042,1545241,4930820,5810225,7853486,9433627,12302361,16743584,17463047,1761607,1870543,1567894,1485121,1667778,1422807,1218378,1656043,0.013663998401324868,0.04364347047551975,0.05128982881305758,0.06927612042278708,0.08334894316904694,0.10846032357712412,0.14734955671843417,0.15427529785903088
