,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292260676,180594,363962,536706,659314,755807,810748,1028550,1177430,259954,278295,223672,283960,255966,232689,142036,264577,0.06349761930309303,0.12880119859752254,0.18633110634942607,0.23379094815525728,0.26537285392282794,0.2823556490382,0.3472455933861511,0.4146634225607145
1,2000,9312181.8201859,1214437,2129925,2740852,3406576,3787823,4118042,5081783,5586684,234239,221115,181285,199364,188161,186391,150322,217452,0.1337788774456205,0.23428768505701578,0.30017336237342324,0.3738224627352977,0.4151484389009564,0.4512531660150536,0.5546671854554622,0.6142770714969745
2,3000,15520302.8086041,2550605,4887453,6401366,7595593,8333886,8968100,10613636,11429550,233770,240130,221443,216589,215754,214934,145825,214769,0.1668530746595709,0.3198558721304466,0.41842111635011275,0.49632351303705,0.5445365364390718,0.5859447173176561,0.690341235138421,0.746759318748805
3,4000,21728423.459528256,3314984,6330540,8788166,10371588,11346578,11979449,13901443,14926648,329667,348305,322415,314814,294598,296114,191954,288354,0.1549147963934106,0.2960947111674554,0.41054669377598074,0.484345622329683,0.5293771763432905,0.5589434504303615,0.6454838396852305,0.6962033415132616
4,5000,27936543.63785232,2257845,4421466,6369992,8160744,9175683,10234513,13550742,14928210,1497290,1598874,1250621,1496433,1483743,1470691,1232290,1367916,0.08539745602982939,0.1678761280248386,0.23870233330304882,0.30865014567362953,0.34687000161601667,0.38670633967644286,0.5074375859279703,0.5618735827638979
5,6000,34144663.20868419,2424360,4493467,5816673,7240144,8116855,8808539,12354040,14249689,1669329,1635880,1408750,1506019,1514772,1515244,1308134,1581591,0.07465234951613538,0.13822316790988484,0.1776847636087009,0.2218273514582327,0.24875519651869885,0.2699569656347313,0.37622855696736546,0.4376027209189363
6,7000,40352782.03686574,1705779,3617002,5874929,7494962,8821604,9619041,13602298,15484735,1650552,1576784,1235749,1437348,1466821,1404642,1309024,1323851,0.04407443701241926,0.09327940435114489,0.1501885123665486,0.19259613018577157,0.22685832533846084,0.2469704841077199,0.3483859823933058,0.39675016939033025
7,8000,46560899.987577885,545116,1997737,3413355,4376842,4987415,5573025,9298359,11884871,1557955,1496912,1351831,1489071,1509105,1378126,1377108,1430641,0.012112896170472127,0.04433111868729164,0.07550155480834805,0.09710815155085649,0.11070402414321512,0.12334402047851674,0.20578970004457225,0.26334595162131275
8,9000,52769016.92554429,280113,1154150,1804587,2278498,2950774,3414764,7278703,9493933,1793867,1783273,1662257,1690268,1690785,1649390,1481543,1726840,0.005495089281917577,0.022636719818885705,0.035310142975783276,0.04460755300254685,0.05776969735955786,0.06679947028904577,0.14191970169103535,0.1860017258638653
9,10000,58977132.716070086,58772,138289,256728,460702,677240,926848,3483048,5217247,1472531,1458523,1348349,1398989,1387558,1422228,1185567,1408004,0.0010220399454323275,0.00240424795875001,0.004454857164171071,0.00800133471255722,0.011759767342248137,0.016103718780742102,0.06026914060629906,0.0906257766333649
10,11000,65185247.223799944,32948,120845,190459,338328,576643,772493,2716915,3872326,887908,1020798,893449,928500,977264,1016143,883036,1037911,0.0005124317801910558,0.0018833637857390982,0.0029624151954345973,0.005265252516154246,0.008980861429490531,0.012038394634679766,0.042252279482954985,0.060366123177587064
