,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226801,32008,511906,1027898,1371166,1699765,1793261,1884735,1977843,0,0,0,1423,1423,1423,1423,0,0.010311654256564235,0.16491494888342825,0.3311462380346746,0.4419355928270954,0.547845157290764,0.5779795175264774,0.6074621741984381,0.6371792423695881
1,2000,9312181.820186313,9960,178218,299927,874227,1261547,1606332,2074149,2356641,0,0,2845,5689,5689,6401,4267,6401,0.0010695667451863311,0.019138157248355176,0.03221786962844013,0.09393732063100632,0.13555557656087508,0.17261657361577953,0.22283712733401254,0.25324484269905867
2,3000,15520302.808601035,14226,219403,378480,1217200,1852161,2354288,3297029,3957001,1400,1400,0,712,712,711,711,0,0.0009166885169301744,0.0141377907127816,0.024386122143844648,0.07842990288928377,0.11934341715849384,0.15169780423575585,0.21244302302930224,0.25495643021907477
3,4000,21728423.459533654,140838,943240,1743089,3598349,5277062,6994368,9034619,10000422,734,3579,6402,7959,7270,4425,2291,21565,0.006481959357082179,0.04341757206855729,0.08024524804227967,0.16566630086128728,0.2429457537709094,0.32196503848169333,0.4158411082518976,0.4607033310989234
4,5000,27936543.637848794,311904,1265338,2681968,5370900,8075025,10182429,13319318,14857635,76593,68049,65613,68635,76991,66548,52261,112013,0.011195425435401406,0.04540388766752825,0.09622814662521102,0.19272705640729398,0.28984761905435685,0.36535452435348686,0.4776640006482,0.533976123205099
5,6000,34144663.20868343,561184,1707994,2892758,6045260,8951273,10833556,13437965,15027771,1670785,1669959,1707446,1579619,1570755,1555054,1558600,1573249,0.01728108963129451,0.05259459759893051,0.0891802148559652,0.18563647453572438,0.2747988648661386,0.33242362406461207,0.412383813102624,0.46137913766095073
6,7000,40352782.03687343,545966,1807391,3343182,5647551,7728739,9178014,11518654,12861770,4975877,5123817,5445058,4759473,4799349,4699385,4808654,4459765,0.01543283674563782,0.05130411858844679,0.09577198434560094,0.15866889459896336,0.21738376128078307,0.25742326854599357,0.32406629832220285,0.35833627434514387
7,8000,46560899.98756954,1581089,2862638,4058629,6476966,8187564,10300011,14170071,15920090,4128427,4159867,4541080,3949391,4077908,3811240,4107707,3750901,0.03726129750823562,0.06751340234657072,0.09658844329177609,0.1520003903614264,0.19272569131655484,0.2409378461254421,0.3337810421974397,0.3718778410768618
8,9000,52769016.92555308,3588637,5391339,6256783,7992915,10792499,13864050,17484574,19405164,3524360,3751492,3737101,3318711,3458573,3228710,3406308,2953387,0.0728736318627464,0.10998798915669991,0.12760633317898282,0.16163529932521042,0.2188684209838808,0.2798539383462897,0.35420612807878016,0.38953966915604654
9,10000,58977132.71606991,4874276,7173119,8240114,9646009,12157207,15306982,19507601,21517545,3200426,3235288,3269823,2885492,2866860,2979133,3133237,3107196,0.08738909639847318,0.1286846360492273,0.14791800289761564,0.17196874394933642,0.2166663324115014,0.2733487281262175,0.34932378462963143,0.3851363768201816
