,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922586,1257152,1737546,2065525,2501681,2782088,2843338,2924197,2993675,0,0,0,0,0,0,0,0,0.4050023985238744,0.5597654838440888,0.6654267576323513,0.8059381883349067,0.8962737305468939,0.916005948217937,0.9420553749716167,0.9644383140630247
1,2000,9312181.82018856,2497486,3550073,4508476,5993528,6887904,7202807,7675786,8026737,163489,169367,177599,143534,170813,174940,174940,177094,0.2729882890470166,0.38829103179044633,0.4935612374147738,0.6536981371236418,0.7534871566267165,0.7882911650740748,0.8400550353215451,0.8786710273612146
2,3000,15520302.808603508,1918495,3043250,4214914,6230776,7578065,8601214,10640917,11581625,115471,142553,168770,59773,101390,107395,133740,147797,0.12453852296709476,0.19789956514296841,0.27455981448561423,0.4030118034203902,0.49147855585327394,0.5580526469637864,0.6915720640382435,0.7533986419779479
3,4000,21728423.459527344,1258217,1967417,3323974,4393399,5824482,6840366,9768122,10877260,175345,319158,383126,373870,361440,355405,378322,378322,0.0583776003211187,0.0918955862226688,0.15572394839203163,0.205735933946204,0.2725926198722692,0.3200467923121455,0.45752110445550315,0.5094711151897638
4,5000,27936543.63784957,982968,1555599,2356471,2884180,3561807,4442316,6694411,7548577,788636,884734,968671,469718,454979,549385,372654,336204,0.036207873295898044,0.057504433929753886,0.08738067817380148,0.10500594564613867,0.1296071401660452,0.16220434031665612,0.24286887982628974,0.2734958011041394
5,6000,34144663.20868634,693526,1278177,1870211,2347607,3107513,3933579,6546011,7626583,105608,143810,170308,110821,82508,96104,108220,86350,0.0203744197877449,0.03759249781630359,0.05504772610141655,0.06897860622391992,0.09123066291493909,0.11552850080647409,0.19232359150645367,0.22392720841074693
6,7000,40352782.03687857,892073,1617431,2261297,2655403,3245771,3706254,5807490,6705796,125947,157948,354332,176043,170726,234818,242261,209444,0.02217606727405172,0.04023977306427027,0.056534615664234095,0.06609304447438064,0.08077662818002826,0.09238390055370242,0.14478719921539926,0.16704629779017308
7,8000,46560899.98756093,827243,1505416,2057576,2280287,2829864,3172711,4680192,5309202,33092,75864,121113,78347,58075,73848,84670,74539,0.017779539500789743,0.03238495933192004,0.04430631864334626,0.04905683645668562,0.060853593319480315,0.06824934824537719,0.10070076684904572,0.11420988623782931
8,9000,52769016.92555383,690012,1209967,1461424,1591368,1800104,1983521,2925995,3368146,137720,124707,272166,242425,225557,234358,234357,220861,0.013110298250411946,0.02298381347786792,0.02783831742731495,0.030296425899008505,0.034259335082814805,0.03775642672032613,0.05569646789655418,0.06409636914322416
9,10000,58977132.71605778,316213,805598,874144,1042520,1109253,1318056,1892769,2202027,237694,305851,585118,543261,539219,541656,555831,584445,0.005383316676356935,0.01373070395664316,0.01497026612715267,0.017841022156906177,0.018981735134996708,0.022555749932605663,0.03239861051366732,0.0377106635458818
