,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226752,269437,665135,1065091,1510037,1719328,1901064,2330146,2636981,0,0,0,0,0,0,0,0,0.08680146175724636,0.21427899756123345,0.3431282849218455,0.48647149020931435,0.5538963974515856,0.6124442229318089,0.7506767033028151,0.8495262544716771
1,2000,9312181.820187818,1653141,2662744,3563587,4608623,5257519,5833706,7309205,8390450,9525,8731,4762,4762,7144,7937,6571,4190,0.17770632970276803,0.28621035908762343,0.3828759278990049,0.49515580999192543,0.5650185524870741,0.6269940347380325,0.7854621412001491,0.9014242988269725
2,3000,15520302.808602009,3114339,4317811,5028817,6301112,7199025,8122720,10813218,12529515,0,0,0,0,0,0,1366,2953,0.20066225758648867,0.278204043648355,0.32401539209742847,0.40599156329009617,0.46384565357900076,0.5233609227970761,0.6967756962581566,0.8074519911289421
3,4000,21728423.459531397,3657580,4901329,5546224,7130052,8238929,9546312,12877174,15103888,4763,794,4764,3176,794,794,794,1663,0.16836849419616173,0.22558047619179658,0.2553079977308592,0.3281919809328511,0.37919134323168313,0.4393627946288572,0.5926635496055502,0.6951744153544076
4,5000,27936543.6378401,3814068,4897217,5312164,6314557,7197978,8063548,10690160,12497946,868,0,793,75,74,75,869,1587,0.1365303653094281,0.17529788450159992,0.1901564797333371,0.22603275603155146,0.2576552475424561,0.28863877194119947,0.38267055077738155,0.44739450152109944
5,6000,34144663.20870066,3498085,4530877,5132047,6087516,6554751,7151658,9238300,10540197,50743,49229,0,719,1514,1513,1513,1513,0.10260143094683785,0.13288808619553483,0.15030304937060457,0.17828977117555042,0.1919785125834163,0.20946098869862195,0.2705755017779764,0.3087060489607094
6,7000,40352782.03685555,3825432,4498885,4597550,5001359,5208024,5549646,7737888,8693364,794,0,794,794,0,0,794,1589,0.09480157449754485,0.1114888434678684,0.11393614599114227,0.12394331093258655,0.12906232822419375,0.13752821292299802,0.19175977136324954,0.2154425518982734
7,8000,46560899.98757908,2550226,3181380,3219782,3364252,3464238,3567930,4697468,5135003,13500,10324,12707,11118,2382,794,3971,794,0.054787721777811736,0.06834244115150963,0.0691709343230395,0.07227213224967813,0.07440610547191799,0.07663062452975994,0.1008972907395425,0.11028761406535187
8,9000,52769016.92555493,1905466,2504513,2601873,2697409,2728155,2785622,3509787,3859615,30973,26208,29384,20649,23825,23032,25414,24618,0.03613076743403221,0.04748539281506704,0.049334302414897266,0.05113729781757266,0.05172329269083984,0.052812019795091404,0.0665443163781188,0.07317582679153438
9,10000,58977132.71605721,1123346,1361879,1370727,1414611,1425725,1445021,1767122,1904536,9532,9531,7149,2382,3972,1588,1588,1588,0.01905022395958034,0.023095377128575886,0.023244486662911498,0.02398672284026866,0.024175828168080598,0.024502037360692078,0.029963640158102135,0.032293656788920745
10,11000,65185247.223810434,863965,1020768,1026215,1066712,1074654,1095413,1339131,1454280,3971,2383,3972,795,0,0,1588,4765,0.013254803373800732,0.015660066677878923,0.01574401538595747,0.016364515825605937,0.016486153627832796,0.016804615256561836,0.020543967858601582,0.022311587002477738
11,12000,71393360.31407231,673722,856669,885064,942698,951432,954609,1231602,1297879,5560,3972,2382,794,2382,2382,5558,6353,0.009437494880581054,0.011999948735113801,0.012397420807238603,0.01320442797717699,0.01332706208079036,0.013371563502048706,0.017252275039670476,0.018180885413642392
12,13000,77601471.85150748,877401,1275141,1499535,1602271,1622941,1655036,1882691,1998133,1589,1589,1589,794,0,0,0,0,0.011306730986681578,0.016432254188322254,0.019323933811465407,0.0206476418036711,0.020913791469130142,0.021327378985374866,0.024261021796114644,0.025748648219243594
13,14000,83809581.70150703,627477,836111,890609,924790,934293,970485,1115725,1196684,7151,7151,6356,4768,2383,2384,3178,3178,0.007487575178278402,0.00997716883628489,0.010627383284411977,0.011035046307648672,0.011148123484327838,0.011579971966805765,0.013313123469345775,0.014279147501212737
14,15000,90017689.72858334,126280,216770,218357,236618,238206,242967,266785,281234,3461,1872,1873,1872,3179,3178,3179,3178,0.0014028893185406002,0.002408132320184073,0.0024257625819070483,0.0026286269010348065,0.0026463066684687285,0.0026991981107735976,0.002963799923374851,0.0031243184526511913
15,16000,96225795.79823184,48600,69165,69959,73930,73930,73930,93700,100732,20568,20568,20568,16432,7946,7946,9535,15975,0.0005051700527327603,0.0007189318250465302,0.0007271850147969379,0.0007684283221646114,0.0007683605500957535,0.0007683605500957535,0.0009738478633719875,0.0010470033013703656
16,17000,102433899.77492213,62212,80562,82934,89289,90878,92467,130780,146393,58320,58320,53826,29353,18278,18278,25430,48116,0.0006076839822228721,0.0007869259463743172,0.0008100599749744913,0.0008719241753615768,0.0008873450985799974,0.0009028603097603008,0.0012770428099104895,0.0014298176426702002
17,18000,108642001.52416909,24965,37268,37280,37280,38074,38074,50434,54631,69199,67612,58920,42816,15327,13741,20098,46481,0.00022993787964939571,0.0003432485336857823,0.00034333157133417685,0.0003432806592430955,0.00035050322737743996,0.00035049810994192235,0.00046430782709288557,0.0005030686324473327
18,19000,114850100.91039836,11914,28778,28777,33541,33540,33540,44310,45104,52769,52770,45293,21543,14868,14073,16457,26102,0.00010378289984386673,0.00025068527091855306,0.00025066023386807604,0.00029209632699708993,0.000292070640255243,0.0002920686182751795,0.000385862526792008,0.00039280986926083637
19,20000,121058197.79921079,32472,43581,43582,49934,49935,49935,63664,64459,402588,167025,149779,383329,362131,305807,375101,372715,0.00026912963312719835,0.00036049778483317446,0.00036045463527544267,0.0004137895528445486,0.00041372516374598643,0.00041353218490748395,0.0005275303807120761,0.0005341073218163529
20,21000,127266292.05493093,78620,124085,124085,128850,129643,129643,165365,168541,1168540,820263,809237,1122790,1086774,1023143,1125453,1134200,0.0006234845484458074,0.0009813277722315404,0.0009812422086383353,0.001021455706405634,0.0010274488443010321,0.0010269309738431013,0.001310955288064859,0.0013362261519185765
21,22000,133474383.54328012,52085,64771,65565,74297,75887,78270,108817,112764,145294,111700,110569,129391,110238,103664,135491,140407,0.0003906499337722742,0.0004856755898960289,0.0004916251100385435,0.000557178778017369,0.0005690210040401953,0.0005868604463410772,0.0008160934737378246,0.0008457259201550692
22,23000,139682472.1284194,236536,469361,494780,523366,535280,540840,609933,624715,285506,179457,195340,213971,171481,88867,139948,176240,0.0016968518510086603,0.0033645222618875303,0.003547137233737652,0.0037525749238395884,0.0038368303147332423,0.003874389514494258,0.004370947163308337,0.004478043672091526
23,24000,145890557.67618418,59604,173024,173818,177789,180172,182555,232784,245830,299323,219120,230344,206714,139266,102669,129342,174743,0.00040939277788644256,0.0011877688774145165,0.0011933114445816558,0.0012203755441487177,0.0012361605713950609,0.0012521959242134363,0.0015970229043447421,0.0016870509254351958
24,25000,152098640.05073738,76662,135672,144413,155845,159012,159012,207329,221791,406870,236703,282463,295599,175083,162989,158865,199866,0.0005053800873597714,0.0008933904218189427,0.0009512359144160031,0.0010266263371358395,0.0010466579580340877,0.0010465746445967414,0.0013645472354475083,0.001460123700049858
