,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228157,22000,356957,495151,894207,1221376,1445074,1541064,1565468,1306871,689530,802639,1365346,1343903,980874,874977,871916,0.012241334827559843,0.14783701464748325,0.21515005929880918,0.5142919861420575,0.6939014891158259,0.6806156275227337,0.6913441827813384,0.7013291072188794
1,2000,9312181.820185538,1595381,3318054,3695336,4278315,5043892,6190410,6807021,6878825,1860835,737830,836023,1887057,1954431,1277362,1027953,1154618,0.21410639425320363,0.38697432407528637,0.4359682349509245,0.5761943541163385,0.6855209048616313,0.7704478928635207,0.8216843290728353,0.8432450118230942
2,3000,15520302.808601366,4642540,7442714,7804564,8285653,9096783,10192289,12497906,12807202,1798700,872801,887879,1991546,1982696,1508967,1285096,1346485,0.33833802543022384,0.508121732787871,0.5333746549503473,0.612447478894152,0.6719638949936256,0.7274316410104948,0.8779574591391511,0.9035816724148918
3,4000,21728423.45953061,3654307,7667098,8260687,9131339,10746230,12691960,15499371,16434983,2738607,1290926,1190576,2415268,2372149,1640790,1464264,1575667,0.1924350879213462,0.3751485726264692,0.4022177599808114,0.47280409558832026,0.5551806998019079,0.6318295296242713,0.7648662176664011,0.8155203499334501
4,5000,27936543.637843266,2688468,7723525,8671083,9915772,13267594,16581200,19640180,20137540,2516568,1400016,1378333,2565652,2490308,1790916,1811704,1793191,0.1057620211090061,0.29105258628433434,0.32649349454456167,0.3908326180073867,0.5213971209269409,0.6341863438764926,0.7517818395160643,0.7702738160235165
5,6000,34144663.208697066,2143675,7139644,8297560,9617282,12118012,15957397,21627448,22503020,2354818,1469506,1450410,2262078,2278231,1702451,1962771,2007749,0.06743269701148256,0.21850373831100217,0.2537926144706296,0.3016468688798974,0.38027514095828785,0.49187142039969034,0.6720377987642144,0.7002234207635938
6,7000,40352782.0368572,1629987,7005735,8451731,9932365,12593502,16927103,24403067,25579957,2528220,1543597,1528979,2422095,2438254,1616718,1688382,1848791,0.04309334760867026,0.18051744692259403,0.2176945672214643,0.2618556576723415,0.33215505116555044,0.4369856210453889,0.6311507996176727,0.6643455992786327
7,8000,46560899.98758355,621356,5544692,6667311,7600847,9841922,13224960,22341012,24320815,5678064,4078966,3849159,5001905,5047514,4002593,3904036,3769062,0.01519845639350242,0.13051882246275748,0.15610019273010226,0.18289294537249715,0.23707827646108345,0.31074920353054464,0.5237377976614259,0.5683517264917882
8,9000,52769016.92554042,529832,4611953,5858804,6499910,7848038,10549640,19395026,21135062,6564847,4752084,4381127,5673568,6082731,4763779,4357549,4386804,0.011467190101106505,0.0960484712164296,0.12107996461543505,0.13801567132901926,0.1681015708235342,0.2197601856773057,0.400628752464822,0.436835372382131
9,10000,58977132.71606964,205006,4763507,6422913,7245680,8731388,11342492,18874256,20470061,5196850,3440946,3068484,4161292,4324326,3135458,2857862,3139379,0.0038119174843746937,0.08577302983284696,0.11488227935213687,0.13218222881102104,0.1597610173135481,0.20311876493087974,0.3363239714124687,0.3665989341922415
10,11000,65185247.22379869,457633,5556962,7945970,8838562,11402429,14271036,20415470,21527340,5140178,2868486,3091719,3706738,3580717,2364977,2759257,2838296,0.00762149175470712,0.0891728307259621,0.12796776455286904,0.14376669362337988,0.18509075482885642,0.22717247075122565,0.32703478033444155,0.3452829621568202
11,12000,71393360.31407863,727008,6120963,8225303,9149825,11210883,13882336,20552379,22102745,9511994,6766182,7570367,7617541,7664177,6428978,7234972,7338782,0.01174841544884568,0.09471190232463833,0.12887679773216765,0.1434685606301597,0.1759144306737627,0.21369149533176607,0.32033814346128264,0.34506112727217836
12,13000,77601471.85151947,936263,6943262,8792551,9769555,11482830,13740401,19988356,22001133,11220642,7776871,8605018,9303045,9380650,7521645,8369441,8195021,0.014104418430655833,0.09943862070568366,0.12743482467840436,0.14304216729967995,0.16831855272855006,0.19606785029752227,0.2887154363977654,0.31698974274115826
13,14000,83809581.70150143,697200,6248967,8222029,9564015,10963447,13273485,19273527,21336185,10241860,5841132,6959088,7658454,7667412,5122156,6730250,5793880,0.009476982348710835,0.08014738043303257,0.10698732830442918,0.12559255901618685,0.14398653260052577,0.16868622758549248,0.2500479256182312,0.27348577958876935
14,15000,90017689.72858715,304753,6193569,7760695,9431362,11137384,13376707,18587016,20163694,14044975,6787831,7614275,11291813,11955315,5942804,7128882,6816837,0.004011348035787998,0.07441522903694033,0.09417928887487817,0.1198000249970574,0.14267288227809177,0.1591046706050015,0.22424035897417796,0.24234960747069262
15,16000,96225795.79824007,159264,3858685,5056398,6673651,8200116,10086067,14753342,15947326,16887929,6988781,7868564,8373132,10364736,7070132,8809935,9880418,0.0020074146990240595,0.04324085704485154,0.05722675888653989,0.07596412802378442,0.09550448153410845,0.11312872980032816,0.1687719123884327,0.18469229513667199
16,17000,102433899.77492368,94388,3554697,4644404,6181396,7893723,10609481,15583748,17303393,15019815,3952934,5145632,5239472,5432006,4047214,5251070,6863408,0.001079780223553595,0.03609526949729748,0.04773858252615644,0.06359825497727566,0.08137699886886782,0.1078345196449751,0.16035495196108307,0.18105371939228798
17,18000,108642001.52419639,236228,3645935,4830603,6251648,7871554,11129080,16357813,17727132,15065412,3925812,4979781,5188638,5284444,3764874,4505343,6376941,0.0025244348100431444,0.034817300138270856,0.04659945518794344,0.06042962536000892,0.07615847537957968,0.10611541584634257,0.15708025619238805,0.17334495192329816
