,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227077,366807,781408,781408,816555,831487,882603,1280940,1346006,0,0,0,0,0,0,0,0,0.11817005007770623,0.2517373509532813,0.2517373509532813,0.26306026123056925,0.26787073427977576,0.2843381961323905,0.41266590862916197,0.4336274837309349
1,2000,9312181.820188068,1681328,2722697,2722697,2898791,3133488,3640191,5634848,6061794,878,878,878,878,0,0,0,0,0.18056848240250428,0.2924077070814566,0.2924077070814566,0.3113195591056818,0.3364934298433529,0.3909063493700645,0.6051050235922262,0.6509531404185551
2,3000,15520302.808600849,1495666,3127383,3127383,3339860,3394899,3543636,5374286,5781089,5266,5266,5266,5266,2633,878,2633,878,0.09640106036815002,0.2015710976764372,0.2015710976764372,0.2152660055661956,0.2187763396098516,0.22833552426737624,0.3463333133316988,0.3725066535195381
3,4000,21728423.459528256,1405186,2924447,2924447,3255691,3486064,3787527,6107731,6340076,192351,192351,192351,178307,58713,142292,194107,159009,0.06524801598066225,0.13579295879022407,0.13579295879022407,0.15107533205745233,0.16087266170495435,0.17546112915606105,0.28362780919835145,0.29393825279291624
4,5000,27936543.637848012,1358303,2417563,2417563,2668108,2841524,3138617,5446828,5926339,553346,553346,553346,457549,153050,335066,553046,437761,0.04960352030336316,0.08828636567478652,0.08828636567478652,0.09709627426925944,0.10227381901781925,0.11371191938275906,0.19890914126585804,0.21551277662172832
5,6000,34144663.20869675,536688,1466102,1466102,1651958,1896252,2078542,3568225,3854199,1003200,1003200,1003200,845182,365227,711616,985945,852732,0.016193853500685692,0.0442376967717972,0.0442376967717972,0.04960912122464424,0.05613628327851714,0.062170282805071996,0.10761046242927866,0.11576976342523437
6,7000,40352782.036861554,190457,805865,805865,920942,960874,995437,2071270,2228506,639581,639581,639581,574388,202201,446542,639637,488248,0.004795810839403728,0.02029211896699037,0.02029211896699037,0.023151814503787865,0.023931758275623414,0.024944394638044348,0.05215577859868457,0.055901970356391634
7,8000,46560899.987574935,18116,439139,439139,499485,499485,500362,682470,683292,815078,815078,815078,664199,149661,630629,802653,622864,0.00039601430716275035,0.009599543322650863,0.009599543322650863,0.01088280833376716,0.010762156126315018,0.010893948353480388,0.014914688497252002,0.014874210124804051
8,9000,52769016.92554653,0,60902,60902,80870,80871,80871,177434,177435,1060107,1060107,1060107,1011660,993390,898544,942078,985329,0.0,0.0011777854162404549,0.0011777854162404549,0.0015624831870053237,0.0015619511496460041,0.0015590950966666536,0.0034235863371151034,0.0034264651110811617
9,10000,58977132.71606597,90806,323657,323657,350820,350820,350820,410714,410713,805609,805609,805609,693881,672058,571132,757940,711108,0.0015610043230640173,0.005563839131664545,0.005563839131664545,0.006019224900303483,0.0060169719652778605,0.006006574593344798,0.007054615167940327,0.0070489277756879834
10,11000,65185247.22380346,244318,761122,761122,785736,893599,978319,1264803,1482869,758844,758844,758844,603260,438541,457108,712243,628515,0.003792203006448953,0.011813821072022692,0.011813821072022692,0.012166488424660855,0.013801458824966103,0.01511427659950756,0.019617559554220898,0.022970013334306195
11,12000,71393360.31408662,168573,720055,720055,764887,836911,889081,1153991,1399244,1875061,1875061,1875061,1415830,1092082,1300311,1815211,1557500,0.0024248723237370933,0.010357776399948466,0.010357776399948466,0.010930465773325909,0.011904634169821404,0.012684296213395316,0.01658553743346499,0.02003618189432912
12,13000,77601471.85150844,7020,105509,105509,121225,121225,121225,213701,213702,903225,903225,903225,620643,441236,601341,861372,652711,9.152751579304106e-05,0.0013756377013971466,0.0013756377013971466,0.0015747427224229555,0.0015710812526972093,0.0015743479739505559,0.002784737059418869,0.0027771987181494785
13,14000,83809581.7014997,0,0,0,14,13,14,7911,7911,1207304,1207304,1207304,923134,864004,944214,1187001,1046589,0.0,0.0,0.0,1.689057787880888e-07,1.5672927189420194e-07,1.6894874648274358e-07,9.574864320180217e-05,9.558620032666665e-05
14,15000,90017689.72858477,0,17549,17549,19290,19290,19290,27109,27109,1221721,1221721,1221721,876199,694942,891480,1153778,998168,0.0,0.0001976328458518265,0.0001976328458518265,0.00021639754778987925,0.00021595842593887066,0.00021643464990538317,0.0003050619702945158,0.00030452870868767114
15,16000,96225795.7982297,0,6145,6145,17899,17899,17899,32026,32026,1202880,1202880,1202880,579879,501922,744728,1159993,1027726,0.0,6.466861123319143e-05,6.466861123319143e-05,0.00018713815078754404,0.00018698574649964723,0.0001874612466402671,0.00033688244413159667,0.00033641438390377487
16,17000,102433899.77492762,0,2634,2634,4924,4925,4924,11070,11069,526305,526305,526305,348006,218214,321037,494348,392442,0.0,2.5846945027183044e-05,2.5846945027183044e-05,4.8233892244271445e-05,4.8182428779517596e-05,4.8221153204305414e-05,0.000108593767652044,0.00010847551810181744
17,18000,108642001.52416778,0,2631,2631,2632,2632,2632,7020,7020,657051,657051,657051,341785,296445,371804,561651,426607,0.0,2.436450623192316e-05,2.436450623192316e-05,2.4302813830595205e-05,2.4292643689664383e-05,2.430955202988793e-05,6.495167684000305e-05,6.48706224365538e-05
18,19000,114850100.91039884,3512,10539,10539,14929,14929,14929,34245,34246,359337,359337,359337,199701,186273,267076,297159,264770,3.067496346472553e-05,9.205109338119086e-05,9.205109338119086e-05,0.00013021323965435147,0.00013019799070083279,0.00013028980524535915,0.0002989447449266366,0.00029886897151590026
19,20000,121058197.79921293,1757,40277,40277,48174,48174,48174,66610,66610,513989,513989,513989,343978,178024,252691,381940,296190,1.4575565408758748e-05,0.00033412637903732276,0.00033412637903732276,0.00039907477412461475,0.00039852689225959456,0.0003987732122184505,0.0005519727012982867,0.0005515807596603585
20,21000,127266292.05491042,29079,291523,291523,334519,334519,334519,505334,506212,1073179,1073179,1073179,794796,210706,356840,392962,354972,0.000230432543393607,0.002310133991806269,0.002310133991806269,0.0026450149672837043,0.002632855511409225,0.0026358871981833343,0.003982980503320066,0.0039887064430578646
21,22000,133474383.54327083,14795,29089,29089,40495,40495,44004,94175,95052,417741,417741,417741,146169,204514,337422,417915,402810,0.00011119324610335465,0.0002186211784995257,0.0002186211784995257,0.00030372416025159927,0.00030385712943803737,0.000330516781289907,0.0007077821997761325,0.0007142922975138036
22,23000,139682472.1284232,2631,16603,16603,24504,24504,24504,36914,36913,611258,611258,611258,246037,197536,458674,591060,520158,1.8918365072806818e-05,0.00011938487848871593,0.00011938487848871593,0.00017573599021971137,0.00017567488418562466,0.00017600439242001538,0.0002653938114160296,0.00026525140970231037
23,24000,145890557.6761868,2635,25049,25049,36459,36459,36459,56644,56644,768764,768764,768764,312875,267523,516025,735328,594305,1.815716256842531e-05,0.00017260674200246133,0.00017260674200246133,0.0002504436073563346,0.00025036561064032,0.0002507935835034481,0.0003902305147831173,0.0003898517611891832
24,25000,152098640.05076265,18440,41491,41491,55931,55931,55931,75228,75228,1751765,1751765,1751765,259522,167072,1574068,1768799,1428404,0.00012264970584705519,0.00027596848944144074,0.00027596848944144074,0.00036835698677663037,0.00036813284242095495,0.0003715738848348157,0.0005004196071397253,0.0004992890564972285
