,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227348,60463,1040013,1383661,2661330,2764427,2808877,2888786,2899342,109793,107154,114191,110962,109203,108323,122850,119331,0.020192917763868053,0.34702882961293074,0.4627830546436134,0.8891554638435044,0.9230579019922234,0.9376245010897224,0.9689976185106712,0.9713918378431308
1,2000,9312181.82018733,349730,2610311,3223867,6276076,6641883,6853823,7079981,7117721,1706006,1764806,1840741,1741698,1696539,1641779,1796525,1727330,0.04597974176087171,0.3458567669332267,0.4314920077114615,0.8290191418498666,0.8721368841503286,0.8935414685082488,0.9420309055334872,0.93841266365362
2,3000,15520302.808599625,279502,2607748,3163656,6207784,6599864,6885320,7219598,7301343,6873522,6877350,7112735,6964668,6858815,6755935,6977681,6826763,0.03232439981848763,0.30171956942832373,0.3762867064555906,0.7255784215754859,0.7619780972787694,0.785603725261747,0.8451267259346805,0.8398584651073355
3,4000,21728423.4595293,1168882,3659779,4226511,8360141,8935765,9343857,9873503,9997713,10501384,10424142,10658114,10431009,10351569,10378504,10578364,10460203,0.10411311051444422,0.32375158147843835,0.381787972183725,0.7400048064049091,0.7854337094481654,0.8232531546428705,0.8855112419657725,0.8872486153343887
4,5000,27936543.637849286,1899663,4113152,4609956,8105069,8767415,9386511,10570385,10753851,14479654,14376686,14764918,14421440,14383765,14385615,14735006,14570743,0.14116657348938538,0.30333297810731163,0.34999142298374125,0.5997045392461224,0.6469090386760213,0.6926839666015513,0.8006934714706507,0.8045796350984942
5,6000,34144663.20868698,707890,2084484,2182071,4942256,5627356,6532366,7823484,8253779,19997463,19981969,20688538,19930491,19902309,20031933,20365697,20004365,0.050037462505501666,0.147181317995374,0.16216191259808604,0.34769917849873416,0.3951141726673005,0.46287046541703564,0.5677845406912797,0.5837061480732675
6,7000,40352782.036870465,364366,1279264,1416014,4730763,5522847,6346925,7946344,8355775,21568503,21701034,22669122,21622016,21570772,21602000,21893606,21656776,0.019397390726831155,0.06858681542722818,0.08007471287321788,0.2525664455307251,0.29404983753912634,0.33848854877198026,0.4304820531603321,0.44692834306544105
7,8000,46560899.98757157,252211,793165,839687,1625175,1885293,3092190,5265236,5641568,22348869,22257240,23012303,22268643,22183423,22187241,22385511,22340317,0.010416763473062795,0.032635619507745316,0.03565762327340216,0.06690094711378503,0.07733749480970421,0.12686605657266092,0.21779322776178817,0.23292453376926917
8,9000,52769016.92554754,363215,812913,860494,1359415,1455139,2056131,3883128,4395081,27264941,27208836,28046142,27234347,27157332,27124509,27309203,27140114,0.014241449133868286,0.0318038828585712,0.034805579957483145,0.0532380094970368,0.0568154342141116,0.08017822006838524,0.15251988924017595,0.1714892366937358
9,10000,58977132.716068864,277797,1020337,1061571,1482104,1540741,2104961,3187935,3491168,31259720,31182497,31653845,31145130,31089995,31011833,31150721,31100924,0.010022472257627072,0.03670985331209484,0.03885224249114387,0.05325179129651005,0.055249162380411984,0.07527046094165367,0.11456507696819096,0.1252382644842074
