,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227522,144093,1928627,2166318,2234669,2251867,2263484,2311918,2364628,272101,183989,237561,151333,121649,176509,101828,141904,0.05088102193014117,0.6604724968716609,0.755736361488311,0.7568151487730086,0.7550490274151925,0.7731662107688444,0.7700662425332641,0.7982791918118973
1,2000,9312181.82018761,199745,3397169,4641438,4906389,5017807,5052357,5156201,5383926,653441,542531,410381,251479,101019,468239,111825,279805,0.023068596710309214,0.3873779092982546,0.5214043870172979,0.5415020332714553,0.5447528284922663,0.5712787952978672,0.5604348940778209,0.5960696843345572
2,3000,15520302.808600167,233895,7535659,9310800,9521262,9735904,9830743,10073863,10436778,1350791,1166893,996023,801577,360474,1172467,258639,825358,0.016506920150773135,0.5250082802962152,0.6410507180181737,0.6468808593768841,0.6422172785009831,0.6851725327179589,0.6600763276100495,0.7102291390636535
3,4000,21728423.459533013,405109,13749889,15388652,15623155,15788079,15953418,16258829,16626961,854109,608982,536530,333098,214992,691738,182801,397616,0.019407056494494472,0.6510536287783073,0.7261574823120646,0.7302134772172332,0.7338707927509165,0.7583617690481048,0.7546233129508015,0.779481087696434
4,5000,27936543.6378458,702486,18578024,20221237,20528865,20800367,21039067,21360434,21752709,1030638,851167,848757,538314,556268,719641,465514,460157,0.026108989210602316,0.6859060609864784,0.7465075412159303,0.7492770617428146,0.7596843536245902,0.7730147430789805,0.7775621912100643,0.7916873964074286
5,6000,34144663.208689496,967163,21956408,24139108,24529184,24777257,24969123,25559495,26004095,1430501,1118452,1386923,687753,591750,875340,640336,601362,0.029564046110375504,0.6648176462404222,0.7368978399064514,0.7331574806818004,0.7384532259804855,0.7505149065815202,0.7628714595818248,0.7752395877261943
6,7000,40352782.03686735,700760,25674884,28328243,28811363,29166999,29670456,30397982,30935216,1090669,789336,861531,425491,371127,774321,417451,574123,0.017848249770509864,0.6489546935844456,0.7173295921558412,0.7215957369458569,0.7295095456429934,0.7496616902906346,0.7611801683060372,0.7776837316544246
7,8000,46560899.987564385,610267,25944818,27947882,28419153,29035344,29944424,31469950,32229418,1090784,845059,707152,507181,473007,630329,474075,606587,0.013421276518557856,0.5675235856878911,0.6095004929058255,0.6170870371548899,0.6299993798335374,0.6519497440627811,0.6828404865922428,0.7013360858799379
8,9000,52769016.92555946,650249,28540457,31767835,32683810,33628580,34420956,36091185,36998978,1582433,998479,956831,673925,625023,1130668,505226,634276,0.012703504514887255,0.5512876269711191,0.6131344283686864,0.6273875098771889,0.644917611182757,0.666577392891093,0.6905581160655858,0.7096799052445462
9,10000,58977132.71606326,877546,33288279,36826772,38093349,39112046,39930290,41589682,42649668,1562459,1138231,954738,782527,665513,947664,805755,879013,0.01528435055365443,0.5755344242775454,0.6346992774120138,0.6545855673610178,0.670741889703086,0.688103663250441,0.7149509541101269,0.7340972170603313
10,11000,65185247.22380698,1083324,37007430,42144603,43526940,44743504,45645388,48029541,49343259,1756519,965803,1057212,604858,613079,816448,676288,740621,0.0170793902122318,0.5762651864601605,0.6571946708318015,0.6739962475164858,0.6929224343980386,0.7091228755300119,0.7445406278121247,0.7656691006110876
11,12000,71393360.31408465,872999,38251159,44645935,46680344,48301309,49516176,52510412,53864568,3351585,1417164,1780731,913316,1017936,1609677,703609,1002316,0.01283033836154609,0.5466310118988404,0.6413482070697599,0.6623200148963506,0.6863377304047483,0.7095666730163268,0.7428292082495629,0.7652190491684773
12,13000,77601471.85149765,773221,38620804,46627187,48371691,50166475,51556121,54808960,56485810,1710278,1155698,877265,623409,503992,786100,337913,406899,0.01018854706005842,0.505205220042957,0.6077245880201607,0.6283828042453643,0.65068890833564,0.671169321417466,0.7093765911733899,0.7317329173990516
13,14000,83809581.70151198,800355,37332054,44478948,45843649,47379745,48178242,51445419,53772806,1461267,968510,1002989,691642,685629,820698,627938,596640,0.009719142436624813,0.4506466808458567,0.537142593951796,0.551549390716744,0.5699890760745572,0.5805384992679717,0.6184708153232236,0.6462072473400247
14,15000,90017689.72857821,943651,36776225,43663462,45593485,47250555,48740050,52460371,55101438,1870083,1023654,1307690,1001052,703660,1130529,824401,812759,0.010705350207699516,0.4132437044676044,0.4922045105804873,0.5121905990093637,0.5290384404733787,0.5483362231450997,0.5881650037553924,0.6176949810953374
15,16000,96225795.79822803,650569,34627043,42408363,45098691,47826192,49759041,53969887,56607224,2395812,1548679,2018308,1685308,1403616,1808454,1512768,1566063,0.006933487289084302,0.3657382498644918,0.4501591539180994,0.4770304453712083,0.5043776899220128,0.5270116702325319,0.5698253794079394,0.5980074349106936
16,17000,102433899.77493262,671471,32700763,41344915,44666442,48072305,50889337,55931163,59337424,2308406,1378377,1854489,1222282,1152809,1123990,795530,817683,0.006706294018478131,0.32359204229569927,0.41106738130051146,0.44131734065674294,0.47464244936724204,0.5023135161511286,0.5502957507470222,0.5839365593724579
17,18000,108642001.52417886,405656,30924926,40222024,43179142,47449308,52238540,59483821,63290524,2123960,1245131,1345980,1053845,890387,1062667,630691,842511,0.0038083313793177364,0.28794997330055067,0.37486966831231555,0.4013373162527989,0.44035820910463147,0.48558154994218883,0.5507184452380499,0.5871133870136823
18,19000,114850100.91040885,547339,28356968,39361220,42580147,46893665,52004104,60257033,65608526,1815265,852070,1063591,625392,522068,631767,554562,506142,0.004842215194914067,0.24874962991497426,0.3459216741157763,0.37277527258482546,0.410167688590841,0.4553043475558945,0.5272037174367128,0.5737821798824178
19,20000,121058197.79917312,553188,24196566,34727535,38220676,41451090,46593466,55666311,60546458,1918686,797538,1208882,497228,419643,671740,649337,703237,0.004643195121803743,0.2012010082133806,0.28975997708815954,0.3170236276604847,0.34359736875995894,0.3870324524185812,0.4623107521367919,0.5030657448431156
20,21000,127266292.05495596,584567,25564543,35057554,38481667,42790514,47927837,57008060,61832498,2428784,1060044,1338789,445113,466839,749407,728565,777938,0.0046826231082941995,0.2025616274470661,0.2783947362531325,0.3034324967387709,0.3374660770930473,0.37882561666912107,0.4505222381246118,0.4888394545250811
21,22000,133474383.54327369,419408,25194872,33380646,37088774,41782248,46938562,55416729,60229815,2739170,1398801,1461944,650556,654875,935384,622369,822665,0.003208072168415244,0.19076101361691944,0.25285985256758947,0.2792328355988429,0.31457914923986485,0.35414905923350254,0.4171312658713895,0.4540447395738172
22,23000,139682472.12841773,381561,27228357,34847134,37768934,42207840,46925777,57238590,63503877,2794571,1640738,1472106,886177,991715,1217656,926705,1031640,0.0027873975483198384,0.19724728301855401,0.2521311170511038,0.2721177389141062,0.3043305904006174,0.338900366981885,0.41251323231146125,0.45801295257415414
23,24000,145890557.67615795,293949,25419633,33882646,36985450,40267251,45251735,57797946,64243924,2113339,1118835,1019125,470274,572794,845899,768632,791789,0.002044475492755825,0.1755842406936164,0.2338807960554959,0.2543348772607563,0.27709792651183346,0.3119848425513814,0.3982716307732651,0.44275995300404164
24,25000,152098640.0507605,217678,24277566,32445322,35391718,38888185,44303030,57040883,62411017,2062419,1201147,1026791,452262,489654,712983,610483,705721,0.0014508363278914816,0.1608878021043945,0.21476749112336802,0.23338320674004723,0.2565031665535958,0.29265011536162194,0.37653691292109914,0.4122452845966608
25,26000,158306719.11790824,217205,19505382,27253503,30185803,34066785,40412552,54170701,59877166,1543988,947097,797609,465703,544933,718711,581021,513864,0.0013855652963626311,0.12395417412342781,0.1730281059908126,0.19124181877700921,0.21593812949442087,0.25644433534411515,0.34344879525912486,0.3794669027013785
