,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292272164,1099839,1725573,1851914,1893090,1983266,2061386,2124067,2139872,38991,33838,38991,36598,35223,31971,39735,38886,0.3588300211885555,0.5620351382903889,0.6041996509119812,0.6171517729221447,0.6462596721024367,0.6710045111927745,0.6931596889510931,0.6981240088560627
1,2000,9312181.82018457,2851741,3929886,4204479,4319866,4714605,4968648,5408355,5521861,916444,911173,963519,921091,929326,937688,924135,934784,0.3396653231767197,0.46778739126638136,0.5036110680904284,0.5148157840943236,0.5624103648124292,0.5933072621087078,0.6447692908658555,0.6591379708261655
2,3000,15520302.808600966,1865340,2894906,3183463,3398087,3911272,4411312,5239385,5458360,1689922,1642412,1667494,1604279,1598914,1566064,1572220,1604350,0.13487264203455374,0.20859841311086352,0.2298063189916722,0.2441851959106143,0.2809541529063194,0.316127024949652,0.37563477876466134,0.39223760493254745
3,4000,21728423.45952848,2275204,3788860,4202906,4579879,5225857,6030595,7312625,7524407,3326630,3222661,3205484,3121430,2908657,2885413,2945542,2951410,0.12364034000294115,0.2047394701129509,0.22690275532040147,0.24613750791935082,0.2776791630883464,0.3200441358854347,0.3893239179386044,0.40072437590876336
4,5000,27936543.637856334,2536671,4661960,5382116,6075432,6964340,7953905,9518838,9945846,3047171,2839673,2892112,2878251,2696409,2734568,2763838,2771341,0.10191783605432321,0.18575861776837865,0.2149027008408756,0.24245195344321496,0.27592325080368457,0.3156064077790909,0.37814123507188513,0.395222170197761
5,6000,34144663.20868121,2507715,4802047,5382414,6119389,7070169,8234112,9773811,10092918,2844464,2614589,2672768,2673390,2583041,2619026,2414700,2414179,0.08011818018412091,0.15230052959018558,0.1710228749908685,0.1944436426014056,0.22401158448868666,0.2611878055150801,0.30803095911960965,0.3180826971823726
6,7000,40352782.03687078,1592729,2958501,3612835,4172056,5265054,6133909,7503248,7769533,2806438,2369678,2635688,2480806,2207848,2342333,2260277,2196463,0.042420348528099804,0.077889921716986,0.09578773477267978,0.11016208913784266,0.13802760793637275,0.1613742840567341,0.1969743914908563,0.203623756067566
7,8000,46560899.98758063,915142,1726114,1948860,2208331,2787270,3537590,5035729,5350930,3144274,2808324,3012474,2543553,2210081,2300427,2200410,2320204,0.021078146428554292,0.039451711380147435,0.0447515600347022,0.0501695615736013,0.06284596459832022,0.07992661987576677,0.11351833583014585,0.12095040280338555
8,9000,52769016.925548226,974655,1685986,2023063,2390461,3216248,4155304,5785500,6147040,3426559,2866239,3101768,2733319,2469147,2392656,2132083,2105831,0.019752866820510563,0.03378541376023964,0.04073233456180741,0.047775110553208266,0.06394147747818348,0.08248519590649211,0.11425454804405129,0.12133149322731786
9,10000,58977132.716065794,887835,1697769,2273776,2622110,3200710,3911918,5701455,6035083,3238501,2913427,2963347,2873636,2676677,2532327,2561278,2540989,0.01592853955444506,0.030282853734256134,0.04059314989930843,0.046737015578017134,0.05685051673723222,0.06930519027168087,0.10106121813973637,0.10693648790680892
10,11000,65185247.223798335,656198,1421227,1704639,1901789,2423868,3373557,4421781,4627805,2865779,2528569,2628506,2680848,2329304,2409019,2333293,2347120,0.010529582788535628,0.022682769663013955,0.027249485293704967,0.030426482353515694,0.03856227232753198,0.05373940256450597,0.07035232324289023,0.07364645008464442
11,12000,71393360.31407535,676048,1407309,1627388,1878147,2298732,2840473,3921832,4126370,4341362,3727557,3957054,3937705,3838233,3921953,3765155,3786397,0.010082443730212975,0.020797935309625766,0.024132223262950725,0.027842691487545364,0.03402749859848241,0.042098914385730365,0.05799107017237016,0.06103468929421528
12,13000,77601471.85150987,899116,1870759,2250309,2540908,3184070,4432868,6050459,6305837,5742165,5145787,5499865,5224373,5439760,5257961,5116829,5213838,0.012512171900821894,0.025819354324424913,0.03121024756957794,0.03510651905532953,0.04412409182520492,0.061275267785921704,0.08347228822517358,0.08711207514995287
13,14000,83809581.70150048,657674,1323528,1612212,1836319,2217758,3551902,5455393,5775383,3158225,2709736,2967871,2631403,2884608,2945699,2784382,2866594,0.008154531143649866,0.016319735118503594,0.019942823896353747,0.022620845027237078,0.027405112396828364,0.0439244552863165,0.0673295841305896,0.07135124566069037
14,15000,90017689.72860539,517588,1133835,1319192,1547015,1904071,3541764,5376026,5718728,2778842,2558908,2567258,2437817,2524108,2388643,2426406,2244368,0.005932999042011467,0.012964221289045848,0.0150850255844819,0.0176640471355094,0.021762407737589258,0.040417694043496155,0.06137626680592087,0.06515337334141545
15,16000,96225795.79822898,626520,1435769,1635234,1898901,2320378,3796587,6114356,6403769,2608680,2486566,2561783,2290066,2319081,2199796,2236402,2148495,0.006692365970239091,0.015316628940630853,0.0174585088888154,0.0202148959089239,0.024709393838189736,0.04037805509270969,0.06505368055810581,0.06806922547378774
16,17000,102433899.77490616,987126,1953122,2216439,2492338,2959509,3907561,6511032,6826474,3710500,3433326,3609425,3251850,3380608,3147913,3178887,5045671,0.009998906057233565,0.019728390710550218,0.022428037235193134,0.025128922074673446,0.029877946981563642,0.03935662148233399,0.06559902435120266,0.07009547340447128
17,18000,108642001.52418077,451869,890980,1037778,1277814,1607576,2253490,4319907,4627992,3632942,3089762,3211665,2944431,3427832,3346375,3366706,5091761,0.0043031430054465605,0.008441128336229066,0.009843257967425556,0.012089341256028873,0.015279082724979737,0.021401553648408123,0.041034384928492144,0.04469320376826439
18,19000,114850100.91040611,528703,1001544,1181210,1374309,1682246,2303239,4011638,4299578,2253165,2192269,2287027,2028077,2091130,2058361,1983636,2288064,0.004695536301455764,0.008890140907349454,0.010493761044054082,0.012181212075147333,0.014918954885963327,0.020420280792099958,0.03554322360662625,0.03819740756310455
19,20000,121058197.7992053,588232,1208762,1393402,1589142,1875376,2448159,3669333,3909901,2893108,2666826,2835910,2448712,2611006,2710210,2513023,2854998,0.004978052324925801,0.010209882541525833,0.011786288575015772,0.0133981020935397,0.01583301361149351,0.020686105826772994,0.03095303546698721,0.03307779321238211
20,21000,127266292.05493069,267562,622058,737561,830522,969573,1348161,2132285,2289370,4218306,3072763,4246901,3500260,4062509,3931591,3552797,4095952,0.002174452492709274,0.005008779480973315,0.005995485700873482,0.006710419540891414,0.00786966906338999,0.010930913915294264,0.017235670199546402,0.01858702345856155
21,22000,133474383.54327631,332474,694862,814451,898361,1029677,1360609,2003674,2122881,6903529,6123293,7006190,6576280,6812633,6695519,6403785,6858612,0.002626781664702458,0.005456270511981778,0.006439967055600442,0.007079388697827389,0.008129344459424568,0.010732143759936833,0.015768195184172447,0.016766323611386875
22,23000,139682472.12837744,261455,645361,809408,955485,1192586,1468771,2252451,2388793,6412642,5892491,6328376,6119130,6359359,6198392,6191542,6551828,0.001961846876732289,0.0048236870545691115,0.006069614833734079,0.007153796728758209,0.008945080654182246,0.011003342110815157,0.01687343850128118,0.01794322423390737
23,24000,145890557.67619944,295252,680197,783559,919962,1078222,1273685,1876714,1986683,6740637,6403289,6748872,6572384,6829753,6127392,6664386,6589184,0.002121826577875302,0.0048764091981683575,0.005631374926874484,0.006603316535990183,0.007753601041721428,0.009113166504476926,0.01347960643753607,0.01426176172977279
24,25000,152098640.0507555,376289,787284,945937,1096154,1354806,1728294,2823818,3076249,7963907,6810929,7940187,7151256,7938388,7869272,7349180,8210900,0.00261067538708726,0.005418792782308797,0.0065617865618116285,0.007562426926008994,0.00939791642097715,0.011982954812585735,0.019508314566491963,0.021379507377868832
25,26000,158306719.11791968,437106,1236743,1492514,1781108,2333988,3067064,4461475,4789834,6471779,5705359,6489976,5908372,7186781,6971144,6536749,7039540,0.002878823541277983,0.008104403519367923,0.009831023702311469,0.011687187122980084,0.015444606642035393,0.020266642510263458,0.029396296227334025,0.0316647274572768
26,27000,164514794.7418127,594080,1492738,1904233,2184427,2864065,3514838,4697703,4940357,7259263,5450530,7190726,6240686,8667955,8377750,7695061,8623395,0.0037778003318533816,0.009384496275281928,0.012103888586336209,0.013801543520699164,0.01837743392644227,0.022511236880473275,0.029956070501524233,0.031691017004031125
27,28000,170722866.78811884,456620,1118229,1371240,1582033,2084091,2618281,3682966,3881701,6392584,5264435,6389940,4930120,9554069,9500085,8695364,9516123,0.002778672270580513,0.006758368176920539,0.008344280277853238,0.009542232882007916,0.012931107190734635,0.016240142807118788,0.022730499061114115,0.024079023673487826
28,29000,176930935.1218028,484107,1026479,1194761,1352271,1614072,1877221,2761813,2920364,6330863,6068582,6577548,5909793,10728436,10903067,10280443,10547848,0.002837671719472449,0.0060076370320631895,0.007013426737125837,0.007907039932155876,0.009711478518846546,0.011306662075687299,0.0165724863145404,0.0175520484113996
29,30000,183138999.60706854,509074,1079289,1273028,1491970,1822175,2172456,2983303,3167855,7921448,8095283,8205531,7897407,9880698,9921862,9717004,9745791,0.0029053824535889886,0.006165825434469875,0.007277212360428557,0.008513789322523082,0.010517100670491967,0.012541807525581393,0.017202564124330737,0.018269775531859322
