,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.62922717,1624965,1862425,2863959,2956422,2996169,3026116,3038257,3049840,0,0,0,0,0,0,0,0,0.5234965402091949,0.599996334628198,0.9226491818599082,0.9524369376561024,0.9652417777503167,0.9748894630171654,0.9788007912578843,0.9825323549686369
1,2000,9312181.820187718,3859673,4670388,8219247,8617293,8804813,8918733,8994587,9052464,0,0,0,0,0,0,0,0,0.4144756915755964,0.5015353104333881,0.8826338616135734,0.9253785166993539,0.9455155805605296,0.957749018674145,0.9658946929602245,0.9721098851802185
2,3000,15520302.808601629,4289366,5121420,11669558,12840111,13411906,13743928,13965749,14084056,0,831,831,1662,1662,1662,1662,1662,0.2763712830153518,0.32999963292316853,0.7519301007094955,0.827399200636374,0.8642448888027672,0.8856399326145917,0.8999337746292255,0.9075573159856583
3,4000,21728423.459523026,1386771,1970805,9219866,11599074,12899382,13615152,14228442,14650132,159616,85614,168760,157123,154629,161279,166266,169591,0.06429520976542052,0.09106049765331314,0.42764424487932035,0.5377086106498223,0.5979190181032805,0.6312913619859488,0.6598802567280179,0.6795419940994395
4,5000,27936543.637853928,867767,1237220,8454171,12194320,14636839,16358798,17779433,18353590,4951,831,9937,9937,8275,10768,9936,10767,0.031067580400838655,0.04428811307013235,0.3027281871239075,0.43665598753666174,0.5240868737620653,0.5857956538841963,0.6366485049154468,0.6572275585389219
5,6000,34144663.208690956,412527,481970,4185799,6666777,10466507,14607997,17253452,18278853,20775,2493,26593,27424,54850,29085,32409,29085,0.012089097159066833,0.014116560167499652,0.12268569043901387,0.19540786870884086,0.30702740833239994,0.42819139428446235,0.5057845750810642,0.5357919742173227
6,7000,40352782.03686811,44518,67683,1196150,1860972,4458452,8741179,11441157,12580585,47361,49855,58995,70632,70637,109688,113012,62327,0.001104516436121051,0.0016793569344997024,0.02968571802162809,0.046198427797343275,0.11068060044765281,0.2172094171484901,0.2843246119328587,0.31224728011853015
7,8000,46560899.98756155,69874,158969,903624,1423031,2246979,4372599,6016754,7082056,14986,21531,39846,41560,38260,62193,82308,81307,0.0015011844008192084,0.0034157962056272657,0.019423979522080564,0.030590094364634005,0.04829861333322356,0.09403700195727323,0.1294521572772726,0.1523691483678705
8,9000,52769016.92555395,162157,222881,1060972,1578122,2323448,3642846,5651343,6526288,60081,61735,74289,71637,78254,81960,80811,79881,0.0030764612707991374,0.004228656683810917,0.02013431023875709,0.029946877856725077,0.04409592632550733,0.06914119354108712,0.10726011449289224,0.12386401646861674
9,10000,58977132.71607134,90729,154647,1341330,2443074,3868349,5257661,7025748,7525280,151523,153492,238727,187587,161244,209832,182986,155718,0.0015423384549333886,0.0026289940254879286,0.022835655541685915,0.04155626600346624,0.06577047604728245,0.08946575622729198,0.11949740565040834,0.12793435921805402
